date,pm25,pm10,o3,no2,so2,co
12-11-2017,,72,36,10,40,4
13-11-2017,138,71,26,10,15,4
14-11-2017,133,75,22,10,22,6
15-11-2017,143,60,15,8,35,2
16-11-2017,113,60,18,11,9,3
17-11-2017,82,55,20,11,9,5
18-11-2017,81,60,24,10,8,4
19-11-2017,97,69,22,13,6,4
20-11-2017,112,72,21,13,6,5
21-11-2017,118,74,36,14,5,6
22-11-2017,133,83,24,19,16,5
23-11-2017,135,70,31,12,8,5
24-11-2017,160,81,38,13,30,5
25-11-2017,156,112,32,18,5,5
26-11-2017,166,88,37,16,12,5
27-11-2017,156,75,37,17,13,5
28-11-2017,134,71,36,16,9,5
29-11-2017,152,65,34,13,8,6
30-11-2017,152,81,29,13,8,5
01-12-2017,154,71,32,13,4,5
02-12-2017,153,77,35,12,8,4
03-12-2017,158,94,33,13,8,5
04-12-2017,161,75,31,11,2,5
05-12-2017,160,68,27,12,7,6
06-12-2017,135,80,30,13,8,5
07-12-2017,159,86,43,10,16,4
08-12-2017,167,77,40,9,7,5
09-12-2017,156,57,32,11,10,4
10-12-2017,88,71,32,16,13,15
11-12-2017,120,86,45,23,11,6
12-12-2017,151,87,32,15,9,7
13-12-2017,155,81,27,14,8,7
14-12-2017,149,81,25,13,6,6
15-12-2017,154,98,22,23,4,10
16-12-2017,161,89,32,18,9,6
17-12-2017,152,79,35,10,15,5
18-12-2017,156,75,29,15,12,5
19-12-2017,131,88,32,23,15,6
20-12-2017,149,90,37,21,14,6
21-12-2017,155,93,35,22,14,8
22-12-2017,153,103,40,17,14,7
23-12-2017,162,100,36,23,11,9
24-12-2017,161,94,30,25,9,10
25-12-2017,149,85,38,14,13,6
26-12-2017,153,75,30,14,16,5
27-12-2017,148,78,31,17,10,6
28-12-2017,131,94,33,21,12,7
29-12-2017,155,91,25,23,11,8
30-12-2017,147,82,34,19,8,7
31-12-2017,138,76,26,15,13,6
01-01-2018,126,79,32,14,7,5
02-01-2018,149,91,30,14,6,5
03-01-2018,159,100,36,15,9,6
04-01-2018,161,102,33,17,9,6
05-01-2018,160,91,36,18,10,6
06-01-2018,157,93,37,23,10,8
07-01-2018,156,89,33,14,7,7
08-01-2018,159,100,37,18,10,11
09-01-2018,161,100,38,16,11,11
10-01-2018,159,94,44,15,10,10
11-01-2018,157,94,46,19,16,6
12-01-2018,157,93,42,14,18,6
13-01-2018,148,80,39,12,12,4
14-01-2018,152,78,42,8,8,5
15-01-2018,158,80,33,11,8,5
16-01-2018,139,81,35,12,15,6
17-01-2018,144,92,34,21,12,8
18-01-2018,140,86,37,17,14,5
19-01-2018,129,87,41,20,24,8
20-01-2018,137,89,42,16,13,5
21-01-2018,146,101,47,17,15,6
22-01-2018,159,89,37,14,8,4
23-01-2018,152,91,38,13,11,5
24-01-2018,155,98,40,13,20,5
25-01-2018,149,100,50,14,14,5
26-01-2018,148,101,46,17,12,6
27-01-2018,153,99,39,13,10,6
28-01-2018,158,99,37,14,10,5
29-01-2018,156,92,42,14,13,4
30-01-2018,134,82,45,13,15,3
31-01-2018,95,89,33,25,23,6
01-02-2018,121,83,28,22,18,4
02-02-2018,112,93,36,18,8,5
03-02-2018,130,84,38,13,9,4
04-02-2018,116,86,33,13,8,4
05-02-2018,123,94,27,19,13,5
06-02-2018,126,96,36,19,15,5
07-02-2018,143,82,29,23,19,6
08-02-2018,123,99,28,24,15,8
09-02-2018,143,88,24,17,10,5
10-02-2018,139,72,23,8,6,4
11-02-2018,122,71,19,7,5,3
12-02-2018,141,64,25,7,6,3
13-02-2018,131,76,27,10,6,4
14-02-2018,139,74,29,10,9,4
15-02-2018,127,74,29,11,14,4
16-02-2018,123,71,33,15,16,4
17-02-2018,112,85,39,15,12,6
18-02-2018,142,79,36,14,13,5
19-02-2018,139,74,31,11,8,4
20-02-2018,131,86,31,14,10,5
21-02-2018,145,95,32,16,2,6
22-02-2018,151,94,30,14,7,5
23-02-2018,147,81,26,13,7,4
24-02-2018,127,79,24,13,8,4
25-02-2018,121,87,32,25,9,7
26-02-2018,133,89,30,27,12,7
27-02-2018,141,87,30,20,8,6
28-02-2018,143,96,29,29,14,9
01-03-2018,140,93,32,27,12,9
02-03-2018,141,94,32,19,12,6
03-03-2018,147,96,36,24,10,7
04-03-2018,149,87,32,18,9,6
05-03-2018,141,81,34,14,10,5
06-03-2018,137,79,29,12,9,4
07-03-2018,134,84,27,16,8,6
08-03-2018,139,87,33,13,8,7
09-03-2018,150,97,35,18,9,7
