date,pm25,pm10,o3,no2,so2,co
12-11-2017,,67,28,9,11,6
13-11-2017,128,86,18,12,21,7
14-11-2017,139,70,21,7,11,5
15-11-2017,128,57,18,6,9,5
16-11-2017,110,55,15,8,14,5
17-11-2017,104,49,19,8,11,5
18-11-2017,76,57,22,8,10,5
19-11-2017,94,62,25,8,8,6
20-11-2017,106,65,25,10,7,6
21-11-2017,109,56,30,7,6,6
22-11-2017,100,53,22,6,5,5
23-11-2017,98,81,29,8,7,6
24-11-2017,153,83,35,9,9,5
25-11-2017,152,90,31,11,8,7
26-11-2017,154,92,31,13,8,8
27-11-2017,151,90,52,13,13,7
28-11-2017,148,80,67,11,7,6
29-11-2017,147,81,64,11,8,6
30-11-2017,146,85,54,10,9,7
01-12-2017,154,80,35,9,8,5
02-12-2017,154,88,30,13,6,7
03-12-2017,150,78,53,9,5,6
04-12-2017,154,70,35,6,6,5
05-12-2017,137,59,29,6,5,5
06-12-2017,119,83,29,10,11,7
07-12-2017,149,98,31,11,14,6
08-12-2017,154,98,30,12,15,6
09-12-2017,148,72,25,10,11,5
10-12-2017,122,74,26,11,10,5
11-12-2017,126,90,37,17,7,9
12-12-2017,144,90,36,14,5,9
13-12-2017,151,81,32,11,6,7
14-12-2017,148,81,30,9,6,6
15-12-2017,149,89,33,12,6,8
16-12-2017,149,91,35,13,8,9
17-12-2017,151,98,36,13,17,6
18-12-2017,158,94,32,16,21,6
19-12-2017,134,99,36,17,12,10
20-12-2017,144,97,40,18,11,10
21-12-2017,156,97,35,17,11,11
22-12-2017,155,107,44,16,11,10
23-12-2017,162,100,39,14,8,9
24-12-2017,160,93,27,13,6,8
25-12-2017,154,89,59,13,18,6
26-12-2017,152,84,39,13,8,6
27-12-2017,137,91,46,15,7,8
28-12-2017,142,99,58,16,6,10
29-12-2017,154,90,34,16,6,8
30-12-2017,140,81,22,13,5,9
31-12-2017,136,74,37,8,7,6
01-01-2018,126,87,39,11,7,6
02-01-2018,150,91,31,11,7,6
03-01-2018,159,103,38,10,10,7
04-01-2018,157,91,56,11,10,6
05-01-2018,157,98,34,15,8,9
06-01-2018,157,93,35,12,6,7
07-01-2018,156,91,38,11,6,7
08-01-2018,154,101,79,14,7,7
09-01-2018,161,100,54,12,7,7
10-01-2018,156,103,65,14,9,8
