date,pm25,pm10,o3,no2,so2,co
18-09-2022,,40,8,2,2,5
19-09-2022,70,35,8,2,2,5
20-09-2022,71,52,10,1,2,3
21-09-2022,110,40,10,1,2,4
22-09-2022,62,35,7,1,2,5
23-09-2022,66,22,7,1,2,7
24-09-2022,55,24,7,1,2,9
25-09-2022,61,24,7,1,2,9
26-09-2022,61,,,,,
27-09-2022,,35,7,1,2,2
28-09-2022,74,43,7,1,2,4
29-09-2022,89,43,9,1,2,5
30-09-2022,80,45,9,1,2,4
01-10-2022,93,31,9,1,2,6
02-10-2022,70,29,9,1,2,6
03-10-2022,64,37,6,1,2,7
04-10-2022,63,44,6,1,2,7
05-10-2022,91,39,6,2,2,6
06-10-2022,79,44,6,2,2,4
07-10-2022,79,45,6,1,2,5
08-10-2022,89,42,6,1,3,6
09-10-2022,88,38,6,1,3,6
10-10-2022,85,39,9,1,2,6
11-10-2022,85,43,9,1,2,6
12-10-2022,98,51,9,1,3,6
13-10-2022,120,43,9,1,3,6
14-10-2022,85,41,9,1,3,6
15-10-2022,91,37,9,2,3,4
16-10-2022,81,,,,,
23-10-2022,,66,4,3,3,7
24-10-2022,88,50,7,2,3,7
25-10-2022,77,39,7,2,2,6
26-10-2022,75,35,9,2,2,6
27-10-2022,72,29,7,2,2,6
28-10-2022,67,26,7,2,2,6
29-10-2022,57,25,4,2,2,6
30-10-2022,64,28,8,2,2,5
31-10-2022,69,32,8,1,2,5
01-11-2022,,32,8,1,2,5
02-11-2022,64,,8,1,2,4
03-11-2022,50,35,8,1,2,4
04-11-2022,55,29,7,2,1,5
05-11-2022,74,29,7,2,,6
06-11-2022,86,42,7,1,1,5
07-11-2022,95,41,7,1,1,5
08-11-2022,73,37,7,1,2,5
09-11-2022,72,35,2,1,2,6
10-11-2022,84,45,6,1,2,6
11-11-2022,85,43,6,2,3,6
12-11-2022,95,40,5,2,3,7
13-11-2022,75,40,7,2,3,7
14-11-2022,75,41,7,2,3,7
15-11-2022,85,48,8,2,2,6
16-11-2022,104,55,8,2,2,7
17-11-2022,124,52,7,1,3,7
18-11-2022,117,54,6,2,3,8
19-11-2022,128,54,6,2,3,8
20-11-2022,130,54,7,2,3,8
21-11-2022,130,56,7,2,3,7
22-11-2022,121,58,7,1,2,6
23-11-2022,136,48,8,2,2,7
24-11-2022,80,54,8,2,2,7
25-11-2022,97,39,7,2,2,7
26-11-2022,93,,8,2,2,7
27-11-2022,,,8,2,3,7
28-11-2022,,45,8,1,2,6
29-11-2022,87,51,4,1,2,5
30-11-2022,108,53,10,1,2,4
01-12-2022,133,48,10,1,3,3
02-12-2022,114,,,,,
03-12-2022,,35,8,1,2,6
04-12-2022,65,49,8,1,2,6
05-12-2022,113,57,7,1,2,6
06-12-2022,135,56,7,2,2,7
07-12-2022,138,54,7,2,2,7
08-12-2022,117,61,7,1,2,6
09-12-2022,123,57,7,1,2,6
10-12-2022,125,51,7,1,3,7
11-12-2022,93,50,7,1,3,6
12-12-2022,102,47,7,1,3,6
13-12-2022,100,45,8,2,3,7
14-12-2022,100,49,8,2,4,7
15-12-2022,110,52,6,2,4,7
16-12-2022,120,55,5,2,4,7
17-12-2022,123,49,1,2,4,8
18-12-2022,86,53,5,2,4,7
19-12-2022,98,54,5,2,5,6
20-12-2022,106,54,5,2,4,6
21-12-2022,104,53,4,2,4,6
22-12-2022,93,52,8,2,4,6
23-12-2022,95,,,,,
25-12-2022,,36,8,2,3,7
26-12-2022,68,39,4,2,3,7
27-12-2022,69,58,7,2,4,8
28-12-2022,132,55,7,2,4,8
29-12-2022,119,58,8,2,4,6
30-12-2022,134,57,8,2,4,5
31-12-2022,133,57,8,2,4,5
01-01-2023,134,50,8,1,3,5
02-01-2023,107,37,7,1,3,6
03-01-2023,66,36,6,2,4,7
04-01-2023,60,,,,,
05-01-2023,,55,3,1,4,7
06-01-2023,118,52,4,1,3,7
07-01-2023,97,49,5,2,3,7
08-01-2023,94,48,6,1,3,7
09-01-2023,88,50,8,1,3,6
10-01-2023,95,53,8,2,3,7
11-01-2023,104,52,8,2,3,7
12-01-2023,103,49,7,2,4,7
13-01-2023,88,56,7,2,3,6
14-01-2023,111,50,7,2,4,7
15-01-2023,93,45,7,2,4,7
16-01-2023,80,45,7,1,4,6
17-01-2023,82,47,7,1,3,6
18-01-2023,82,48,8,1,3,6
19-01-2023,85,48,6,1,3,6
20-01-2023,90,48,6,1,3,7
21-01-2023,87,48,6,2,4,6
22-01-2023,89,51,6,2,3,7
23-01-2023,97,,,,,
24-01-2023,,49,8,2,4,7
25-01-2023,86,59,5,2,4,6
26-01-2023,103,60,5,1,3,6
27-01-2023,106,60,6,1,3,6
28-01-2023,109,65,6,1,3,6
