date,pm25,pm10,o3,no2,so2,co
2022-09-18,,34.0,8.0,1.0,2.0,2.0
2022-09-19,58.0,51.0,8.0,2.0,1.0,1.0
2022-09-20,91.0,79.0,8.0,1.0,2.0,2.0
2022-09-21,128.0,67.0,8.0,1.0,2.0,5.0
2022-09-22,147.0,61.0,7.0,1.0,1.0,3.0
2022-09-23,143.0,61.0,3.0,2.0,1.0,3.0
2022-09-24,157.0,57.0,6.0,2.0,3.0,3.0
2022-09-25,150.0,55.0,9.0,1.0,7.0,2.0
2022-09-26,140.0,56.0,8.0,1.0,2.0,3.0
2022-09-27,133.0,54.0,10.0,1.0,2.0,5.0
2022-09-28,107.0,51.0,10.0,1.0,2.0,3.0
2022-09-29,104.0,53.0,7.0,1.0,2.0,3.0
2022-09-30,119.0,52.0,9.0,1.0,2.0,4.0
2022-10-01,106.0,52.0,9.0,1.0,2.0,4.0
2022-10-02,112.0,52.0,9.0,1.0,2.0,4.0
2022-10-03,115.0,48.0,9.0,1.0,2.0,4.0
2022-10-04,91.0,,,,,
2022-10-05,,51.0,6.0,1.0,2.0,3.0
2022-10-06,107.0,42.0,6.0,1.0,2.0,2.0
2022-10-07,64.0,45.0,8.0,1.0,2.0,2.0
2022-10-08,68.0,45.0,8.0,1.0,2.0,3.0
2022-10-09,69.0,45.0,9.0,1.0,2.0,3.0
2022-10-10,62.0,,,,,
2022-10-12,,47.0,9.0,1.0,2.0,5.0
2022-10-13,71.0,48.0,9.0,1.0,2.0,5.0
2022-10-14,77.0,49.0,3.0,1.0,2.0,4.0
2022-10-15,80.0,45.0,3.0,1.0,3.0,5.0
2022-10-16,67.0,,,,,
2022-10-23,,47.0,2.0,2.0,4.0,6.0
2022-10-24,69.0,121.0,5.0,1.0,2.0,6.0
2022-10-25,140.0,55.0,5.0,2.0,2.0,5.0
2022-10-26,82.0,58.0,5.0,1.0,2.0,4.0
2022-10-27,98.0,48.0,6.0,1.0,2.0,4.0
2022-10-28,79.0,24.0,8.0,1.0,2.0,3.0
2022-10-29,34.0,25.0,7.0,1.0,2.0,3.0
2022-10-30,66.0,36.0,7.0,1.0,2.0,5.0
2022-10-31,86.0,36.0,5.0,1.0,2.0,5.0
2022-11-01,85.0,40.0,7.0,1.0,2.0,5.0
2022-11-02,84.0,39.0,6.0,1.0,1.0,4.0
2022-11-03,79.0,41.0,5.0,1.0,2.0,5.0
2022-11-04,75.0,41.0,5.0,1.0,2.0,5.0
2022-11-05,78.0,42.0,7.0,1.0,2.0,4.0
2022-11-06,80.0,44.0,8.0,1.0,2.0,7.0
2022-11-07,83.0,41.0,7.0,1.0,1.0,6.0
2022-11-08,85.0,40.0,6.0,1.0,1.0,4.0
2022-11-09,97.0,31.0,6.0,2.0,2.0,3.0
2022-11-10,62.0,37.0,5.0,2.0,2.0,3.0
2022-11-11,70.0,38.0,7.0,1.0,1.0,4.0
2022-11-12,70.0,41.0,6.0,1.0,2.0,4.0
2022-11-13,82.0,39.0,7.0,1.0,2.0,5.0
2022-11-14,81.0,41.0,8.0,1.0,2.0,2.0
2022-11-15,74.0,46.0,6.0,1.0,2.0,3.0
2022-11-16,73.0,53.0,9.0,2.0,2.0,5.0
2022-11-17,80.0,69.0,8.0,3.0,2.0,4.0
2022-11-18,94.0,102.0,9.0,2.0,3.0,3.0
2022-11-19,151.0,104.0,6.0,2.0,2.0,4.0
2022-11-20,163.0,97.0,6.0,3.0,2.0,5.0
2022-11-21,160.0,92.0,6.0,2.0,2.0,5.0
2022-11-22,148.0,50.0,6.0,2.0,2.0,3.0
2022-11-23,90.0,52.0,7.0,2.0,2.0,5.0
2022-11-24,76.0,52.0,4.0,3.0,2.0,4.0
2022-11-25,98.0,59.0,7.0,4.0,2.0,6.0
2022-11-26,107.0,58.0,8.0,4.0,2.0,6.0
2022-11-27,109.0,55.0,8.0,3.0,2.0,7.0
2022-11-28,100.0,52.0,8.0,3.0,2.0,6.0
2022-11-29,115.0,56.0,8.0,3.0,2.0,7.0
2022-11-30,120.0,53.0,8.0,3.0,1.0,4.0
2022-12-01,121.0,50.0,6.0,3.0,1.0,5.0
2022-12-02,111.0,40.0,6.0,3.0,2.0,4.0
2022-12-03,93.0,38.0,6.0,3.0,2.0,4.0
2022-12-04,89.0,58.0,7.0,3.0,2.0,4.0
2022-12-05,134.0,54.0,6.0,3.0,2.0,5.0
2022-12-06,116.0,54.0,4.0,2.0,2.0,6.0
2022-12-07,127.0,51.0,5.0,1.0,4.0,7.0
2022-12-08,98.0,60.0,4.0,1.0,4.0,6.0
2022-12-09,117.0,49.0,7.0,1.0,4.0,6.0
2022-12-10,113.0,40.0,4.0,1.0,4.0,6.0
2022-12-11,78.0,43.0,3.0,1.0,3.0,5.0
2022-12-12,95.0,43.0,3.0,1.0,3.0,5.0
2022-12-13,98.0,50.0,7.0,1.0,3.0,6.0
2022-12-14,100.0,63.0,7.0,1.0,2.0,5.0
2022-12-15,136.0,70.0,6.0,2.0,2.0,4.0
2022-12-16,125.0,75.0,6.0,3.0,3.0,5.0
2022-12-17,126.0,67.0,6.0,4.0,2.0,4.0
2022-12-18,87.0,69.0,8.0,2.0,2.0,5.0
2022-12-19,113.0,80.0,5.0,3.0,3.0,4.0
2022-12-20,140.0,75.0,5.0,3.0,2.0,3.0
2022-12-21,124.0,78.0,6.0,3.0,2.0,5.0
2022-12-22,141.0,71.0,5.0,3.0,3.0,5.0
2022-12-23,143.0,70.0,7.0,3.0,2.0,5.0
2022-12-24,170.0,54.0,7.0,3.0,2.0,6.0
2022-12-25,91.0,46.0,6.0,3.0,2.0,3.0
2022-12-26,130.0,38.0,6.0,3.0,3.0,3.0
2022-12-27,94.0,52.0,7.0,3.0,3.0,5.0
2022-12-28,112.0,59.0,7.0,3.0,2.0,6.0
2022-12-29,143.0,67.0,7.0,4.0,2.0,6.0
2022-12-30,162.0,72.0,7.0,3.0,3.0,8.0
2022-12-31,169.0,66.0,8.0,3.0,3.0,4.0
2023-01-01,166.0,58.0,7.0,3.0,2.0,3.0
2023-01-02,142.0,64.0,6.0,3.0,2.0,4.0
2023-01-03,160.0,62.0,8.0,3.0,3.0,3.0
2023-01-04,153.0,63.0,6.0,3.0,3.0,3.0
2023-01-05,158.0,75.0,5.0,3.0,1.0,5.0
2023-01-06,174.0,77.0,8.0,4.0,4.0,3.0
2023-01-07,130.0,73.0,6.0,3.0,2.0,4.0
2023-01-08,108.0,78.0,6.0,3.0,2.0,5.0
2023-01-09,136.0,76.0,6.0,3.0,3.0,9.0
2023-01-10,150.0,79.0,6.0,2.0,3.0,11.0
2023-01-11,146.0,81.0,7.0,2.0,3.0,10.0
2023-01-12,145.0,67.0,7.0,3.0,3.0,5.0
