date,pm25,pm10,o3,no2,so2,co
18-09-2022,,48,7,2,2,5
19-09-2022,67,46,7,2,3,5
20-09-2022,67,48,7,2,2,5
21-09-2022,60,,,,,
27-09-2022,,55,8,3,2,5
28-09-2022,75,58,9,2,2,6
29-09-2022,75,53,8,2,2,5
30-09-2022,75,32,8,2,2,5
01-10-2022,72,32,6,2,2,6
02-10-2022,65,39,6,2,2,6
03-10-2022,66,41,6,2,2,6
04-10-2022,67,39,6,2,2,6
05-10-2022,70,43,6,2,2,6
06-10-2022,70,41,6,3,2,6
07-10-2022,70,49,6,3,2,6
08-10-2022,70,,,,,
09-10-2022,,45,6,3,2,6
10-10-2022,70,25,6,3,2,6
11-10-2022,70,49,6,3,2,4
12-10-2022,,24,6,3,3,4
13-10-2022,,34,6,3,3,4
14-10-2022,,42,6,2,2,4
15-10-2022,,39,3,1,2,6
23-10-2022,,46,3,2,3,6
24-10-2022,102,121,8,2,3,7
25-10-2022,160,58,6,2,3,5
26-10-2022,125,52,7,1,3,5
27-10-2022,100,52,3,1,4,5
28-10-2022,128,50,4,1,3,5
29-10-2022,102,51,6,1,3,6
30-10-2022,109,55,5,1,3,5
31-10-2022,104,56,6,1,2,5
01-11-2022,111,44,7,1,2,5
02-11-2022,74,39,4,1,2,5
03-11-2022,87,42,6,1,2,5
04-11-2022,82,41,5,1,2,6
05-11-2022,85,41,6,1,2,6
06-11-2022,102,46,5,1,2,5
07-11-2022,125,46,7,1,2,4
08-11-2022,127,48,7,1,2,4
09-11-2022,129,46,6,1,2,5
10-11-2022,117,41,7,1,2,4
11-11-2022,105,42,6,1,2,5
12-11-2022,87,,6,1,2,5
13-11-2022,,33,4,1,2,5
14-11-2022,78,37,7,1,2,4
15-11-2022,100,45,6,1,1,4
16-11-2022,98,51,4,1,2,4
17-11-2022,110,46,4,1,2,5
18-11-2022,100,48,8,1,2,3
19-11-2022,103,48,8,1,2,4
20-11-2022,106,52,5,1,2,4
21-11-2022,100,54,4,1,2,4
22-11-2022,102,55,6,1,2,4
23-11-2022,107,57,7,1,2,5
24-11-2022,113,52,5,1,1,5
25-11-2022,116,54,8,1,1,4
26-11-2022,110,52,9,1,1,4
27-11-2022,103,49,7,1,3,5
28-11-2022,112,44,4,1,2,4
29-11-2022,91,73,7,1,3,5
30-11-2022,151,53,6,1,2,5
01-12-2022,140,41,6,,1,4
02-12-2022,108,44,5,,2,5
03-12-2022,101,57,6,,2,4
04-12-2022,130,66,8,,2,5
05-12-2022,144,54,5,1,3,4
06-12-2022,118,52,5,1,3,5
07-12-2022,109,50,7,1,2,5
08-12-2022,95,56,6,1,2,5
09-12-2022,108,50,3,1,2,4
10-12-2022,95,48,1,1,2,6
11-12-2022,90,57,4,1,2,5
12-12-2022,121,51,7,1,3,6
13-12-2022,111,45,7,1,2,6
14-12-2022,90,51,8,1,2,5
15-12-2022,120,50,8,1,3,6
16-12-2022,124,48,5,1,3,5
17-12-2022,108,44,3,1,4,6
18-12-2022,89,60,6,1,4,7
19-12-2022,132,50,8,1,3,6
20-12-2022,112,,,,,
21-12-2022,,55,7,1,3,5
22-12-2022,126,53,7,1,3,5
23-12-2022,96,52,7,1,3,6
24-12-2022,120,49,5,1,2,6
25-12-2022,89,45,4,1,2,6
26-12-2022,101,49,6,1,2,5
27-12-2022,117,47,5,1,3,6
28-12-2022,92,54,4,1,2,5
29-12-2022,108,57,8,,2,5
30-12-2022,123,56,4,1,3,6
31-12-2022,118,57,6,1,3,6
01-01-2023,120,67,6,1,2,6
02-01-2023,150,57,3,1,3,5
03-01-2023,126,60,7,1,3,5
04-01-2023,122,61,4,,2,5
05-01-2023,142,67,4,1,4,9
06-01-2023,149,61,4,1,3,5
07-01-2023,140,63,5,1,2,6
08-01-2023,113,60,5,1,3,5
09-01-2023,95,63,5,1,2,6
10-01-2023,105,77,4,1,3,6
11-01-2023,138,59,4,1,3,6
12-01-2023,91,61,7,1,3,6
13-01-2023,110,55,6,1,3,5
14-01-2023,90,,,,,
15-01-2023,,65,5,1,4,7
16-01-2023,138,55,5,1,3,8
17-01-2023,97,55,5,1,3,6
18-01-2023,100,54,3,1,3,5
19-01-2023,97,71,3,1,3,6
20-01-2023,156,57,6,1,3,6
21-01-2023,112,54,3,1,2,6
22-01-2023,96,70,5,1,3,7
23-01-2023,170,56,6,1,2,6
24-01-2023,105,54,6,1,2,6
25-01-2023,99,55,5,1,3,5
26-01-2023,104,58,6,1,2,6
27-01-2023,115,75,6,1,3,6
28-01-2023,138,58,5,1,3,7
29-01-2023,115,60,6,1,3,6
30-01-2023,123,56,5,1,2,6
31-01-2023,105,58,5,1,3,7
01-02-2023,118,49,5,1,3,7
02-02-2023,98,47,9,1,3,6
03-02-2023,91,,,,,
15-02-2023,,45,8,3,4,7
16-02-2023,95,48,8,2,4,7
17-02-2023,96,47,8,2,3,8
18-02-2023,93,43,7,2,5,9
19-02-2023,87,45,7,3,4,7
20-02-2023,89,47,8,2,3,8
21-02-2023,95,50,9,2,2,6
22-02-2023,97,44,6,2,3,6
23-02-2023,104,50,8,2,3,8
24-02-2023,111,42,9,2,4,8
25-02-2023,81,45,8,2,3,7
26-02-2023,91,44,8,2,3,4
27-02-2023,87,49,7,1,4,5
28-02-2023,110,54,10,2,2,6
01-03-2023,125,56,8,2,3,6
02-03-2023,128,67,10,2,3,7
03-03-2023,99,60,11,3,3,6
04-03-2023,130,65,10,2,2,5
05-03-2023,124,63,9,2,3,6
06-03-2023,111,62,7,3,3,6
07-03-2023,121,61,10,2,3,6
08-03-2023,105,64,7,3,3,6
09-03-2023,126,60,9,2,3,6
10-03-2023,107,62,9,3,3,7
11-03-2023,116,61,9,3,4,6
12-03-2023,109,60,8,2,3,6
13-03-2023,108,60,9,3,4,7
14-03-2023,111,62,8,3,4,5
15-03-2023,114,70,6,2,3,5
16-03-2023,136,59,7,3,4,5
17-03-2023,148,44,8,3,4,8
18-03-2023,120,66,5,2,2,6
19-03-2023,145,59,5,2,3,6
20-03-2023,135,59,7,2,4,6
21-03-2023,143,65,8,2,3,5
22-03-2023,158,59,6,2,4,6
23-03-2023,145,54,12,2,2,5
24-03-2023,120,54,8,2,2,6
25-03-2023,123,56,6,3,4,7
26-03-2023,132,70,11,2,2,5
27-03-2023,156,67,10,2,3,5
28-03-2023,132,61,11,2,4,6
29-03-2023,137,50,9,2,4,6
30-03-2023,107,51,6,2,3,6
31-03-2023,109,,,,,
02-04-2023,,50,7,2,6,6
03-04-2023,101,47,8,2,3,5
04-04-2023,54,47,8,3,3,5
05-04-2023,87,59,8,3,5,7
06-04-2023,107,57,6,2,4,6
07-04-2023,107,61,8,2,4,6
08-04-2023,117,64,10,2,3,6
09-04-2023,123,68,11,2,3,5
10-04-2023,132,62,8,4,5,6
11-04-2023,118,58,9,2,4,6
12-04-2023,110,58,6,2,3,6
13-04-2023,110,61,7,3,4,6
14-04-2023,116,53,7,3,3,5
15-04-2023,98,67,8,2,2,5
16-04-2023,126,54,8,2,3,6
17-04-2023,101,56,8,2,3,7
18-04-2023,104,57,8,2,2,6
19-04-2023,106,57,7,2,3,6
20-04-2023,107,54,10,2,3,6
21-04-2023,101,52,9,3,4,6
22-04-2023,95,53,8,3,4,6
23-04-2023,98,52,8,3,3,6
24-04-2023,96,55,6,2,3,6
25-04-2023,117,60,9,3,3,6
26-04-2023,135,66,7,4,4,7
27-04-2023,146,59,8,2,4,5
28-04-2023,135,60,7,2,3,6
29-04-2023,137,60,6,3,4,6
30-04-2023,140,59,6,2,4,6
01-05-2023,136,59,6,2,3,4
02-05-2023,135,,,,,
03-05-2023,,72,5,2,3,4
04-05-2023,156,,7,2,2,4
05-05-2023,,54,5,3,4,6
06-05-2023,118,60,6,2,3,6
07-05-2023,138,,,,,
15-05-2023,,44,8,2,2,6
16-05-2023,98,46,6,3,4,5
17-05-2023,101,47,8,2,4,5
18-05-2023,103,54,5,2,5,6
19-05-2023,118,,,,,
21-05-2023,,70,6,2,2,6
22-05-2023,151,60,10,2,3,6
23-05-2023,137,57,9,3,3,6
24-05-2023,128,57,8,3,4,6
25-05-2023,128,56,6,3,3,6
26-05-2023,125,56,11,2,3,6
27-05-2023,125,,,,,
28-05-2023,,73,38,2,2,6
29-05-2023,151,68,37,3,3,4
30-05-2023,142,63,36,2,4,5
31-05-2023,146,64,44,2,4,6
01-06-2023,147,63,38,2,3,5
02-06-2023,146,63,32,2,3,5
03-06-2023,144,61,27,4,5,7
04-06-2023,140,66,32,3,5,6
05-06-2023,149,63,27,4,4,6
06-06-2023,147,60,21,4,4,6
07-06-2023,139,62,24,3,5,5
08-06-2023,142,69,19,3,4,5
09-06-2023,154,64,13,3,5,6
10-06-2023,144,,,,,
11-06-2023,,75,10,4,4,7
12-06-2023,157,69,3,4,4,7
13-06-2023,154,65,6,4,5,5
14-06-2023,149,66,12,4,5,7
15-06-2023,123,68,13,4,5,8
16-06-2023,107,50,11,3,4,7
17-06-2023,85,68,13,3,3,6
18-06-2023,103,65,13,3,3,8
19-06-2023,100,78,15,3,4,8
20-06-2023,125,63,14,4,4,7
21-06-2023,109,53,9,4,3,6
22-06-2023,100,49,10,3,2,4
23-06-2023,112,35,4,3,3,3
24-06-2023,84,38,6,3,4,1
25-06-2023,95,38,5,4,4,
26-06-2023,95,41,4,4,4,2
27-06-2023,93,47,5,3,4,1
28-06-2023,87,54,1,3,4,1
