date,pm25,pm10,o3,no2,so2,co
18-09-2022,,35,11,3,3,5
19-09-2022,47,37,11,3,3,5
20-09-2022,52,42,11,3,3,6
21-09-2022,91,,12,2,3,4
22-09-2022,110,42,3,2,2,3
23-09-2022,82,42,3,2,3,3
24-09-2022,59,42,3,2,2,3
25-09-2022,44,,11,2,3,4
26-09-2022,60,42,11,3,4,6
27-09-2022,63,34,11,2,4,6
28-09-2022,56,33,11,3,3,6
29-09-2022,71,,10,3,3,6
30-09-2022,58,25,10,2,3,5
01-10-2022,75,37,8,1,3,5
02-10-2022,67,32,9,1,3,6
03-10-2022,52,27,9,1,3,6
04-10-2022,52,27,9,1,3,5
05-10-2022,58,29,9,1,2,6
06-10-2022,43,36,9,1,2,7
07-10-2022,29,34,9,1,2,7
08-10-2022,43,35,9,2,2,7
09-10-2022,50,31,9,1,2,6
10-10-2022,46,31,9,1,2,6
11-10-2022,43,,9,1,2,6
12-10-2022,46,56,9,1,1,4
13-10-2022,72,26,7,1,2,4
14-10-2022,76,,7,1,2,4
23-10-2022,,52,6,3,4,8
24-10-2022,116,103,5,2,2,5
25-10-2022,71,60,5,1,2,5
26-10-2022,67,48,5,1,2,5
27-10-2022,82,44,11,1,2,5
28-10-2022,82,43,11,2,3,5
29-10-2022,81,36,4,2,3,4
30-10-2022,,40,8,1,2,6
31-10-2022,84,46,9,1,3,6
01-11-2022,87,54,9,2,3,6
02-11-2022,99,55,9,1,2,6
03-11-2022,127,52,9,1,2,6
04-11-2022,117,50,9,1,2,6
05-11-2022,109,52,9,1,2,6
06-11-2022,117,,,,,
07-11-2022,,46,6,1,2,8
08-11-2022,89,50,2,1,2,7
09-11-2022,97,41,2,1,2,6
10-11-2022,76,43,7,2,3,5
11-11-2022,87,45,10,2,3,6
12-11-2022,97,34,10,2,3,6
13-11-2022,86,34,10,2,2,6
14-11-2022,85,43,9,2,2,5
15-11-2022,97,96,9,5,2,6
16-11-2022,157,110,8,5,2,7
17-11-2022,166,79,8,2,2,6
18-11-2022,152,85,8,3,2,5
19-11-2022,162,81,8,6,2,5
20-11-2022,162,78,3,6,3,6
21-11-2022,160,77,7,3,2,6
22-11-2022,148,51,7,2,2,4
23-11-2022,84,58,4,2,3,4
24-11-2022,92,78,4,2,3,4
25-11-2022,122,108,4,2,3,4
26-11-2022,166,96,4,2,3,4
27-11-2022,161,99,4,2,3,4
28-11-2022,160,75,4,2,3,4
29-11-2022,129,62,8,1,3,4
30-11-2022,114,63,8,1,3,6
01-12-2022,125,60,8,1,3,5
02-12-2022,104,44,8,2,3,5
03-12-2022,111,,9,2,3,5
04-12-2022,,62,8,2,3,5
05-12-2022,139,52,8,2,3,5
06-12-2022,109,58,3,2,4,5
07-12-2022,127,52,3,2,5,6
08-12-2022,121,58,3,2,5,6
09-12-2022,143,54,9,1,5,7
10-12-2022,108,38,9,1,5,8
11-12-2022,19,37,9,1,5,7
12-12-2022,66,,,,,
13-12-2022,,29,8,1,4,7
14-12-2022,38,47,10,1,3,6
15-12-2022,71,59,10,2,3,5
16-12-2022,115,48,9,1,3,5
17-12-2022,45,50,8,1,4,7
18-12-2022,57,81,8,1,8,7
19-12-2022,92,62,6,1,4,9
20-12-2022,106,53,2,1,4,8
21-12-2022,108,55,8,1,4,8
22-12-2022,115,59,10,2,4,7
23-12-2022,134,55,10,2,4,6
24-12-2022,119,54,6,3,4,6
25-12-2022,105,62,6,3,4,6
26-12-2022,119,95,8,1,4,8
27-12-2022,113,20,8,1,5,8
28-12-2022,30,48,10,1,5,7
29-12-2022,78,64,10,2,5,8
30-12-2022,136,70,9,3,6,7
31-12-2022,137,78,9,2,6,5
01-01-2023,155,59,9,2,6,3
02-01-2023,145,60,9,2,6,4
03-01-2023,144,57,5,3,6,4
04-01-2023,139,60,7,2,6,4
05-01-2023,150,63,7,3,5,7
06-01-2023,152,59,7,2,5,8
