date,pm25,pm10,o3,no2,so2,co
29-12-2015,,75,10,,4,13
30-12-2015,139,70,,2,6,25
31-12-2015,151,,,,,
02-01-2016,,78,31,,4,8
03-01-2016,133,78,25,,7,12
04-01-2016,156,79,27,1,6,10
05-01-2016,158,75,33,1,4,11
06-01-2016,156,74,36,,6,8
07-01-2016,152,73,56,,6,9
08-01-2016,150,76,86,,6,9
09-01-2016,148,74,86,,7,9
10-01-2016,153,75,86,,6,10
11-01-2016,153,74,86,,6,12
12-01-2016,153,73,86,,8,8
13-01-2016,149,72,86,,6,7
14-01-2016,149,75,86,,6,5
15-01-2016,151,70,67,,5,8
16-01-2016,154,72,86,1,6,11
17-01-2016,147,62,86,,6,6
18-01-2016,114,63,86,,5,5
19-01-2016,137,74,,,7,9
20-01-2016,159,79,27,,7,6
21-01-2016,157,74,30,,12,8
22-01-2016,144,71,30,,6,8
23-01-2016,153,75,53,,6,7
24-01-2016,162,74,29,,5,7
25-01-2016,158,72,86,,5,8
26-01-2016,,71,86,1,5,6
27-01-2016,150,74,,,6,11
28-01-2016,154,73,22,,7,15
29-01-2016,152,70,57,1,6,17
30-01-2016,153,73,,,5,12
31-01-2016,162,75,,,5,12
01-02-2016,154,71,,1,5,8
02-02-2016,138,73,,1,7,16
03-02-2016,148,70,,1,7,10
04-02-2016,155,76,27,,10,8
05-02-2016,157,74,25,,3,8
06-02-2016,149,72,28,,5,8
07-02-2016,153,76,21,,3,7
08-02-2016,158,77,25,1,4,9
09-02-2016,158,72,33,,3,7
10-02-2016,149,77,35,1,2,8
11-02-2016,153,70,31,,2,7
12-02-2016,145,74,33,,3,7
13-02-2016,150,72,22,,4,8
14-02-2016,150,72,16,,3,4
15-02-2016,108,59,16,1,4,8
16-02-2016,107,79,26,,1,8
17-02-2016,124,77,15,,3,9
18-02-2016,120,71,17,,3,9
19-02-2016,109,79,23,1,4,11
20-02-2016,140,70,33,,5,15
21-02-2016,143,70,28,1,6,10
22-02-2016,148,77,29,,4,6
23-02-2016,154,70,29,,4,6
24-02-2016,132,73,31,,2,7
25-02-2016,137,71,18,,3,7
26-02-2016,132,60,15,,3,7
27-02-2016,79,69,16,,3,5
28-02-2016,96,67,16,,3,8
29-02-2016,86,65,18,,3,7
01-03-2016,103,72,23,,3,10
02-03-2016,126,67,30,1,4,8
03-03-2016,124,72,31,,3,9
04-03-2016,149,75,30,,3,10
05-03-2016,152,71,21,1,3,8
06-03-2016,114,64,20,,3,6
07-03-2016,97,60,27,,3,5
08-03-2016,105,66,29,,2,8
09-03-2016,119,72,24,1,3,10
10-03-2016,145,71,29,1,3,9
11-03-2016,141,76,28,,3,8
12-03-2016,149,72,38,,3,6
13-03-2016,151,71,40,1,3,7
14-03-2016,152,65,19,,2,7
15-03-2016,127,64,28,,3,6
16-03-2016,118,61,26,,2,6
17-03-2016,120,72,35,,3,7
18-03-2016,140,68,32,1,2,8
19-03-2016,135,72,31,,3,11
20-03-2016,153,76,27,1,4,15
21-03-2016,139,74,41,,5,14
22-03-2016,143,73,33,,7,13
23-03-2016,152,75,41,,5,6
24-03-2016,160,74,40,,7,8
25-03-2016,158,76,38,,4,6
26-03-2016,142,74,45,1,3,8
27-03-2016,154,80,34,,3,8
28-03-2016,153,73,34,,1,8
29-03-2016,143,70,33,,2,8
30-03-2016,136,68,31,,2,6
31-03-2016,117,72,40,,3,8
01-04-2016,140,73,34,,2,8
02-04-2016,139,73,38,,3,7
03-04-2016,135,74,33,17,2,8
04-04-2016,136,80,31,20,2,9
05-04-2016,141,80,23,20,3,7
06-04-2016,138,71,28,21,4,6
07-04-2016,113,65,27,17,2,6
08-04-2016,93,56,20,13,2,7
09-04-2016,89,60,26,15,4,7
10-04-2016,86,72,30,18,3,8
11-04-2016,116,68,29,19,3,6
12-04-2016,122,72,35,17,4,10
13-04-2016,138,77,30,24,4,10
14-04-2016,151,73,29,15,4,7
15-04-2016,142,71,31,12,1,6
16-04-2016,130,72,34,12,4,9
17-04-2016,134,74,28,17,3,9
18-04-2016,133,62,21,17,3,7
19-04-2016,104,70,21,19,5,8
20-04-2016,117,66,32,17,2,9
21-04-2016,115,74,28,17,2,9
22-04-2016,117,69,26,14,4,7
23-04-2016,88,,,,,
24-04-2016,,67,32,26,17,1
25-04-2016,96,77,20,26,9,
26-04-2016,146,76,17,24,1,
27-04-2016,140,67,21,23,1,
28-04-2016,114,63,21,22,3,
29-04-2016,107,60,23,20,4,
30-04-2016,89,75,25,21,3,
01-05-2016,119,63,29,16,2,
02-05-2016,95,67,23,24,2,
03-05-2016,115,50,27,13,3,
