date,pm25,pm10,o3,no2,so2,co
30-01-2020,,98,36,14,6,9
31-01-2020,163,87,38,19,3,8
01-02-2020,145,89,40,19,5,7
02-02-2020,155,107,44,17,4,9
03-02-2020,164,102,43,23,6,8
04-02-2020,160,115,46,18,8,8
05-02-2020,175,107,29,21,4,9
06-02-2020,151,120,31,15,6,7
07-02-2020,185,159,10,16,7,9
08-02-2020,217,132,43,18,6,8
09-02-2020,189,121,45,22,5,9
10-02-2020,179,176,42,31,4,12
11-02-2020,195,150,54,32,7,13
12-02-2020,186,159,49,29,4,9
13-02-2020,195,134,48,24,5,8
14-02-2020,188,111,49,20,3,8
15-02-2020,158,151,54,22,4,8
16-02-2020,191,132,59,18,4,6
17-02-2020,181,141,14,20,3,9
18-02-2020,196,106,49,8,10,4
19-02-2020,174,96,33,7,6,3
20-02-2020,162,121,28,18,2,10
21-02-2020,179,156,51,20,1,9
22-02-2020,207,131,39,15,1,7
23-02-2020,194,138,26,20,3,9
24-02-2020,200,105,18,15,4,6
25-02-2020,178,71,31,10,4,3
26-02-2020,127,85,46,13,3,6
27-02-2020,129,149,41,15,4,9
28-02-2020,189,127,65,20,3,10
29-02-2020,185,121,57,19,4,8
01-03-2020,189,119,49,16,6,7
02-03-2020,182,109,28,9,2,5
03-03-2020,167,74,31,7,6,4
04-03-2020,140,67,27,10,3,4
05-03-2020,113,67,22,9,4,3
06-03-2020,118,64,19,8,1,4
07-03-2020,113,74,31,10,1,5
08-03-2020,116,98,48,12,2,5
09-03-2020,159,99,81,13,2,5
10-03-2020,169,97,45,9,3,4
11-03-2020,161,96,34,9,3,4
12-03-2020,161,94,46,13,3,6
13-03-2020,156,111,36,6,2,3
14-03-2020,175,,,,,
15-03-2020,,91,41,11,6,11
16-03-2020,151,90,47,12,3,6
17-03-2020,164,97,57,13,6,7
18-03-2020,163,97,65,13,5,5
19-03-2020,165,68,44,11,5,5
20-03-2020,107,64,38,5,5,2
21-03-2020,116,27,34,3,2,1
22-03-2020,53,50,49,4,3,3
23-03-2020,88,46,33,3,2,3
24-03-2020,94,58,34,3,3,2
25-03-2020,120,53,36,3,1,2
26-03-2020,97,66,40,3,4,2
27-03-2020,135,62,40,3,3,2
28-03-2020,123,59,42,3,3,2
29-03-2020,104,62,46,3,2,2
30-03-2020,118,,,,,
03-04-2020,,82,42,8,6,3
04-04-2020,151,,,,,
05-04-2020,,58,35,3,2,2
06-04-2020,86,60,36,1,3,1
07-04-2020,88,49,36,2,2,1
08-04-2020,60,47,45,2,3,1
09-04-2020,64,38,30,1,1,1
10-04-2020,57,39,26,1,,1
11-04-2020,57,56,22,1,1,1
12-04-2020,68,47,27,1,,2
13-04-2020,67,41,20,,,2
14-04-2020,80,115,20,1,,2
15-04-2020,67,70,19,3,,3
16-04-2020,90,46,18,1,1,1
17-04-2020,58,47,22,3,,2
18-04-2020,77,32,23,1,1,1
19-04-2020,47,30,23,1,,1
20-04-2020,44,24,21,2,,2
21-04-2020,38,27,22,1,2,1
22-04-2020,48,26,16,1,,1
23-04-2020,37,22,22,1,2,1
24-04-2020,27,26,17,1,1,1
25-04-2020,32,,,,,
26-04-2020,,71,15,1,1,1
27-04-2020,18,20,18,1,1,2
28-04-2020,16,36,23,2,1,2
29-04-2020,58,30,22,1,1,1
30-04-2020,48,22,21,1,1,1
01-05-2020,33,37,29,2,1,2
02-05-2020,56,36,29,2,1,2
03-05-2020,58,45,19,1,,2
04-05-2020,63,45,18,1,,1
05-05-2020,78,30,28,2,,2
06-05-2020,48,32,22,1,,1
07-05-2020,57,36,27,1,,1
08-05-2020,67,54,29,1,,2
09-05-2020,90,45,28,1,1,1
10-05-2020,73,47,34,2,2,2
11-05-2020,77,60,40,3,3,2
12-05-2020,95,54,23,1,2,1
13-05-2020,83,45,17,1,,1
14-05-2020,66,32,16,1,,1
15-05-2020,53,37,16,1,1,1
16-05-2020,48,38,18,1,1,1
17-05-2020,55,50,8,2,,2
18-05-2020,67,23,10,1,,1
19-05-2020,39,66,16,1,,1
20-05-2020,57,84,12,2,,2
21-05-2020,55,34,17,1,1,2
22-05-2020,101,56,16,,,1
23-05-2020,96,55,15,,,1
24-05-2020,75,52,12,,,1
25-05-2020,72,41,13,,,1
26-05-2020,47,43,18,,,1
27-05-2020,60,35,19,2,1,2
28-05-2020,67,37,22,1,1,1
29-05-2020,68,35,24,,1,1
30-05-2020,62,34,26,1,1,2
31-05-2020,64,26,18,1,,1
01-06-2020,33,34,9,1,1,2
02-06-2020,22,38,26,2,6,1
03-06-2020,66,35,17,1,1,1
