date,pm25,pm10,o3,no2,so2,co
2020-01-30,,67.0,49.0,13.0,7.0,4.0
2020-01-31,146.0,63.0,61.0,15.0,9.0,4.0
2020-02-01,121.0,74.0,59.0,19.0,9.0,6.0
2020-02-02,137.0,72.0,54.0,16.0,7.0,4.0
2020-02-03,130.0,82.0,70.0,19.0,10.0,5.0
2020-02-04,143.0,103.0,75.0,23.0,21.0,6.0
2020-02-05,168.0,84.0,5.0,15.0,7.0,6.0
2020-02-06,154.0,91.0,9.0,20.0,7.0,5.0
2020-02-07,160.0,,,,,
2020-02-09,,90.0,38.0,24.0,10.0,12.0
2020-02-10,147.0,90.0,60.0,23.0,11.0,10.0
2020-02-11,158.0,96.0,72.0,24.0,12.0,11.0
2020-02-12,155.0,95.0,73.0,22.0,9.0,10.0
2020-02-13,131.0,100.0,71.0,20.0,13.0,10.0
2020-02-14,171.0,85.0,61.0,18.0,14.0,7.0
2020-02-15,158.0,87.0,78.0,19.0,12.0,8.0
2020-02-16,170.0,105.0,67.0,20.0,13.0,9.0
2020-02-17,170.0,100.0,64.0,19.0,11.0,7.0
2020-02-18,146.0,90.0,69.0,12.0,15.0,5.0
2020-02-19,150.0,68.0,61.0,9.0,15.0,3.0
2020-02-20,135.0,80.0,75.0,16.0,15.0,7.0
2020-02-21,143.0,79.0,75.0,18.0,12.0,7.0
2020-02-22,161.0,89.0,54.0,14.0,9.0,6.0
2020-02-23,157.0,94.0,40.0,20.0,8.0,9.0
2020-02-24,164.0,73.0,15.0,16.0,7.0,6.0
2020-02-25,141.0,57.0,24.0,12.0,8.0,4.0
2020-02-26,95.0,56.0,35.0,13.0,5.0,5.0
2020-02-27,113.0,66.0,49.0,12.0,6.0,5.0
2020-02-28,139.0,71.0,57.0,14.0,6.0,5.0
2020-02-29,128.0,98.0,72.0,17.0,9.0,7.0
2020-03-01,155.0,98.0,56.0,17.0,7.0,7.0
2020-03-02,160.0,73.0,36.0,12.0,2.0,4.0
2020-03-03,136.0,59.0,37.0,9.0,9.0,3.0
2020-03-04,116.0,52.0,34.0,11.0,4.0,3.0
2020-03-05,92.0,46.0,19.0,8.0,4.0,3.0
2020-03-06,89.0,27.0,23.0,7.0,5.0,3.0
2020-03-07,76.0,29.0,39.0,12.0,8.0,5.0
2020-03-08,90.0,47.0,62.0,10.0,10.0,3.0
2020-03-09,112.0,61.0,77.0,11.0,11.0,4.0
2020-03-10,134.0,67.0,60.0,11.0,10.0,4.0
2020-03-11,126.0,73.0,19.0,12.0,7.0,4.0
2020-03-12,130.0,75.0,40.0,10.0,5.0,5.0
2020-03-13,127.0,72.0,37.0,4.0,2.0,3.0
2020-03-14,115.0,45.0,42.0,4.0,5.0,2.0
2020-03-15,67.0,74.0,51.0,6.0,12.0,4.0
2020-03-16,124.0,66.0,59.0,6.0,4.0,4.0
2020-03-17,135.0,83.0,69.0,7.0,11.0,5.0
2020-03-18,154.0,81.0,84.0,7.0,11.0,4.0
2020-03-19,148.0,65.0,55.0,6.0,8.0,3.0
2020-03-20,99.0,62.0,49.0,4.0,7.0,2.0
2020-03-21,107.0,27.0,39.0,3.0,3.0,1.0
2020-03-22,54.0,50.0,59.0,4.0,3.0,2.0
2020-03-23,80.0,45.0,40.0,3.0,4.0,3.0
2020-03-24,89.0,58.0,39.0,3.0,7.0,3.0
2020-03-25,124.0,32.0,44.0,3.0,,2.0
2020-03-26,89.0,48.0,44.0,3.0,5.0,2.0
2020-03-27,103.0,58.0,19.0,3.0,,2.0
2020-03-28,109.0,,,,,
2020-03-30,,62.0,28.0,4.0,4.0,4.0
2020-03-31,130.0,57.0,62.0,3.0,5.0,2.0
2020-04-01,115.0,54.0,45.0,3.0,1.0,3.0
2020-04-02,104.0,115.0,55.0,3.0,2.0,3.0
2020-04-03,112.0,184.0,71.0,3.0,3.0,3.0
2020-04-04,131.0,56.0,60.0,3.0,5.0,3.0
2020-04-05,108.0,57.0,40.0,3.0,8.0,3.0
2020-04-06,107.0,57.0,43.0,3.0,11.0,3.0
2020-04-07,108.0,45.0,36.0,3.0,8.0,3.0
