date,pm25,pm10,o3,no2,so2,co
02-12-2019,,125,16,33,3,11
03-12-2019,179,162,33,31,9,11
04-12-2019,196,123,29,27,5,8
05-12-2019,176,97,29,27,2,9
06-12-2019,160,108,20,34,3,11
07-12-2019,158,109,15,30,4,10
08-12-2019,157,76,21,17,2,4
09-12-2019,127,64,3,27,1,4
10-12-2019,141,84,25,24,5,6
11-12-2019,153,95,24,30,2,8
12-12-2019,161,126,34,30,5,9
13-12-2019,180,160,21,35,6,11
14-12-2019,202,110,31,21,4,6
15-12-2019,171,96,24,26,5,6
16-12-2019,160,104,30,23,8,7
17-12-2019,162,108,28,19,6,6
18-12-2019,167,105,22,18,6,5
19-12-2019,168,123,30,22,4,8
20-12-2019,180,166,27,32,6,12
21-12-2019,211,150,26,26,2,9
22-12-2019,205,151,32,26,4,11
23-12-2019,210,162,29,30,5,12
24-12-2019,214,158,34,43,4,15
25-12-2019,193,143,18,32,8,10
26-12-2019,194,106,33,20,6,8
27-12-2019,175,156,29,27,9,10
28-12-2019,205,130,33,26,7,7
29-12-2019,185,,,,,
31-12-2019,,190,28,36,6,13
01-01-2020,221,157,28,34,6,10
02-01-2020,199,69,17,20,2,5
03-01-2020,125,80,8,22,2,10
04-01-2020,141,113,12,19,2,11
05-01-2020,171,126,27,26,3,12
06-01-2020,179,136,32,21,6,10
07-01-2020,191,159,30,27,3,11
08-01-2020,209,121,14,32,3,10
09-01-2020,177,116,25,26,5,8
10-01-2020,176,122,27,23,5,9
11-01-2020,177,112,28,23,4,7
12-01-2020,174,133,24,34,3,10
13-01-2020,183,228,41,47,6,20
14-01-2020,239,259,41,55,10,21
15-01-2020,253,205,41,48,6,16
16-01-2020,221,144,32,43,5,13
17-01-2020,189,119,31,37,8,8
18-01-2020,173,117,30,25,7,6
19-01-2020,172,103,22,21,8,5
20-01-2020,167,120,33,28,4,8
21-01-2020,173,147,29,41,3,
22-01-2020,191,150,33,34,5,8
23-01-2020,197,123,34,31,5,7
24-01-2020,174,107,36,32,4,7
25-01-2020,165,157,43,36,3,11
26-01-2020,200,146,27,36,6,11
27-01-2020,193,141,40,38,5,11
28-01-2020,196,76,23,19,2,5
29-01-2020,142,88,29,20,2,8
30-01-2020,158,110,34,27,5,11
31-01-2020,169,96,40,30,5,8
01-02-2020,157,115,40,30,4,7
02-02-2020,164,90,34,31,4,7
03-02-2020,148,96,35,40,8,11
04-02-2020,162,113,43,41,7,11
05-02-2020,174,88,45,32,6,9
06-02-2020,130,97,34,33,4,8
07-02-2020,96,123,17,31,8,10
08-02-2020,139,96,29,26,6,6
09-02-2020,137,94,31,35,5,6
10-02-2020,138,113,50,40,7,10
11-02-2020,176,112,42,50,5,14
12-02-2020,171,110,43,51,5,12
13-02-2020,165,109,42,49,7,11
14-02-2020,168,82,47,36,4,9
15-02-2020,140,108,43,38,4,10
16-02-2020,169,101,49,37,8,9
17-02-2020,164,100,45,31,5,8
18-02-2020,165,84,39,23,16,6
19-02-2020,159,68,35,22,13,4
20-02-2020,138,87,53,34,8,8
21-02-2020,156,111,46,38,5,10
22-02-2020,172,101,34,29,3,7
23-02-2020,160,112,31,36,7,11
24-02-2020,166,80,7,27,1,7
25-02-2020,145,60,29,20,3,6
26-02-2020,115,61,27,22,4,6
27-02-2020,111,80,37,25,4,5
28-02-2020,150,80,41,29,4,11
29-02-2020,145,98,45,33,4,9
01-03-2020,163,103,32,34,6,10
02-03-2020,166,75,8,30,2,6
03-03-2020,137,57,27,17,6,4
04-03-2020,114,52,20,20,2,4
05-03-2020,94,57,17,18,2,5
06-03-2020,109,49,16,17,1,5
07-03-2020,95,53,18,18,2,5
08-03-2020,101,66,35,20,2,4
09-03-2020,130,74,41,21,3,5
10-03-2020,145,70,33,17,3,4
11-03-2020,139,77,27,18,4,5
12-03-2020,132,76,36,25,3,6
13-03-2020,151,70,30,13,3,3
14-03-2020,125,47,31,16,5,3
15-03-2020,81,78,39,23,9,6
16-03-2020,147,84,39,26,3,6
17-03-2020,152,99,41,28,5,6
18-03-2020,168,91,54,29,5,6
19-03-2020,172,63,37,20,5,5
20-03-2020,133,61,34,17,5,3
21-03-2020,128,28,27,9,3,2
22-03-2020,74,,,,,
23-03-2020,,47,30,7,4,3
24-03-2020,123,58,31,7,5,3
25-03-2020,150,50,27,7,2,3
26-03-2020,126,63,32,8,4,3
27-03-2020,154,60,33,8,4,3
28-03-2020,144,56,34,6,3,3
29-03-2020,129,57,37,9,2,3
30-03-2020,140,61,38,10,3,3
31-03-2020,142,62,39,6,5,3
01-04-2020,150,52,32,5,3,3
02-04-2020,130,58,37,6,3,4
03-04-2020,130,72,38,8,3,4
04-04-2020,158,60,37,5,2,3
05-04-2020,144,55,29,7,2,3
06-04-2020,115,57,37,5,4,3
07-04-2020,115,46,37,6,2,2
08-04-2020,86,40,46,6,4,2
09-04-2020,74,37,32,3,2,2
10-04-2020,70,38,31,3,2,2
11-04-2020,67,52,24,3,2,2
12-04-2020,84,42,29,2,2,2
13-04-2020,85,45,25,2,1,2
14-04-2020,89,49,27,4,2,2
15-04-2020,86,52,29,6,2,3
16-04-2020,92,39,20,3,3,2
17-04-2020,78,33,25,4,3,2
18-04-2020,65,27,26,3,2,2
19-04-2020,60,28,22,3,3,2
20-04-2020,60,23,21,6,1,2
21-04-2020,53,24,26,5,3,2
22-04-2020,59,23,16,4,2,2
23-04-2020,54,21,21,3,2,2
24-04-2020,51,26,27,3,3,2
25-04-2020,60,25,29,3,2,2
26-04-2020,58,16,18,3,1,2
27-04-2020,49,15,21,4,1,2
28-04-2020,36,31,27,4,2,2
29-04-2020,64,33,26,4,3,2
30-04-2020,58,33,16,3,2,2
01-05-2020,47,35,18,4,1,3
02-05-2020,66,36,14,4,1,2
03-05-2020,70,45,21,4,2,2
04-05-2020,75,40,21,3,2,2
05-05-2020,65,32,30,5,3,2
06-05-2020,57,38,26,4,2,2
07-05-2020,67,36,28,3,2,2
08-05-2020,64,43,32,3,2,2
09-05-2020,69,39,27,3,3,2
10-05-2020,66,43,32,6,2,2
11-05-2020,70,55,41,8,4,3
12-05-2020,90,47,23,3,3,2
13-05-2020,75,39,17,2,3,2
14-05-2020,59,30,16,2,3,2
15-05-2020,48,29,18,2,2,2
16-05-2020,47,30,21,2,2,2
17-05-2020,42,27,12,3,1,2
18-05-2020,39,24,14,3,1,2
19-05-2020,42,24,12,2,1,2
20-05-2020,61,17,1,2,1,2
21-05-2020,32,39,2,3,1,2
22-05-2020,67,54,2,2,1,2
23-05-2020,80,48,3,2,1,2
24-05-2020,69,45,3,2,1,2
25-05-2020,62,47,1,2,1,1
26-05-2020,62,39,2,2,1,1
27-05-2020,60,32,2,4,1,2
28-05-2020,61,40,2,3,1,2
29-05-2020,64,36,3,3,1,2
30-05-2020,59,32,3,3,1,2
31-05-2020,57,37,1,3,1,2
01-06-2020,56,36,2,3,1,2
02-06-2020,53,34,17,3,5,2
03-06-2020,57,38,3,3,1,2
04-06-2020,59,33,8,3,1,2
05-06-2020,45,43,4,3,1,2
06-06-2020,70,48,4,4,1,2
07-06-2020,79,47,4,6,1,3
08-06-2020,77,48,3,4,1,2
09-06-2020,72,39,1,4,1,2
10-06-2020,61,22,1,3,,2
11-06-2020,35,24,1,5,1,3
12-06-2020,44,29,2,4,1,2
13-06-2020,46,28,2,3,1,2
14-06-2020,50,33,2,4,1,2
15-06-2020,60,27,10,5,3,2
16-06-2020,44,39,1,4,,2
17-06-2020,56,40,2,3,1,2
18-06-2020,60,44,2,4,,2
19-06-2020,66,36,1,3,1,2
20-06-2020,51,29,3,2,1,2
21-06-2020,48,39,2,3,,2
22-06-2020,61,43,1,3,,2
23-06-2020,66,45,2,2,,1
24-06-2020,60,,,,,
25-06-2020,,26,6,5,2,2
26-06-2020,41,28,11,6,1,1
27-06-2020,37,30,15,6,1,2
28-06-2020,50,33,17,10,1,3
29-06-2020,59,35,12,7,2,2
30-06-2020,57,32,14,4,3,2
01-07-2020,49,32,15,4,3,1
02-07-2020,44,27,12,5,2,2
