date,pm25,pm10,o3,no2,so2,co
02-12-2019,,110,,32,1,16
03-12-2019,168,88,28,20,6,10
04-12-2019,146,103,8,21,2,10
05-12-2019,156,104,11,24,11,16
06-12-2019,134,84,4,23,3,15
07-12-2019,143,79,7,19,4,11
08-12-2019,123,74,23,18,5,8
09-12-2019,129,82,17,23,2,8
10-12-2019,148,84,18,18,1,7
11-12-2019,149,73,11,16,4,8
12-12-2019,133,92,8,21,4,7
13-12-2019,166,115,8,23,5,11
14-12-2019,182,127,,20,5,15
15-12-2019,182,70,18,22,8,8
16-12-2019,116,79,5,21,3,7
17-12-2019,145,84,8,16,5,6
18-12-2019,146,82,4,16,2,6
19-12-2019,139,103,19,21,3,10
20-12-2019,123,112,4,21,2,12
21-12-2019,124,115,3,18,2,10
22-12-2019,107,118,5,23,2,11
23-12-2019,104,141,4,23,2,17
24-12-2019,96,126,6,26,3,21
25-12-2019,82,111,15,20,4,15
26-12-2019,118,84,8,16,2,7
27-12-2019,118,119,3,18,2,8
28-12-2019,172,101,4,18,2,8
29-12-2019,161,,,,,
31-12-2019,,142,5,25,2,16
01-01-2020,317,118,11,22,2,11
02-01-2020,163,56,6,15,3,6
03-01-2020,100,54,2,12,3,7
04-01-2020,92,90,1,14,3,12
05-01-2020,166,101,10,18,5,14
06-01-2020,164,106,4,19,3,9
07-01-2020,159,113,4,19,4,12
08-01-2020,113,87,5,16,3,9
09-01-2020,126,86,3,18,3,7
10-01-2020,157,87,3,16,3,7
11-01-2020,161,95,5,19,3,9
12-01-2020,161,113,6,21,4,12
13-01-2020,115,158,9,26,4,21
14-01-2020,168,160,15,33,6,22
15-01-2020,202,126,10,26,4,17
16-01-2020,187,109,17,21,6,15
17-01-2020,157,85,11,23,4,9
18-01-2020,106,96,7,20,4,8
19-01-2020,118,82,4,17,3,6
20-01-2020,81,86,6,21,4,10
21-01-2020,89,58,26,24,8,13
22-01-2020,119,75,10,24,4,10
23-01-2020,171,95,5,24,4,10
24-01-2020,289,61,6,24,4,9
25-01-2020,170,54,8,27,4,13
26-01-2020,119,66,20,25,6,12
27-01-2020,121,99,25,20,4,9
28-01-2020,169,60,6,15,3,4
29-01-2020,117,68,2,16,3,7
30-01-2020,135,93,17,20,6,11
31-01-2020,147,83,6,23,4,9
01-02-2020,140,93,7,24,4,11
02-02-2020,148,89,19,23,6,9
03-02-2020,132,100,7,26,4,10
04-02-2020,159,103,23,20,7,9
05-02-2020,161,97,16,23,4,8
06-02-2020,161,98,15,22,5,7
07-02-2020,154,126,2,23,4,8
08-02-2020,174,108,8,21,4,8
09-02-2020,167,107,19,24,6,11
10-02-2020,153,137,25,28,5,15
11-02-2020,174,129,21,30,6,19
12-02-2020,169,114,10,28,3,13
13-02-2020,170,101,21,24,4,11
14-02-2020,154,94,11,25,3,10
15-02-2020,147,115,16,27,3,11
16-02-2020,167,110,29,23,5,9
17-02-2020,159,88,12,18,3,6
18-02-2020,160,73,25,11,7,4
19-02-2020,153,63,15,10,4,3
20-02-2020,135,105,23,23,5,11
21-02-2020,146,111,14,27,3,11
22-02-2020,170,104,13,22,3,8
23-02-2020,162,107,11,20,4,9
24-02-2020,163,80,5,15,2,6
25-02-2020,136,58,17,14,4,5
26-02-2020,90,66,19,19,4,6
27-02-2020,108,88,10,18,2,6
28-02-2020,150,94,20,23,5,14
29-02-2020,154,106,19,23,3,13
01-03-2020,167,99,21,18,4,10
02-03-2020,157,74,6,11,2,5
03-03-2020,150,58,22,8,5,5
04-03-2020,118,51,16,10,2,5
05-03-2020,94,53,12,8,4,5
06-03-2020,93,46,11,9,2,5
07-03-2020,99,57,11,11,2,8
08-03-2020,99,77,14,13,2,9
09-03-2020,133,86,18,15,3,8
10-03-2020,147,71,32,10,6,5
11-03-2020,127,70,16,9,3,5
12-03-2020,131,67,36,13,7,7
13-03-2020,119,72,8,8,2,5
14-03-2020,111,48,13,11,2,4
15-03-2020,65,75,34,15,6,8
16-03-2020,123,86,27,13,3,7
17-03-2020,139,93,32,12,5,8
18-03-2020,151,99,27,15,4,7
19-03-2020,170,63,20,13,3,6
20-03-2020,116,55,35,9,6,5
21-03-2020,97,29,17,6,2,3
22-03-2020,57,50,24,7,3,4
23-03-2020,95,47,17,5,3,4
24-03-2020,100,60,20,5,4,4
25-03-2020,149,68,20,6,2,4
26-03-2020,129,64,25,5,5,4
27-03-2020,134,60,28,5,5,4
28-03-2020,125,54,27,5,4,4
29-03-2020,114,62,30,5,4,4
30-03-2020,117,61,24,7,3,4
31-03-2020,116,60,32,4,6,4
01-04-2020,134,53,27,4,3,4
02-04-2020,122,60,31,6,3,5
03-04-2020,119,73,39,4,4,4
04-04-2020,150,59,29,4,4,4
05-04-2020,119,56,24,6,4,4
06-04-2020,99,62,34,4,4,3
07-04-2020,101,47,34,3,3,3
08-04-2020,71,42,40,4,4,3
09-04-2020,64,37,30,3,3,3
10-04-2020,61,41,31,3,3,3
11-04-2020,55,53,22,3,2,3
12-04-2020,65,46,31,3,3,3
13-04-2020,71,50,25,2,2,3
14-04-2020,79,51,24,3,3,3
15-04-2020,71,51,27,3,2,3
16-04-2020,74,44,21,3,3,3
17-04-2020,64,34,22,3,3,3
18-04-2020,53,29,30,3,2,3
19-04-2020,43,34,13,2,2,3
20-04-2020,53,23,8,4,2,3
21-04-2020,45,28,19,3,3,3
22-04-2020,54,27,15,3,2,3
23-04-2020,42,21,13,3,2,3
24-04-2020,37,27,25,3,3,3
25-04-2020,51,26,18,3,2,3
26-04-2020,52,20,12,3,2,3
27-04-2020,40,17,9,3,2,3
28-04-2020,27,28,19,4,2,3
29-04-2020,57,25,20,3,3,3
30-04-2020,48,22,19,3,2,3
01-05-2020,37,31,17,4,2,4
02-05-2020,63,33,29,4,2,4
03-05-2020,57,41,19,4,2,3
04-05-2020,72,31,22,3,2,3
05-05-2020,53,23,24,3,3,3
06-05-2020,39,32,25,3,3,3
07-05-2020,54,29,30,3,3,3
08-05-2020,54,37,36,3,3,3
09-05-2020,61,37,27,3,3,3
10-05-2020,58,31,36,4,3,4
11-05-2020,55,44,44,4,6,4
12-05-2020,72,45,23,3,5,3
13-05-2020,67,32,19,2,3,2
14-05-2020,53,24,17,3,3,2
