date,pm25,pm10,o3,no2,so2,co
2018-01-19,,202.0,31.0,21.0,5.0,12.0
2018-01-20,241.0,302.0,,26.0,3.0,20.0
2018-01-21,314.0,153.0,,20.0,3.0,12.0
2018-01-22,233.0,227.0,,24.0,6.0,17.0
2018-01-23,266.0,163.0,,19.0,7.0,12.0
2018-01-24,220.0,123.0,,18.0,7.0,9.0
2018-01-25,184.0,150.0,,21.0,4.0,12.0
2018-01-26,207.0,135.0,,21.0,4.0,10.0
2018-01-27,198.0,146.0,,24.0,4.0,12.0
2018-01-28,210.0,144.0,,18.0,4.0,10.0
2018-01-29,214.0,123.0,,16.0,2.0,8.0
2018-01-30,177.0,129.0,,14.0,5.0,8.0
2018-01-31,181.0,200.0,,18.0,2.0,14.0
2018-02-01,251.0,207.0,,18.0,3.0,15.0
2018-02-02,255.0,238.0,,23.0,6.0,16.0
2018-02-03,258.0,91.0,,12.0,4.0,5.0
2018-02-04,163.0,95.0,,12.0,4.0,5.0
2018-02-05,153.0,,,,,
2018-02-07,,139.0,,13.0,5.0,7.0
2018-02-08,169.0,123.0,,12.0,9.0,8.0
2018-02-09,184.0,111.0,,13.0,14.0,8.0
2018-02-10,175.0,181.0,,,12.0,9.0
2018-02-11,187.0,95.0,,7.0,8.0,11.0
2018-02-12,189.0,127.0,,14.0,16.0,8.0
2018-02-13,187.0,118.0,,12.0,10.0,9.0
2018-02-14,176.0,121.0,,13.0,11.0,8.0
2018-02-15,179.0,123.0,,15.0,10.0,8.0
2018-02-16,179.0,165.0,,15.0,7.0,11.0
2018-02-17,206.0,149.0,,11.0,9.0,9.0
2018-02-18,197.0,104.0,30.0,6.0,9.0,6.0
2018-02-19,167.0,100.0,36.0,9.0,14.0,5.0
2018-02-20,161.0,111.0,41.0,8.0,11.0,5.0
2018-02-21,172.0,137.0,35.0,10.0,8.0,7.0
2018-02-22,181.0,137.0,40.0,10.0,1.0,8.0
2018-02-23,186.0,109.0,56.0,10.0,1.0,6.0
2018-02-24,169.0,103.0,59.0,10.0,1.0,6.0
2018-02-25,163.0,105.0,47.0,10.0,,5.0
2018-02-26,159.0,105.0,42.0,8.0,,5.0
2018-02-27,170.0,122.0,46.0,8.0,,7.0
2018-02-28,187.0,123.0,55.0,8.0,,8.0
2018-03-01,187.0,108.0,48.0,7.0,2.0,7.0
2018-03-02,178.0,86.0,50.0,6.0,,5.0
2018-03-03,154.0,101.0,58.0,7.0,,6.0
2018-03-04,162.0,92.0,41.0,6.0,,4.0
2018-03-05,156.0,91.0,49.0,8.0,,5.0
2018-03-06,156.0,94.0,50.0,9.0,,6.0
2018-03-07,148.0,131.0,60.0,11.0,1.0,10.0
2018-03-08,179.0,144.0,59.0,11.0,2.0,10.0
2018-03-09,189.0,117.0,53.0,10.0,,8.0
2018-03-10,172.0,118.0,58.0,10.0,,8.0
2018-03-11,169.0,82.0,46.0,7.0,,5.0
2018-03-12,151.0,90.0,45.0,7.0,,6.0
2018-03-13,148.0,138.0,36.0,10.0,4.0,9.0
2018-03-14,191.0,101.0,51.0,6.0,1.0,5.0
2018-03-15,161.0,75.0,38.0,6.0,,5.0
2018-03-16,152.0,79.0,53.0,6.0,2.0,5.0
2018-03-17,150.0,108.0,61.0,7.0,,6.0
2018-03-18,164.0,111.0,55.0,8.0,,7.0
2018-03-19,172.0,124.0,48.0,8.0,,8.0
2018-03-20,179.0,101.0,61.0,6.0,,7.0
2018-03-21,162.0,82.0,40.0,5.0,,4.0
2018-03-22,156.0,76.0,27.0,4.0,,4.0
2018-03-23,150.0,76.0,32.0,4.0,,4.0
2018-03-24,146.0,77.0,29.0,4.0,,4.0
2018-03-25,144.0,81.0,28.0,4.0,,5.0
2018-03-26,145.0,87.0,39.0,4.0,2.0,4.0
2018-03-27,151.0,86.0,36.0,4.0,,4.0
2018-03-28,154.0,69.0,24.0,4.0,,3.0
2018-03-29,123.0,61.0,23.0,3.0,,3.0
2018-03-30,96.0,66.0,30.0,4.0,,6.0
2018-03-31,95.0,74.0,36.0,5.0,,5.0
2018-04-01,133.0,58.0,40.0,7.0,,5.0
2018-04-02,107.0,77.0,41.0,7.0,1.0,4.0
2018-04-03,154.0,66.0,38.0,5.0,1.0,4.0
2018-04-04,130.0,58.0,43.0,5.0,1.0,4.0
2018-04-05,105.0,64.0,28.0,5.0,1.0,6.0
2018-04-06,128.0,66.0,28.0,4.0,,4.0
2018-04-07,110.0,53.0,63.0,5.0,,3.0
2018-04-08,115.0,60.0,39.0,5.0,1.0,3.0
2018-04-09,117.0,56.0,27.0,5.0,2.0,3.0
2018-04-10,110.0,61.0,3.0,4.0,1.0,4.0
2018-04-11,145.0,55.0,28.0,5.0,1.0,4.0
2018-04-12,111.0,56.0,38.0,5.0,1.0,4.0
2018-04-13,99.0,53.0,43.0,4.0,1.0,3.0
2018-04-14,96.0,60.0,60.0,5.0,1.0,3.0
2018-04-15,124.0,62.0,48.0,5.0,2.0,3.0
2018-04-16,107.0,61.0,35.0,5.0,1.0,4.0
2018-04-17,106.0,44.0,16.0,5.0,1.0,2.0
2018-04-18,86.0,,,,,
2018-04-25,,59.0,18.0,3.0,1.0,2.0
2018-04-26,94.0,60.0,49.0,3.0,,2.0
2018-04-27,109.0,,,,,
2018-04-29,,46.0,30.0,5.0,,4.0
2018-04-30,78.0,,,,,
2018-05-01,,51.0,32.0,5.0,,3.0
2018-05-02,86.0,57.0,39.0,4.0,,3.0
2018-05-03,108.0,58.0,31.0,3.0,1.0,4.0
2018-05-04,99.0,56.0,22.0,2.0,2.0,4.0
2018-05-05,83.0,57.0,16.0,2.0,1.0,3.0
2018-05-06,81.0,53.0,17.0,1.0,,2.0
2018-05-07,80.0,64.0,22.0,2.0,1.0,2.0
2018-05-08,83.0,64.0,22.0,1.0,,2.0
2018-05-09,94.0,56.0,27.0,2.0,,4.0
2018-05-10,105.0,50.0,32.0,1.0,,4.0
2018-05-11,74.0,52.0,35.0,2.0,,4.0
2018-05-12,90.0,45.0,17.0,1.0,1.0,2.0
2018-05-13,73.0,61.0,19.0,3.0,1.0,4.0
2018-05-14,140.0,73.0,33.0,3.0,1.0,5.0
2018-05-15,123.0,54.0,27.0,2.0,,4.0
2018-05-16,96.0,61.0,36.0,4.0,3.0,5.0
2018-05-17,115.0,55.0,18.0,2.0,1.0,3.0
2018-05-18,86.0,61.0,42.0,3.0,1.0,4.0
2018-05-19,130.0,65.0,15.0,2.0,1.0,3.0
2018-05-20,103.0,63.0,28.0,3.0,1.0,3.0
2018-05-21,114.0,59.0,14.0,2.0,,3.0
2018-05-22,91.0,48.0,22.0,2.0,2.0,3.0
2018-05-23,73.0,50.0,14.0,2.0,,2.0
2018-05-24,72.0,39.0,7.0,2.0,1.0,2.0
2018-05-25,67.0,45.0,15.0,1.0,,2.0
2018-05-26,58.0,36.0,16.0,1.0,,2.0
2018-05-27,51.0,31.0,13.0,1.0,,3.0
2018-05-28,61.0,30.0,11.0,1.0,,3.0
2018-05-29,53.0,57.0,20.0,1.0,1.0,2.0
