date,pm25,pm10,o3,no2,so2,co
27-08-2016,,,3,9,2,4
28-08-2016,,18,3,9,2,4
29-08-2016,,14,3,10,2,4
30-08-2016,,18,43,16,11,4
31-08-2016,,36,44,14,11,4
01-09-2016,,36,8,8,2,4
02-09-2016,,31,4,17,2,4
03-09-2016,,30,5,12,2,3
04-09-2016,,35,4,12,2,5
05-09-2016,,22,3,11,2,4
06-09-2016,,24,3,10,2,5
07-09-2016,,33,4,12,1,4
08-09-2016,,35,4,12,4,4
09-09-2016,,28,3,11,2,3
10-09-2016,,34,3,9,2,3
11-09-2016,,23,2,9,2,4
12-09-2016,,6,3,8,2,3
13-09-2016,,5,3,8,2,4
14-09-2016,,7,3,8,2,4
15-09-2016,,8,4,11,2,4
16-09-2016,,11,2,10,3,3
17-09-2016,,46,4,9,3,4
18-09-2016,,17,4,9,3,3
19-09-2016,,34,4,7,2,4
20-09-2016,,27,2,7,2,4
21-09-2016,,8,3,9,2,4
22-09-2016,,8,2,8,2,5
23-09-2016,,8,3,8,3,5
24-09-2016,,6,3,8,4,4
25-09-2016,,7,3,10,2,5
26-09-2016,,6,3,12,2,4
27-09-2016,,16,1,12,2,5
28-09-2016,,39,1,11,2,5
29-09-2016,,30,2,9,2,5
30-09-2016,,19,2,9,2,5
01-10-2016,,18,3,8,2,5
02-10-2016,,14,6,13,2,6
03-10-2016,,30,7,15,2,5
04-10-2016,,49,5,16,2,4
05-10-2016,,40,4,12,2,6
06-10-2016,,35,2,10,2,5
07-10-2016,,16,3,10,2,5
08-10-2016,,18,2,12,2,6
09-10-2016,,21,4,9,2,6
10-10-2016,,14,4,10,2,6
11-10-2016,,13,6,12,2,7
12-10-2016,,50,8,19,2,7
13-10-2016,,70,8,26,2,6
14-10-2016,,79,8,20,2,5
15-10-2016,,68,10,18,2,8
16-10-2016,,64,8,20,2,13
17-10-2016,,60,10,20,3,12
18-10-2016,,68,8,22,2,3
19-10-2016,,67,11,21,2,8
20-10-2016,,98,12,23,2,9
21-10-2016,,,10,25,2,15
22-10-2016,,76,10,23,2,11
23-10-2016,,,10,23,2,8
24-10-2016,,,11,22,2,8
25-10-2016,,,7,23,2,11
26-10-2016,,62,5,12,2,3
27-10-2016,,37,3,14,2,8
28-10-2016,,41,6,11,2,8
29-10-2016,,38,4,13,3,9
30-10-2016,,65,3,10,2,15
31-10-2016,,59,5,12,3,18
01-11-2016,,59,8,16,2,4
02-11-2016,,57,5,15,2,
03-11-2016,,42,1,16,2,
04-11-2016,,46,1,9,3,
05-11-2016,,14,2,9,2,
06-11-2016,,35,3,11,2,8
07-11-2016,,62,4,17,3,16
08-11-2016,,82,6,16,3,16
09-11-2016,,98,7,20,2,13
10-11-2016,,107,6,21,2,14
11-11-2016,,96,6,19,3,15
12-11-2016,,85,7,17,5,15
13-11-2016,,72,7,15,3,18
14-11-2016,,83,4,18,2,18
15-11-2016,,94,4,20,2,12
16-11-2016,,85,4,20,2,12
17-11-2016,,81,3,21,2,13
18-11-2016,,87,4,24,3,15
19-11-2016,,112,4,25,2,22
20-11-2016,,163,2,21,3,25
21-11-2016,,127,3,17,2,21
22-11-2016,,121,9,18,2,23
23-11-2016,,122,20,19,3,28
24-11-2016,,122,21,18,3,22
