date,pm25,pm10,o3,no2,so2,co
2021-12-27,,105.0,7.0,10.0,4.0,10.0
2021-12-28,188.0,71.0,4.0,6.0,4.0,6.0
2021-12-29,128.0,44.0,7.0,6.0,4.0,8.0
2021-12-30,103.0,54.0,4.0,5.0,4.0,5.0
2021-12-31,94.0,100.0,7.0,8.0,4.0,5.0
2022-01-01,163.0,,8.0,10.0,4.0,8.0
2022-01-02,181.0,154.0,8.0,10.0,4.0,9.0
2022-01-03,177.0,174.0,9.0,11.0,4.0,13.0
2022-01-04,234.0,112.0,6.0,8.0,4.0,15.0
2022-01-05,193.0,63.0,3.0,6.0,4.0,9.0
2022-01-06,155.0,49.0,8.0,6.0,3.0,6.0
2022-01-07,126.0,33.0,1.0,5.0,4.0,3.0
2022-01-08,91.0,38.0,3.0,4.0,4.0,2.0
2022-01-09,101.0,49.0,1.0,4.0,4.0,5.0
2022-01-10,114.0,52.0,3.0,4.0,4.0,2.0
2022-01-11,113.0,63.0,2.0,5.0,4.0,3.0
2022-01-12,129.0,82.0,7.0,6.0,4.0,6.0
2022-01-13,144.0,74.0,9.0,5.0,4.0,7.0
2022-01-14,150.0,72.0,4.0,4.0,4.0,4.0
2022-01-15,158.0,77.0,7.0,5.0,4.0,7.0
2022-01-16,156.0,71.0,3.0,4.0,4.0,5.0
2022-01-17,156.0,77.0,3.0,5.0,4.0,6.0
2022-01-18,153.0,90.0,5.0,4.0,4.0,6.0
2022-01-19,168.0,132.0,27.0,9.0,6.0,14.0
2022-01-20,192.0,109.0,9.0,8.0,6.0,15.0
2022-01-21,175.0,77.0,6.0,7.0,5.0,9.0
2022-01-22,159.0,77.0,5.0,5.0,6.0,7.0
2022-01-23,159.0,75.0,2.0,4.0,5.0,6.0
2022-01-24,148.0,63.0,5.0,5.0,5.0,3.0
2022-01-25,118.0,69.0,4.0,5.0,5.0,4.0
2022-01-26,135.0,80.0,10.0,6.0,5.0,6.0
2022-01-27,157.0,73.0,10.0,7.0,5.0,6.0
2022-01-28,138.0,85.0,16.0,9.0,6.0,6.0
2022-01-29,151.0,76.0,6.0,8.0,5.0,4.0
2022-01-30,144.0,81.0,9.0,6.0,6.0,8.0
2022-01-31,167.0,80.0,4.0,6.0,6.0,10.0
2022-02-01,157.0,85.0,6.0,6.0,5.0,8.0
2022-02-02,165.0,83.0,7.0,4.0,7.0,6.0
2022-02-03,164.0,42.0,1.0,4.0,5.0,2.0
2022-02-04,106.0,52.0,7.0,5.0,5.0,5.0
2022-02-05,117.0,68.0,,6.0,6.0,8.0
2022-02-06,132.0,104.0,,9.0,6.0,13.0
2022-02-07,154.0,70.0,,7.0,6.0,7.0
2022-02-08,156.0,65.0,12.0,5.0,5.0,5.0
2022-02-09,148.0,46.0,4.0,5.0,5.0,2.0
2022-02-10,95.0,64.0,11.0,6.0,6.0,2.0
2022-02-11,109.0,65.0,5.0,8.0,6.0,2.0
2022-02-12,107.0,83.0,3.0,10.0,6.0,6.0
2022-02-13,136.0,106.0,,12.0,7.0,10.0
2022-02-14,161.0,103.0,,12.0,7.0,12.0
2022-02-15,157.0,81.0,7.0,9.0,6.0,4.0
2022-02-16,136.0,78.0,10.0,10.0,6.0,5.0
2022-02-17,129.0,70.0,8.0,10.0,5.0,4.0
2022-02-18,122.0,61.0,9.0,8.0,5.0,3.0
2022-02-19,95.0,59.0,12.0,6.0,5.0,1.0
2022-02-20,97.0,65.0,14.0,9.0,6.0,2.0
2022-02-21,108.0,75.0,,9.0,7.0,5.0
2022-02-22,126.0,65.0,,5.0,6.0,2.0
2022-02-23,128.0,64.0,17.0,6.0,8.0,3.0
2022-02-24,130.0,74.0,,8.0,7.0,5.0
2022-02-25,133.0,63.0,1.0,7.0,5.0,4.0
2022-02-26,112.0,45.0,1.0,5.0,7.0,1.0
2022-02-27,76.0,55.0,1.0,5.0,6.0,1.0
2022-02-28,88.0,74.0,1.0,9.0,6.0,2.0
2022-03-01,128.0,90.0,1.0,11.0,8.0,4.0
2022-03-02,145.0,98.0,2.0,11.0,7.0,4.0
2022-03-03,158.0,82.0,1.0,10.0,7.0,4.0
2022-03-04,130.0,66.0,19.0,4.0,6.0,1.0
2022-03-05,126.0,75.0,1.0,9.0,6.0,2.0
2022-03-06,132.0,79.0,2.0,10.0,8.0,6.0
2022-03-07,137.0,82.0,2.0,9.0,7.0,4.0
2022-03-08,145.0,80.0,2.0,7.0,6.0,3.0
2022-03-09,132.0,77.0,1.0,7.0,9.0,2.0
2022-03-10,119.0,81.0,1.0,7.0,7.0,2.0
2022-03-11,113.0,76.0,2.0,7.0,7.0,2.0
2022-03-12,130.0,88.0,18.0,9.0,6.0,3.0
2022-03-13,132.0,104.0,7.0,9.0,5.0,4.0
2022-03-14,144.0,140.0,22.0,10.0,6.0,6.0
2022-03-15,170.0,121.0,12.0,10.0,5.0,6.0
2022-03-16,159.0,106.0,2.0,8.0,5.0,6.0
2022-03-17,151.0,95.0,4.0,5.0,5.0,6.0
2022-03-18,140.0,95.0,12.0,6.0,6.0,7.0
2022-03-19,143.0,93.0,10.0,8.0,5.0,6.0
2022-03-20,136.0,99.0,9.0,6.0,5.0,4.0
2022-03-21,116.0,106.0,13.0,7.0,6.0,1.0
2022-03-22,107.0,97.0,12.0,8.0,6.0,2.0
2022-03-23,109.0,111.0,11.0,11.0,6.0,3.0
2022-03-24,126.0,107.0,12.0,9.0,6.0,3.0
2022-03-25,118.0,113.0,17.0,8.0,6.0,1.0
2022-03-26,92.0,102.0,18.0,7.0,6.0,1.0
2022-03-27,93.0,111.0,14.0,11.0,6.0,3.0
2022-03-28,114.0,111.0,12.0,10.0,6.0,4.0
2022-03-29,110.0,127.0,9.0,10.0,6.0,7.0
2022-03-30,145.0,118.0,15.0,7.0,6.0,6.0
2022-03-31,148.0,110.0,15.0,5.0,5.0,6.0
2022-04-01,134.0,117.0,9.0,12.0,6.0,5.0
2022-04-02,123.0,119.0,14.0,13.0,6.0,7.0
2022-04-03,126.0,107.0,18.0,10.0,7.0,3.0
2022-04-04,98.0,108.0,16.0,10.0,7.0,3.0
2022-04-05,98.0,102.0,8.0,11.0,7.0,4.0
2022-04-06,101.0,113.0,2.0,11.0,7.0,7.0
2022-04-07,113.0,116.0,1.0,13.0,7.0,7.0
2022-04-08,121.0,126.0,1.0,13.0,7.0,10.0
2022-04-09,141.0,123.0,2.0,11.0,6.0,9.0
2022-04-10,147.0,120.0,6.0,9.0,7.0,8.0
2022-04-11,138.0,111.0,2.0,6.0,7.0,6.0
2022-04-12,134.0,105.0,1.0,8.0,6.0,6.0
2022-04-13,119.0,115.0,2.0,7.0,7.0,5.0
2022-04-14,105.0,111.0,1.0,8.0,7.0,4.0
2022-04-15,90.0,134.0,,6.0,7.0,3.0
2022-04-16,85.0,104.0,1.0,10.0,7.0,7.0
2022-04-17,103.0,121.0,,12.0,7.0,8.0
2022-04-18,113.0,147.0,3.0,15.0,8.0,10.0
2022-04-19,142.0,130.0,2.0,9.0,8.0,5.0
2022-04-20,109.0,114.0,1.0,5.0,8.0,3.0
2022-04-21,87.0,142.0,,5.0,7.0,3.0
2022-04-22,99.0,109.0,1.0,8.0,8.0,3.0
2022-04-23,90.0,170.0,6.0,8.0,8.0,3.0
2022-04-24,98.0,106.0,16.0,8.0,9.0,2.0
2022-04-25,87.0,156.0,17.0,10.0,8.0,4.0
2022-04-26,120.0,93.0,21.0,11.0,8.0,5.0
2022-04-27,133.0,99.0,17.0,13.0,9.0,9.0
2022-04-28,152.0,97.0,27.0,10.0,8.0,7.0
2022-04-29,148.0,106.0,7.0,7.0,8.0,8.0
2022-04-30,157.0,70.0,3.0,5.0,8.0,3.0
2022-05-01,105.0,64.0,3.0,4.0,8.0,4.0
2022-05-02,113.0,65.0,6.0,4.0,8.0,3.0
2022-05-03,95.0,81.0,5.0,4.0,8.0,4.0
2022-05-04,103.0,57.0,19.0,5.0,8.0,2.0
2022-05-05,88.0,75.0,18.0,7.0,8.0,3.0
2022-05-06,111.0,65.0,8.0,5.0,8.0,4.0
2022-05-07,110.0,58.0,3.0,4.0,8.0,4.0
2022-05-08,99.0,69.0,5.0,4.0,8.0,3.0
2022-05-09,108.0,79.0,6.0,4.0,8.0,4.0
2022-05-10,106.0,59.0,7.0,5.0,8.0,4.0
2022-05-11,91.0,64.0,5.0,4.0,8.0,4.0
2022-05-12,94.0,66.0,9.0,5.0,8.0,5.0
2022-05-13,108.0,80.0,16.0,5.0,9.0,6.0
2022-05-14,137.0,72.0,12.0,4.0,9.0,5.0
2022-05-15,113.0,105.0,14.0,6.0,9.0,6.0
2022-05-16,146.0,108.0,18.0,6.0,9.0,5.0
2022-05-17,123.0,100.0,11.0,4.0,9.0,5.0
2022-05-18,121.0,120.0,20.0,6.0,9.0,4.0
2022-05-19,129.0,110.0,8.0,6.0,9.0,6.0
2022-05-20,,93.0,18.0,5.0,9.0,3.0
2022-05-21,106.0,103.0,7.0,3.0,9.0,2.0
2022-05-22,75.0,138.0,13.0,3.0,9.0,1.0
2022-05-23,56.0,47.0,2.0,5.0,9.0,4.0
2022-05-24,81.0,62.0,10.0,5.0,9.0,5.0
2022-05-25,93.0,71.0,8.0,6.0,9.0,4.0
2022-05-26,90.0,70.0,12.0,5.0,9.0,4.0
2022-05-27,103.0,69.0,11.0,5.0,9.0,3.0
2022-05-28,93.0,76.0,2.0,4.0,9.0,4.0
2022-05-29,115.0,69.0,7.0,4.0,9.0,4.0
2022-05-30,108.0,88.0,8.0,5.0,10.0,5.0
2022-05-31,128.0,100.0,20.0,5.0,10.0,4.0
2022-06-01,128.0,91.0,18.0,5.0,10.0,4.0
2022-06-02,121.0,103.0,15.0,9.0,10.0,7.0
2022-06-03,130.0,97.0,19.0,10.0,10.0,8.0
2022-06-04,122.0,94.0,15.0,9.0,10.0,6.0
2022-06-05,124.0,100.0,15.0,8.0,10.0,6.0
2022-06-06,131.0,100.0,14.0,6.0,11.0,6.0
2022-06-07,128.0,157.0,22.0,6.0,11.0,5.0
2022-06-08,151.0,141.0,15.0,8.0,11.0,5.0
2022-06-09,123.0,87.0,12.0,5.0,11.0,6.0
2022-06-10,116.0,103.0,3.0,11.0,11.0,7.0
2022-06-11,154.0,,,,,
2022-06-12,,101.0,18.0,6.0,11.0,8.0
2022-06-13,145.0,108.0,20.0,4.0,11.0,2.0
2022-06-14,94.0,95.0,17.0,4.0,11.0,2.0
2022-06-15,87.0,62.0,7.0,3.0,11.0,1.0
2022-06-16,63.0,47.0,9.0,3.0,11.0,2.0
2022-06-17,65.0,61.0,12.0,3.0,11.0,2.0
2022-06-18,72.0,55.0,11.0,3.0,11.0,2.0
2022-06-19,73.0,43.0,8.0,2.0,11.0,1.0
2022-06-20,59.0,45.0,4.0,3.0,11.0,1.0
2022-06-21,61.0,53.0,6.0,3.0,11.0,3.0
2022-06-22,86.0,62.0,4.0,5.0,11.0,3.0
2022-06-23,98.0,71.0,12.0,4.0,11.0,3.0
2022-06-24,104.0,56.0,3.0,3.0,11.0,3.0
2022-06-25,99.0,53.0,3.0,2.0,11.0,3.0
2022-06-26,84.0,51.0,3.0,3.0,11.0,3.0
2022-06-27,93.0,54.0,5.0,3.0,11.0,3.0
2022-06-28,100.0,34.0,,3.0,11.0,2.0
2022-06-29,67.0,13.0,,3.0,11.0,2.0
2022-06-30,38.0,29.0,4.0,3.0,11.0,2.0
2022-07-01,60.0,45.0,1.0,4.0,10.0,3.0
2022-07-02,64.0,31.0,1.0,3.0,11.0,3.0
2022-07-03,65.0,34.0,2.0,3.0,11.0,3.0
2022-07-04,62.0,44.0,2.0,3.0,11.0,2.0
2022-07-05,79.0,45.0,3.0,3.0,11.0,2.0
2022-07-06,73.0,35.0,3.0,2.0,11.0,2.0
2022-07-07,53.0,46.0,7.0,2.0,11.0,2.0
2022-07-08,68.0,53.0,2.0,3.0,11.0,4.0
2022-07-09,80.0,,,,,
2022-07-11,,52.0,7.0,2.0,11.0,3.0
2022-07-12,63.0,58.0,5.0,2.0,11.0,3.0
2022-07-13,55.0,57.0,4.0,2.0,11.0,3.0
2022-07-14,52.0,35.0,7.0,2.0,11.0,3.0
2022-07-15,38.0,35.0,4.0,3.0,11.0,4.0
2022-07-16,56.0,43.0,4.0,3.0,11.0,4.0
