date,pm25,pm10,o3,no2,so2,co
2019-12-03,,,18.0,17.0,5.0,6.0
2019-12-04,203.0,,18.0,38.0,10.0,4.0
2019-12-05,246.0,,18.0,61.0,10.0,4.0
2019-12-06,249.0,,13.0,35.0,9.0,4.0
2019-12-07,211.0,,13.0,35.0,7.0,4.0
2019-12-08,183.0,,13.0,32.0,6.0,4.0
2019-12-09,197.0,,13.0,30.0,7.0,4.0
2019-12-10,202.0,,12.0,35.0,17.0,4.0
2019-12-11,202.0,,16.0,39.0,19.0,
2019-12-12,197.0,,13.0,22.0,13.0,
2019-12-13,142.0,,10.0,8.0,10.0,
2019-12-14,96.0,,16.0,7.0,11.0,
2019-12-15,129.0,,17.0,16.0,13.0,
2019-12-16,138.0,,16.0,15.0,11.0,
2019-12-17,149.0,,13.0,14.0,10.0,
2019-12-18,157.0,,11.0,16.0,10.0,
2019-12-19,299.0,,11.0,14.0,10.0,
2019-12-20,283.0,,7.0,35.0,16.0,
2019-12-21,279.0,,16.0,28.0,12.0,
2019-12-22,218.0,,12.0,20.0,10.0,
2019-12-23,202.0,,8.0,16.0,10.0,
2019-12-24,180.0,,7.0,17.0,9.0,
2019-12-25,164.0,,9.0,19.0,9.0,
2019-12-26,171.0,,6.0,14.0,7.0,
2019-12-27,195.0,,9.0,20.0,9.0,
2019-12-28,202.0,,8.0,20.0,9.0,
2019-12-29,184.0,,9.0,16.0,8.0,
2019-12-31,,,10.0,24.0,7.0,
2020-01-01,211.0,,13.0,19.0,7.0,
2020-01-02,196.0,,7.0,13.0,6.0,
2020-01-03,187.0,,9.0,17.0,7.0,
2020-01-04,140.0,,10.0,19.0,8.0,
2020-01-05,164.0,,9.0,19.0,7.0,
2020-01-06,162.0,,9.0,20.0,9.0,
2020-01-07,203.0,,7.0,15.0,8.0,
2020-01-08,187.0,,6.0,14.0,9.0,
2020-01-09,158.0,,8.0,13.0,9.0,
2020-01-10,155.0,,11.0,19.0,11.0,
2020-01-11,195.0,,13.0,22.0,10.0,
2020-01-12,233.0,,4.0,13.0,7.0,
2020-01-13,195.0,,10.0,21.0,9.0,
2020-01-14,195.0,,2.0,25.0,10.0,
2020-01-15,207.0,,7.0,8.0,5.0,
2020-01-16,100.0,,8.0,11.0,8.0,
2020-01-17,123.0,,5.0,14.0,8.0,
2020-01-18,135.0,,7.0,16.0,8.0,
2020-01-19,128.0,,8.0,15.0,8.0,
2020-01-20,164.0,,2.0,22.0,11.0,
2020-01-21,182.0,,5.0,26.0,11.0,
2020-01-22,181.0,,15.0,20.0,10.0,
2020-01-23,134.0,,24.0,23.0,10.0,
2020-01-24,142.0,,34.0,34.0,10.0,
2020-01-25,191.0,,22.0,34.0,10.0,
2020-01-26,212.0,,32.0,43.0,10.0,
2020-01-27,185.0,,30.0,24.0,8.0,
2020-01-28,192.0,,26.0,20.0,8.0,
2020-01-29,171.0,,20.0,27.0,9.0,
2020-01-30,96.0,,23.0,31.0,13.0,
2020-01-31,131.0,,23.0,32.0,9.0,
2020-02-01,147.0,,22.0,28.0,9.0,
2020-02-02,157.0,,24.0,39.0,10.0,
2020-02-03,188.0,,35.0,35.0,11.0,
2020-02-04,179.0,,23.0,21.0,7.0,
2020-02-05,139.0,,27.0,19.0,8.0,
2020-02-06,132.0,,29.0,19.0,7.0,
2020-02-07,139.0,,25.0,23.0,9.0,
2020-02-08,148.0,,33.0,23.0,8.0,
2020-02-09,160.0,,34.0,23.0,8.0,
2020-02-10,156.0,,34.0,26.0,9.0,
2020-02-11,154.0,,30.0,25.0,8.0,
2020-02-12,163.0,,19.0,27.0,7.0,
2020-02-13,142.0,,19.0,20.0,5.0,
2020-02-14,104.0,,22.0,24.0,7.0,
2020-02-15,95.0,,33.0,28.0,7.0,
2020-02-16,146.0,,32.0,26.0,5.0,
2020-02-17,174.0,,36.0,25.0,7.0,
2020-02-18,145.0,,44.0,25.0,8.0,
2020-02-19,173.0,,38.0,10.0,5.0,
2020-02-20,141.0,,31.0,7.0,5.0,
2020-02-21,138.0,,25.0,9.0,5.0,
2020-02-22,90.0,,,,,
2020-02-23,,,60.0,12.0,7.0,
2020-02-24,148.0,,42.0,9.0,4.0,
2020-02-25,75.0,,42.0,10.0,5.0,
2020-02-26,91.0,,40.0,10.0,7.0,
2020-02-27,98.0,,41.0,14.0,6.0,
2020-02-28,125.0,,39.0,14.0,5.0,
2020-02-29,145.0,,34.0,12.0,5.0,
2020-03-01,125.0,,32.0,21.0,6.0,
2020-03-02,140.0,,17.0,27.0,8.0,
2020-03-03,110.0,,35.0,18.0,8.0,
2020-03-04,128.0,,31.0,11.0,6.0,
2020-03-05,118.0,,24.0,18.0,4.0,
2020-03-06,93.0,,28.0,6.0,5.0,
2020-03-07,64.0,,29.0,13.0,7.0,
2020-03-08,134.0,,29.0,14.0,5.0,
2020-03-09,97.0,,37.0,11.0,6.0,
2020-03-10,149.0,,39.0,9.0,9.0,
2020-03-11,127.0,,30.0,8.0,9.0,
2020-03-12,136.0,,28.0,7.0,8.0,
2020-03-13,97.0,,36.0,7.0,5.0,
2020-03-14,79.0,,32.0,7.0,6.0,
2020-03-15,92.0,,33.0,13.0,8.0,
2020-03-16,107.0,,34.0,18.0,14.0,
2020-03-17,117.0,,36.0,17.0,9.0,
2020-03-18,127.0,,38.0,26.0,7.0,
2020-03-19,138.0,,51.0,19.0,8.0,
2020-03-20,158.0,,33.0,11.0,3.0,
2020-03-21,119.0,,,,,
2020-03-24,,,19.0,7.0,4.0,
2020-03-25,89.0,,25.0,2.0,6.0,
2020-03-26,75.0,,16.0,3.0,7.0,
2020-03-27,85.0,,28.0,3.0,3.0,
2020-03-28,73.0,,28.0,2.0,3.0,
2020-03-29,66.0,,32.0,2.0,4.0,
2020-03-30,71.0,,29.0,4.0,5.0,
2020-03-31,77.0,,26.0,4.0,5.0,
2020-04-01,92.0,,26.0,2.0,5.0,
2020-04-02,77.0,,31.0,3.0,5.0,
2020-04-03,69.0,,23.0,3.0,5.0,
2020-04-04,69.0,,22.0,3.0,5.0,
2020-04-05,261.0,,20.0,3.0,5.0,
2020-04-06,91.0,,20.0,10.0,5.0,
2020-04-07,99.0,,22.0,5.0,5.0,
2020-04-08,95.0,,23.0,4.0,5.0,
2020-04-09,89.0,,27.0,4.0,6.0,
2020-04-10,120.0,,21.0,8.0,6.0,
2020-04-11,108.0,,19.0,5.0,4.0,
2020-04-12,97.0,,20.0,6.0,7.0,
2020-04-13,106.0,,24.0,6.0,7.0,
2020-04-14,97.0,,20.0,5.0,5.0,
2020-04-15,108.0,,33.0,11.0,5.0,
2020-04-16,103.0,,30.0,20.0,6.0,
2020-04-17,113.0,,28.0,5.0,4.0,
2020-04-18,137.0,,31.0,5.0,7.0,
2020-04-19,149.0,,24.0,8.0,4.0,
2020-04-20,144.0,,27.0,8.0,4.0,
2020-04-21,116.0,,27.0,8.0,4.0,
2020-04-22,142.0,,25.0,10.0,7.0,
2020-04-23,114.0,,31.0,7.0,5.0,
2020-04-24,130.0,,27.0,7.0,5.0,
2020-04-25,142.0,,26.0,5.0,4.0,
2020-04-26,85.0,,27.0,6.0,5.0,
2020-04-27,79.0,,25.0,7.0,5.0,
2020-04-28,108.0,,25.0,6.0,5.0,
2020-04-29,139.0,,28.0,7.0,7.0,
2020-04-30,129.0,,19.0,5.0,4.0,
2020-05-01,134.0,,19.0,5.0,4.0,
2020-05-02,99.0,,22.0,6.0,5.0,
2020-05-03,112.0,,20.0,8.0,6.0,
2020-05-04,73.0,,16.0,7.0,4.0,
2020-05-05,107.0,,19.0,6.0,5.0,
2020-05-06,118.0,,17.0,5.0,5.0,
2020-05-07,121.0,,38.0,5.0,7.0,
2020-05-08,110.0,,38.0,5.0,7.0,
2020-05-09,112.0,,25.0,3.0,5.0,
2020-05-10,135.0,,29.0,6.0,7.0,
2020-05-11,99.0,,23.0,6.0,7.0,
2020-05-12,103.0,,23.0,7.0,9.0,
