date,pm25,pm10,o3,no2,so2,co
2014-01-03,,,,11.0,2.0,16.0
2014-01-04,,64.0,,,,
2014-01-05,,,,11.0,2.0,
2014-01-06,,75.0,,,,
2014-02-02,,,,11.0,2.0,16.0
2014-02-03,,75.0,,,,
2014-03-11,,,,11.0,2.0,10.0
2014-03-12,,69.0,,,,
2014-04-02,,,,11.0,2.0,
2014-04-03,,42.0,,,,
2014-04-30,,,,12.0,2.0,
2014-05-01,,55.0,,,,
2014-06-02,,,,12.0,2.0,
2014-06-03,,40.0,,,,
2014-06-29,,,,11.0,,
2014-06-30,,51.0,,,,
2014-07-06,,,,11.0,4.0,
2014-07-07,,54.0,,11.0,4.0,9.0
2014-07-08,,54.0,,11.0,4.0,
2014-07-09,,50.0,,11.0,2.0,9.0
2014-07-10,,34.0,,11.0,2.0,9.0
2014-07-11,,33.0,,,,
2014-07-13,,,,11.0,3.0,11.0
2014-07-14,,38.0,,,,
2014-07-31,,,,,,9.0
2014-09-03,,,,11.0,2.0,
2014-09-04,,84.0,,,,
2014-10-21,,,,,4.0,
2014-10-22,,306.0,,,,
2014-10-23,,,,,5.0,
2014-10-24,,386.0,,,,
2014-10-26,,,,,,
2014-10-27,,152.0,,,1.0,
2014-10-28,,149.0,,,2.0,
2014-10-29,,151.0,,,,
2014-11-02,,,,,1.0,
2014-11-03,,451.0,,,4.0,
2014-11-04,,576.0,,,2.0,
2014-11-05,,293.0,,,1.0,
2014-11-06,,362.0,,,2.0,
2014-11-07,,229.0,,,1.0,
2014-11-08,,306.0,,,1.0,
2014-11-09,,336.0,,,1.0,
2014-11-10,,314.0,,,,
2014-11-11,,190.0,,,1.0,
2014-11-12,,478.0,,,1.0,
2014-11-13,,291.0,,,,
2014-11-14,,475.0,,,,
2014-11-16,,,,,,
2014-11-17,,197.0,,,2.0,
2014-11-18,,,,,2.0,
2014-11-19,,378.0,,,3.0,
2014-11-20,,,,,3.0,
2014-11-21,,469.0,,,,
2014-11-23,,,,,3.0,
2014-11-24,,140.0,,,3.0,500.0
2014-11-25,,303.0,,,3.0,448.0
2014-11-26,,519.0,,,3.0,480.0
2014-11-27,,499.0,,,3.0,42.0
2014-11-28,,435.0,,,3.0,59.0
2014-11-29,,440.0,,,,
2014-11-30,,,,,4.0,
2014-12-01,,275.0,,,3.0,123.0
2014-12-02,,146.0,,,,
2014-12-03,,,,,3.0,
2014-12-04,,115.0,,1.0,3.0,20.0
2014-12-05,,12.0,,,,
2014-12-07,,,,,3.0,19.0
2014-12-08,,,,2.0,3.0,19.0
2014-12-09,,516.0,,2.0,3.0,19.0
2014-12-10,,228.0,,,,
2014-12-11,,,,2.0,3.0,18.0
2014-12-12,,406.0,,2.0,3.0,19.0
2014-12-13,,238.0,,2.0,3.0,18.0
2014-12-14,,,,2.0,3.0,19.0
2014-12-15,,136.0,,2.0,3.0,19.0
2014-12-16,,271.0,,2.0,3.0,19.0
2014-12-17,,134.0,,2.0,3.0,19.0
2014-12-18,,179.0,,3.0,3.0,19.0
2014-12-19,,228.0,,,,
2014-12-21,,,,2.0,3.0,18.0
2014-12-22,,181.0,,1.0,3.0,18.0
2014-12-23,,281.0,,1.0,3.0,18.0
2014-12-24,,312.0,,,,
2014-12-25,,,,3.0,3.0,21.0
2014-12-26,,376.0,,,,
2014-12-31,,,,1.0,3.0,18.0
2015-01-01,,206.0,,,3.0,18.0
2015-01-02,,177.0,,,3.0,18.0
2015-01-03,,111.0,,,,
2015-01-04,,,,1.0,3.0,20.0
2015-01-05,,301.0,,1.0,3.0,18.0
2015-01-06,,203.0,,,3.0,19.0
2015-01-07,,171.0,,1.0,3.0,19.0
2015-01-08,,523.0,,,3.0,19.0
2015-01-09,,193.0,,,3.0,19.0
2015-01-10,,285.0,,,3.0,18.0
2015-01-11,,575.0,,,3.0,18.0
2015-01-12,,297.0,,1.0,2.0,18.0
2015-01-13,,201.0,,2.0,2.0,
2015-01-14,,229.0,,5.0,3.0,21.0
2015-01-15,,260.0,,6.0,5.0,11.0
2015-01-16,,162.0,,,,
2015-01-18,,,,6.0,5.0,10.0
2015-01-19,,103.0,,6.0,5.0,
2015-01-20,,308.0,,7.0,5.0,14.0
2015-01-21,,121.0,,,,
2015-01-22,,,,5.0,4.0,15.0
2015-01-23,,318.0,,5.0,4.0,13.0
2015-01-24,,209.0,,5.0,2.0,14.0
2015-01-25,,154.0,,5.0,3.0,16.0
2015-01-26,,226.0,,3.0,3.0,12.0
2015-01-27,,220.0,,12.0,5.0,10.0
2015-01-28,,400.0,,2.0,8.0,15.0
2015-01-29,,167.0,,2.0,3.0,14.0
2015-01-30,,79.0,,3.0,5.0,10.0
2015-01-31,,93.0,,17.0,4.0,11.0
2015-02-01,,94.0,,17.0,3.0,10.0
2015-02-02,,89.0,,25.0,4.0,9.0
2015-02-03,,116.0,,20.0,4.0,10.0
2015-02-04,,269.0,,20.0,4.0,10.0
2015-02-05,,127.0,,19.0,4.0,
2015-02-06,,143.0,,,,
2015-02-08,,,,16.0,2.0,10.0
2015-02-09,,102.0,,15.0,7.0,
2015-02-10,,121.0,,24.0,3.0,13.0
2015-02-11,,102.0,,23.0,3.0,11.0
2015-02-12,,112.0,,24.0,1.0,14.0
2015-02-13,,82.0,,24.0,3.0,12.0
2015-02-14,,105.0,,19.0,4.0,11.0
2015-02-15,,108.0,,18.0,4.0,11.0
2015-02-16,,120.0,,,,
2015-02-18,,,,,5.0,
2015-02-19,,103.0,,15.0,4.0,12.0
2015-02-20,,106.0,,16.0,1.0,15.0
2015-02-21,,102.0,,20.0,2.0,15.0
