date,pm25,pm10,o3,no2,so2,co
2019-12-02,,285.0,12.0,2.0,4.0,6.0
2019-12-03,215.0,50.0,17.0,2.0,4.0,3.0
2019-12-04,105.0,63.0,2.0,2.0,4.0,5.0
2019-12-05,146.0,72.0,2.0,1.0,4.0,4.0
2019-12-06,157.0,71.0,3.0,,4.0,5.0
2019-12-07,145.0,80.0,3.0,,4.0,4.0
2019-12-08,159.0,65.0,8.0,1.0,4.0,4.0
2019-12-09,146.0,62.0,6.0,1.0,9.0,5.0
2019-12-10,138.0,66.0,3.0,1.0,4.0,5.0
2019-12-11,147.0,69.0,3.0,1.0,4.0,5.0
2019-12-12,150.0,63.0,3.0,,4.0,6.0
2019-12-13,132.0,83.0,3.0,,4.0,6.0
2019-12-14,90.0,880.0,3.0,,4.0,6.0
2019-12-15,143.0,80.0,3.0,1.0,4.0,6.0
2019-12-16,158.0,173.0,3.0,,4.0,6.0
2019-12-17,244.0,70.0,8.0,1.0,4.0,7.0
2019-12-18,147.0,65.0,5.0,1.0,4.0,6.0
2019-12-19,137.0,71.0,5.0,1.0,4.0,6.0
2019-12-20,153.0,80.0,5.0,1.0,4.0,6.0
2019-12-21,150.0,88.0,4.0,,4.0,6.0
2019-12-22,161.0,76.0,6.0,2.0,4.0,6.0
2019-12-23,158.0,89.0,5.0,,4.0,6.0
2019-12-24,166.0,115.0,5.0,1.0,4.0,6.0
2019-12-25,181.0,89.0,4.0,,4.0,7.0
2019-12-26,153.0,73.0,5.0,,4.0,7.0
2019-12-27,150.0,81.0,5.0,,4.0,6.0
2019-12-28,155.0,93.0,5.0,,4.0,6.0
2019-12-29,156.0,,,,,
2019-12-31,,89.0,5.0,,4.0,6.0
2020-01-01,163.0,86.0,5.0,,4.0,6.0
2020-01-02,166.0,80.0,6.0,,4.0,5.0
2020-01-03,158.0,89.0,6.0,,4.0,5.0
2020-01-04,166.0,86.0,6.0,,4.0,6.0
2020-01-05,155.0,350.0,47.0,1.0,4.0,5.0
2020-01-06,207.0,69.0,6.0,2.0,9.0,19.0
2020-01-07,147.0,61.0,5.0,,1.0,1.0
2020-01-08,135.0,64.0,8.0,,1.0,1.0
2020-01-09,134.0,70.0,7.0,,1.0,2.0
2020-01-10,143.0,80.0,5.0,,1.0,2.0
2020-01-11,155.0,77.0,5.0,,1.0,3.0
2020-01-12,145.0,52.0,6.0,,1.0,3.0
2020-01-13,115.0,49.0,6.0,,1.0,4.0
2020-01-14,83.0,47.0,6.0,,1.0,4.0
2020-01-15,78.0,73.0,6.0,,1.0,4.0
2020-01-16,77.0,239.0,6.0,,1.0,4.0
2020-01-17,105.0,73.0,7.0,,1.0,5.0
2020-01-18,141.0,85.0,6.0,,1.0,5.0
2020-01-19,156.0,189.0,7.0,,1.0,5.0
2020-01-20,134.0,81.0,8.0,1.0,1.0,5.0
