date,pm25,pm10,o3,no2,so2,co
2019-01-08,46.0,30.0,8.0,,3.0,1.0
2019-01-09,45.0,39.0,6.0,,7.0,3.0
2019-01-10,41.0,41.0,4.0,1.0,4.0,2.0
2019-01-11,59.0,22.0,8.0,4.0,23.0,2.0
2019-01-12,178.0,85.0,36.0,13.0,14.0,5.0
2019-02-08,43.0,23.0,5.0,,3.0,1.0
2019-02-09,50.0,13.0,3.0,1.0,9.0,3.0
2019-02-10,58.0,50.0,4.0,2.0,4.0,3.0
2019-02-11,49.0,41.0,13.0,5.0,23.0,3.0
2019-02-12,156.0,116.0,16.0,7.0,31.0,3.0
2019-03-08,39.0,34.0,5.0,,4.0,1.0
2019-03-09,33.0,21.0,4.0,1.0,9.0,2.0
2019-03-10,62.0,49.0,7.0,4.0,6.0,3.0
2019-03-11,67.0,51.0,16.0,6.0,13.0,3.0
2019-03-12,150.0,101.0,199.0,8.0,13.0,4.0
2019-04-08,47.0,38.0,3.0,,2.0,1.0
2019-04-09,42.0,13.0,4.0,,8.0,2.0
2019-04-10,72.0,61.0,12.0,6.0,8.0,5.0
2019-04-11,88.0,57.0,23.0,6.0,25.0,4.0
2019-04-12,134.0,78.0,12.0,2.0,13.0,3.0
2019-05-08,50.0,34.0,8.0,,,1.0
2019-05-09,27.0,20.0,4.0,1.0,8.0,2.0
2019-05-10,109.0,67.0,30.0,8.0,8.0,5.0
2019-05-11,111.0,67.0,19.0,10.0,17.0,5.0
2019-05-12,137.0,99.0,45.0,6.0,8.0,4.0
2019-06-08,46.0,38.0,8.0,,,2.0
2019-06-09,39.0,20.0,4.0,1.0,8.0,2.0
2019-06-10,117.0,69.0,28.0,7.0,6.0,4.0
2019-06-11,137.0,23.0,16.0,1.0,9.0,1.0
2019-06-12,170.0,97.0,69.0,14.0,7.0,4.0
2019-07-08,51.0,56.0,7.0,1.0,,2.0
2019-07-09,35.0,17.0,6.0,1.0,8.0,2.0
2019-07-10,133.0,74.0,17.0,6.0,4.0,4.0
2019-07-11,56.0,34.0,14.0,3.0,5.0,2.0
2019-07-12,160.0,101.0,62.0,18.0,9.0,5.0
2019-08-08,68.0,54.0,8.0,,,2.0
2019-08-09,36.0,36.0,5.0,,8.0,2.0
2019-08-10,138.0,41.0,13.0,7.0,4.0,3.0
2019-08-11,60.0,44.0,18.0,4.0,4.0,2.0
2019-08-12,172.0,101.0,49.0,15.0,9.0,5.0
2019-09-08,68.0,133.0,9.0,,,2.0
2019-09-09,54.0,32.0,5.0,1.0,8.0,2.0
2019-09-10,73.0,57.0,21.0,11.0,8.0,5.0
2019-09-11,75.0,66.0,26.0,7.0,4.0,4.0
2019-09-12,167.0,101.0,60.0,18.0,12.0,5.0
2019-10-08,72.0,49.0,10.0,,,2.0
2019-10-09,50.0,28.0,4.0,1.0,9.0,3.0
