date,pm25,pm10,o3,no2,so2,co
2019-12-02,,169.0,13.0,32.0,21.0,9.0
2019-12-03,116.0,132.0,19.0,20.0,8.0,7.0
2019-12-04,200.0,123.0,19.0,21.0,6.0,7.0
2019-12-05,172.0,96.0,30.0,19.0,9.0,4.0
2019-12-06,166.0,112.0,26.0,25.0,9.0,7.0
2019-12-07,167.0,111.0,43.0,23.0,11.0,7.0
2019-12-08,175.0,104.0,50.0,26.0,11.0,7.0
2019-12-09,168.0,128.0,46.0,25.0,6.0,10.0
2019-12-10,166.0,135.0,46.0,29.0,9.0,11.0
2019-12-11,182.0,131.0,47.0,27.0,9.0,9.0
2019-12-12,182.0,197.0,18.0,29.0,10.0,9.0
2019-12-13,228.0,93.0,45.0,22.0,8.0,6.0
2019-12-14,154.0,90.0,47.0,22.0,9.0,7.0
2019-12-15,155.0,95.0,38.0,23.0,9.0,7.0
2019-12-16,166.0,99.0,23.0,20.0,9.0,9.0
2019-12-17,155.0,104.0,34.0,20.0,9.0,9.0
2019-12-18,156.0,90.0,35.0,21.0,9.0,7.0
2019-12-19,154.0,115.0,44.0,31.0,8.0,11.0
2019-12-20,174.0,127.0,29.0,28.0,9.0,12.0
2019-12-21,178.0,116.0,25.0,26.0,9.0,13.0
2019-12-22,177.0,129.0,25.0,31.0,10.0,14.0
2019-12-23,181.0,138.0,30.0,35.0,10.0,13.0
2019-12-24,197.0,127.0,37.0,20.0,9.0,10.0
2019-12-25,196.0,103.0,34.0,17.0,10.0,9.0
2019-12-26,169.0,116.0,31.0,24.0,9.0,10.0
2019-12-27,175.0,92.0,30.0,21.0,8.0,8.0
2019-12-28,163.0,93.0,36.0,23.0,12.0,8.0
2019-12-29,164.0,,,,,
2019-12-31,,125.0,69.0,31.0,11.0,13.0
2020-01-01,214.0,113.0,53.0,25.0,7.0,10.0
2020-01-02,185.0,102.0,47.0,21.0,8.0,9.0
2020-01-03,176.0,262.0,53.0,18.0,7.0,9.0
2020-01-04,175.0,108.0,29.0,18.0,9.0,14.0
2020-01-05,171.0,96.0,91.0,27.0,17.0,9.0
2020-01-06,160.0,137.0,28.0,21.0,5.0,8.0
2020-01-07,197.0,89.0,31.0,20.0,2.0,7.0
2020-01-08,152.0,85.0,43.0,19.0,3.0,6.0
2020-01-09,279.0,90.0,27.0,22.0,4.0,8.0
2020-01-10,157.0,123.0,34.0,27.0,4.0,10.0
2020-01-11,157.0,117.0,38.0,28.0,4.0,11.0
2020-01-12,171.0,95.0,26.0,20.0,2.0,9.0
2020-01-13,216.0,77.0,29.0,14.0,2.0,5.0
2020-01-14,139.0,68.0,35.0,19.0,3.0,5.0
2020-01-15,114.0,71.0,34.0,19.0,2.0,5.0
2020-01-16,125.0,141.0,40.0,20.0,3.0,6.0
2020-01-17,138.0,421.0,56.0,24.0,5.0,10.0
2020-01-18,169.0,360.0,55.0,23.0,6.0,10.0
2020-01-19,166.0,123.0,53.0,35.0,6.0,15.0
2020-01-20,171.0,142.0,55.0,33.0,5.0,16.0
2020-01-21,191.0,142.0,44.0,25.0,6.0,12.0
2020-01-22,163.0,91.0,33.0,22.0,6.0,8.0
2020-01-23,152.0,162.0,45.0,20.0,5.0,10.0
2020-01-24,202.0,115.0,50.0,27.0,5.0,11.0
2020-01-25,170.0,119.0,63.0,31.0,6.0,14.0
2020-01-26,175.0,107.0,39.0,20.0,3.0,11.0
2020-01-27,151.0,80.0,19.0,17.0,2.0,7.0
2020-01-28,118.0,75.0,33.0,15.0,1.0,6.0
2020-01-29,90.0,96.0,51.0,23.0,5.0,8.0
2020-01-30,147.0,116.0,58.0,30.0,5.0,11.0
2020-01-31,164.0,149.0,56.0,26.0,7.0,13.0
2020-02-01,179.0,149.0,67.0,31.0,7.0,16.0
