date,pm25,pm10,o3,no2,so2,co
2019-12-02,,74.0,15.0,21.0,17.0,6.0
2019-12-03,85.0,82.0,24.0,12.0,2.0,8.0
2019-12-04,129.0,124.0,12.0,11.0,1.0,9.0
2019-12-05,170.0,114.0,23.0,21.0,1.0,8.0
2019-12-06,165.0,108.0,28.0,19.0,2.0,8.0
2019-12-07,157.0,114.0,35.0,19.0,2.0,8.0
2019-12-08,168.0,103.0,38.0,21.0,1.0,10.0
2019-12-09,164.0,108.0,40.0,24.0,1.0,10.0
2019-12-10,168.0,115.0,25.0,21.0,1.0,11.0
2019-12-11,174.0,114.0,29.0,19.0,2.0,11.0
2019-12-12,175.0,92.0,17.0,18.0,1.0,7.0
2019-12-13,141.0,74.0,27.0,11.0,1.0,5.0
2019-12-14,118.0,94.0,32.0,17.0,1.0,8.0
2019-12-15,157.0,110.0,20.0,17.0,1.0,10.0
2019-12-16,171.0,106.0,22.0,16.0,1.0,10.0
2019-12-17,165.0,104.0,25.0,18.0,2.0,9.0
2019-12-18,163.0,103.0,24.0,17.0,1.0,9.0
2019-12-19,162.0,116.0,29.0,22.0,2.0,11.0
2019-12-20,173.0,127.0,16.0,22.0,2.0,13.0
2019-12-21,176.0,116.0,20.0,21.0,2.0,10.0
2019-12-22,171.0,119.0,20.0,21.0,2.0,11.0
2019-12-23,173.0,129.0,34.0,26.0,2.0,12.0
2019-12-24,188.0,146.0,16.0,24.0,2.0,12.0
2019-12-25,204.0,102.0,21.0,17.0,2.0,8.0
2019-12-26,164.0,106.0,27.0,20.0,2.0,9.0
2019-12-27,169.0,101.0,25.0,15.0,2.0,8.0
2019-12-28,163.0,100.0,10.0,18.0,2.0,8.0
2019-12-29,165.0,,,,,
2019-12-31,,122.0,39.0,24.0,3.0,11.0
2020-01-01,182.0,117.0,29.0,20.0,2.0,9.0
2020-01-02,185.0,110.0,30.0,19.0,2.0,9.0
2020-01-03,175.0,106.0,28.0,18.0,2.0,8.0
2020-01-04,177.0,113.0,24.0,20.0,2.0,9.0
2020-01-05,175.0,100.0,17.0,20.0,2.0,10.0
2020-01-06,159.0,185.0,41.0,19.0,2.0,13.0
2020-01-07,206.0,134.0,17.0,14.0,1.0,7.0
2020-01-08,192.0,101.0,24.0,17.0,15.0,5.0
2020-01-09,153.0,110.0,24.0,30.0,2.0,7.0
2020-01-10,160.0,148.0,20.0,26.0,2.0,8.0
2020-01-11,316.0,161.0,21.0,17.0,3.0,11.0
2020-01-12,754.0,105.0,16.0,11.0,1.0,4.0
2020-01-13,398.0,64.0,21.0,12.0,1.0,4.0
2020-01-14,104.0,113.0,20.0,16.0,1.0,2.0
2020-01-15,136.0,69.0,20.0,19.0,1.0,2.0
2020-01-16,99.0,117.0,28.0,23.0,1.0,4.0
2020-01-17,145.0,104.0,30.0,30.0,1.0,6.0
2020-01-18,177.0,104.0,30.0,27.0,,9.0
2020-01-19,181.0,112.0,48.0,24.0,2.0,11.0
2020-01-20,173.0,105.0,28.0,22.0,2.0,12.0
2020-01-21,176.0,88.0,30.0,18.0,3.0,12.0
2020-01-22,199.0,141.0,20.0,23.0,3.0,8.0
2020-01-23,230.0,102.0,17.0,20.0,6.0,8.0
2020-01-24,398.0,119.0,18.0,19.0,16.0,9.0
2020-01-25,175.0,100.0,17.0,18.0,16.0,11.0
2020-01-26,195.0,57.0,12.0,9.0,15.0,4.0
2020-01-27,112.0,52.0,11.0,8.0,8.0,3.0
2020-01-28,77.0,70.0,11.0,12.0,1.0,1.0
2020-01-29,64.0,100.0,21.0,21.0,2.0,5.0
2020-01-30,142.0,96.0,22.0,20.0,2.0,5.0
2020-01-31,149.0,102.0,24.0,25.0,2.0,7.0
2020-02-01,162.0,123.0,28.0,21.0,3.0,10.0
2020-02-02,171.0,113.0,20.0,20.0,2.0,8.0
2020-02-03,174.0,86.0,22.0,19.0,2.0,5.0
2020-02-04,160.0,104.0,19.0,22.0,3.0,6.0
2020-02-05,152.0,74.0,18.0,17.0,2.0,3.0
2020-02-06,117.0,83.0,18.0,20.0,3.0,3.0
2020-02-07,121.0,96.0,20.0,22.0,2.0,5.0
2020-02-08,156.0,85.0,18.0,16.0,3.0,4.0
2020-02-09,160.0,94.0,17.0,19.0,2.0,5.0
2020-02-10,151.0,107.0,22.0,25.0,3.0,10.0
2020-02-11,158.0,126.0,73.0,25.0,12.0,9.0
2020-02-12,182.0,90.0,22.0,21.0,3.0,10.0
2020-02-13,158.0,98.0,32.0,22.0,3.0,7.0
2020-02-14,143.0,97.0,30.0,23.0,4.0,7.0
2020-02-15,126.0,91.0,45.0,23.0,3.0,7.0
2020-02-16,153.0,122.0,31.0,29.0,3.0,12.0
2020-02-17,178.0,107.0,40.0,31.0,4.0,11.0
2020-02-18,167.0,115.0,43.0,23.0,4.0,11.0
2020-02-19,170.0,84.0,19.0,22.0,3.0,7.0
2020-02-20,129.0,68.0,19.0,13.0,2.0,5.0
2020-02-21,109.0,102.0,37.0,29.0,4.0,8.0
2020-02-22,163.0,104.0,36.0,25.0,4.0,9.0
2020-02-23,157.0,111.0,43.0,27.0,3.0,10.0
2020-02-24,171.0,124.0,20.0,21.0,4.0,8.0
2020-02-25,127.0,86.0,32.0,20.0,3.0,4.0
2020-02-26,111.0,84.0,47.0,31.0,4.0,7.0
2020-02-27,131.0,120.0,38.0,32.0,5.0,11.0
