date,pm25,pm10,o3,no2,so2,co
2019-07-03,,40.0,3.0,4.0,,4.0
2019-07-04,48.0,59.0,6.0,2.0,,2.0
2019-07-05,45.0,57.0,7.0,1.0,,2.0
2019-07-06,35.0,67.0,7.0,1.0,,2.0
2019-07-07,50.0,57.0,7.0,2.0,,3.0
2019-07-08,42.0,56.0,9.0,2.0,1.0,3.0
2019-07-09,38.0,39.0,7.0,5.0,1.0,3.0
2019-07-10,25.0,59.0,6.0,3.0,1.0,1.0
2019-07-11,28.0,53.0,6.0,3.0,1.0,1.0
2019-07-12,26.0,45.0,5.0,3.0,2.0,1.0
2019-07-13,26.0,46.0,6.0,3.0,3.0,1.0
2019-07-14,23.0,53.0,6.0,3.0,4.0,1.0
2019-07-15,32.0,52.0,4.0,3.0,5.0,1.0
2019-07-16,29.0,57.0,4.0,3.0,5.0,1.0
2019-07-17,33.0,59.0,4.0,4.0,6.0,1.0
2019-07-18,42.0,61.0,4.0,5.0,4.0,2.0
2019-07-19,55.0,45.0,5.0,7.0,1.0,3.0
2019-07-20,48.0,39.0,9.0,9.0,1.0,3.0
2019-07-21,68.0,24.0,8.0,6.0,1.0,2.0
2019-07-22,33.0,29.0,8.0,6.0,1.0,2.0
2019-07-23,18.0,29.0,9.0,5.0,1.0,1.0
2019-07-24,17.0,50.0,10.0,5.0,,1.0
2019-07-25,39.0,59.0,8.0,4.0,1.0,1.0
2019-07-26,35.0,58.0,10.0,3.0,,1.0
2019-07-27,39.0,53.0,10.0,4.0,,1.0
2019-07-28,40.0,43.0,9.0,4.0,1.0,1.0
2019-07-29,38.0,31.0,9.0,4.0,,1.0
2019-07-30,26.0,34.0,8.0,4.0,,1.0
2019-07-31,33.0,45.0,12.0,3.0,,1.0
2019-08-01,31.0,40.0,7.0,2.0,,
2019-08-02,32.0,38.0,6.0,1.0,,
2019-08-03,25.0,47.0,7.0,2.0,,
2019-08-04,38.0,45.0,6.0,2.0,,
2019-08-05,45.0,38.0,6.0,2.0,,1.0
2019-08-06,39.0,41.0,7.0,2.0,,1.0
2019-08-07,42.0,60.0,7.0,4.0,,2.0
2019-08-08,59.0,61.0,8.0,3.0,,1.0
2019-08-09,58.0,60.0,9.0,2.0,,1.0
2019-08-10,57.0,61.0,8.0,2.0,,1.0
2019-08-11,51.0,60.0,8.0,3.0,,2.0
2019-08-12,48.0,56.0,6.0,4.0,,2.0
2019-08-13,45.0,59.0,6.0,4.0,,2.0
2019-08-14,48.0,52.0,7.0,4.0,,2.0
2019-08-15,40.0,47.0,8.0,3.0,,2.0
2019-08-16,40.0,51.0,7.0,3.0,,2.0
2019-08-17,39.0,45.0,5.0,2.0,,2.0
2019-08-18,33.0,45.0,4.0,3.0,,2.0
2019-08-19,35.0,46.0,5.0,4.0,,3.0
2019-08-20,47.0,42.0,6.0,4.0,,2.0
2019-08-21,38.0,44.0,6.0,4.0,,3.0
2019-08-22,38.0,45.0,6.0,4.0,,3.0
2019-08-23,48.0,43.0,9.0,3.0,,2.0
2019-08-24,40.0,40.0,5.0,3.0,,2.0
2019-08-25,38.0,50.0,6.0,3.0,,2.0
2019-08-26,47.0,45.0,7.0,3.0,,2.0
2019-08-27,40.0,40.0,6.0,3.0,,2.0
2019-08-28,42.0,40.0,5.0,2.0,,2.0
2019-08-29,39.0,38.0,5.0,3.0,1.0,2.0
2019-08-30,38.0,45.0,7.0,3.0,,2.0
2019-08-31,39.0,36.0,9.0,3.0,,2.0
2019-09-01,28.0,42.0,5.0,2.0,,1.0
2019-09-02,39.0,21.0,9.0,3.0,,2.0
2019-09-03,20.0,25.0,9.0,4.0,,2.0
2019-09-04,35.0,30.0,9.0,3.0,,2.0
2019-09-05,22.0,39.0,9.0,2.0,,2.0
2019-09-06,25.0,36.0,8.0,3.0,,3.0
2019-09-07,32.0,29.0,12.0,4.0,,3.0
2019-09-08,22.0,46.0,9.0,4.0,,3.0
2019-09-09,48.0,44.0,9.0,3.0,,2.0
2019-09-10,39.0,41.0,8.0,4.0,,2.0
2019-09-11,52.0,39.0,8.0,2.0,,1.0
2019-09-12,31.0,39.0,7.0,4.0,,2.0
2019-09-13,34.0,50.0,6.0,3.0,,2.0
2019-09-14,47.0,32.0,9.0,7.0,,3.0
2019-09-15,30.0,40.0,5.0,4.0,1.0,4.0
2019-09-16,37.0,35.0,5.0,4.0,1.0,3.0
2019-09-17,40.0,35.0,6.0,5.0,1.0,2.0
2019-09-18,54.0,31.0,25.0,13.0,1.0,2.0
2019-09-19,62.0,30.0,9.0,7.0,,1.0
2019-09-20,43.0,27.0,8.0,5.0,,1.0
2019-09-21,39.0,32.0,6.0,4.0,,1.0
2019-09-22,48.0,47.0,6.0,5.0,,1.0
2019-09-23,56.0,43.0,5.0,4.0,,2.0
2019-09-24,48.0,25.0,10.0,9.0,,2.0
2019-09-25,38.0,29.0,10.0,8.0,,2.0
2019-09-26,49.0,17.0,9.0,3.0,,
2019-09-27,23.0,19.0,4.0,2.0,,
2019-09-28,17.0,21.0,4.0,2.0,1.0,1.0
2019-09-29,22.0,15.0,4.0,2.0,1.0,1.0
2019-09-30,16.0,27.0,5.0,2.0,1.0,1.0
2019-10-01,29.0,38.0,6.0,4.0,1.0,2.0
2019-10-02,47.0,38.0,5.0,6.0,1.0,3.0
2019-10-03,47.0,53.0,12.0,9.0,1.0,4.0
2019-10-04,74.0,61.0,14.0,9.0,1.0,5.0
2019-10-05,105.0,65.0,37.0,12.0,1.0,4.0
2019-10-06,120.0,68.0,23.0,11.0,1.0,3.0
2019-10-07,128.0,74.0,19.0,11.0,1.0,3.0
