date,pm25,pm10,o3,no2,so2,co
2021-01-01,24.0,15.0,2.0,2.0,3.0,1.0
2021-01-02,28.0,14.0,2.0,2.0,3.0,1.0
2021-01-03,30.0,12.0,2.0,2.0,4.0,1.0
2021-01-04,15.0,18.0,1.0,2.0,3.0,2.0
2021-01-05,42.0,17.0,2.0,2.0,4.0,2.0
2021-01-06,19.0,31.0,3.0,2.0,4.0,2.0
2021-01-07,54.0,36.0,4.0,2.0,4.0,2.0
2021-01-08,72.0,45.0,2.0,2.0,3.0,2.0
2021-01-09,89.0,65.0,1.0,2.0,3.0,3.0
2021-01-10,148.0,70.0,4.0,2.0,4.0,3.0
2021-01-11,152.0,67.0,8.0,2.0,4.0,3.0
2021-01-12,145.0,61.0,2.0,2.0,4.0,3.0
2021-01-13,127.0,67.0,1.0,2.0,4.0,3.0
2021-01-14,144.0,66.0,1.0,2.0,4.0,3.0
2021-01-15,145.0,80.0,1.0,2.0,4.0,3.0
2021-01-16,162.0,64.0,1.3333333333333333,2.0,4.0,3.0
2021-01-17,145.0,51.0,1.6666666666666665,2.0,4.0,2.0
2021-01-18,99.0,75.0,2.0,2.0,5.0,3.0
2021-01-19,158.0,90.0,6.0,2.0,4.0,4.0
2021-01-20,171.0,73.0,6.0,2.0,5.0,3.0
2021-01-21,147.0,59.0,3.5,2.0,5.0,3.0
2021-01-22,126.0,50.0,1.0,2.0,5.0,2.0
2021-01-23,100.0,58.0,1.0,2.0,5.0,2.0
2021-01-24,126.0,47.0,1.0,2.0,5.0,3.0
2021-01-25,90.0,39.0,1.0,2.0,5.0,2.0
2021-01-26,66.0,36.0,1.0,2.0,5.0,2.0
2021-01-27,61.0,32.0,1.0,2.0,5.0,2.0
2021-01-28,54.0,23.0,1.0,2.0,6.0,2.0
2021-01-29,31.0,40.0,1.0,2.0,5.0,2.0
2021-01-30,76.0,54.0,2.0,2.0,5.0,2.0
2021-01-31,112.0,63.0,4.0,2.0,5.0,3.0
2021-02-01,133.0,62.0,2.0,2.0,6.0,3.0
2021-02-02,126.0,39.0,1.0,2.0,5.0,2.0
2021-02-03,73.0,38.0,1.0,2.0,6.0,2.0
2021-02-04,63.0,22.0,1.0,2.0,4.0,1.0
2021-02-05,35.0,20.0,1.0,2.0,2.0,1.0
2021-02-06,30.0,19.0,1.0,2.0,1.0,1.3333333333333333
2021-02-07,41.0,21.0,1.0,2.0,2.0,1.6666666666666665
2021-02-08,44.0,39.0,1.0,2.0,4.0,2.0
2021-02-09,67.0,45.0,2.0,2.0,6.0,2.0
2021-02-10,85.0,28.0,1.0,2.0,4.0,1.0
2021-02-11,53.0,48.0,1.0,2.0,4.0,2.0
2021-02-12,105.0,68.0,1.0,2.0,7.0,4.0
2021-02-13,151.0,55.0,1.0,2.0,7.0,3.0
2021-02-14,99.0,61.0,1.0,2.0,5.0,3.0
