date,pm25,pm10,o3,no2,so2,co
2021-01-01,79.0,4.0,48.0,8.0,3.0,7.0
2021-01-02,92.0,3.0,39.0,5.0,3.0,7.0
2021-01-03,76.0,2.0,31.0,5.0,3.0,7.0
2021-01-04,88.0,12.0,26.0,2.0,3.0,7.0
2021-01-05,83.0,19.0,17.0,7.0,3.0,7.0
2021-01-06,72.0,19.0,12.0,6.0,3.0,7.0
2021-01-07,70.0,18.0,17.0,6.0,3.0,8.0
2021-01-08,63.0,19.0,12.0,5.0,3.0,5.0
2021-01-09,63.0,20.0,20.0,7.0,3.0,7.0
2021-01-10,63.0,19.0,19.0,10.0,3.0,6.0
2021-01-11,63.0,19.0,21.0,13.0,3.0,7.0
2021-01-12,63.0,19.0,26.0,12.0,3.0,7.0
2021-01-13,63.0,19.0,21.0,9.0,3.0,6.0
2021-01-14,63.0,19.0,33.0,6.0,3.0,7.0
2021-01-15,63.0,19.2,43.0,3.0,3.0,8.0
2021-01-16,63.0,19.4,48.0,8.0,3.0,6.0
2021-01-17,63.0,19.6,40.0,7.0,3.0,6.0
2021-01-18,63.0,19.8,43.0,12.0,3.0,6.0
2021-01-19,63.0,20.0,43.0,11.0,3.0,7.0
2021-01-20,58.0,19.0,45.0,15.0,3.0,8.0
2021-01-21,71.0,36.0,48.0,11.0,3.0,7.0
2021-01-22,77.0,69.0,41.0,11.0,2.0,7.0
2021-01-23,82.0,69.0,22.0,14.0,1.0,6.0
2021-01-24,82.0,64.0,17.0,12.0,3.0,10.0
2021-01-25,81.0,66.0,19.0,16.0,1.0,7.0
2021-01-26,78.0,67.0,22.0,13.0,2.0,6.0
2021-01-27,73.0,67.0,20.0,9.0,1.0,8.0
2021-01-28,87.0,71.0,23.0,8.5,1.0,7.0
2021-01-29,41.0,69.0,20.0,8.0,1.0,9.0
2021-01-30,43.0,64.0,25.0,10.0,2.0,8.0
2021-01-31,47.0,51.0,20.0,11.0,2.0,10.0
2021-02-01,78.0,18.0,23.0,11.0,3.0,6.0
2021-02-02,117.0,1.0,26.0,8.0,1.0,1.0
2021-02-03,127.0,24.0,24.0,15.0,1.0,1.0
2021-02-04,120.0,95.0,26.0,11.0,1.0,11.0
2021-02-05,114.0,123.0,26.0,14.0,1.0,6.0
2021-02-06,118.0,138.0,25.0,20.0,1.0,8.0
2021-02-07,104.0,117.0,26.0,23.0,1.0,12.0
2021-02-08,100.0,101.0,25.0,21.0,1.0,13.0
2021-02-09,115.0,114.0,24.0,20.0,1.0,10.0
2021-02-10,91.0,111.0,24.0,14.0,1.0,9.0
2021-02-11,92.0,102.0,24.0,12.0,1.0,6.0
2021-02-12,87.0,98.0,24.0,24.0,1.0,9.0
2021-02-13,89.0,99.0,35.0,27.0,1.0,12.0
2021-02-14,149.0,104.0,32.0,19.0,1.0,21.0
2021-02-15,86.0,104.0,32.0,26.0,1.0,10.0
2021-02-16,91.0,102.0,30.0,17.0,1.0,8.0
2021-02-17,90.0,101.0,33.0,11.0,1.0,7.0
2021-02-18,90.0,94.0,21.0,12.0,1.0,18.0
2021-02-19,106.0,82.0,17.0,9.0,1.0,11.0
2021-02-20,87.0,70.0,15.0,7.0,1.0,8.0
2021-02-21,74.0,59.0,13.0,12.0,1.0,10.0
2021-02-22,69.0,70.0,24.0,7.0,1.0,12.0
2021-02-23,74.0,203.0,27.0,12.0,1.0,9.0
2021-02-24,86.0,191.0,26.0,32.0,1.0,16.0
2021-02-25,89.0,71.0,28.0,21.0,1.0,16.0
2021-02-26,100.0,77.0,29.0,23.0,1.0,14.0
2021-02-27,96.0,73.0,30.0,17.0,1.0,4.0
2021-02-28,88.0,65.0,28.0,23.0,1.0,13.0
2021-03-01,85.0,63.0,26.0,15.0,1.0,7.0
2021-03-02,98.0,67.0,29.0,10.0,1.0,13.0
2021-03-03,93.0,71.0,23.0,24.0,1.0,10.0
2021-03-04,88.0,62.0,19.0,17.0,1.0,10.0
2021-03-05,81.0,54.0,21.0,28.0,1.0,10.0
2021-03-06,83.0,58.0,28.0,20.0,1.0,9.0
2021-03-07,87.0,58.0,18.0,15.0,2.0,6.0
2021-03-08,79.0,51.0,18.0,13.0,1.0,7.0
2021-03-09,78.0,44.0,17.0,14.0,1.0,7.0
2021-03-10,73.0,39.0,18.0,12.0,2.0,9.0
2021-03-11,74.0,45.0,20.0,15.0,2.0,11.0
2021-03-12,82.0,52.0,27.0,14.0,2.0,9.0
2021-03-13,77.0,54.0,26.0,13.0,2.0,6.0
2021-03-14,80.0,53.0,29.0,17.0,1.0,9.0
2021-03-15,79.0,55.0,28.0,17.0,1.0,8.0
2021-03-16,86.0,59.0,28.0,20.0,2.0,7.0
2021-03-17,94.0,65.0,31.0,17.0,1.0,9.0
2021-03-18,95.0,70.0,30.0,21.0,2.0,10.0
2021-03-19,93.0,70.0,30.0,17.0,2.0,14.0
2021-03-20,92.0,66.0,28.0,19.0,2.0,12.0
2021-03-21,92.0,67.0,23.0,15.0,2.0,11.0
2021-03-22,88.0,67.0,25.0,16.0,1.0,10.0
2021-03-23,88.0,64.0,17.0,17.0,2.0,12.0
2021-03-24,98.0,68.0,18.0,15.0,1.0,12.0
2021-03-25,94.0,73.0,28.0,17.0,2.0,11.0
2021-03-26,101.0,75.0,34.0,15.0,1.0,10.0
2021-03-27,100.0,77.0,29.0,14.0,1.0,12.0
2021-03-28,100.0,73.0,28.0,16.0,1.0,9.0
2021-03-29,103.0,73.0,21.0,27.0,1.0,14.0
2021-03-30,108.0,62.0,24.0,33.0,1.0,18.0
2021-03-31,119.0,41.0,18.0,25.0,1.0,11.0
2021-04-01,105.0,65.0,23.0,28.0,1.0,11.0
2021-04-02,99.0,76.0,22.0,20.0,1.0,12.0
2021-04-03,101.0,79.0,19.0,24.0,2.0,13.0
2021-04-04,109.0,81.0,26.0,13.0,1.0,9.0
2021-04-05,119.0,75.0,31.0,8.0,1.0,11.0
2021-04-06,111.0,72.0,27.0,14.0,1.0,9.0
2021-04-07,103.0,75.0,32.0,12.0,2.0,22.0
2021-04-08,106.0,75.0,30.0,12.0,1.0,11.0
2021-04-09,107.0,74.0,32.0,11.0,1.0,14.0
2021-04-10,112.0,59.0,20.0,9.0,1.0,11.0
2021-04-11,98.0,51.0,12.0,8.0,1.0,12.0
2021-04-12,85.0,46.0,11.0,7.0,1.0,10.0
2021-04-13,81.0,47.0,12.0,10.0,1.0,12.0
2021-04-14,84.0,35.0,19.0,14.0,1.0,21.0
2021-04-15,74.0,42.0,19.0,16.0,2.0,8.0
2021-04-16,68.0,52.0,23.0,16.0,1.5,6.0
2021-04-17,57.0,56.0,25.0,8.0,1.0,8.0
2021-04-18,57.0,56.0,19.0,16.0,1.0,12.0
