date,pm25,pm10,o3,no2,so2,co
2021-01-01,139.0,79.0,15.0,17.0,1.0,1.0
2021-01-02,130.0,62.0,13.0,14.0,1.0,1.0
2021-01-03,93.0,61.0,12.0,19.0,1.0,2.0
2021-01-04,80.0,56.0,10.0,17.0,1.0,2.0
2021-01-05,63.0,34.0,10.0,15.0,1.0,2.0
2021-01-06,28.0,38.0,8.0,14.0,1.0,3.0
2021-01-07,47.0,53.0,9.0,14.0,1.0,3.0
2021-01-08,59.0,69.0,8.0,22.0,1.0,3.0
2021-01-09,64.0,56.0,9.0,14.0,1.0,2.0
2021-01-10,64.0,62.0,9.0,17.0,1.0,2.0
2021-01-11,77.0,61.0,9.0,17.0,1.0,2.0
2021-01-12,80.0,61.0,9.0,17.0,1.0,2.0
2021-01-13,79.0,65.0,9.0,14.0,1.0,2.0
2021-01-14,97.0,68.0,10.0,16.0,1.0,2.0
2021-01-15,109.0,75.0,14.0,19.0,1.0,3.0
2021-01-16,116.0,67.0,14.0,13.0,1.0,1.0
2021-01-17,107.0,63.0,11.0,17.0,1.0,2.0
2021-01-18,94.0,67.0,11.0,15.0,1.0,2.0
2021-01-19,102.0,80.0,14.0,17.0,1.0,3.0
2021-01-20,134.0,74.0,16.0,16.0,1.0,2.0
2021-01-21,108.0,73.0,12.0,17.0,1.0,3.0
2021-01-22,98.0,81.0,15.0,17.0,1.0,3.0
2021-01-23,134.0,72.0,14.0,15.0,1.0,2.0
2021-01-24,113.0,73.0,12.0,19.0,1.0,2.0
2021-01-25,114.0,69.0,11.0,17.0,1.0,2.0
2021-01-26,104.0,76.0,12.0,20.0,1.0,2.0
2021-01-27,130.0,80.0,12.0,19.0,1.0,2.0
2021-01-28,145.0,82.0,12.0,14.0,1.0,2.0
2021-01-29,148.0,87.0,11.0,19.0,1.0,2.0
2021-01-30,144.0,80.0,12.0,16.0,1.0,2.0
2021-01-31,143.0,68.0,12.0,15.0,1.0,3.0
2021-02-01,111.0,73.0,12.0,17.0,1.0,2.0
2021-02-02,129.0,77.0,12.0,17.0,1.0,1.0
2021-02-03,139.0,72.0,12.0,17.0,1.0,2.0
2021-02-04,115.0,75.0,14.0,17.0,1.0,3.0
2021-02-05,111.0,81.0,14.0,20.0,1.0,2.0
2021-02-06,124.0,74.0,14.0,19.0,1.0,3.0
2021-02-07,115.0,82.0,14.0,21.0,1.0,2.0
2021-02-08,131.0,77.0,13.0,21.0,1.0,2.0
2021-02-09,126.0,79.0,14.0,24.0,1.0,4.0
2021-02-10,121.0,83.0,14.0,23.0,1.0,2.0
2021-02-11,135.0,79.0,14.0,22.0,1.0,3.0
2021-02-12,127.0,70.0,12.0,12.0,2.0,1.0
2021-02-13,131.0,72.2,12.6,13.8,2.0,1.0
2021-02-14,130.6,74.4,13.2,15.6,2.0,1.0
2021-02-15,130.2,76.6,13.8,17.4,2.0,1.0
2021-02-16,129.8,78.8,14.4,19.2,2.0,1.0
2021-02-17,129.4,81.0,15.0,21.0,2.0,1.0
2021-02-18,129.0,68.0,14.0,13.0,2.0,1.0
2021-02-19,125.0,47.0,11.0,15.0,3.0,1.0
2021-02-20,77.0,36.0,9.0,16.0,2.0,2.0
2021-02-21,49.0,43.0,9.0,17.0,2.0,2.0
2021-02-22,56.0,59.0,12.0,19.0,2.0,2.0
2021-02-23,87.0,71.0,14.0,22.0,2.0,2.0
2021-02-24,124.0,78.0,16.0,20.0,1.0,3.0
2021-02-25,130.0,74.0,18.0,19.0,2.0,2.0
2021-02-26,126.0,77.0,19.0,20.0,2.0,2.0
2021-02-27,129.0,72.0,15.0,24.0,1.0,2.0
