date,pm25,pm10,o3,no2,so2,co
2022-01-01,159.0,92.0,13.0,17.0,2.0,11.0
2022-01-02,152.0,90.0,13.0,15.0,3.0,8.0
2022-01-03,97.0,72.0,25.0,12.0,4.0,5.0
2022-01-04,95.0,87.0,23.0,10.0,28.0,6.0
2022-01-05,146.0,103.0,19.0,13.0,7.0,5.0
2022-01-06,144.0,93.0,37.0,14.0,8.0,4.0
2022-01-07,72.0,48.0,38.0,7.0,2.0,4.0
2022-01-08,66.0,34.0,23.0,2.0,3.0,2.0
2022-01-09,93.0,61.0,9.0,4.0,2.0,4.0
2022-01-10,103.0,64.0,14.0,3.0,2.0,4.0
2022-01-11,128.0,87.0,17.0,12.0,7.0,6.0
2022-01-12,135.0,84.0,13.0,15.0,4.0,13.0
2022-01-13,135.8,84.55,13.05,15.1,3.95,12.8
2022-01-14,136.6,85.1,13.1,15.2,3.9,12.6
2022-01-15,137.4,85.65,13.15,15.3,3.85,12.4
2022-01-16,138.2,86.2,13.2,15.4,3.8,12.2
2022-01-17,139.0,86.75,13.25,15.5,3.75,12.0
2022-01-18,139.8,87.3,13.3,15.6,3.7,11.8
2022-01-19,140.6,87.85,13.35,15.7,3.65,11.6
2022-01-20,141.4,88.4,13.4,15.8,3.6,11.4
2022-01-21,142.2,88.95,13.45,15.9,3.55,11.2
2022-01-22,143.0,89.5,13.5,16.0,3.5,11.0
2022-01-23,143.8,90.05,13.55,16.1,3.45,10.8
2022-01-24,144.6,90.6,13.6,16.2,3.4,10.6
2022-01-25,145.4,91.15,13.65,16.3,3.35,10.4
2022-01-26,146.2,91.7,13.7,16.4,3.3,10.2
2022-01-27,147.0,92.25,13.75,16.5,3.25,10.0
2022-01-28,147.8,92.8,13.8,16.6,3.2,9.8
2022-01-29,148.6,93.35,13.85,16.7,3.15,9.6
2022-01-30,149.4,93.9,13.9,16.8,3.1,9.4
2022-01-31,150.2,94.45,13.95,16.9,3.05,9.2
2022-02-01,151.0,95.0,14.0,17.0,3.0,9.0
2022-02-02,156.0,52.0,15.0,10.0,3.0,5.0
2022-02-03,107.0,73.0,31.0,13.0,8.0,5.0
2022-02-04,102.0,75.0,28.0,17.0,5.0,6.0
2022-02-05,124.0,95.0,23.0,10.0,5.0,4.0
2022-02-06,107.0,82.0,37.0,17.0,11.0,4.0
2022-02-07,84.0,29.0,34.0,5.0,2.0,4.0
2022-02-08,62.0,61.0,13.0,7.0,4.0,5.0
2022-02-09,95.0,50.0,8.0,3.0,3.0,4.0
2022-02-10,116.0,64.0,14.0,4.0,3.0,4.0
2022-02-11,142.0,80.0,14.0,15.0,4.0,9.0
2022-02-12,148.0,85.0,9.0,15.0,4.0,10.0
2022-02-13,148.47058823529412,86.47058823529412,8.588235294117647,15.235294117647058,3.9411764705882355,10.235294117647058
2022-02-14,148.94117647058823,87.94117647058823,8.176470588235293,15.470588235294118,3.8823529411764706,10.470588235294118
2022-02-15,149.41176470588235,89.41176470588235,7.764705882352941,15.705882352941176,3.823529411764706,10.705882352941176
