date,pm25,pm10,o3,no2,so2,co
2022-01-01,116.0,37.0,13.0,3.0,1.0,1.0
2022-01-02,116.0,43.0,16.0,4.0,1.0,3.0
2022-01-03,116.0,65.0,19.0,4.0,1.0,2.0
2022-01-04,116.0,70.0,11.0,7.0,3.0,3.0
2022-01-05,116.0,72.0,11.0,4.0,1.0,3.0
2022-01-06,116.0,57.0,11.0,4.0,1.0,2.0
2022-01-07,116.0,57.0,11.0,3.0,1.0,2.0
2022-01-08,116.0,41.0,12.0,3.0,1.0,2.0
2022-01-09,116.0,38.0,10.0,4.0,1.0,3.0
2022-01-10,116.0,45.0,8.0,3.0,1.0,2.0
2022-01-11,116.0,30.0,8.0,3.0,1.0,2.0
2022-01-12,116.0,43.0,10.0,4.0,1.0,3.0
2022-01-13,116.0,61.0,9.0,3.0,1.0,2.0
2022-01-14,116.0,26.0,8.0,2.0,1.0,2.0
2022-01-15,116.0,25.0,13.0,2.0,1.0,1.0
2022-01-16,116.0,21.0,12.0,5.0,1.0,3.0
2022-01-17,116.0,32.0,12.0,4.0,1.0,3.0
2022-01-18,116.0,51.0,12.0,7.0,2.0,4.0
2022-01-19,116.0,80.0,18.0,6.0,1.0,5.0
2022-01-20,116.0,83.0,16.0,6.0,1.0,5.0
2022-01-21,116.0,75.0,17.0,5.0,1.0,3.0
2022-01-22,116.0,70.0,15.0,5.0,1.0,2.0
2022-01-23,116.0,57.0,12.0,6.0,1.0,5.0
2022-01-24,116.0,59.0,10.0,5.0,1.0,5.0
2022-01-25,116.0,57.0,9.0,4.0,1.0,2.0
2022-01-26,116.0,41.0,13.0,3.0,1.5,2.0
2022-01-27,116.0,44.0,16.0,4.0,2.0,1.0
2022-01-28,116.0,82.0,16.0,6.0,2.0,3.0
2022-01-29,116.0,100.0,15.0,4.0,1.0,3.0
2022-01-30,116.0,84.0,29.0,5.0,1.0,5.0
2022-01-31,116.0,82.0,14.0,5.0,1.0,4.0
2022-02-01,116.0,73.0,12.0,6.0,1.0,4.0
2022-02-02,116.0,65.0,11.0,5.0,1.0,3.0
2022-02-03,116.0,58.0,13.0,5.0,1.0,2.0
2022-02-04,116.0,56.0,12.0,4.0,1.0,3.0
2022-02-05,116.0,51.0,11.0,3.0,1.0,2.0
2022-02-06,116.0,45.0,12.0,4.0,1.0,2.0
2022-02-07,116.0,66.0,15.0,4.0,1.0,3.0
2022-02-08,116.0,67.0,15.0,4.0,1.0,2.0
2022-02-09,116.0,60.0,12.0,7.0,2.0,3.0
2022-02-10,116.0,86.0,12.0,3.0,1.0,1.0
2022-02-11,116.0,50.0,14.0,3.0,1.0,2.0
2022-02-12,116.0,58.0,12.0,4.0,1.0,2.0
2022-02-13,116.0,69.0,17.0,4.0,1.0,3.0
2022-02-14,116.0,71.0,18.0,3.0,1.0,3.0
2022-02-15,116.0,57.0,18.0,4.0,1.0,2.0
2022-02-16,116.0,71.0,15.0,5.0,1.0,3.0
2022-02-17,116.0,107.0,15.0,3.0,1.0,2.0
2022-02-18,116.0,62.0,17.0,4.0,1.0,2.0
2022-02-19,116.0,72.0,17.0,5.0,1.0,4.0
2022-02-20,116.0,87.0,14.0,5.0,1.0,3.0
2022-02-21,116.0,63.0,9.0,4.0,1.0,2.0
2022-02-22,116.0,52.0,9.0,3.0,1.0,2.0
2022-02-23,116.0,49.0,9.0,4.0,1.0,2.0
2022-02-24,116.0,63.0,11.0,4.0,1.0,2.0
2022-02-25,116.0,66.0,9.0,4.0,1.0,2.0
2022-02-26,116.0,60.0,6.0,4.0,1.0,1.0
2022-02-27,116.0,36.0,8.0,5.0,1.0,3.5
2022-02-28,116.0,57.0,6.0,5.0,1.0,6.0
2022-03-01,116.0,71.0,8.0,6.0,3.0,3.0
2022-03-02,116.0,82.0,14.0,8.0,3.0,3.0
