date,pm25,pm10,o3,no2,so2,co
2022-01-01,62.0,36.0,17.0,6.0,19.0,5.0
2022-01-02,58.0,53.0,21.0,6.0,17.0,6.0
2022-01-03,86.0,60.0,20.0,6.0,7.0,5.0
2022-01-04,97.0,51.0,12.0,6.0,10.0,5.0
2022-01-05,80.0,52.0,7.0,6.0,19.0,5.0
2022-01-06,77.0,41.0,7.0,6.0,8.0,7.0
2022-01-07,60.0,32.0,3.0,9.0,1.0,6.0
2022-01-08,48.0,34.0,4.0,7.0,1.0,5.0
2022-01-09,75.0,37.0,5.0,9.0,6.0,5.0
2022-01-10,74.0,23.0,2.0,7.0,3.0,5.0
2022-01-11,46.0,23.0,4.0,6.0,4.0,6.0
2022-01-12,53.0,27.0,7.0,6.0,4.0,6.0
2022-01-13,59.0,19.0,8.0,6.0,4.0,6.0
2022-01-14,32.0,20.0,2.0,7.0,3.0,5.0
2022-01-15,40.0,19.0,6.0,6.0,2.5,6.0
2022-01-16,36.0,22.0,7.0,6.0,2.0,5.0
2022-01-17,49.0,39.0,16.0,7.0,1.5,5.0
2022-01-18,70.0,58.0,18.0,7.0,1.0,4.0
2022-01-19,98.0,55.0,32.0,6.0,2.0,5.0
2022-01-20,93.0,110.0,27.0,6.0,2.0,5.0
2022-01-21,98.0,55.0,26.0,6.0,2.0,6.0
2022-01-22,107.0,46.0,20.0,6.0,2.0,5.0
2022-01-23,89.0,41.0,15.0,7.0,2.0,6.0
2022-01-24,72.0,48.0,11.0,6.0,3.0,4.0
2022-01-25,67.0,31.0,10.0,6.0,2.0,7.0
2022-01-26,54.0,34.0,8.0,6.0,3.0,6.0
2022-01-27,58.0,61.0,17.0,6.0,3.0,6.0
2022-01-28,82.0,67.0,22.0,7.0,7.0,8.0
2022-01-29,110.0,68.0,19.0,7.0,1.0,5.0
2022-01-30,100.0,69.0,22.0,6.0,11.0,5.0
2022-01-31,113.0,62.0,20.0,6.0,12.0,5.0
2022-02-01,103.0,51.0,21.0,6.0,9.0,5.0
2022-02-02,83.0,44.0,17.0,6.0,4.0,7.0
