date,pm25,pm10,o3,no2,so2,co
2022-01-01,61.0,42.0,18.0,1.0,1.0,2.0
2022-01-02,60.0,61.0,18.0,2.0,1.0,3.0
2022-01-03,111.0,62.0,18.0,1.0,1.0,3.0
2022-01-04,115.0,66.0,14.0,3.0,2.0,4.0
2022-01-05,102.0,47.0,10.0,2.0,2.0,3.0
2022-01-06,78.0,47.0,11.0,1.0,1.0,3.0
2022-01-07,59.0,42.0,11.0,1.0,1.0,2.0
2022-01-08,30.0,33.0,10.0,1.0,1.0,2.0
2022-01-09,41.0,31.0,9.0,1.0,1.0,3.0
2022-01-10,37.0,30.0,7.0,1.0,1.0,2.0
2022-01-11,25.0,28.0,7.0,1.0,1.0,2.0
2022-01-12,29.0,29.0,7.0,1.2,1.0,3.0
2022-01-13,64.0,17.0,6.0,1.4,1.0,2.0
2022-01-14,34.0,20.0,8.0,1.6,1.0,2.0
2022-01-15,24.0,28.0,12.0,1.7999999999999998,1.0,2.0
2022-01-16,25.0,27.0,12.0,2.0,1.0,3.0
2022-01-17,50.0,56.0,13.0,1.0,1.0,3.0
2022-01-18,96.0,72.0,18.0,3.0,3.0,6.0
2022-01-19,130.0,69.0,18.0,3.0,2.0,4.0
2022-01-20,137.0,76.0,14.0,3.0,1.0,4.0
2022-01-21,131.0,60.0,15.0,1.0,1.0,3.0
2022-01-22,127.0,51.0,14.0,1.5,1.0,3.0
2022-01-23,100.0,38.0,12.0,2.0,1.0,4.0
2022-01-24,76.0,47.0,9.0,3.0,1.0,4.0
2022-01-25,78.0,33.0,9.0,1.0,1.0,2.0
2022-01-26,37.0,62.0,12.0,1.0,1.0,2.0
2022-01-27,51.0,71.0,19.0,1.0,1.0,2.0
2022-01-28,87.0,92.0,23.0,1.0,2.0,4.0
2022-01-29,142.0,82.0,23.0,1.0,1.0,3.0
2022-01-30,128.0,84.0,23.0,3.0,2.0,7.0
2022-01-31,125.0,71.0,19.0,3.0,1.0,4.0
2022-02-01,113.0,61.0,12.0,3.0,2.0,4.0
2022-02-02,83.0,50.0,11.0,2.0,1.0,3.0
2022-02-03,61.0,40.0,12.0,1.0,1.5,2.0
2022-02-04,53.0,50.0,13.0,2.0,2.0,3.0
2022-02-05,66.0,45.0,16.0,1.5,2.5,2.0
2022-02-06,57.0,66.0,16.0,1.0,3.0,3.0
2022-02-07,83.0,75.0,22.0,2.0,3.5,3.0
2022-02-08,86.0,66.0,22.0,1.0,4.0,3.0
2022-02-09,69.0,79.0,16.0,2.0,3.0,3.0
2022-02-10,103.0,75.6,17.8,2.0,2.8,3.8
2022-02-11,98.8,72.2,19.6,2.0,2.6,4.6
2022-02-12,94.6,68.8,21.4,2.0,2.4,5.4
2022-02-13,90.4,65.4,23.2,2.0,2.2,6.199999999999999
2022-02-14,86.2,62.0,25.0,2.0,2.0,7.0
2022-02-15,82.0,77.0,22.0,2.0,2.0,3.0
2022-02-16,106.0,64.0,18.0,1.0,1.6666666666666667,2.0
2022-02-17,83.0,62.5,18.0,1.0,1.3333333333333335,2.5
2022-02-18,87.0,61.0,18.0,1.0,1.0,3.0
2022-02-19,91.0,51.0,14.0,1.0,1.0,3.0
2022-02-20,97.0,49.0,12.0,1.0,2.0,3.0
