date,pm25,pm10,o3,no2,so2,co
2019-01-01,401.0,516.0,25.0,61.0,6.0,40.0
2019-01-02,249.0,218.0,11.0,30.0,3.0,16.0
2019-01-03,169.0,162.0,12.0,46.0,13.0,13.0
2019-01-04,125.0,181.0,23.0,45.0,11.0,16.0
2019-01-05,207.0,190.0,44.0,31.0,15.0,22.0
2019-01-06,187.0,143.0,15.0,26.0,5.0,17.0
2019-01-07,163.0,181.0,22.0,32.0,4.0,19.0
2019-01-08,98.0,71.0,89.0,19.0,3.0,12.0
2019-01-09,86.0,92.0,22.0,24.0,3.0,8.0
2019-01-10,93.0,100.0,28.0,24.0,2.0,26.0
2019-01-11,478.0,443.0,5.0,48.0,9.0,30.0
2019-01-12,195.0,207.0,24.0,46.0,2.0,19.0
2019-01-13,206.45,216.35,23.25,47.3,2.15,19.45
2019-01-14,217.9,225.7,22.5,48.6,2.3,19.9
2019-01-15,229.35,235.05,21.75,49.9,2.45,20.35
2019-01-16,240.8,244.4,21.0,51.2,2.6,20.8
2019-01-17,252.25,253.75,20.25,52.5,2.75,21.25
2019-01-18,263.7,263.1,19.5,53.8,2.9,21.7
2019-01-19,275.15,272.45,18.75,55.1,3.05,22.15
2019-01-20,286.6,281.8,18.0,56.4,3.2,22.6
2019-01-21,298.05,291.15,17.25,57.7,3.35,23.05
2019-01-22,309.5,300.5,16.5,59.0,3.5,23.5
2019-01-23,320.95,309.85,15.75,60.3,3.65,23.95
2019-01-24,332.4,319.2,15.0,61.6,3.8,24.4
2019-01-25,343.85,328.55,14.25,62.9,3.95,24.85
2019-01-26,355.29999999999995,337.9,13.5,64.2,4.1,25.3
2019-01-27,366.75,347.25,12.75,65.5,4.25,25.75
2019-01-28,378.2,356.6,12.0,66.8,4.4,26.2
2019-01-29,389.65,365.95,11.25,68.1,4.55,26.65
2019-01-30,401.1,375.29999999999995,10.5,69.4,4.7,27.1
2019-01-31,412.54999999999995,384.65,9.75,70.7,4.85,27.55
2019-02-01,424.0,394.0,9.0,72.0,5.0,28.0
2019-02-02,269.0,187.0,12.0,26.0,4.0,27.0
2019-02-03,186.0,93.0,12.0,30.0,7.0,12.0
2019-02-04,176.0,175.0,16.0,50.0,9.0,18.0
2019-02-05,164.0,116.0,49.0,33.0,16.0,18.0
2019-02-06,162.0,237.0,12.0,18.0,4.0,15.0
2019-02-07,166.0,82.0,4.0,17.0,3.0,15.0
2019-02-08,91.0,71.0,54.0,17.0,3.0,14.0
2019-02-09,135.0,123.0,20.0,28.0,2.0,12.0
2019-02-10,121.0,133.0,104.0,31.0,4.0,25.0
2019-02-11,400.0,731.0,5.0,46.0,8.0,28.0
2019-02-12,216.0,229.0,22.0,46.0,4.0,29.0
2019-02-13,225.47058823529412,233.11764705882354,21.235294117647058,46.35294117647059,3.8823529411764706,29.235294117647058
2019-02-14,234.94117647058823,237.23529411764707,20.470588235294116,46.705882352941174,3.764705882352941,29.470588235294116
2019-02-15,244.41176470588235,241.35294117647058,19.705882352941178,47.05882352941177,3.6470588235294117,29.705882352941178
2019-02-16,253.88235294117646,245.47058823529412,18.941176470588236,47.411764705882355,3.5294117647058822,29.941176470588236
2019-02-17,263.3529411764706,249.58823529411765,18.176470588235293,47.76470588235294,3.411764705882353,30.176470588235293
2019-02-18,272.8235294117647,253.70588235294116,17.41176470588235,48.11764705882353,3.2941176470588234,30.41176470588235
2019-02-19,282.29411764705884,257.8235294117647,16.647058823529413,48.470588235294116,3.1764705882352944,30.647058823529413
2019-02-20,291.7647058823529,261.94117647058823,15.882352941176471,48.8235294117647,3.0588235294117645,30.88235294117647
2019-02-21,301.2352941176471,266.05882352941177,15.117647058823529,49.1764705882353,2.9411764705882355,31.11764705882353
2019-02-22,310.70588235294116,270.1764705882353,14.352941176470587,49.529411764705884,2.8235294117647056,31.352941176470587
2019-02-23,320.1764705882353,274.29411764705884,13.588235294117647,49.88235294117647,2.7058823529411766,31.58823529411765
2019-02-24,329.6470588235294,278.4117647058823,12.823529411764705,50.23529411764706,2.5882352941176467,31.823529411764707
