date,pm25,pm10,o3,no2,so2,co
2019-01-01,353.0,435.0,37.0,21.0,11.0,27.0
2019-01-02,398.0,369.0,22.0,27.0,8.0,11.0
2019-01-03,373.0,297.0,21.0,27.0,10.0,10.0
2019-01-04,319.0,336.0,20.0,23.0,9.0,5.0
2019-01-05,336.0,187.0,6.0,26.0,8.0,6.2
2019-01-06,261.0,158.0,6.0,22.0,8.0,7.4
2019-01-07,235.0,155.0,7.0,22.0,10.0,8.6
2019-01-08,247.0,144.0,9.0,23.0,11.0,9.8
2019-01-09,192.0,253.0,10.0,26.0,14.0,11.0
2019-01-10,247.0,347.0,7.0,38.0,15.0,12.2
2019-01-11,328.0,483.0,7.0,25.0,9.0,13.4
2019-01-12,470.0,244.0,11.0,30.0,10.0,14.6
2019-01-13,295.0,122.0,8.0,19.0,9.0,15.8
2019-01-14,176.0,154.0,10.0,21.0,12.0,17.0
2019-01-15,195.0,356.0,9.0,28.0,13.0,18.2
2019-01-16,334.0,465.0,12.0,29.0,11.0,19.4
2019-01-17,426.0,281.0,9.0,24.0,8.0,20.6
2019-01-18,327.0,675.0,4.0,42.0,17.0,21.8
2019-01-19,410.0,389.0,6.0,28.0,11.0,23.0
2019-01-20,357.0,215.0,7.0,22.0,8.0,24.2
2019-01-21,252.0,89.0,3.0,20.0,9.0,25.4
2019-01-22,158.0,135.0,9.0,21.0,9.0,26.6
2019-01-23,203.0,164.0,10.0,21.0,10.0,27.8
2019-01-24,261.0,161.0,7.0,24.0,9.0,29.0
2019-01-25,245.0,158.0,13.0,19.0,9.0,30.2
2019-01-26,182.0,155.0,10.0,20.0,10.0,31.4
2019-01-27,229.0,152.0,13.0,20.0,9.0,32.6
2019-01-28,199.0,149.0,13.0,22.0,13.0,33.8
2019-01-29,227.0,146.0,8.0,27.0,17.0,35.0
2019-01-30,296.0,143.0,7.0,27.0,10.0,18.0
2019-01-31,284.0,140.0,5.0,23.0,10.0,6.0
2019-02-01,236.0,137.0,5.0,20.0,8.0,17.0
2019-02-02,248.0,134.0,6.0,19.0,8.0,26.0
2019-02-03,214.0,131.0,6.0,25.0,9.0,23.0
2019-02-04,228.0,128.0,7.0,29.0,10.0,4.0
2019-02-05,307.0,125.0,6.0,22.0,8.0,18.0
