date,pm25,pm10,o3,no2,so2,co
2020-06-01,66.0,197.0,19.0,3.0,3.0,1.0
2020-06-02,77.0,139.0,13.0,3.0,3.0,9.0
2020-06-03,203.0,48.0,8.0,3.0,5.0,7.0
2020-06-04,80.0,34.0,6.0,3.0,3.666666666666667,7.0
2020-06-05,54.0,23.0,8.0,3.0,2.3333333333333335,7.0
2020-06-06,39.0,49.0,1.0,4.0,1.0,8.0
2020-06-07,70.0,45.0,18.0,3.0,1.0,7.0
2020-06-08,66.0,71.0,7.0,2.0,1.0,9.0
2020-06-09,115.0,125.0,9.0,2.021276595744681,1.0,8.0
2020-06-10,101.0,64.0,5.0,2.0425531914893615,1.0,7.0
2020-06-11,106.0,52.0,6.0,2.0638297872340425,1.0,6.0
2020-06-12,67.0,52.0,1.0,2.0851063829787235,1.0,5.0
2020-06-13,43.0,46.0,1.0,2.106382978723404,1.0,6.0
2020-06-14,48.0,32.0,5.0,2.127659574468085,1.0,7.0
2020-06-15,38.0,46.0,3.0,2.148936170212766,1.0,7.0
2020-06-16,50.0,52.0,1.0,2.170212765957447,1.0,7.0
2020-06-17,53.0,39.0,7.0,2.1914893617021276,1.0,7.0
2020-06-18,57.0,36.0,1.0,2.2127659574468086,1.0,8.0
2020-06-19,53.0,37.0,6.0,2.2340425531914896,1.0,7.0
2020-06-20,50.0,36.0,5.333333333333333,2.25531914893617,1.0,6.0
2020-06-21,22.0,37.0,4.666666666666667,2.276595744680851,1.0,7.0
2020-06-22,29.0,60.0,4.0,2.297872340425532,6.0,6.0
2020-06-23,47.0,32.0,176.0,2.3191489361702127,19.0,3.0
2020-06-24,32.0,55.0,14.0,2.3404255319148937,10.0,4.0
2020-06-25,38.0,31.0,4.0,2.3617021276595747,22.0,4.0
2020-06-26,110.0,50.0,41.0,2.382978723404255,39.0,5.0
2020-06-27,39.0,42.0,19.0,2.404255319148936,33.0,5.0
2020-06-28,47.0,33.0,2.0,2.425531914893617,9.0,7.0
2020-06-29,42.0,63.0,3.0,2.4468085106382977,29.0,5.0
2020-06-30,84.0,108.0,28.0,2.4680851063829787,13.0,8.0
2020-07-01,125.0,232.0,6.0,2.4893617021276597,20.0,8.0
2020-07-02,123.0,166.0,5.0,2.5106382978723403,18.0,3.0
2020-07-03,81.0,114.0,107.0,2.5319148936170213,9.0,3.0
2020-07-04,65.0,39.0,1.0,2.5531914893617023,3.0,3.0
2020-07-05,53.0,38.0,1.5,2.574468085106383,1.0,3.0
2020-07-06,39.0,35.0,2.0,2.595744680851064,8.0,3.0
2020-07-07,21.0,49.0,3.0,2.617021276595745,14.0,6.0
2020-07-08,61.0,14.0,4.0,2.6382978723404253,1.0,4.0
2020-07-09,37.0,34.0,4.75,2.6595744680851063,1.0,4.0
2020-07-10,57.0,36.0,5.5,2.6808510638297873,1.0,4.0
2020-07-11,82.0,48.5,6.25,2.702127659574468,2.0,3.5
2020-07-12,73.0,61.0,7.0,2.723404255319149,3.0,3.0
2020-07-13,69.0,63.0,6.0,2.74468085106383,3.0,5.0
2020-07-14,70.0,66.0,5.0,2.765957446808511,3.0,5.0
2020-07-15,81.0,63.0,6.0,2.7872340425531914,1.0,5.0
2020-07-16,69.0,65.0,3.0,2.8085106382978724,1.0,4.0
2020-07-17,67.0,68.0,9.0,2.8297872340425534,1.0,4.0
2020-07-18,86.0,64.0,4.0,2.851063829787234,1.0,4.0
2020-07-19,137.0,55.0,1.0,2.872340425531915,1.0,5.0
2020-07-20,64.0,50.0,16.0,2.893617021276596,1.0,5.0
2020-07-21,102.0,49.2,14.2,2.914893617021277,1.0,4.2
2020-07-22,95.4,48.4,12.4,2.9361702127659575,1.0,3.4000000000000004
2020-07-23,88.8,47.6,10.6,2.9574468085106385,1.0,2.6
2020-07-24,82.2,46.8,8.8,2.9787234042553195,1.0,1.8000000000000003
2020-07-25,75.6,46.0,7.0,3.0,1.0,1.0
2020-07-26,69.0,253.0,19.0,6.0,11.0,5.0
2020-07-27,90.0,38.0,2.0,1.0,26.0,3.0
2020-07-28,38.0,32.0,1.0,2.0,13.0,4.0
2020-07-29,22.0,35.0,2.0,2.0,2.0,5.0
2020-07-30,58.0,37.0,3.0,2.0,3.0,4.0
2020-07-31,69.0,34.0,3.0,3.0,3.0,5.0
2020-08-01,66.0,36.0,2.0,2.5,3.0,5.5
2020-08-02,65.5,38.0,1.0,2.0,3.0,6.0
2020-08-03,65.0,33.0,3.0,2.0,2.0,3.0
2020-08-04,58.0,20.0,7.0,1.0,3.0,3.0
2020-08-05,20.0,32.0,3.0,1.0,3.0,2.0
2020-08-06,64.0,34.0,4.0,1.0,2.0,5.0
2020-08-07,63.0,48.0,2.0,2.0,3.0,4.0
2020-08-08,87.0,54.0,2.0,2.5,2.5,4.0
2020-08-09,116.0,60.0,2.0,3.0,2.0,4.0
2020-08-10,145.0,55.0,1.0,2.0,2.0,3.0
2020-08-11,110.0,41.0,2.888888888888889,3.0,3.0,4.0
2020-08-12,116.0,116.375,4.777777777777778,3.0,3.0,3.875
2020-08-13,112.2,191.75,6.666666666666667,3.0,3.0,3.75
2020-08-14,108.4,267.125,8.555555555555555,3.0,3.0,3.625
2020-08-15,104.6,342.5,10.444444444444445,3.0,3.0,3.5
2020-08-16,100.8,417.875,12.333333333333334,3.0,3.0,3.375
2020-08-17,97.0,493.25,14.222222222222221,3.0,3.0,3.25
2020-08-18,93.2,568.625,16.11111111111111,3.0,3.0,3.125
2020-08-19,89.4,644.0,18.0,3.0,3.0,3.0
2020-08-20,85.6,25.0,11.0,3.0,3.0,3.0
2020-08-21,81.8,29.0,21.0,3.0,3.0,4.0
2020-08-22,78.0,20.0,19.0,3.0,3.0,5.0
2020-08-23,74.19999999999999,32.0,13.0,3.0,3.0,4.0
2020-08-24,70.4,32.0,12.0,3.0,3.0,4.0
2020-08-25,66.6,36.0,12.0,3.0,3.0,3.0
2020-08-26,62.8,27.0,15.0,3.0,3.0,3.0
2020-08-27,59.0,42.0,13.0,3.0,3.0,4.0
2020-08-28,46.0,46.0,10.0,3.0,6.0,4.0
2020-08-29,59.0,45.0,11.5,2.5,4.0,4.0
2020-08-30,60.0,44.0,13.0,2.0,2.0,4.0
2020-08-31,61.0,42.0,19.0,2.0,2.0,3.0
2020-09-01,31.0,176.0,24.0,2.0,3.0,4.0
2020-09-02,36.0,81.0,19.0,1.0,3.0,4.0
2020-09-03,96.0,72.0,24.0,2.0,3.0,5.0
2020-09-04,106.0,55.0,23.0,3.0,3.0,5.0
2020-09-05,150.0,43.0,18.0,3.0,3.0,4.0
2020-09-06,72.0,34.0,15.0,2.0,2.0,4.0
2020-09-07,52.0,40.0,19.0,2.0,3.0,6.0
2020-09-08,66.0,41.0,16.0,3.0,3.0,6.0
2020-09-09,60.0,41.0,29.0,3.0,3.0,5.0
2020-09-10,68.0,47.0,33.0,2.0,7.0,4.0
2020-09-11,66.0,55.0,3.0,2.0,2.0,6.0
2020-09-12,105.0,55.0,1.0,2.0,3.0,6.0
2020-09-13,112.0,42.0,2.0,7.0,2.0,5.0
2020-09-14,80.0,31.0,8.0,46.0,3.0,6.0
2020-09-15,58.0,33.0,21.0,4.0,3.0,6.0
2020-09-16,72.0,39.0,18.0,4.0,2.0,4.0
2020-09-17,70.0,43.0,10.0,3.0,2.0,5.0
2020-09-18,73.0,38.0,9.0,1.0,2.0,5.0
2020-09-19,64.0,42.0,11.0,1.0,3.0,5.0
2020-09-20,70.0,33.0,8.0,1.0,3.0,5.0
2020-09-21,63.0,18.0,6.0,1.0,3.0,3.0
2020-09-22,41.0,26.0,11.0,1.0,3.0,4.0
2020-09-23,49.0,29.0,13.0,1.0,3.0,4.0
2020-09-24,57.0,30.0,4.0,1.0,2.0,4.0
2020-09-25,57.0,34.0,10.0,1.0,2.0,4.0
2020-09-26,61.0,43.0,16.0,3.0,2.0,5.0
2020-09-27,65.0,54.0,29.0,5.0,3.0,5.0
2020-09-28,88.0,69.0,11.0,6.0,3.0,8.0
