date,pm25,pm10,o3,no2,so2,co
2020-06-01,76.0,74.0,50.0,8.0,2.0,4.0
2020-06-02,98.0,75.0,49.0,8.0,2.0,4.0
2020-06-03,124.0,76.0,25.0,9.0,2.0,4.0
2020-06-04,129.0,48.0,20.0,8.0,2.0,4.0
2020-06-05,90.0,39.0,25.0,4.0,2.0,4.0
2020-06-06,63.0,55.0,24.0,3.0,2.0,5.0
2020-06-07,85.0,56.0,30.0,5.0,2.0,5.0
2020-06-08,82.0,83.0,37.0,5.0,2.0,5.0
2020-06-09,131.0,79.0,39.0,5.0,2.0,4.0
2020-06-10,142.0,68.0,24.0,6.0,2.0,3.0
2020-06-11,108.0,55.0,22.0,3.0,2.0,3.0
2020-06-12,62.0,51.0,18.0,4.0,2.0,3.0
2020-06-13,56.0,48.0,14.0,3.0,2.0,3.0
2020-06-14,56.0,46.0,13.0,2.0,2.0,3.0
2020-06-15,62.0,47.0,14.0,2.0,2.0,4.0
2020-06-16,68.0,48.0,12.0,2.0,2.0,3.0
2020-06-17,70.0,49.0,10.0,2.0,2.0,4.0
2020-06-18,89.0,45.0,9.0,2.0,2.0,4.0
2020-06-19,49.0,53.0,15.0,5.0,2.0,4.0
2020-06-20,70.0,45.0,8.0,8.0,2.0,3.0
2020-06-21,47.0,48.0,10.0,9.0,2.0,3.0
2020-06-22,49.0,53.0,14.0,4.0,2.0,3.0
2020-06-23,70.0,54.0,20.0,2.5,2.0,3.0
2020-06-24,70.0,54.0,11.0,1.0,2.0,4.0
2020-06-25,72.0,37.0,15.0,1.0,2.0,3.0
2020-06-26,48.0,50.0,24.0,1.0,2.0,3.0
2020-06-27,54.0,47.0,19.0,1.0,2.0,2.0
2020-06-28,34.0,43.0,13.0,3.0,2.0,4.0
2020-06-29,29.0,42.0,13.0,8.0,2.0,5.0
2020-06-30,74.0,63.0,15.0,7.0,2.0,5.0
2020-07-01,102.0,61.0,15.0,5.0,2.0,4.0
2020-07-02,107.0,45.0,17.0,1.0,2.0,2.0
2020-07-03,91.0,33.0,7.0,7.0,2.0,4.0
2020-07-04,135.0,22.0,8.0,6.0,2.0,3.0
2020-07-05,39.0,25.0,9.0,6.0,2.0,3.0
2020-07-06,43.0,24.0,10.0,1.0,2.0,2.0
2020-07-07,49.0,36.0,20.0,1.0,2.0,3.0
2020-07-08,65.0,19.0,9.0,1.0,2.0,3.0
