date,pm25,pm10,o3,no2,so2,co
2022-04-01,103.0,48.0,10.0,8.0,2.0,3.0
2022-04-02,93.0,45.0,10.0,7.0,2.0,4.0
2022-04-03,70.0,53.0,10.0,8.0,2.0,2.0
2022-04-04,74.0,42.0,10.0,5.0,2.0,3.0
2022-04-05,66.0,44.0,10.0,6.0,2.0,3.0
2022-04-06,61.0,46.0,10.0,8.0,2.0,3.0
2022-04-07,67.0,52.0,10.0,8.0,2.0,2.0
2022-04-08,73.0,34.0,10.0,8.0,1.0,2.0
2022-04-09,42.0,28.0,10.0,7.0,2.5,2.0
2022-04-10,35.0,37.0,10.0,8.0,4.0,4.0
2022-04-11,30.0,41.0,10.0,7.0,5.5,4.0
2022-04-12,30.0,30.0,10.0,6.0,7.0,2.0
2022-04-13,10.0,26.0,10.0,5.0,2.0,2.0
2022-04-14,14.0,26.0,10.0,5.0,7.500000000000001,2.0
2022-04-15,16.0,25.0,10.0,5.0,13.0,2.0
2022-04-16,13.0,24.0,10.0,6.0,11.333333333333334,2.0
2022-04-17,17.0,33.0,10.0,7.0,9.666666666666666,2.0
2022-04-18,14.0,37.0,10.0,8.0,8.0,2.0
2022-04-19,33.0,46.0,10.0,8.0,1.0,2.0
2022-04-20,71.0,60.0,10.0,7.0,1.0,1.0
2022-04-21,73.0,47.0,10.0,7.0,1.0,2.0
2022-04-22,69.0,31.0,10.0,5.0,1.0,1.0
2022-04-23,69.0,26.0,10.0,6.0,1.0,1.5
2022-04-24,68.0,32.0,10.0,7.0,1.0,2.0
2022-04-25,71.0,43.0,10.0,8.0,1.0,2.0
2022-04-26,69.0,51.0,10.0,5.0,1.0,2.0
2022-04-27,68.0,47.0,10.0,6.0,1.0,1.0
2022-04-28,68.0,43.0,10.0,7.0,1.0,1.0
2022-04-29,67.0,42.0,10.0,9.0,1.0,2.0
2022-04-30,69.0,42.0,10.0,7.0,1.0,1.0
2022-05-01,65.0,47.0,10.0,8.0,1.2,1.0
2022-05-02,68.0,53.0,10.0,7.0,1.4,1.0
2022-05-03,70.0,54.0,10.0,8.0,1.6,3.0
2022-05-04,70.0,39.0,10.0,9.0,1.7999999999999998,1.0
2022-05-05,70.0,28.0,10.0,8.0,2.0,2.0
2022-05-06,70.0,27.0,10.0,8.0,1.6666666666666667,3.0
2022-05-07,69.0,35.0,10.0,7.0,1.3333333333333335,2.0
2022-05-08,70.0,36.0,10.0,7.0,1.0,3.0
2022-05-09,69.0,21.0,10.0,6.0,1.3333333333333333,2.0
2022-05-10,69.0,18.0,10.0,9.0,1.6666666666666665,1.0
2022-05-11,70.0,46.0,10.0,7.0,2.0,1.0
