date,pm25,pm10,o3,no2,so2,co
2022-01-01,146.0,104.0,15.0,24.0,10.0,6.0
2022-01-02,180.0,103.0,25.0,31.0,10.0,4.0
2022-01-03,179.0,99.0,39.0,33.0,9.0,3.0
2022-01-04,170.0,80.0,16.0,20.0,8.0,2.0
2022-01-05,157.0,82.0,15.0,20.0,13.0,4.0
2022-01-06,160.0,93.0,59.0,23.0,9.0,3.0
2022-01-07,151.0,61.0,19.0,20.0,9.0,4.0
2022-01-08,174.0,49.0,8.0,15.0,9.0,6.0
2022-01-09,105.0,40.0,22.0,16.0,10.0,6.0
2022-01-10,83.0,58.0,12.0,15.0,8.0,6.0
2022-01-11,116.0,52.0,21.0,14.0,8.0,5.0
2022-01-12,95.0,57.0,31.0,16.0,9.0,5.0
2022-01-13,105.0,60.0,38.0,14.0,8.0,5.0
2022-01-14,119.0,62.0,37.0,13.0,7.0,5.0
2022-01-15,129.0,62.0,33.0,13.0,8.0,5.0
2022-01-16,125.0,72.0,27.0,13.0,10.0,6.0
2022-01-17,145.0,84.0,26.0,16.0,9.0,6.0
2022-01-18,161.0,87.0,21.0,14.0,9.0,6.0
2022-01-19,157.0,100.0,14.0,15.0,9.0,6.0
2022-01-20,167.0,97.0,36.0,16.0,9.0,6.0
2022-01-21,152.0,98.0,26.0,14.0,15.0,6.0
2022-01-22,160.0,59.0,20.0,6.0,8.0,2.0
2022-01-23,103.0,53.0,2.0,5.0,8.0,2.0
2022-01-24,89.0,76.0,4.0,7.0,8.0,2.0
2022-01-25,100.0,62.0,2.0,7.0,8.0,2.0
2022-01-26,84.0,77.0,28.0,8.0,11.0,7.0
2022-01-27,110.0,74.0,31.0,10.0,9.0,5.0
2022-01-28,110.0,70.0,37.0,10.0,9.0,6.0
2022-01-29,106.0,70.0,36.0,8.0,12.0,8.0
2022-01-30,91.0,92.0,31.0,6.0,8.0,5.0
2022-01-31,151.0,92.0,27.0,13.0,8.0,5.0
2022-02-01,189.0,86.0,45.0,9.0,12.0,6.0
2022-02-02,137.0,85.0,42.0,5.0,10.0,7.0
2022-02-03,142.0,69.0,25.0,7.0,10.0,6.0
2022-02-04,106.0,65.0,27.0,14.0,11.0,7.0
2022-02-05,94.0,62.0,37.0,18.0,10.0,6.0
2022-02-06,96.0,82.0,31.0,21.0,10.0,7.0
2022-02-07,273.0,77.0,51.0,20.0,8.0,5.0
2022-02-08,117.0,77.0,39.0,17.0,6.0,4.0
2022-02-09,123.0,71.0,29.0,17.0,11.0,5.0
2022-02-10,112.0,62.0,36.0,17.0,8.0,5.0
2022-02-11,79.0,66.0,39.0,19.0,7.0,5.0
2022-02-12,83.0,73.0,42.0,19.0,9.0,6.0
2022-02-13,92.0,85.0,53.0,22.0,8.0,5.0
2022-02-14,116.0,95.0,43.0,22.0,14.0,10.0
2022-02-15,127.0,88.0,43.0,20.0,8.0,6.0
2022-02-16,120.0,80.0,40.0,20.0,10.0,7.0
2022-02-17,103.0,72.0,35.0,19.0,10.0,6.0
2022-02-18,82.0,76.0,38.0,19.0,10.0,6.0
2022-02-19,89.0,71.0,32.0,16.0,22.0,5.0
2022-02-20,88.0,76.0,36.0,21.0,10.0,7.0
2022-02-21,86.0,81.0,50.0,17.0,11.0,8.0
2022-02-22,90.0,69.0,53.0,14.0,9.0,6.0
2022-02-23,90.0,75.0,38.0,15.0,9.0,6.0
2022-02-24,109.0,94.0,41.0,20.0,22.0,7.0
2022-02-25,126.0,94.0,45.0,20.0,18.0,12.0
2022-02-26,123.0,65.0,45.0,17.0,16.0,7.0
2022-02-27,90.0,69.0,37.0,18.0,19.0,6.0
2022-02-28,89.0,72.0,45.0,20.0,17.0,5.0
2022-03-01,90.0,76.0,44.0,23.0,16.0,5.0
2022-03-02,97.0,80.0,50.0,21.0,18.0,6.0
2022-03-03,107.0,83.0,39.0,21.0,20.0,6.0
2022-03-04,103.0,74.0,41.0,20.0,16.0,5.0
2022-03-05,92.0,71.0,56.0,19.0,22.0,8.0
2022-03-06,81.0,85.0,35.0,18.0,18.0,5.0
2022-03-07,115.0,80.0,26.0,20.0,13.0,4.0
2022-03-08,121.0,72.0,29.0,23.0,8.0,2.0
2022-03-09,97.0,76.0,25.0,16.0,13.0,5.0
2022-03-10,97.0,74.0,20.0,23.0,13.0,6.0
2022-03-11,91.0,73.0,26.0,20.0,11.0,3.0
2022-03-12,85.0,75.0,27.0,19.0,13.0,4.0
2022-03-13,98.0,90.0,24.0,20.0,12.0,4.0
2022-03-14,105.0,95.0,31.0,25.0,14.0,4.0
2022-03-15,111.0,87.0,26.0,22.0,16.0,4.0
2022-03-16,109.0,80.0,31.0,22.0,12.0,4.0
2022-03-17,108.0,95.0,28.0,18.0,11.0,3.0
2022-03-18,142.0,84.0,34.0,22.0,16.0,5.0
2022-03-19,132.0,87.0,26.0,22.0,13.0,4.0
2022-03-20,127.0,84.0,18.0,23.0,14.0,5.0
2022-03-21,105.0,81.0,24.0,28.0,12.0,4.0
2022-03-22,87.0,81.0,20.0,24.0,12.0,4.0
2022-03-23,88.0,84.0,19.0,25.0,24.0,7.0
2022-03-24,122.0,80.0,18.0,22.0,13.0,4.0
2022-03-25,83.0,81.0,18.0,20.0,11.0,3.0
2022-03-26,80.0,80.0,19.0,25.0,19.0,9.0
2022-03-27,79.0,85.0,31.0,27.0,12.0,4.0
2022-03-28,92.0,88.0,30.0,25.0,23.0,5.0
2022-03-29,95.0,82.0,36.0,34.0,10.0,3.0
2022-03-30,104.0,79.0,35.0,22.0,12.0,4.0
2022-03-31,99.0,88.0,33.0,26.0,14.0,6.0
2022-04-01,95.0,82.0,38.0,23.0,12.0,4.0
2022-04-02,96.0,84.0,37.0,27.0,13.0,4.0
2022-04-03,98.0,82.0,21.0,38.0,19.0,6.0
2022-04-04,72.0,93.0,31.0,38.0,25.0,8.0
2022-04-05,92.0,89.0,31.0,33.0,20.0,7.0
2022-04-06,87.0,90.0,35.0,21.0,19.0,6.0
2022-04-07,86.0,90.0,33.0,26.0,24.0,8.0
2022-04-08,83.0,95.0,40.0,21.0,26.0,10.0
2022-04-09,134.0,79.0,35.0,18.0,10.0,3.0
2022-04-10,110.0,76.0,43.0,33.0,10.0,3.0
2022-04-11,77.0,71.0,50.0,21.0,30.0,4.0
2022-04-12,79.0,130.0,42.0,21.0,14.0,4.0
2022-04-13,92.0,102.0,23.0,22.0,17.0,6.0
2022-04-14,92.0,94.0,32.0,19.0,26.0,8.0
2022-04-15,68.0,91.0,29.0,24.0,29.0,10.0
2022-04-16,73.0,95.0,35.0,22.0,28.0,9.0
2022-04-17,77.0,85.0,41.0,22.0,30.0,9.0
2022-04-18,76.0,94.0,38.0,19.0,22.0,9.0
2022-04-19,100.0,131.0,33.0,18.0,18.0,6.0
2022-04-20,91.0,69.0,49.0,22.0,15.0,5.0
2022-04-21,55.0,78.0,32.0,26.0,22.0,10.0
2022-04-22,70.0,87.0,28.0,23.0,15.0,4.0
2022-04-23,75.0,85.0,36.0,15.0,12.0,4.0
2022-04-24,69.0,86.0,33.0,20.0,16.0,4.0
2022-04-25,68.0,93.0,39.0,17.0,12.0,3.0
2022-04-26,81.0,98.0,34.0,29.0,16.0,4.0
2022-04-27,86.0,103.0,55.0,23.0,16.0,4.0
2022-04-28,113.0,105.0,47.0,20.0,14.0,3.0
2022-04-29,122.0,105.0,38.0,19.0,13.0,3.0
2022-04-30,81.0,65.0,39.0,22.0,11.0,2.0
2022-05-01,54.0,67.0,44.0,18.0,9.0,2.0
2022-05-02,61.0,56.0,45.0,23.0,12.0,3.0
2022-05-03,56.0,48.0,37.0,17.0,10.0,2.0
2022-05-04,54.0,55.0,29.0,13.0,9.0,2.0
2022-05-05,42.0,58.0,34.0,27.0,11.0,3.0
2022-05-06,64.0,57.0,36.0,23.0,10.0,2.0
2022-05-07,65.0,57.0,34.0,12.0,8.0,1.0
2022-05-08,71.0,57.0,32.0,17.0,11.0,2.0
2022-05-09,66.0,44.0,29.0,17.0,9.0,2.0
2022-05-10,44.0,44.0,30.0,25.0,9.0,2.0
2022-05-11,52.0,40.0,29.0,16.0,12.0,3.0
2022-05-12,56.0,53.0,32.0,18.0,9.0,2.0
2022-05-13,72.0,61.0,33.0,13.0,13.0,3.0
2022-05-14,65.0,59.0,39.0,11.0,9.0,2.0
2022-05-15,67.0,67.0,22.0,16.0,13.0,3.0
2022-05-16,67.0,75.0,24.0,17.0,10.0,2.0
2022-05-17,70.0,72.0,30.0,11.0,10.0,2.0
2022-05-18,75.0,82.0,22.0,15.0,9.0,2.0
2022-05-19,79.0,79.0,35.0,10.0,10.0,2.0
2022-05-20,73.0,83.0,25.0,12.0,9.0,2.0
2022-05-21,64.0,73.0,34.0,14.0,8.0,2.0
2022-05-22,49.0,50.0,36.0,18.0,8.0,3.0
2022-05-23,46.0,44.0,28.0,20.0,6.0,7.0
2022-05-24,59.0,45.0,28.0,21.0,7.0,5.0
2022-05-25,45.0,59.0,37.0,28.0,13.0,3.0
2022-05-26,59.0,70.0,41.0,37.0,9.0,2.0
2022-05-27,67.0,48.0,37.0,26.0,8.0,3.0
2022-05-28,82.0,52.0,36.0,21.0,9.0,2.0
2022-05-29,54.0,56.0,40.0,16.0,8.0,2.0
2022-05-30,61.0,68.0,33.0,15.0,7.0,7.0
2022-05-31,68.0,64.0,31.0,20.0,9.0,2.0
2022-06-01,63.0,78.0,39.0,21.0,7.0,2.0
2022-06-02,72.0,74.0,37.0,28.0,10.0,3.0
2022-06-03,71.0,79.0,41.0,37.0,11.0,3.0
