date,pm25,pm10,o3,no2,so2,co
2022-01-01,173.0,92.0,3.0,12.0,5.0,10.0
2022-01-02,163.0,144.0,9.0,15.0,5.0,19.0
2022-01-03,213.0,124.0,3.0,19.0,5.0,22.0
2022-01-04,192.0,75.0,53.0,13.0,5.0,13.0
2022-01-05,156.0,78.0,4.0,12.0,5.0,11.0
2022-01-06,162.0,70.0,2.0,12.0,5.0,10.0
2022-01-07,153.0,55.0,3.0,12.0,5.0,8.0
2022-01-08,119.0,44.0,2.0,9.0,5.0,6.0
2022-01-09,109.0,50.0,4.0,11.0,5.0,6.0
2022-01-10,99.0,71.0,6.0,9.0,5.0,6.0
2022-01-11,156.0,66.0,5.0,11.0,5.0,5.0
2022-01-12,140.0,75.0,14.0,12.0,6.0,6.0
2022-01-13,142.0,83.0,4.0,11.0,5.0,7.0
2022-01-14,158.0,80.0,5.0,11.0,5.0,6.0
2022-01-15,161.0,78.0,5.0,7.0,5.0,5.0
2022-01-16,162.0,93.0,4.0,13.0,5.0,6.0
2022-01-17,173.0,97.0,6.0,10.0,5.0,8.0
2022-01-18,177.0,85.0,5.0,10.0,5.0,7.0
2022-01-19,167.0,79.0,9.0,12.0,6.0,9.0
2022-01-20,161.0,73.0,12.0,14.0,7.0,11.0
2022-01-21,149.0,76.0,3.0,13.0,5.0,11.0
2022-01-22,163.0,46.0,4.0,8.0,5.0,5.0
2022-01-23,111.0,46.0,4.0,8.0,6.0,4.0
2022-01-24,104.0,74.0,7.0,8.0,5.0,5.0
2022-01-25,139.0,59.0,6.0,9.0,5.0,3.0
2022-01-26,111.0,73.0,12.0,8.0,5.0,4.0
2022-01-27,142.0,71.0,7.0,11.0,6.0,5.0
2022-01-28,130.0,64.0,10.0,11.0,6.0,4.0
2022-01-29,122.0,68.0,8.0,10.0,6.0,7.0
2022-01-30,110.0,101.0,4.0,15.0,6.0,12.0
2022-01-31,180.0,92.5,19.0,13.0,6.0,10.0
2022-02-01,167.5,84.0,9.0,13.0,6.0,8.0
2022-02-02,155.0,77.0,7.0,7.0,6.0,7.0
2022-02-03,158.0,59.0,6.0,9.0,6.0,4.0
2022-02-04,131.0,58.0,5.0,11.0,6.0,6.0
2022-02-05,115.0,57.0,7.0,12.0,6.0,6.0
2022-02-06,117.0,76.0,12.0,17.0,6.0,8.0
2022-02-07,138.0,98.0,10.0,16.0,6.0,7.0
2022-02-08,159.0,89.0,12.0,10.0,6.0,6.0
2022-02-09,167.0,64.0,9.0,11.0,6.0,5.0
2022-02-10,143.0,62.0,12.0,8.0,6.0,3.0
2022-02-11,93.0,63.0,8.0,7.0,6.0,3.0
2022-02-12,92.0,79.0,5.0,14.0,6.0,6.0
2022-02-13,108.0,98.0,7.0,17.0,6.0,9.0
2022-02-14,135.0,102.0,7.0,17.0,6.0,9.0
2022-02-15,138.0,90.0,7.0,18.0,6.0,8.0
2022-02-16,138.0,79.0,8.0,15.0,6.0,6.0
2022-02-17,120.0,78.0,9.0,16.0,6.0,6.0
2022-02-18,94.0,81.0,8.0,15.0,6.0,6.0
2022-02-19,101.0,70.0,10.0,9.0,6.0,3.0
2022-02-20,97.0,73.0,11.0,13.0,6.0,4.0
2022-02-21,98.0,83.0,10.0,15.0,6.0,5.0
2022-02-22,111.0,76.0,10.0,9.0,6.0,4.0
2022-02-23,122.0,81.0,5.0,9.0,6.0,5.0
2022-02-24,137.0,97.0,7.0,12.0,6.0,8.0
2022-02-25,143.0,103.0,6.0,14.0,6.0,9.0
2022-02-26,140.0,71.0,6.0,11.0,6.0,5.0
2022-02-27,111.0,72.0,8.0,11.0,6.0,5.0
2022-02-28,105.0,72.0,10.0,12.0,6.0,6.0
2022-03-01,104.0,81.0,12.0,17.0,7.0,8.0
2022-03-02,107.0,85.0,12.0,17.0,6.0,7.0
2022-03-03,119.0,90.0,11.0,18.0,7.0,7.0
2022-03-04,113.0,77.0,11.0,11.0,7.0,4.0
2022-03-05,105.0,73.0,14.0,12.0,7.0,4.0
