date,pm25,pm10,o3,no2,so2,co
2022-01-01,160.0,66.0,1.0,3.0,3.0,4.0
2022-01-02,142.0,74.0,14.0,7.0,3.0,16.0
2022-01-03,157.0,83.0,1.0,7.0,4.0,12.0
2022-01-04,168.0,71.0,1.0,7.0,5.0,7.0
2022-01-05,155.0,72.0,1.0,6.0,5.0,6.0
2022-01-06,160.0,65.0,1.0,6.0,5.0,5.0
2022-01-07,153.0,57.0,1.0,6.0,5.0,4.0
2022-01-08,118.0,54.5,1.0,5.0,5.0,3.0
2022-01-09,106.0,52.0,3.0,4.0,5.0,2.0
2022-01-10,74.0,60.0,2.0,5.0,5.0,4.0
2022-01-11,135.0,53.0,1.0,4.0,5.0,3.0
2022-01-12,128.0,61.0,1.0,5.0,5.0,3.0
2022-01-13,126.0,70.0,2.0,5.0,5.0,4.0
2022-01-14,138.5,66.0,3.0,4.0,5.0,3.0
2022-01-15,151.0,67.0,2.0,3.0,5.0,2.0
2022-01-16,156.0,77.0,1.0,5.0,5.0,3.0
2022-01-17,165.0,86.0,1.0,5.0,5.0,5.0
2022-01-18,172.0,73.0,5.0,5.0,5.0,4.0
2022-01-19,157.0,72.0,2.0,6.0,5.0,5.0
2022-01-20,158.0,67.0,5.0,7.0,5.0,5.0
2022-01-21,156.0,71.0,2.0,7.0,5.0,6.0
2022-01-22,158.0,41.0,1.0,4.0,5.0,3.0
2022-01-23,106.0,38.0,1.0,3.0,5.0,2.0
2022-01-24,93.0,63.0,2.0,3.0,6.0,3.0
2022-01-25,127.0,48.0,2.0,4.0,6.0,2.0
2022-01-26,97.0,63.0,2.0,5.0,6.0,2.0
2022-01-27,125.0,57.0,2.0,6.0,6.0,2.0
2022-01-28,111.0,54.0,2.0,7.0,6.0,2.0
2022-01-29,110.0,45.0,3.0,5.0,6.0,2.0
2022-01-30,86.0,80.0,2.0,7.0,6.0,5.0
2022-01-31,157.0,55.0,3.0,7.0,5.0,5.0
2022-02-01,119.0,52.0,8.0,4.0,4.0,3.0
2022-02-02,110.0,61.0,9.0,2.0,4.0,4.0
2022-02-03,125.0,46.0,3.0,2.0,5.0,2.0
2022-02-04,97.0,41.0,1.0,3.0,5.0,3.0
2022-02-05,93.0,45.0,2.0,6.0,6.0,3.0
2022-02-06,89.0,60.0,7.0,7.0,7.0,3.0
2022-02-07,118.0,85.0,2.0,8.0,6.0,4.0
2022-02-08,143.0,72.0,2.0,6.0,7.0,3.0
2022-02-09,151.0,63.0,1.0,6.0,7.0,3.0
2022-02-10,133.0,46.0,5.0,5.0,6.0,1.0
2022-02-11,82.0,46.0,3.0,5.0,7.0,1.0
2022-02-12,84.0,52.0,3.0,8.0,6.0,2.0
2022-02-13,90.0,69.0,5.0,10.0,7.0,3.0
2022-02-14,96.0,70.0,3.0,10.0,7.0,4.0
2022-02-15,137.0,68.0,2.0,10.0,7.0,3.0
2022-02-16,124.0,62.0,3.0,10.0,7.0,3.0
2022-02-17,110.0,52.0,2.0,10.0,7.0,2.0
2022-02-18,83.0,56.0,4.0,10.0,7.0,2.0
2022-02-19,93.0,56.0,2.0,8.0,7.0,2.0
2022-02-20,94.0,57.0,5.0,10.0,6.0,2.0
2022-02-21,96.0,64.0,6.0,10.0,7.0,2.0
2022-02-22,107.0,63.0,7.0,6.0,7.0,1.0
2022-02-23,123.0,68.0,4.0,6.0,7.0,2.0
2022-02-24,140.0,74.0,6.0,6.0,7.0,3.0
2022-02-25,136.0,79.0,3.0,8.0,8.0,3.0
2022-02-26,137.0,54.0,3.0,6.0,8.0,2.0
2022-02-27,110.0,56.0,4.0,8.0,7.0,3.0
