date,pm25,pm10,o3,no2,so2,co
2022-01-01,178.0,91.0,4.0,11.0,6.0,8.0
2022-01-02,188.0,128.0,35.0,14.0,9.0,16.0
2022-01-03,225.0,123.0,85.0,19.0,55.0,26.0
2022-01-04,215.0,60.0,3.0,16.0,105.0,17.0
2022-01-05,150.0,63.0,7.0,13.0,60.0,15.0
2022-01-06,155.0,59.0,4.0,12.0,84.0,14.0
2022-01-07,147.0,47.0,3.0,11.0,88.0,11.0
2022-01-08,118.0,42.0,2.0,9.0,88.0,8.0
2022-01-09,117.0,67.0,5.0,13.0,29.0,10.0
2022-01-10,134.0,63.0,5.0,8.0,9.0,6.0
2022-01-11,158.0,65.0,9.0,10.0,9.0,6.0
2022-01-12,147.0,70.0,4.0,12.0,10.0,7.0
2022-01-13,153.0,82.0,4.0,13.0,10.0,9.0
2022-01-14,168.0,73.0,4.0,10.0,10.0,7.0
2022-01-15,166.0,73.0,5.0,7.0,10.0,4.0
2022-01-16,165.0,86.0,4.0,10.0,10.0,6.0
2022-01-17,178.0,92.0,4.0,11.0,10.0,9.0
2022-01-18,185.0,78.0,4.0,8.0,9.0,7.0
2022-01-19,170.0,79.0,11.0,11.0,6.0,11.0
2022-01-20,170.0,74.0,14.0,12.0,6.0,14.0
2022-01-21,162.0,75.0,7.0,12.0,7.0,14.0
2022-01-22,168.0,46.0,8.0,10.0,6.0,9.0
2022-01-23,103.0,43.0,5.0,6.0,6.0,4.0
2022-01-24,104.0,66.0,10.0,6.0,6.0,5.0
2022-01-25,142.0,54.0,11.0,6.0,6.0,3.0
2022-01-26,118.0,68.0,9.0,6.0,6.0,4.0
2022-01-27,148.0,63.0,12.0,6.0,6.0,4.0
2022-01-28,142.0,58.0,12.0,10.0,9.0,4.0
2022-01-29,122.0,73.0,17.0,11.0,7.0,11.0
2022-01-30,120.0,87.0,8.0,12.0,9.0,14.0
2022-01-31,177.0,68.0,5.0,11.0,16.0,9.0
2022-02-01,150.0,69.0,21.0,13.0,6.0,9.0
2022-02-02,150.0,73.0,9.0,8.0,6.0,8.0
2022-02-03,161.0,56.0,11.0,8.0,6.0,5.0
2022-02-04,136.0,53.0,8.0,7.0,6.0,5.0
2022-02-05,124.0,51.0,21.0,7.0,6.0,5.0
2022-02-06,126.0,80.0,20.0,17.0,6.0,9.0
2022-02-07,147.0,93.0,17.0,13.0,7.0,8.0
2022-02-08,163.0,83.0,3.0,10.0,9.0,8.0
2022-02-09,169.0,71.0,4.0,8.0,9.0,6.0
2022-02-10,144.0,56.0,13.0,7.0,8.0,2.0
2022-02-11,92.0,58.0,7.0,8.0,9.0,2.0
2022-02-12,91.0,82.0,6.0,14.0,9.0,7.0
2022-02-13,112.0,93.0,16.0,17.0,9.0,11.0
2022-02-14,137.0,86.0,23.0,17.0,10.0,8.0
2022-02-15,135.0,80.0,14.0,14.0,12.0,6.0
2022-02-16,137.0,71.0,7.0,12.0,12.0,6.0
2022-02-17,116.0,61.0,11.0,15.0,9.0,5.0
2022-02-18,90.0,75.0,10.0,14.0,10.0,6.0
2022-02-19,107.0,64.0,9.0,10.0,9.0,3.0
2022-02-20,101.0,61.0,10.0,10.0,10.0,3.0
2022-02-21,98.0,76.0,13.0,15.0,9.0,6.0
2022-02-22,103.0,77.0,12.0,12.0,9.0,5.0
2022-02-23,142.0,81.0,11.0,11.0,9.0,7.0
2022-02-24,145.0,117.0,15.0,17.0,12.0,19.0
2022-02-25,145.0,105.0,11.0,16.0,15.0,13.0
2022-02-26,151.0,70.0,11.0,10.0,10.0,5.0
2022-02-27,124.0,65.0,24.0,12.0,8.0,5.0
2022-02-28,115.0,62.0,23.0,13.0,7.0,5.0
2022-03-01,107.0,74.0,26.0,18.0,7.0,7.0
2022-03-02,123.0,75.0,33.0,18.0,7.0,7.0
2022-03-03,125.0,81.0,29.0,20.0,7.0,7.0
2022-03-04,120.0,68.0,25.0,10.0,7.0,4.0
2022-03-05,114.0,66.0,36.0,16.0,7.0,6.0
2022-03-06,102.0,85.0,42.0,20.0,8.0,10.0
2022-03-07,132.0,78.0,32.0,15.0,8.0,7.0
2022-03-08,134.0,70.0,33.0,15.0,8.0,6.0
2022-03-09,115.0,68.0,33.0,13.0,8.0,4.0
2022-03-10,106.0,72.0,26.0,12.0,7.0,4.0
2022-03-11,111.0,75.0,19.0,12.0,7.0,4.0
2022-03-12,117.0,70.0,40.0,15.0,7.0,5.0
2022-03-13,113.0,89.0,32.0,24.0,8.0,13.0
2022-03-14,125.0,91.0,32.0,20.0,11.0,9.0
2022-03-15,128.0,91.0,21.0,20.0,12.0,11.0
2022-03-16,129.0,87.0,31.0,15.0,12.0,9.0
2022-03-17,136.0,101.0,34.0,11.0,12.0,11.0
2022-03-18,170.0,91.0,38.0,11.0,12.0,9.0
2022-03-19,156.0,83.0,22.0,17.0,12.0,9.0
2022-03-20,137.0,83.0,26.0,17.0,12.0,8.0
2022-03-21,127.0,81.0,24.0,14.0,11.0,5.0
2022-03-22,106.0,78.0,23.0,15.0,11.0,5.0
2022-03-23,109.0,80.0,26.0,17.0,10.0,6.0
2022-03-24,113.0,79.0,26.0,13.0,10.0,3.0
2022-03-25,113.0,80.0,24.0,15.0,10.0,4.0
2022-03-26,96.0,74.0,26.0,14.0,9.0,3.0
2022-03-27,92.0,83.0,30.0,21.0,10.0,8.0
2022-03-28,116.0,91.0,37.0,23.0,11.0,9.0
2022-03-29,116.0,88.0,26.0,18.0,10.0,9.0
2022-03-30,143.0,82.0,35.0,18.0,11.0,11.0
2022-03-31,129.0,89.0,24.0,16.0,14.0,7.0
2022-04-01,122.0,85.0,29.0,14.0,14.0,6.0
2022-04-02,125.0,89.0,26.0,17.0,14.0,9.0
2022-04-03,124.0,96.0,20.0,18.0,15.0,13.0
2022-04-04,93.0,101.0,37.0,25.0,13.0,20.0
2022-04-05,103.0,99.0,44.0,27.0,10.0,13.0
2022-04-06,104.0,93.0,51.0,28.0,9.0,11.0
2022-04-07,102.0,97.0,48.0,29.0,9.0,16.0
2022-04-08,109.0,104.0,62.0,23.0,10.0,11.0
2022-04-09,113.0,89.0,44.0,26.0,10.0,16.0
2022-04-10,113.0,82.0,27.0,20.0,9.0,10.0
2022-04-11,105.0,74.0,37.0,15.0,9.0,7.0
2022-04-12,106.0,91.0,34.0,28.0,9.0,17.0
2022-04-13,110.0,97.0,34.0,20.0,9.0,6.0
2022-04-14,110.0,85.0,25.0,20.0,13.0,5.0
2022-04-15,82.0,80.0,41.0,16.0,13.0,4.0
2022-04-16,88.0,88.0,22.0,31.0,9.0,18.0
2022-04-17,91.0,94.0,62.0,30.0,10.0,15.0
2022-04-18,105.0,97.0,35.0,26.0,10.0,14.0
2022-04-19,122.0,103.0,39.0,16.0,10.0,5.0
2022-04-20,113.0,65.0,40.0,14.0,8.0,4.0
2022-04-21,68.0,76.0,22.0,14.0,10.0,5.0
2022-04-22,99.0,85.0,16.0,19.0,15.0,7.0
2022-04-23,104.0,82.0,22.0,14.0,15.0,5.0
2022-04-24,87.0,81.0,22.0,17.0,13.0,6.0
2022-04-25,87.0,83.0,50.0,22.0,9.0,8.0
2022-04-26,102.0,102.0,41.0,26.0,12.0,15.0
2022-04-27,116.0,102.0,51.0,26.0,16.0,14.0
2022-04-28,131.0,107.0,82.0,32.0,12.0,20.0
2022-04-29,134.0,105.0,39.0,11.0,10.0,5.0
2022-04-30,113.0,62.0,45.0,9.0,9.0,4.0
2022-05-01,72.0,67.0,60.0,13.0,9.0,5.0
2022-05-02,81.0,58.0,50.0,9.0,9.0,3.0
2022-05-03,67.0,49.0,40.0,10.0,9.0,4.0
2022-05-04,67.0,54.0,22.0,11.0,12.0,5.0
2022-05-05,64.0,59.0,25.0,11.0,14.0,5.0
2022-05-06,85.0,59.0,34.0,13.0,14.0,6.0
2022-05-07,84.0,60.0,28.0,10.0,14.0,5.0
2022-05-08,93.0,58.0,29.0,10.0,15.0,5.0
2022-05-09,85.0,48.0,33.0,10.0,12.0,4.0
2022-05-10,61.0,45.0,39.0,9.0,9.0,3.0
2022-05-11,60.0,49.0,36.0,13.0,12.0,5.0
2022-05-12,74.0,69.0,41.0,17.0,14.0,8.0
2022-05-13,98.0,67.0,44.0,15.0,15.0,7.0
2022-05-14,88.0,57.0,81.0,10.0,15.0,4.0
2022-05-15,78.0,74.0,33.0,13.0,14.0,5.0
2022-05-16,82.0,83.0,30.0,18.0,15.0,7.0
2022-05-17,90.0,77.0,39.0,17.0,15.0,9.0
2022-05-18,99.0,86.0,37.0,17.0,14.0,11.0
2022-05-19,108.0,80.0,47.0,14.0,15.0,7.0
2022-05-20,98.0,86.0,23.0,11.0,15.0,5.0
2022-05-21,90.0,71.0,29.0,10.0,14.0,3.0
2022-05-22,67.0,47.0,27.0,8.0,14.0,3.0
2022-05-23,60.0,50.5,15.0,9.0,14.0,4.0
2022-05-24,61.0,54.0,19.0,9.0,14.0,3.0
