date,pm25,pm10,o3,no2,so2,co
2022-01-01,119.0,75.0,21.0,16.0,5.0,5.0
2022-01-02,144.0,79.0,19.0,17.0,6.0,7.0
2022-01-03,146.0,96.0,19.0,19.0,7.0,7.0
2022-01-04,144.0,191.0,30.0,22.0,8.0,7.0
2022-01-05,178.0,56.0,9.0,15.0,7.0,6.0
2022-01-06,109.0,98.0,11.0,16.0,6.0,6.0
2022-01-07,114.0,58.0,12.0,12.0,3.0,3.0
2022-01-08,104.0,55.0,7.0,14.0,6.0,4.0
2022-01-09,88.0,71.0,9.0,17.0,8.0,5.0
2022-01-10,98.0,67.0,10.0,15.0,7.0,5.0
2022-01-11,84.0,85.0,14.0,18.0,7.0,5.0
2022-01-12,124.0,64.0,12.0,16.0,27.0,6.0
2022-01-13,127.0,75.0,10.0,15.0,33.0,6.0
2022-01-14,127.0,45.0,15.0,13.0,26.0,4.0
2022-01-15,134.0,54.0,15.0,13.0,2.0,5.0
2022-01-16,137.0,156.0,19.0,18.0,18.0,8.0
2022-01-17,161.0,129.0,14.0,20.0,25.0,11.0
2022-01-18,151.0,160.0,17.0,23.0,27.0,10.0
2022-01-19,164.0,161.0,19.0,19.0,14.0,12.0
2022-01-20,144.0,76.0,18.0,14.0,23.0,7.0
2022-01-21,113.0,99.0,17.0,11.0,20.0,6.0
2022-01-22,93.0,198.0,11.0,12.0,11.0,6.0
2022-01-23,147.0,143.0,13.0,28.0,16.0,9.0
2022-01-24,141.0,169.0,23.0,24.0,25.0,9.0
2022-01-25,131.0,160.0,16.0,22.0,34.0,7.0
2022-01-26,123.0,136.0,14.0,24.0,35.0,6.0
2022-01-27,128.0,147.0,14.0,24.0,26.0,8.0
2022-01-28,119.0,126.0,17.0,25.0,21.0,14.0
2022-01-29,157.0,228.0,20.0,36.0,28.0,13.0
2022-01-30,184.0,165.0,27.0,23.0,30.0,10.0
2022-01-31,159.0,161.0,22.0,24.0,32.0,9.0
2022-02-01,166.0,184.0,26.0,22.0,31.0,8.0
2022-02-02,151.0,143.0,20.0,15.0,20.0,4.0
2022-02-03,123.0,327.0,22.0,31.0,25.0,11.0
2022-02-04,176.0,211.0,25.0,34.0,14.0,12.0
2022-02-05,178.0,249.0,29.0,32.0,11.0,15.0
2022-02-06,168.0,136.0,33.0,24.0,11.0,7.0
2022-02-07,153.0,147.0,35.0,23.0,5.0,8.0
2022-02-08,147.0,93.0,33.0,16.0,2.0,5.0
2022-02-09,123.0,75.0,24.0,16.0,13.0,5.0
2022-02-10,108.0,83.0,25.0,16.0,21.0,5.0
2022-02-11,118.0,95.0,19.0,20.0,28.0,7.0
2022-02-12,134.0,116.0,33.0,26.0,27.0,9.0
2022-02-13,358.0,136.0,33.0,24.0,25.0,7.0
2022-02-14,434.0,141.0,27.0,27.0,26.0,11.0
2022-02-15,217.0,114.0,28.0,23.0,28.0,9.0
2022-02-16,434.0,100.0,23.0,24.0,29.0,8.0
2022-02-17,119.0,98.0,34.0,24.0,20.0,6.0
2022-02-18,117.0,81.0,72.0,19.0,6.0,4.0
2022-02-19,100.0,127.0,25.0,22.0,3.0,5.0
2022-02-20,106.0,116.0,22.0,21.0,20.0,6.0
2022-02-21,103.0,148.0,29.0,20.0,22.0,6.0
2022-02-22,113.0,126.0,48.0,15.0,9.0,5.0
2022-02-23,94.0,243.0,22.0,25.0,28.0,8.0
2022-02-24,139.0,137.0,65.0,36.0,34.0,11.0
2022-02-25,156.0,156.0,51.0,23.0,27.0,7.0
2022-02-26,140.0,106.0,52.0,19.0,17.0,4.0
2022-02-27,150.0,96.0,36.0,21.0,18.0,10.0
2022-02-28,140.0,99.0,44.0,26.0,28.0,7.0
2022-03-01,148.0,126.0,45.0,26.0,26.0,8.0
2022-03-02,136.0,84.0,27.0,15.0,24.0,5.0
2022-03-03,117.0,75.0,19.0,19.0,22.0,5.0
2022-03-04,102.0,98.0,13.0,21.0,24.0,8.0
2022-03-05,121.0,174.0,19.0,36.0,44.0,14.0
2022-03-06,170.0,159.0,29.0,34.0,39.0,7.0
2022-03-07,165.0,104.0,28.0,32.0,33.0,9.0
2022-03-08,150.0,191.0,26.0,28.0,32.0,9.0
2022-03-09,164.0,131.0,67.0,26.0,23.0,8.0
2022-03-10,145.0,96.0,25.0,25.0,22.0,7.0
2022-03-11,125.0,111.0,11.0,24.0,26.0,12.0
2022-03-12,135.0,175.0,19.0,33.0,32.0,10.0
2022-03-13,151.0,156.0,25.0,38.0,32.0,10.0
2022-03-14,152.0,98.0,24.0,26.0,20.0,10.0
2022-03-15,130.0,92.0,9.0,21.0,17.0,8.0
2022-03-16,116.0,90.0,19.0,23.0,16.0,9.0
2022-03-17,116.0,94.0,18.0,17.0,18.0,9.0
2022-03-18,89.0,82.0,19.0,16.0,14.0,7.0
2022-03-19,70.0,129.0,25.0,14.0,15.0,8.0
2022-03-20,88.0,93.0,27.0,18.0,16.0,7.0
2022-03-21,102.0,91.0,16.0,13.0,15.0,5.0
2022-03-22,106.0,159.0,116.0,22.0,18.0,13.0
2022-03-23,125.0,91.0,25.0,28.0,17.0,8.0
2022-03-24,101.0,123.0,40.0,30.0,19.0,10.0
2022-03-25,120.0,154.0,23.0,39.0,24.0,9.0
2022-03-26,140.0,187.0,29.0,38.0,13.0,11.0
2022-03-27,137.0,178.0,29.0,30.0,20.0,8.0
2022-03-28,150.0,142.0,22.0,12.0,18.0,7.0
2022-03-29,147.0,138.0,80.0,17.0,33.0,11.0
