date,pm25,pm10,o3,no2,so2,co
2022-01-01,104.0,64.0,12.0,4.0,4.0,5.0
2022-01-02,115.0,64.0,14.0,4.0,3.0,2.0
2022-01-03,116.0,74.0,14.0,4.0,3.0,2.0
2022-01-04,140.0,91.0,15.0,4.0,5.0,5.0
2022-01-05,150.0,56.0,5.0,4.0,2.0,4.0
2022-01-06,105.0,52.0,9.0,4.0,4.0,4.0
2022-01-07,91.0,39.0,10.0,4.0,2.0,5.333333333333333
2022-01-08,69.0,38.0,11.0,4.0,2.0,6.666666666666666
2022-01-09,68.0,43.0,10.0,4.0,2.0,8.0
2022-01-10,79.0,54.0,11.0,4.0,5.0,9.0
2022-01-11,97.0,53.0,12.0,4.0,3.0,5.0
2022-01-12,94.0,54.0,11.0,4.0,5.0,1.0
2022-01-13,95.0,51.0,11.0,4.0,5.0,5.0
2022-01-14,89.0,53.0,11.0,4.0,5.0,4.0
2022-01-15,92.0,57.0,12.0,3.0,3.0,3.0
2022-01-16,98.0,70.0,13.0,4.0,3.0,2.0
2022-01-17,128.0,70.0,12.0,4.0,2.0,7.0
2022-01-18,130.0,77.0,15.0,4.0,4.0,12.0
2022-01-19,142.0,70.0,10.0,4.0,4.0,6.0
2022-01-20,128.0,56.0,8.0,4.0,2.0,3.0
2022-01-21,101.0,72.0,11.0,4.0,2.0,1.0
2022-01-22,125.0,139.0,11.0,4.0,2.0,1.0
2022-01-23,192.0,106.0,11.0,4.0,4.0,5.0
2022-01-24,171.0,88.0,11.0,4.0,3.0,3.0
2022-01-25,157.0,68.0,12.0,4.0,2.0,7.0
2022-01-26,131.0,60.0,13.0,4.0,3.0,4.0
2022-01-27,111.0,57.0,13.0,4.0,2.0,5.0
2022-01-28,104.0,73.0,14.0,4.0,5.0,8.0
2022-01-29,136.0,87.0,15.0,4.0,3.0,7.0
2022-01-30,155.0,72.0,10.0,4.0,3.0,9.5
2022-01-31,139.0,488.0,7.0,4.0,3.0,12.0
2022-02-01,392.0,77.0,10.0,4.0,3.0,9.0
2022-02-02,147.0,94.0,10.0,4.0,2.0,3.0
2022-02-03,152.0,139.0,11.0,4.0,6.0,3.0
2022-02-04,192.0,199.0,13.0,4.0,5.0,4.0
2022-02-05,247.0,118.0,13.0,4.0,4.0,4.0
