date,pm25,pm10,o3,no2,so2,co
2022-01-01,142.0,87.0,3.0,4.0,4.0,10.0
2022-01-02,164.0,88.0,3.0,4.0,4.0,10.0
2022-01-03,163.0,95.0,3.0,4.0,4.0,12.5
2022-01-04,169.0,117.0,3.0,4.0,4.0,15.0
2022-01-05,184.0,65.0,3.0,4.0,4.0,9.0
2022-01-06,136.0,64.0,3.0,4.0,4.0,10.0
2022-01-07,131.0,46.0,4.0,4.0,4.0,9.0
2022-01-08,91.0,60.0,5.0,4.0,4.0,14.0
2022-01-09,118.0,72.0,4.0,4.0,4.0,13.0
2022-01-10,138.0,69.0,5.0,4.0,4.0,8.0
2022-01-11,134.0,81.0,5.0,4.0,4.0,2.0
2022-01-12,155.0,82.0,5.0,4.0,4.0,2.0
2022-01-13,151.0,68.0,6.0,4.0,4.0,2.0
2022-01-14,135.0,66.0,5.0,4.0,4.0,2.0
2022-01-15,136.0,74.0,4.0,3.0,3.0,3.0
2022-01-16,149.0,90.0,3.0,4.0,4.0,4.0
2022-01-17,163.0,96.0,3.0,3.0,3.0,5.0
2022-01-18,168.0,102.0,4.0,3.0,3.0,6.0
2022-01-19,174.0,81.0,3.0,3.0,3.0,9.0
2022-01-20,152.0,61.0,3.0,4.0,4.0,3.0
2022-01-21,130.0,78.0,4.0,4.0,4.0,2.6666666666666665
2022-01-22,149.0,161.0,6.0,4.0,4.0,2.3333333333333335
2022-01-23,211.0,135.0,5.0,4.0,4.0,2.0
2022-01-24,200.0,124.0,5.0,4.0,4.0,10.0
2022-01-25,192.0,97.0,4.0,4.0,4.0,14.0
2022-01-26,171.0,93.0,5.0,4.0,4.0,4.0
2022-01-27,165.0,94.0,5.0,4.0,4.0,7.0
2022-01-28,165.0,107.0,5.0,4.0,4.0,1.0
2022-01-29,177.0,109.0,5.0,4.0,4.0,1.6666666666666665
2022-01-30,179.0,98.0,3.0,4.0,4.0,2.333333333333333
2022-01-31,160.0,74.0,3.0,3.0,3.0,3.0
2022-02-01,149.0,85.0,3.0,3.0,3.0,9.0
2022-02-02,163.0,106.0,3.0,3.0,3.0,22.0
2022-02-03,178.0,158.0,3.0,3.0,3.0,29.0
2022-02-04,222.0,155.0,2.0,3.0,3.0,27.0
2022-02-05,222.0,128.33333333333334,2.0,3.0,3.0,25.0
2022-02-06,196.0,101.66666666666666,2.0,3.0,3.0,23.0
2022-02-07,170.0,75.0,2.0,3.0,3.0,21.0
2022-02-08,144.0,67.0,4.0,3.0,3.0,4.0
2022-02-09,141.0,74.0,4.0,3.0,3.0,3.0
2022-02-10,151.0,77.0,6.0,3.0,3.0,1.0
2022-02-11,154.0,96.0,4.0,4.0,4.0,4.0
2022-02-12,169.0,93.0,4.0,4.0,4.0,7.0
2022-02-13,164.0,86.0,5.0,4.0,4.0,10.0
2022-02-14,162.0,81.0,5.0,3.0,3.0,5.0
2022-02-15,158.0,96.0,4.0,4.0,4.0,2.0
2022-02-16,169.0,110.0,4.0,4.0,4.0,1.5
2022-02-17,180.0,91.0,5.0,4.0,4.0,1.0
2022-02-18,166.0,78.0,5.0,4.0,4.0,1.0
2022-02-19,153.0,88.0,4.0,4.0,4.0,1.0
2022-02-20,162.0,79.0,2.0,3.0,3.0,1.0
2022-02-21,159.0,95.25,2.5,3.0,3.0,1.0
2022-02-22,170.75,111.5,3.0,3.0,3.0,1.0
2022-02-23,182.5,127.75,3.5,3.0,3.0,1.0
2022-02-24,194.25,144.0,4.0,3.0,3.0,1.0
2022-02-25,206.0,101.0,3.0,3.0,3.0,6.0
2022-02-26,176.0,73.0,4.0,3.0,3.0,2.0
2022-02-27,149.0,84.0,5.0,3.0,3.0,2.0
2022-02-28,160.0,95.0,5.0,3.0,3.0,2.0
2022-03-01,169.0,89.0,5.0,3.0,3.0,2.0
2022-03-02,164.0,70.0,4.0,3.0,3.0,2.0
2022-03-03,141.0,71.0,5.0,3.0,3.0,2.0
2022-03-04,142.0,94.0,5.0,3.0,3.0,2.0
2022-03-05,166.0,129.0,4.0,3.0,3.0,2.0
2022-03-06,191.0,99.0,4.0,3.0,3.0,2.0
2022-03-07,167.0,95.0,3.0,3.0,3.0,2.0
2022-03-08,167.0,108.0,4.0,4.0,4.0,2.3333333333333335
2022-03-09,178.0,105.0,4.0,4.0,4.0,2.6666666666666665
2022-03-10,175.0,91.0,5.0,4.0,4.0,3.0
2022-03-11,165.0,101.0,4.0,4.0,4.0,14.0
2022-03-12,174.0,111.0,4.0,4.0,4.0,32.0
2022-03-13,181.0,89.0,4.0,4.0,4.0,1.0
2022-03-14,165.0,89.0,4.0,4.0,4.0,1.0
2022-03-15,162.0,72.0,4.0,4.0,4.0,3.0
2022-03-16,149.0,70.0,3.0,4.0,4.0,15.0
2022-03-17,143.0,70.0,4.0,4.0,4.0,8.0
2022-03-18,143.0,68.0,3.0,4.0,4.0,1.0
2022-03-19,141.0,94.0,3.0,4.0,4.0,8.0
2022-03-20,170.0,78.0,4.0,3.0,3.0,9.0
2022-03-21,152.0,65.0,4.0,3.0,3.0,7.0
2022-03-22,137.0,84.0,3.0,3.0,3.0,3.0
2022-03-23,159.0,64.0,3.0,3.0,3.0,1.0
2022-03-24,129.0,74.0,2.0,3.0,3.0,1.0
2022-03-25,151.0,100.0,3.0,3.0,3.0,1.3333333333333333
2022-03-26,170.0,80.0,3.0,3.0,3.0,1.6666666666666665
2022-03-27,157.0,79.0,3.0,3.0,3.0,2.0
2022-03-28,153.0,85.0,3.0,3.0,3.0,2.333333333333333
2022-03-29,162.0,84.0,3.0,4.0,4.0,2.6666666666666665
2022-03-30,162.0,112.0,3.0,4.0,4.0,3.0
2022-03-31,184.0,127.0,3.0,4.0,4.0,3.333333333333333
2022-04-01,192.0,125.0,3.0,4.0,4.0,3.6666666666666665
2022-04-02,191.0,92.0,3.0,4.0,4.0,3.9999999999999996
2022-04-03,167.0,84.0,3.0,4.0,4.0,4.333333333333333
2022-04-04,160.0,80.0,3.0,4.0,4.0,4.666666666666666
2022-04-05,157.0,61.0,3.0,4.0,4.0,5.0
2022-04-06,130.0,628.0,3.0,3.0,3.0,4.0
2022-04-07,700.0,495.0,3.0,3.0,3.0,6.0
2022-04-08,534.0,66.0,3.0,3.0,3.0,1.0
2022-04-09,136.0,59.0,3.0,3.0,3.0,2.0
2022-04-10,107.0,44.0,3.0,3.0,3.0,2.5
2022-04-11,71.0,47.0,3.0,3.0,3.0,3.0
2022-04-12,86.0,37.0,2.0,3.0,3.0,2.8823529411764706
2022-04-13,80.0,32.0,3.0,3.0,3.0,2.764705882352941
2022-04-14,72.0,37.0,3.0,3.0,3.0,2.6470588235294117
2022-04-15,80.0,33.0,3.0,3.0,3.0,2.5294117647058822
2022-04-16,76.0,23.0,3.0,3.0,3.0,2.411764705882353
2022-04-17,57.0,26.0,3.0,4.0,4.0,2.2941176470588234
2022-04-18,63.0,48.0,3.0,4.0,4.0,2.1764705882352944
2022-04-19,104.0,60.0,4.0,4.0,4.0,2.0588235294117645
2022-04-20,124.0,63.0,3.0,4.0,4.0,1.9411764705882353
2022-04-21,133.0,68.0,3.0,4.0,4.0,1.8235294117647058
2022-04-22,144.0,77.0,3.0,4.0,4.0,1.7058823529411764
2022-04-23,156.0,76.0,3.0,4.0,4.0,1.588235294117647
2022-04-24,154.0,93.0,3.0,4.0,4.0,1.4705882352941178
2022-04-25,166.0,101.0,3.0,4.0,4.0,1.3529411764705883
2022-04-26,171.0,110.0,3.0,4.0,4.0,1.2352941176470589
2022-04-27,177.0,102.0,3.0,4.0,4.0,1.1176470588235294
2022-04-28,172.0,100.0,3.0,3.0,3.0,1.0
2022-04-29,169.0,109.0,3.0,3.0,3.0,1.4545454545454546
2022-04-30,176.0,98.0,3.0,3.0,3.0,1.9090909090909092
2022-05-01,169.0,104.0,2.0,3.0,3.0,2.3636363636363633
2022-05-02,173.0,119.0,3.0,4.0,4.0,2.8181818181818183
2022-05-03,182.0,120.0,3.0,4.0,4.0,3.2727272727272725
2022-05-04,183.0,123.0,3.0,4.0,4.0,3.727272727272727
2022-05-05,185.0,137.0,3.0,4.0,4.0,4.181818181818182
2022-05-06,195.0,150.0,3.0,4.0,4.0,4.636363636363637
2022-05-07,207.0,109.0,3.0,4.0,4.0,5.090909090909091
2022-05-08,177.0,126.0,3.0,4.0,4.0,5.545454545454545
2022-05-09,188.0,105.0,3.0,4.0,4.0,6.0
2022-05-10,175.0,84.0,3.0,4.0,4.0,4.0
2022-05-11,158.0,84.0,3.0,4.0,4.0,4.666666666666667
2022-05-12,158.66666666666666,84.0,3.0,4.0,4.0,5.333333333333333
2022-05-13,159.33333333333334,84.0,3.0,4.0,4.0,6.0
2022-05-14,160.0,102.0,3.0,4.0,4.0,5.25
2022-05-15,173.75,120.0,3.0,4.0,4.0,4.5
2022-05-16,187.5,138.0,3.0,4.0,4.0,3.75
2022-05-17,201.25,156.0,3.0,4.0,4.0,3.0
2022-05-18,215.0,114.0,3.0,4.0,4.0,18.0
2022-05-19,182.0,104.0,3.0,4.0,4.0,15.0
2022-05-20,174.0,99.0,3.0,4.0,4.0,12.0
2022-05-21,166.0,76.0,3.0,4.0,4.0,3.0
2022-05-22,151.0,80.0,3.0,4.0,4.0,3.0
2022-05-23,155.0,94.0,3.0,4.0,4.0,3.0
2022-05-24,164.0,67.0,3.0,4.0,4.0,3.0
2022-05-25,116.0,64.0,3.0,4.0,4.0,3.0
2022-05-26,102.0,105.0,3.0,4.0,4.0,3.0
2022-05-27,141.0,105.0,3.0,4.0,4.0,3.0
2022-05-28,127.0,123.0,3.0,4.0,4.0,3.0
2022-05-29,151.0,189.0,3.0,4.0,4.0,3.0
2022-05-30,199.0,109.5,3.0,4.0,4.0,3.0
2022-05-31,123.0,30.0,3.0,4.0,4.0,3.0
2022-06-01,47.0,78.0,3.0,4.0,4.0,3.0
2022-06-02,97.0,206.0,3.0,4.0,4.0,1.0
2022-06-03,213.0,182.0,3.0,4.0,4.0,1.4615384615384617
2022-06-04,187.0,255.0,3.0,4.0,4.0,1.9230769230769231
2022-06-05,247.0,140.0,3.0,4.0,4.0,2.3846153846153846
2022-06-06,160.0,141.0,3.0,4.0,4.0,2.8461538461538463
2022-06-07,179.0,135.0,3.0,4.0,4.0,3.307692307692308
2022-06-08,164.0,64.0,3.0,4.0,4.0,3.769230769230769
2022-06-09,106.0,76.0,3.0,4.0,4.0,4.230769230769231
2022-06-10,151.0,60.0,3.0,4.0,4.0,4.6923076923076925
2022-06-11,124.0,65.0,3.0,4.0,4.0,5.153846153846154
2022-06-12,124.0,71.0,3.0,4.0,4.0,5.615384615384616
2022-06-13,135.0,70.0,3.0,4.0,4.0,6.0769230769230775
2022-06-14,121.0,48.0,3.0,4.0,4.0,6.538461538461538
2022-06-15,96.0,41.0,3.0,4.0,4.0,7.0
2022-06-16,87.0,48.0,3.0,4.0,4.0,6.0
2022-06-17,94.0,39.0,3.0,4.0,4.0,4.0
2022-06-18,82.0,46.0,3.0,4.0,4.0,1.0
2022-06-19,93.0,41.0,3.0,4.0,4.0,1.0
2022-06-20,87.0,43.0,3.0,4.0,4.0,1.0
2022-06-21,89.0,46.0,3.0,4.0,4.0,1.0144927536231885
2022-06-22,99.0,41.0,3.0,4.0,4.0,1.0289855072463767
2022-06-23,88.0,41.24390243902439,3.002169197396963,4.009756097560976,4.0,1.0434782608695652
2022-06-24,88.32682926829268,41.48780487804878,3.004338394793926,4.019512195121951,4.0,1.0579710144927537
2022-06-25,88.65365853658537,41.73170731707317,3.0065075921908893,4.029268292682927,4.0,1.0724637681159421
2022-06-26,88.98048780487805,41.97560975609756,3.0086767895878523,4.0390243902439025,4.0,1.0869565217391304
2022-06-27,89.30731707317074,42.21951219512195,3.0108459869848154,4.048780487804878,4.0,1.1014492753623188
2022-06-28,89.63414634146342,42.46341463414634,3.013015184381779,4.058536585365854,4.0,1.1159420289855073
2022-06-29,89.9609756097561,42.707317073170735,3.015184381778742,4.068292682926829,4.0,1.1304347826086956
2022-06-30,90.28780487804877,42.951219512195124,3.017353579175705,4.078048780487805,4.0,1.144927536231884
2022-07-01,90.61463414634146,43.19512195121951,3.019522776572668,4.087804878048781,4.0,1.1594202898550725
2022-07-02,90.94146341463414,43.4390243902439,3.0216919739696313,4.097560975609756,4.0,1.1739130434782608
2022-07-03,91.26829268292683,43.68292682926829,3.0238611713665944,4.107317073170732,4.0,1.1884057971014492
2022-07-04,91.59512195121951,43.926829268292686,3.0260303687635575,4.117073170731707,4.0,1.2028985507246377
2022-07-05,91.9219512195122,44.170731707317074,3.0281995661605206,4.126829268292683,4.0,1.2173913043478262
2022-07-06,92.24878048780488,44.41463414634146,3.0303687635574836,4.136585365853659,4.0,1.2318840579710144
2022-07-07,92.57560975609756,44.65853658536585,3.0325379609544467,4.146341463414634,4.0,1.2463768115942029
2022-07-08,92.90243902439025,44.90243902439025,3.03470715835141,4.15609756097561,4.0,1.2608695652173914
2022-07-09,93.22926829268293,45.146341463414636,3.036876355748373,4.1658536585365855,4.0,1.2753623188405796
2022-07-10,93.55609756097562,45.390243902439025,3.0390455531453364,4.175609756097561,4.0,1.289855072463768
2022-07-11,93.8829268292683,45.63414634146341,3.0412147505422995,4.185365853658537,4.0,1.3043478260869565
2022-07-12,94.20975609756097,45.8780487804878,3.0433839479392626,4.195121951219512,4.0,1.318840579710145
2022-07-13,94.53658536585365,46.1219512195122,3.0455531453362257,4.204878048780488,4.0,1.3333333333333335
