date,pm25,pm10,o3,no2,so2,co
2020-01-01,110.0,67.0,11.0,6.0,8.0,6.0
2020-01-02,92.0,80.0,13.0,7.0,9.0,6.0
2020-01-03,112.0,81.0,12.0,8.0,7.0,6.0
2020-01-04,113.0,81.0,13.0,6.0,8.0,6.0
2020-01-05,109.0,89.0,10.0,10.0,9.0,7.0
2020-01-06,108.0,139.0,9.0,13.0,8.0,14.0
2020-01-07,131.0,98.0,9.0,10.0,8.0,9.0
2020-01-08,116.0,69.0,10.0,7.0,6.0,3.0
2020-01-09,100.0,64.0,10.0,8.0,6.0,5.0
2020-01-10,95.0,69.0,10.0,10.0,8.0,9.0
2020-01-11,100.0,90.0,10.0,13.0,9.0,13.0
2020-01-12,112.0,131.0,7.0,13.0,8.0,14.0
2020-01-13,132.0,113.0,7.0,11.0,8.0,12.0
2020-01-14,137.0,84.0,7.0,8.0,8.0,11.0
2020-01-15,116.0,102.0,7.0,8.0,6.0,12.0
2020-01-16,145.0,76.0,7.0,7.0,7.0,7.0
2020-01-17,108.0,66.0,7.0,7.0,5.0,7.0
2020-01-18,103.0,74.0,8.0,6.0,9.0,6.0
2020-01-19,98.0,91.0,7.0,9.0,6.0,6.0
2020-01-20,109.0,91.0,7.0,10.0,8.0,8.0
2020-01-21,115.0,74.0,7.0,7.0,7.0,7.0
2020-01-22,98.0,70.0,8.0,8.0,7.0,5.0
2020-01-23,94.0,58.0,8.0,9.0,7.0,5.0
2020-01-24,83.0,87.0,7.0,11.0,7.0,7.0
2020-01-25,106.0,79.0,8.0,10.0,7.0,8.0
2020-01-26,104.0,96.0,7.0,12.0,8.0,9.0
2020-01-27,119.0,98.0,7.0,12.0,8.0,9.0
2020-01-28,113.0,72.0,8.0,11.0,6.0,4.0
2020-01-29,90.0,64.0,7.0,9.0,8.0,6.0
2020-01-30,91.0,86.0,7.0,15.0,7.0,7.0
2020-01-31,114.0,76.0,7.0,14.875,9.0,5.0
2020-02-01,96.0,67.0,7.0,14.75,10.0,4.0
2020-02-02,86.0,67.0,8.0,14.625,8.0,5.0
2020-02-03,88.0,79.0,7.0,14.5,6.0,6.0
2020-02-04,102.0,75.0,7.0,14.375,7.0,6.0
2020-02-05,105.0,70.0,7.0,14.25,5.0,8.0
2020-02-06,90.0,74.0,8.0,14.125,6.0,10.0
2020-02-07,116.0,65.0,8.0,14.0,6.0,8.0
2020-02-08,109.0,63.0,7.0,14.0,10.0,6.0
2020-02-09,95.0,69.0,7.0,13.0,10.0,6.0
2020-02-10,98.0,67.0,6.0,14.0,7.0,6.0
2020-02-11,100.0,98.0,7.0,13.0,7.0,7.0
2020-02-12,124.0,121.0,7.0,12.0,8.0,10.0
2020-02-13,128.0,167.0,7.0,13.0,6.0,10.0
2020-02-14,136.0,91.0,7.0,13.0,8.0,9.0
2020-02-15,117.0,88.0,8.0,11.0,6.0,7.0
2020-02-16,106.0,91.0,7.0,12.0,8.0,9.0
