date,pm25,pm10,o3,no2,so2,co
2020-01-01,173.0,89.0,20.0,16.0,4.0,8.0
2020-01-02,165.0,99.0,26.0,19.0,4.0,9.0
2020-01-03,172.0,102.0,22.0,22.0,4.0,11.0
2020-01-04,174.0,83.0,29.0,20.0,3.0,9.0
2020-01-05,145.0,71.0,31.0,22.0,7.0,7.0
2020-01-06,116.0,105.0,33.0,22.0,10.0,10.0
2020-01-07,140.0,101.0,29.0,15.0,4.0,7.0
2020-01-08,159.0,88.0,25.0,15.0,7.0,6.0
2020-01-09,152.0,80.0,27.0,16.0,4.0,7.0
2020-01-10,145.0,86.0,37.0,20.0,6.0,8.0
2020-01-11,146.0,97.0,37.0,25.0,8.0,12.0
2020-01-12,142.0,95.0,35.0,18.0,8.0,10.0
2020-01-13,134.0,102.0,20.0,21.0,6.0,12.0
2020-01-14,167.0,106.0,22.0,16.0,6.0,10.0
2020-01-15,180.0,119.0,11.0,14.0,4.0,11.0
2020-01-16,191.0,93.0,29.0,17.0,10.0,8.0
2020-01-17,166.0,94.0,18.0,18.0,10.0,9.0
2020-01-18,163.0,77.0,24.0,17.0,9.0,7.0
2020-01-19,138.0,71.0,31.0,17.0,6.0,7.0
2020-01-20,125.0,91.0,29.0,20.0,7.0,9.0
2020-01-21,153.0,93.0,21.0,16.0,7.0,7.0
2020-01-22,159.0,86.0,31.0,19.0,6.0,8.0
2020-01-23,145.0,101.0,36.0,24.0,7.0,11.0
2020-01-24,123.0,133.0,37.0,27.0,5.0,13.0
2020-01-25,150.0,107.0,41.0,25.0,13.0,12.0
2020-01-26,142.0,125.0,34.0,20.0,8.0,8.0
2020-01-27,130.0,94.0,34.0,12.0,6.0,6.0
2020-01-28,118.0,85.0,31.0,13.0,5.0,5.0
2020-01-29,82.0,83.0,32.0,17.0,4.0,7.0
2020-01-30,137.0,75.0,36.0,20.0,7.0,7.0
2020-01-31,112.0,70.0,35.0,16.0,5.0,6.0
2020-02-01,100.0,67.0,35.0,14.0,6.0,6.0
2020-02-02,98.0,71.0,35.0,14.0,5.0,6.0
