date,pm25,pm10,o3,no2,so2,co
2022-10-01,105.0,57.0,7.0,3.0,9.0,2.0
2022-10-02,145.0,85.0,8.0,7.0,10.0,4.0
2022-10-03,156.0,88.0,7.0,11.0,8.0,7.0
2022-10-04,78.0,69.0,7.0,9.0,9.0,8.0
2022-10-05,138.0,64.0,2.0,8.0,3.0,8.5
2022-10-06,61.0,72.0,2.0,6.0,9.0,9.0
2022-10-07,76.0,26.0,7.0,4.0,5.0,4.0
2022-10-08,55.0,49.0,8.0,4.0,14.0,5.0
2022-10-09,73.0,25.0,4.0,8.0,2.0,1.0
2022-10-10,39.0,32.0,4.0,6.0,1.0,5.0
2022-10-11,149.0,90.0,3.0,6.0,4.0,16.0
2022-10-12,133.0,39.0,5.0,3.0,4.0,14.0
2022-10-13,131.25,39.55,5.0,3.05,4.05,13.5
2022-10-14,129.5,40.1,5.0,3.1,4.1,13.0
2022-10-15,127.75,40.65,5.0,3.15,4.15,12.5
2022-10-16,126.0,41.2,5.0,3.2,4.2,12.0
2022-10-17,124.25,41.75,5.0,3.25,4.25,11.5
2022-10-18,122.5,42.3,5.0,3.3,4.3,11.0
2022-10-19,120.75,42.85,5.0,3.35,4.35,10.5
2022-10-20,119.0,43.4,5.0,3.4,4.4,10.0
2022-10-21,117.25,43.95,5.0,3.45,4.45,9.5
2022-10-22,115.5,44.5,5.0,3.5,4.5,9.0
2022-10-23,113.75,45.05,5.0,3.55,4.55,8.5
2022-10-24,112.0,45.6,5.0,3.6,4.6,8.0
2022-10-25,110.25,46.15,5.0,3.65,4.65,7.5
2022-10-26,108.5,46.7,5.0,3.7,4.7,7.0
2022-10-27,106.75,47.25,5.0,3.75,4.75,6.5
2022-10-28,105.0,47.8,5.0,3.8,4.8,6.0
2022-10-29,103.25,48.35,5.0,3.85,4.85,5.5
2022-10-30,101.5,48.9,5.0,3.9,4.9,5.0
2022-10-31,99.75,49.45,5.0,3.95,4.95,4.5
2022-11-01,98.0,50.0,5.0,4.0,5.0,4.0
2022-11-02,157.0,83.0,9.0,13.0,19.0,4.0
2022-11-03,156.0,94.0,8.0,15.0,13.0,7.0
2022-11-04,91.0,75.0,7.0,11.0,7.0,6.0
2022-11-05,91.0,45.0,2.0,7.0,2.0,11.5
2022-11-06,58.0,44.0,1.0,7.0,15.0,17.0
2022-11-07,62.0,19.0,8.0,3.0,4.0,4.0
2022-11-08,63.0,42.0,7.0,5.0,8.0,14.0
2022-11-09,56.0,41.0,4.0,3.0,8.0,17.0
2022-11-10,43.0,42.0,3.0,7.0,4.0,12.0
2022-11-11,154.0,79.0,3.0,6.0,4.0,14.0
2022-11-12,95.0,45.0,6.0,3.0,2.0,17.0
2022-11-13,95.6842105263158,44.8421052631579,5.947368421052632,2.9473684210526314,2.1578947368421053,16.263157894736842
2022-11-14,96.36842105263158,44.68421052631579,5.894736842105263,2.8947368421052633,2.3157894736842106,15.526315789473685
