date,pm25,pm10,o3,no2,so2,co
2022-10-01,85.0,51.0,12.0,14.0,5.0,2.0
2022-10-02,121.0,95.0,16.0,16.0,3.0,4.0
2022-10-03,153.0,87.0,34.0,19.0,7.0,4.0
2022-10-04,65.0,64.0,22.0,20.0,1.0,2.0
2022-10-05,131.0,58.0,9.0,25.0,1.0,3.0
2022-10-06,26.0,20.0,4.0,19.0,1.25,1.0
2022-10-07,28.0,18.0,2.0,12.0,1.5,1.0
2022-10-08,33.0,24.0,2.0,19.0,1.75,1.0
2022-10-09,21.0,9.0,1.0,15.0,2.0,2.0
2022-10-10,17.0,20.0,1.0,22.0,1.0,3.0
2022-10-11,123.0,93.0,11.0,17.0,5.0,3.0
2022-10-12,138.0,51.0,1.0,15.0,5.0,4.0
2022-10-13,135.25,51.15,1.3,15.05,5.0,3.95
2022-10-14,132.5,51.3,1.6,15.1,5.0,3.9
2022-10-15,129.75,51.45,1.9,15.15,5.0,3.85
2022-10-16,127.0,51.6,2.2,15.2,5.0,3.8
2022-10-17,124.25,51.75,2.5,15.25,5.0,3.75
2022-10-18,121.5,51.9,2.8,15.3,5.0,3.7
2022-10-19,118.75,52.05,3.1,15.35,5.0,3.65
2022-10-20,116.0,52.2,3.4,15.4,5.0,3.6
2022-10-21,113.25,52.35,3.7,15.45,5.0,3.55
2022-10-22,110.5,52.5,4.0,15.5,5.0,3.5
2022-10-23,107.75,52.65,4.3,15.55,5.0,3.45
2022-10-24,105.0,52.8,4.6,15.6,5.0,3.4
2022-10-25,102.25,52.95,4.9,15.65,5.0,3.35
2022-10-26,99.5,53.1,5.2,15.7,5.0,3.3
2022-10-27,96.75,53.25,5.5,15.75,5.0,3.25
2022-10-28,94.0,53.4,5.8,15.8,5.0,3.2
2022-10-29,91.25,53.55,6.1,15.85,5.0,3.15
2022-10-30,88.5,53.7,6.4,15.9,5.0,3.1
2022-10-31,85.75,53.85,6.7,15.95,5.0,3.05
2022-11-01,83.0,54.0,7.0,16.0,5.0,3.0
2022-11-02,154.0,88.0,16.0,23.0,12.0,4.0
2022-11-03,150.0,85.0,13.0,24.0,6.0,5.0
2022-11-04,68.0,71.0,27.0,23.0,4.0,3.0
2022-11-05,74.0,43.0,8.0,25.0,2.5,3.0
2022-11-06,17.0,21.0,4.0,21.0,1.0,1.0
2022-11-07,37.0,12.0,3.0,13.0,1.0,1.0
2022-11-08,26.0,23.0,2.0,18.0,1.0,1.0
2022-11-09,13.0,14.0,1.0,15.0,1.0,1.0
2022-11-10,20.0,29.0,2.0,13.0,1.0,2.0
2022-11-11,132.0,83.0,11.0,17.0,3.0,3.0
2022-11-12,82.0,41.0,1.0,15.0,2.9,4.0
2022-11-13,82.47368421052632,41.31578947368421,1.368421052631579,15.0,2.8,3.9473684210526314
2022-11-14,82.94736842105263,41.63157894736842,1.736842105263158,15.0,2.7,3.8947368421052633
2022-11-15,83.42105263157895,41.94736842105263,2.105263157894737,15.0,2.6,3.8421052631578947
2022-11-16,83.89473684210526,42.26315789473684,2.473684210526316,15.0,2.5,3.789473684210526
