date,pm25,pm10,o3,no2,so2,co
2022-10-01,93.0,49.0,13.0,1.0,4.0,1.0
2022-10-02,142.0,76.0,43.0,4.0,8.0,2.0
2022-10-03,160.0,103.0,49.0,13.0,11.0,4.0
2022-10-04,84.0,55.0,48.0,4.0,6.0,2.0
2022-10-05,131.0,54.0,27.0,5.0,6.0,3.0
2022-10-06,23.0,15.0,21.0,6.666666666666667,2.0,4.0
2022-10-07,30.0,19.0,12.0,8.333333333333334,2.0,14.0
2022-10-08,28.0,18.0,15.0,10.0,1.0,9.0
2022-10-09,48.0,7.0,11.0,11.666666666666668,1.0,4.0
2022-10-10,33.0,18.0,15.0,13.333333333333334,1.0,4.0
2022-10-11,156.0,99.0,33.0,15.0,17.0,3.0
2022-10-12,152.0,53.0,14.0,9.0,5.0,3.0
2022-10-13,148.75,52.4,13.85,8.6,5.0,2.9
2022-10-14,145.5,51.8,13.7,8.2,5.0,2.8
2022-10-15,142.25,51.2,13.55,7.8,5.0,2.7
2022-10-16,139.0,50.6,13.4,7.4,5.0,2.6
2022-10-17,135.75,50.0,13.25,7.0,5.0,2.5
2022-10-18,132.5,49.4,13.1,6.6,5.0,2.4
2022-10-19,129.25,48.8,12.95,6.2,5.0,2.3
2022-10-20,126.0,48.2,12.8,5.800000000000001,5.0,2.2
2022-10-21,122.75,47.6,12.65,5.4,5.0,2.1
2022-10-22,119.5,47.0,12.5,5.0,5.0,2.0
2022-10-23,116.25,46.4,12.35,4.6000000000000005,5.0,1.9000000000000001
2022-10-24,113.0,45.8,12.2,4.2,5.0,1.8
2022-10-25,109.75,45.2,12.05,3.8000000000000007,5.0,1.7000000000000002
2022-10-26,106.5,44.6,11.9,3.4000000000000004,5.0,1.6
2022-10-27,103.25,44.0,11.75,3.0,5.0,1.5
2022-10-28,100.0,43.4,11.6,2.6000000000000005,5.0,1.4000000000000001
2022-10-29,96.75,42.8,11.45,2.2,5.0,1.3
2022-10-30,93.5,42.2,11.3,1.8000000000000007,5.0,1.2000000000000002
2022-10-31,90.25,41.6,11.15,1.4000000000000004,5.0,1.1
2022-11-01,87.0,41.0,11.0,1.0,5.0,1.0
2022-11-02,160.0,93.0,34.0,9.0,22.0,2.0
2022-11-03,157.0,90.0,47.0,6.0,8.0,2.0
2022-11-04,81.0,70.0,54.0,6.0,7.0,2.0
2022-11-05,84.0,43.0,29.0,5.0,4.0,2.0
2022-11-06,9.0,14.0,18.0,1.0,2.0,2.0
2022-11-07,36.0,9.0,11.0,1.0,1.0,9.0
2022-11-08,30.0,17.0,13.0,1.0,2.0,5.0
2022-11-09,16.0,4.0,13.0,1.0,1.0,3.0
2022-11-10,29.0,26.0,17.0,1.0,1.0,6.0
2022-11-11,156.0,89.0,37.0,13.0,18.0,4.0
2022-11-12,110.0,35.0,13.0,7.0,3.0,2.0
2022-11-13,110.3157894736842,36.10526315789474,12.789473684210526,6.894736842105263,3.1578947368421053,2.0
2022-11-14,110.63157894736842,37.21052631578947,12.578947368421053,6.7894736842105265,3.3157894736842106,2.0
2022-11-15,110.94736842105263,38.31578947368421,12.368421052631579,6.684210526315789,3.473684210526316,2.0
2022-11-16,111.26315789473684,39.421052631578945,12.157894736842104,6.578947368421052,3.6315789473684212,2.0
2022-11-17,111.57894736842105,40.526315789473685,11.947368421052632,6.473684210526316,3.7894736842105265,2.0
2022-11-18,111.89473684210526,41.631578947368425,11.736842105263158,6.368421052631579,3.9473684210526314,2.0
2022-11-19,112.21052631578948,42.73684210526316,11.526315789473685,6.2631578947368425,4.105263157894736,2.0
2022-11-20,112.52631578947368,43.8421052631579,11.31578947368421,6.157894736842105,4.2631578947368425,2.0
2022-11-21,112.84210526315789,44.94736842105263,11.105263157894736,6.052631578947368,4.421052631578947,2.0
2022-11-22,113.15789473684211,46.05263157894737,10.894736842105264,5.947368421052632,4.578947368421053,2.0
2022-11-23,113.47368421052632,47.15789473684211,10.68421052631579,5.842105263157895,4.7368421052631575,2.0
2022-11-24,113.78947368421052,48.26315789473684,10.473684210526315,5.7368421052631575,4.894736842105263,2.0
2022-11-25,114.10526315789474,49.368421052631575,10.263157894736842,5.631578947368421,5.052631578947368,2.0
2022-11-26,114.42105263157895,50.473684210526315,10.052631578947368,5.526315789473684,5.2105263157894735,2.0
2022-11-27,114.73684210526315,51.578947368421055,9.842105263157894,5.421052631578947,5.368421052631579,2.0
2022-11-28,115.05263157894737,52.684210526315795,9.631578947368421,5.315789473684211,5.526315789473684,2.0
2022-11-29,115.36842105263158,53.78947368421053,9.421052631578947,5.2105263157894735,5.684210526315789,2.0
2022-11-30,115.6842105263158,54.89473684210526,9.210526315789473,5.105263157894736,5.842105263157895,2.0
2022-12-01,116.0,56.0,9.0,5.0,6.0,2.0
2022-12-02,152.0,86.0,40.0,12.0,27.0,2.0
2022-12-03,155.0,91.0,40.0,12.0,9.0,4.0
2022-12-04,96.0,61.0,38.0,6.0,3.0,2.0
2022-12-05,60.0,60.0,33.0,3.0,3.0,2.0
