date,pm25,pm10,o3,no2,so2,co
2022-10-01,93.0,31.0,9.0,1.0,2.0,6.0
2022-10-02,70.0,29.0,9.0,1.0,2.0,6.0
2022-10-03,64.0,37.0,6.0,1.0,2.0,7.0
2022-10-04,63.0,44.0,6.0,1.0,2.0,7.0
2022-10-05,91.0,39.0,6.0,2.0,2.0,6.0
2022-10-06,79.0,44.0,6.0,2.0,2.0,4.0
2022-10-07,79.0,45.0,6.0,1.0,2.0,5.0
2022-10-08,89.0,42.0,6.0,1.0,3.0,6.0
2022-10-09,88.0,38.0,6.0,1.0,3.0,6.0
2022-10-10,85.0,39.0,9.0,1.0,2.0,6.0
2022-10-11,85.0,43.0,9.0,1.0,2.0,6.0
2022-10-12,98.0,51.0,9.0,1.0,3.0,6.0
2022-10-13,120.0,43.0,9.0,1.0,3.0,6.0
2022-10-14,85.0,41.0,9.0,1.0,3.0,6.0
2022-10-15,91.0,37.0,9.0,2.0,3.0,4.0
2022-10-16,81.0,40.625,8.375,2.125,3.0,4.375
2022-10-17,81.875,44.25,7.75,2.25,3.0,4.75
2022-10-18,82.75,47.875,7.125,2.375,3.0,5.125
2022-10-19,83.625,51.5,6.5,2.5,3.0,5.5
2022-10-20,84.5,55.125,5.875,2.625,3.0,5.875
2022-10-21,85.375,58.75,5.25,2.75,3.0,6.25
2022-10-22,86.25,62.375,4.625,2.875,3.0,6.625
2022-10-23,87.125,66.0,4.0,3.0,3.0,7.0
2022-10-24,88.0,50.0,7.0,2.0,3.0,7.0
2022-10-25,77.0,39.0,7.0,2.0,2.0,6.0
2022-10-26,75.0,35.0,9.0,2.0,2.0,6.0
2022-10-27,72.0,29.0,7.0,2.0,2.0,6.0
2022-10-28,67.0,26.0,7.0,2.0,2.0,6.0
2022-10-29,57.0,25.0,4.0,2.0,2.0,6.0
2022-10-30,64.0,28.0,8.0,2.0,2.0,5.0
2022-10-31,69.0,32.0,8.0,1.0,2.0,5.0
2022-11-01,66.5,32.0,8.0,1.0,2.0,5.0
2022-11-02,64.0,33.5,8.0,1.0,2.0,4.0
2022-11-03,50.0,35.0,8.0,1.0,2.0,4.0
2022-11-04,55.0,29.0,7.0,2.0,1.0,5.0
2022-11-05,74.0,29.0,7.0,2.0,1.0,6.0
2022-11-06,86.0,42.0,7.0,1.0,1.0,5.0
2022-11-07,95.0,41.0,7.0,1.0,1.0,5.0
2022-11-08,73.0,37.0,7.0,1.0,2.0,5.0
2022-11-09,72.0,35.0,2.0,1.0,2.0,6.0
2022-11-10,84.0,45.0,6.0,1.0,2.0,6.0
2022-11-11,85.0,43.0,6.0,2.0,3.0,6.0
2022-11-12,95.0,40.0,5.0,2.0,3.0,7.0
2022-11-13,75.0,40.0,7.0,2.0,3.0,7.0
2022-11-14,75.0,41.0,7.0,2.0,3.0,7.0
2022-11-15,85.0,48.0,8.0,2.0,2.0,6.0
2022-11-16,104.0,55.0,8.0,2.0,2.0,7.0
2022-11-17,124.0,52.0,7.0,1.0,3.0,7.0
2022-11-18,117.0,54.0,6.0,2.0,3.0,8.0
2022-11-19,128.0,54.0,6.0,2.0,3.0,8.0
2022-11-20,130.0,54.0,7.0,2.0,3.0,8.0
2022-11-21,130.0,56.0,7.0,2.0,3.0,7.0
2022-11-22,121.0,58.0,7.0,1.0,2.0,6.0
2022-11-23,136.0,48.0,8.0,2.0,2.0,7.0
2022-11-24,80.0,54.0,8.0,2.0,2.0,7.0
2022-11-25,97.0,39.0,7.0,2.0,2.0,7.0
2022-11-26,93.0,41.0,8.0,2.0,2.0,7.0
2022-11-27,91.0,43.0,8.0,2.0,3.0,7.0
2022-11-28,89.0,45.0,8.0,1.0,2.0,6.0
2022-11-29,87.0,51.0,4.0,1.0,2.0,5.0
2022-11-30,108.0,53.0,10.0,1.0,2.0,4.0
2022-12-01,133.0,48.0,10.0,1.0,3.0,3.0
2022-12-02,114.0,41.5,9.0,1.0,2.5,4.5
2022-12-03,89.5,35.0,8.0,1.0,2.0,6.0
2022-12-04,65.0,49.0,8.0,1.0,2.0,6.0
2022-12-05,113.0,57.0,7.0,1.0,2.0,6.0
2022-12-06,135.0,56.0,7.0,2.0,2.0,7.0
2022-12-07,138.0,54.0,7.0,2.0,2.0,7.0
2022-12-08,117.0,61.0,7.0,1.0,2.0,6.0
2022-12-09,123.0,57.0,7.0,1.0,2.0,6.0
2022-12-10,125.0,51.0,7.0,1.0,3.0,7.0
2022-12-11,93.0,50.0,7.0,1.0,3.0,6.0
2022-12-12,102.0,47.0,7.0,1.0,3.0,6.0
2022-12-13,100.0,45.0,8.0,2.0,3.0,7.0
2022-12-14,100.0,49.0,8.0,2.0,4.0,7.0
2022-12-15,110.0,52.0,6.0,2.0,4.0,7.0
2022-12-16,120.0,55.0,5.0,2.0,4.0,7.0
2022-12-17,123.0,49.0,1.0,2.0,4.0,8.0
2022-12-18,86.0,53.0,5.0,2.0,4.0,7.0
2022-12-19,98.0,54.0,5.0,2.0,5.0,6.0
2022-12-20,106.0,54.0,5.0,2.0,4.0,6.0
2022-12-21,104.0,53.0,4.0,2.0,4.0,6.0
2022-12-22,93.0,52.0,8.0,2.0,4.0,6.0
2022-12-23,95.0,46.666666666666664,8.0,2.0,3.6666666666666665,6.333333333333333
2022-12-24,86.0,41.333333333333336,8.0,2.0,3.3333333333333335,6.666666666666667
2022-12-25,77.0,36.0,8.0,2.0,3.0,7.0
2022-12-26,68.0,39.0,4.0,2.0,3.0,7.0
2022-12-27,69.0,58.0,7.0,2.0,4.0,8.0
2022-12-28,132.0,55.0,7.0,2.0,4.0,8.0
2022-12-29,119.0,58.0,8.0,2.0,4.0,6.0
2022-12-30,134.0,57.0,8.0,2.0,4.0,5.0
2022-12-31,133.0,57.0,8.0,2.0,4.0,5.0
2023-01-01,134.0,50.0,8.0,1.0,3.0,5.0
2023-01-02,107.0,37.0,7.0,1.0,3.0,6.0
2023-01-03,66.0,36.0,6.0,2.0,4.0,7.0
2023-01-04,60.0,45.5,4.5,1.5,4.0,7.0
2023-01-05,89.0,55.0,3.0,1.0,4.0,7.0
2023-01-06,118.0,52.0,4.0,1.0,3.0,7.0
