date,pm25,pm10,o3,no2,so2,co
2022-10-01,75.0,37.0,8.0,1.0,3.0,5.0
2022-10-02,67.0,32.0,9.0,1.0,3.0,6.0
2022-10-03,52.0,27.0,9.0,1.0,3.0,6.0
2022-10-04,52.0,27.0,9.0,1.0,3.0,5.0
2022-10-05,58.0,29.0,9.0,1.0,2.0,6.0
2022-10-06,43.0,36.0,9.0,1.0,2.0,7.0
2022-10-07,29.0,34.0,9.0,1.0,2.0,7.0
2022-10-08,43.0,35.0,9.0,2.0,2.0,7.0
2022-10-09,50.0,31.0,9.0,1.0,2.0,6.0
2022-10-10,46.0,31.0,9.0,1.0,2.0,6.0
2022-10-11,43.0,43.5,9.0,1.0,2.0,6.0
2022-10-12,46.0,56.0,9.0,1.0,1.0,4.0
2022-10-13,72.0,26.0,7.0,1.0,2.0,4.0
2022-10-14,76.0,28.6,7.0,1.0,2.0,4.0
2022-10-15,80.0,31.2,6.888888888888889,1.2222222222222223,2.2222222222222223,4.444444444444445
2022-10-16,84.0,33.8,6.777777777777778,1.4444444444444444,2.4444444444444446,4.888888888888889
2022-10-17,88.0,36.4,6.666666666666667,1.6666666666666665,2.6666666666666665,5.333333333333333
2022-10-18,92.0,39.0,6.555555555555555,1.8888888888888888,2.888888888888889,5.777777777777778
2022-10-19,96.0,41.6,6.444444444444445,2.111111111111111,3.111111111111111,6.222222222222222
2022-10-20,100.0,44.2,6.333333333333333,2.333333333333333,3.333333333333333,6.666666666666666
2022-10-21,104.0,46.8,6.222222222222222,2.5555555555555554,3.5555555555555554,7.111111111111111
2022-10-22,108.0,49.4,6.111111111111111,2.7777777777777777,3.7777777777777777,7.555555555555555
2022-10-23,112.0,52.0,6.0,3.0,4.0,8.0
2022-10-24,116.0,103.0,5.0,2.0,2.0,5.0
2022-10-25,71.0,60.0,5.0,1.0,2.0,5.0
2022-10-26,67.0,48.0,5.0,1.0,2.0,5.0
2022-10-27,82.0,44.0,11.0,1.0,2.0,5.0
2022-10-28,82.0,43.0,11.0,2.0,3.0,5.0
2022-10-29,81.0,36.0,4.0,2.0,3.0,4.0
2022-10-30,82.5,40.0,8.0,1.0,2.0,6.0
2022-10-31,84.0,46.0,9.0,1.0,3.0,6.0
2022-11-01,87.0,54.0,9.0,2.0,3.0,6.0
2022-11-02,99.0,55.0,9.0,1.0,2.0,6.0
2022-11-03,127.0,52.0,9.0,1.0,2.0,6.0
2022-11-04,117.0,50.0,9.0,1.0,2.0,6.0
2022-11-05,109.0,52.0,9.0,1.0,2.0,6.0
2022-11-06,117.0,49.0,7.5,1.0,2.0,7.0
2022-11-07,103.0,46.0,6.0,1.0,2.0,8.0
2022-11-08,89.0,50.0,2.0,1.0,2.0,7.0
2022-11-09,97.0,41.0,2.0,1.0,2.0,6.0
2022-11-10,76.0,43.0,7.0,2.0,3.0,5.0
2022-11-11,87.0,45.0,10.0,2.0,3.0,6.0
2022-11-12,97.0,34.0,10.0,2.0,3.0,6.0
2022-11-13,86.0,34.0,10.0,2.0,2.0,6.0
2022-11-14,85.0,43.0,9.0,2.0,2.0,5.0
2022-11-15,97.0,96.0,9.0,5.0,2.0,6.0
2022-11-16,157.0,110.0,8.0,5.0,2.0,7.0
2022-11-17,166.0,79.0,8.0,2.0,2.0,6.0
2022-11-18,152.0,85.0,8.0,3.0,2.0,5.0
2022-11-19,162.0,81.0,8.0,6.0,2.0,5.0
2022-11-20,162.0,78.0,3.0,6.0,3.0,6.0
2022-11-21,160.0,77.0,7.0,3.0,2.0,6.0
2022-11-22,148.0,51.0,7.0,2.0,2.0,4.0
2022-11-23,84.0,58.0,4.0,2.0,3.0,4.0
2022-11-24,92.0,78.0,4.0,2.0,3.0,4.0
2022-11-25,122.0,108.0,4.0,2.0,3.0,4.0
2022-11-26,166.0,96.0,4.0,2.0,3.0,4.0
2022-11-27,161.0,99.0,4.0,2.0,3.0,4.0
2022-11-28,160.0,75.0,4.0,2.0,3.0,4.0
2022-11-29,129.0,62.0,8.0,1.0,3.0,4.0
2022-11-30,114.0,63.0,8.0,1.0,3.0,6.0
2022-12-01,125.0,60.0,8.0,1.0,3.0,5.0
2022-12-02,104.0,44.0,8.0,2.0,3.0,5.0
2022-12-03,111.0,53.0,9.0,2.0,3.0,5.0
2022-12-04,125.0,62.0,8.0,2.0,3.0,5.0
2022-12-05,139.0,52.0,8.0,2.0,3.0,5.0
2022-12-06,109.0,58.0,3.0,2.0,4.0,5.0
2022-12-07,127.0,52.0,3.0,2.0,5.0,6.0
2022-12-08,121.0,58.0,3.0,2.0,5.0,6.0
2022-12-09,143.0,54.0,9.0,1.0,5.0,7.0
2022-12-10,108.0,38.0,9.0,1.0,5.0,8.0
2022-12-11,19.0,37.0,9.0,1.0,5.0,7.0
2022-12-12,66.0,33.0,8.5,1.0,4.5,7.0
2022-12-13,52.0,29.0,8.0,1.0,4.0,7.0
2022-12-14,38.0,47.0,10.0,1.0,3.0,6.0
2022-12-15,71.0,59.0,10.0,2.0,3.0,5.0
2022-12-16,115.0,48.0,9.0,1.0,3.0,5.0
2022-12-17,45.0,50.0,8.0,1.0,4.0,7.0
2022-12-18,57.0,81.0,8.0,1.0,8.0,7.0
2022-12-19,92.0,62.0,6.0,1.0,4.0,9.0
2022-12-20,106.0,53.0,2.0,1.0,4.0,8.0
2022-12-21,108.0,55.0,8.0,1.0,4.0,8.0
2022-12-22,115.0,59.0,10.0,2.0,4.0,7.0
2022-12-23,134.0,55.0,10.0,2.0,4.0,6.0
2022-12-24,119.0,54.0,6.0,3.0,4.0,6.0
2022-12-25,105.0,62.0,6.0,3.0,4.0,6.0
2022-12-26,119.0,95.0,8.0,1.0,4.0,8.0
2022-12-27,113.0,20.0,8.0,1.0,5.0,8.0
2022-12-28,30.0,48.0,10.0,1.0,5.0,7.0
2022-12-29,78.0,64.0,10.0,2.0,5.0,8.0
2022-12-30,136.0,70.0,9.0,3.0,6.0,7.0
2022-12-31,137.0,78.0,9.0,2.0,6.0,5.0
2023-01-01,155.0,59.0,9.0,2.0,6.0,3.0
2023-01-02,145.0,60.0,9.0,2.0,6.0,4.0
2023-01-03,144.0,57.0,5.0,3.0,6.0,4.0
2023-01-04,139.0,60.0,7.0,2.0,6.0,4.0
2023-01-05,150.0,63.0,7.0,3.0,5.0,7.0
2023-01-06,152.0,59.0,7.0,2.0,5.0,8.0
2023-01-07,130.0,58.0,7.0,2.0,5.0,6.0
2023-01-08,132.0,61.0,7.0,1.0,5.0,12.0
2023-01-09,143.0,60.0,7.0,1.0,5.0,10.0
2023-01-10,145.0,60.0,7.0,2.0,5.0,11.0
2023-01-11,140.0,61.0,6.0,3.0,5.0,8.0
2023-01-12,144.0,59.0,6.0,3.0,5.0,6.0
2023-01-13,139.0,58.0,6.0,3.0,5.0,5.0
2023-01-14,125.0,57.0,6.0,3.0,5.0,4.0
2023-01-15,121.0,57.0,8.0,2.0,5.0,4.0
2023-01-16,114.0,61.0,8.0,2.0,5.0,3.0
2023-01-17,125.0,58.0,8.0,2.0,5.0,4.0
2023-01-18,122.0,58.888888888888886,7.666666666666667,2.111111111111111,5.0,4.222222222222222
2023-01-19,123.22222222222223,59.77777777777778,7.333333333333333,2.2222222222222223,5.0,4.444444444444445
2023-01-20,124.44444444444444,60.666666666666664,7.0,2.3333333333333335,5.0,4.666666666666667
2023-01-21,125.66666666666667,61.55555555555556,6.666666666666667,2.4444444444444446,5.0,4.888888888888889
2023-01-22,126.88888888888889,62.44444444444444,6.333333333333334,2.5555555555555554,5.0,5.111111111111111
2023-01-23,128.11111111111111,63.333333333333336,6.0,2.6666666666666665,5.0,5.333333333333333
2023-01-24,129.33333333333334,64.22222222222223,5.666666666666667,2.7777777777777777,5.0,5.555555555555555
2023-01-25,130.55555555555554,65.11111111111111,5.333333333333334,2.888888888888889,5.0,5.777777777777778
2023-01-26,131.77777777777777,66.0,5.0,3.0,5.0,6.0
2023-01-27,133.0,59.0,11.0,3.0,5.0,11.0
2023-01-28,137.0,60.0,11.0,3.0,5.0,5.0
2023-01-29,143.0,60.0,6.0,2.0,5.0,4.0
2023-01-30,146.0,60.0,6.0,2.0,5.0,6.0
2023-01-31,135.0,58.0,7.0,2.0,5.0,8.0
2023-02-01,135.0,63.0,7.0,2.0,5.0,7.0
