date,pm25,pm10,o3,no2,so2,co
2022-10-01,140.0,47.0,6.0,6.0,1.0,4.0
2022-10-02,110.0,57.0,6.0,6.0,1.0,5.0
2022-10-03,129.0,63.0,6.0,6.0,1.0,5.0
2022-10-04,139.0,72.0,7.0,7.0,1.0,7.0
2022-10-05,159.0,36.0,22.0,6.0,1.0,7.0
2022-10-06,95.0,51.0,5.0,6.0,1.0,5.0
2022-10-07,109.0,47.0,6.0,6.0,1.0,5.0
2022-10-08,105.0,49.0,5.0,7.0,1.0,6.0
2022-10-09,106.0,40.0,6.0,6.0,1.0,5.0
2022-10-10,89.0,49.0,5.0,6.0,1.0,5.0
2022-10-11,91.0,54.0,5.0,7.0,1.0,5.0
2022-10-12,110.0,56.0,5.0,7.0,1.0,7.0
2022-10-13,112.0,54.0,5.0,7.0,1.0,6.0
2022-10-14,114.0,59.0,5.0,7.0,1.0,6.0
2022-10-15,153.0,43.0,5.0,6.0,1.0,6.0
2022-10-16,94.0,47.875,5.0,6.125,1.0,6.0
2022-10-17,102.0,52.75,5.0,6.25,1.0,6.0
2022-10-18,110.0,57.625,5.0,6.375,1.0,6.0
2022-10-19,118.0,62.5,5.0,6.5,1.0,6.0
2022-10-20,126.0,67.375,5.0,6.625,1.0,6.0
2022-10-21,134.0,72.25,5.0,6.75,1.0,6.0
2022-10-22,142.0,77.125,5.0,6.875,1.0,6.0
2022-10-23,150.0,82.0,5.0,7.0,1.0,6.0
2022-10-24,158.0,94.0,6.0,8.0,1.0,7.0
2022-10-25,160.0,100.0,6.0,10.0,1.0,10.0
2022-10-26,161.0,90.0,6.0,9.0,1.0,8.0
2022-10-27,161.0,89.0,6.0,10.0,1.0,7.0
2022-10-28,161.0,97.0,5.0,12.0,1.0,7.0
2022-10-29,161.0,104.0,6.0,13.0,1.0,8.0
2022-10-30,161.0,99.0,6.0,12.0,1.0,7.0
2022-10-31,164.0,85.0,6.0,10.0,1.0,8.0
2022-11-01,160.0,106.0,6.0,12.0,1.0,11.0
2022-11-02,163.0,104.0,6.0,12.0,1.0,9.0
2022-11-03,163.0,100.0,6.0,12.0,1.0,8.0
2022-11-04,163.0,89.0,5.0,12.0,1.0,8.0
2022-11-05,161.0,101.0,6.0,13.0,1.0,8.0
2022-11-06,162.0,105.0,6.0,12.0,1.0,9.0
2022-11-07,163.0,103.0,6.0,11.0,1.0,8.0
