date,pm25,pm10,o3,no2,so2,co
2018-02-01,125.0,118.0,29.0,5.0,4.0,9.0
2018-02-02,146.0,116.0,35.0,5.0,12.0,9.0
2018-02-03,112.0,108.0,37.0,4.0,7.0,11.0
2018-02-04,142.0,111.0,38.0,4.0,7.0,8.0
2018-02-05,156.0,102.0,26.0,5.0,14.0,16.0
2018-02-06,144.0,101.0,33.0,5.0,7.0,6.0
2018-02-07,123.0,108.0,41.0,8.0,4.0,6.0
2018-02-08,106.0,114.0,40.0,6.0,9.0,12.0
2018-02-09,119.0,103.0,43.0,6.0,5.0,5.0
2018-02-10,121.0,108.0,43.0,4.0,4.0,4.0
2018-02-11,119.0,76.0,33.0,5.0,4.0,5.0
2018-02-12,88.0,87.0,34.0,9.0,2.0,5.0
2018-02-13,112.0,80.0,31.0,8.0,3.0,6.0
2018-02-14,99.0,96.0,31.0,4.0,4.0,9.0
2018-02-15,126.0,111.0,33.0,9.0,3.0,16.0
2018-02-16,128.0,181.0,31.0,16.0,4.0,11.0
2018-02-17,144.0,178.0,41.0,10.0,4.0,6.0
2018-02-18,156.0,140.0,49.0,8.0,9.0,13.0
2018-02-19,133.0,118.0,41.0,16.0,2.0,8.0
2018-02-20,135.0,134.0,29.0,19.0,4.0,11.0
2018-02-21,139.0,153.0,40.0,28.0,3.0,12.0
2018-02-22,161.0,129.0,31.0,24.0,3.0,7.0
2018-02-23,149.0,126.0,31.0,25.0,4.0,7.0
2018-02-24,157.0,89.0,29.0,16.0,2.0,5.0
2018-02-25,102.0,85.0,28.0,20.0,2.0,6.0
2018-02-26,117.0,105.0,30.0,22.0,3.0,6.0
2018-02-27,130.0,90.0,34.0,16.0,2.0,6.0
2018-02-28,137.0,99.0,40.0,13.0,4.0,4.0
2018-03-01,138.0,84.0,33.0,13.0,2.0,4.0
2018-03-02,133.0,85.0,33.0,16.0,1.0,2.0
2018-03-03,125.0,96.0,32.0,18.0,2.0,3.0
2018-03-04,141.0,60.0,34.0,16.0,2.0,2.0
2018-03-05,85.0,64.0,34.0,20.0,2.0,2.0
2018-03-06,91.0,64.0,37.0,24.0,2.0,4.0
2018-03-07,109.0,55.0,36.0,11.0,2.0,3.0
2018-03-08,66.0,63.0,40.0,11.0,3.0,4.0
2018-03-09,87.0,77.0,43.0,17.0,3.0,5.0
2018-03-10,129.0,67.0,42.0,18.0,5.0,7.0
2018-03-11,64.0,83.0,41.0,20.0,3.0,6.0
2018-03-12,90.0,86.0,31.0,21.0,7.0,15.0
2018-03-13,122.0,105.0,24.0,15.0,2.0,6.0
2018-03-14,122.0,96.0,28.0,20.0,3.0,8.0
2018-03-15,119.0,102.0,33.0,19.0,4.0,8.0
2018-03-16,120.0,80.0,39.0,20.0,5.0,5.0
2018-03-17,103.0,74.0,42.0,18.0,5.0,5.0
2018-03-18,93.0,81.0,39.0,9.0,5.0,5.0
2018-03-19,105.0,74.0,39.0,20.0,3.0,6.0
2018-03-20,101.0,119.0,31.0,16.0,2.0,5.0
2018-03-21,147.0,94.0,39.0,14.0,3.0,5.0
2018-03-22,138.0,75.0,35.0,14.0,4.0,14.0
2018-03-23,107.0,74.0,43.0,24.0,4.0,6.0
2018-03-24,117.0,84.0,43.0,22.0,4.0,5.0
2018-03-25,132.0,78.0,31.0,26.0,11.0,27.0
2018-03-26,114.0,100.0,35.0,25.0,3.0,12.0
2018-03-27,139.0,91.0,28.0,17.0,4.0,8.0
2018-03-28,135.0,90.0,33.0,17.0,4.0,9.0
2018-03-29,118.0,107.0,37.0,19.0,5.0,8.0
2018-03-30,133.0,88.0,43.0,11.0,5.0,5.0
2018-03-31,118.0,94.0,53.0,10.0,4.0,6.0
2018-04-01,130.0,94.0,48.0,6.0,4.0,6.0
2018-04-02,145.0,92.0,35.0,17.0,3.0,9.0
2018-04-03,125.0,104.0,27.0,18.0,5.0,12.0
2018-04-04,131.0,113.0,44.0,15.0,5.0,6.0
2018-04-05,135.0,102.0,45.0,9.0,4.0,5.0
2018-04-06,134.0,86.0,52.0,14.0,3.0,8.0
2018-04-07,113.0,92.0,54.0,7.0,3.0,5.0
2018-04-08,102.0,81.0,44.0,6.0,7.0,12.0
2018-04-09,98.0,91.0,40.0,7.0,3.0,5.0
2018-04-10,131.0,77.0,38.0,8.0,3.0,5.0
2018-04-11,125.0,47.0,31.0,7.0,2.0,5.0
2018-04-12,85.0,53.0,33.0,13.0,2.0,5.0
2018-04-13,85.0,70.0,40.0,11.0,5.0,5.0
2018-04-14,68.0,79.0,38.0,8.0,4.0,4.0
2018-04-15,75.0,117.0,25.0,16.0,3.0,6.0
2018-04-16,128.0,108.0,24.0,13.0,5.0,6.0
2018-04-17,119.0,106.0,30.0,13.0,4.0,4.0
2018-04-18,132.0,106.0,25.0,15.0,5.0,8.0
2018-04-19,129.0,176.0,22.0,14.0,3.0,5.0
2018-04-20,152.0,302.0,34.0,10.0,2.0,4.0
2018-04-21,179.0,88.0,35.0,11.0,4.0,4.0
2018-04-22,118.0,78.0,36.0,14.0,4.0,5.0
2018-04-23,104.0,91.0,32.0,23.0,4.0,9.0
2018-04-24,119.0,93.0,27.0,20.0,4.0,9.0
2018-04-25,122.0,105.0,34.0,13.0,6.0,11.0
2018-04-26,128.0,130.0,29.0,16.0,6.0,5.0
2018-04-27,146.0,118.0,26.0,20.0,3.0,5.0
2018-04-28,133.0,116.0,35.0,14.0,4.0,4.0
2018-04-29,138.0,125.0,32.0,11.0,3.0,4.0
2018-04-30,144.0,141.0,40.0,12.0,3.0,3.0
2018-05-01,142.0,162.0,31.0,8.0,3.0,4.0
2018-05-02,148.0,93.0,31.0,5.0,2.0,3.0
2018-05-03,118.0,90.0,44.0,6.0,2.0,4.0
2018-05-04,117.0,99.0,45.0,10.0,4.0,5.0
2018-05-05,128.0,109.0,35.0,9.0,3.0,3.0
2018-05-06,143.0,95.0,32.0,12.0,8.0,13.0
2018-05-07,113.0,121.0,39.0,18.0,2.0,10.0
2018-05-08,132.0,104.0,41.0,12.0,2.0,4.0
2018-05-09,136.0,97.0,43.0,19.0,3.0,10.0
2018-05-10,127.0,106.0,37.0,25.0,4.0,11.0
2018-05-11,146.0,112.0,29.0,19.0,3.0,7.0
2018-05-12,129.0,152.5,29.5,14.5,3.5,7.0
2018-05-13,143.5,193.0,30.0,10.0,4.0,7.0
2018-05-14,158.0,130.0,32.0,8.0,4.0,6.0
2018-05-15,151.0,121.0,46.0,8.0,6.0,13.0
2018-05-16,137.0,131.0,46.0,10.0,5.0,8.0
2018-05-17,152.0,102.0,46.0,11.0,4.0,10.0
2018-05-18,136.0,110.0,38.0,5.0,4.0,7.0
2018-05-19,143.0,254.0,43.0,10.0,5.0,7.0
2018-05-20,130.0,99.0,54.0,5.0,5.0,6.0
2018-05-21,135.0,120.0,55.0,8.0,7.0,9.0
2018-05-22,152.0,150.0,50.0,16.0,6.0,10.0
2018-05-23,148.0,112.0,62.0,12.0,9.0,8.0
2018-05-24,143.0,108.0,61.0,21.0,6.0,11.0
2018-05-25,146.0,97.0,53.0,15.0,6.0,9.0
2018-05-26,139.0,123.0,44.0,14.0,4.0,7.0
2018-05-27,150.0,116.0,44.0,17.0,8.0,8.0
2018-05-28,150.0,107.0,33.0,11.0,6.0,6.0
2018-05-29,145.0,119.0,29.0,10.0,6.0,15.0
2018-05-30,145.0,89.0,38.0,11.0,3.0,7.0
2018-05-31,127.0,118.0,41.0,14.0,4.0,8.0
2018-06-01,147.0,384.0,37.0,11.0,4.0,8.0
2018-06-02,190.0,139.0,38.0,9.0,4.0,4.0
2018-06-03,155.0,147.0,31.0,11.0,4.0,6.0
2018-06-04,161.0,135.0,38.0,7.0,3.0,5.0
2018-06-05,160.0,137.0,45.0,6.0,3.0,6.0
2018-06-06,138.0,132.0,37.0,7.0,3.0,5.0
2018-06-07,149.0,177.0,26.0,8.0,3.0,5.0
2018-06-08,156.0,78.0,21.0,7.0,3.0,5.0
2018-06-09,132.0,81.0,24.0,6.0,2.0,6.0
2018-06-10,134.0,105.0,41.0,8.0,9.0,25.0
2018-06-11,130.0,152.0,25.0,6.0,2.0,6.0
2018-06-12,154.0,311.0,31.0,5.0,3.0,5.0
2018-06-13,156.0,222.0,45.0,5.0,3.0,4.0
2018-06-14,151.0,154.0,28.0,4.0,3.0,4.0
2018-06-15,133.0,110.0,27.0,6.0,3.0,6.0
2018-06-16,140.0,92.0,27.0,6.0,3.0,5.0
2018-06-17,134.0,156.0,27.0,7.0,3.0,6.0
2018-06-18,158.0,85.0,32.0,8.0,5.0,6.0
2018-06-19,136.0,73.0,39.0,15.0,4.0,6.0
2018-06-20,143.0,108.0,37.0,15.0,8.0,6.0
2018-06-21,147.0,92.0,35.0,17.0,3.0,7.0
2018-06-22,154.0,102.0,27.0,12.0,3.0,4.0
2018-06-23,160.0,89.0,28.0,11.5,2.5,4.5
2018-06-24,152.0,76.0,29.0,11.0,2.0,5.0
2018-06-25,144.0,56.0,31.0,9.0,6.0,12.0
2018-06-26,117.0,57.0,9.0,11.0,3.0,9.0
2018-06-27,93.0,35.0,23.0,4.0,5.0,6.0
2018-06-28,136.0,41.0,13.0,6.0,2.0,7.0
2018-06-29,140.0,35.0,12.0,6.0,1.0,3.0
2018-06-30,362.0,92.0,12.0,14.0,3.0,5.0
2018-07-01,127.0,78.0,17.0,9.0,3.0,7.0
2018-07-02,133.0,59.0,18.0,8.0,4.0,5.0
2018-07-03,121.0,60.0,12.0,7.0,4.0,5.0
2018-07-04,112.0,96.0,14.0,7.0,3.0,7.0
2018-07-05,177.0,103.0,25.0,8.0,3.0,5.0
2018-07-06,126.0,133.0,28.0,11.0,2.0,8.0
