date,pm25,pm10,o3,no2,so2,co
2018-02-01,143.0,109.0,37.0,10.0,9.0,6.0
2018-02-02,146.0,81.0,46.0,12.0,14.0,6.0
2018-02-03,126.0,73.0,48.0,16.0,10.0,7.0
2018-02-04,117.0,87.0,43.0,22.0,8.0,9.0
2018-02-05,270.0,69.0,38.0,22.0,12.0,7.0
2018-02-06,625.0,73.0,43.0,27.0,9.0,13.0
2018-02-07,334.0,85.0,50.0,28.0,6.0,9.0
2018-02-08,116.0,79.0,63.0,35.0,6.0,12.0
2018-02-09,112.0,74.0,48.0,11.0,5.0,28.0
2018-02-10,92.0,93.0,56.0,4.0,6.0,6.0
2018-02-11,172.0,48.0,50.0,3.0,12.0,17.0
2018-02-12,121.0,81.0,40.0,25.0,7.0,8.0
2018-02-13,133.0,59.0,40.0,18.0,5.0,11.0
2018-02-14,149.0,74.0,40.0,27.0,7.0,12.0
2018-02-15,157.0,89.0,41.0,33.0,6.0,13.0
2018-02-16,124.0,112.0,41.0,40.0,12.0,18.0
2018-02-17,222.0,111.0,44.0,41.0,4.0,10.0
2018-02-18,214.0,97.0,55.0,44.0,7.0,12.0
2018-02-19,144.0,94.0,54.0,46.0,4.0,21.0
2018-02-20,138.0,116.0,43.0,50.0,13.0,38.0
2018-02-21,175.0,128.0,44.0,48.0,6.0,30.0
2018-02-22,187.0,112.0,36.0,40.0,6.0,23.0
2018-02-23,256.0,102.0,34.0,34.0,19.0,9.0
2018-02-24,145.0,74.0,36.0,16.0,2.0,5.0
2018-02-25,87.0,71.0,34.0,18.0,6.0,7.0
2018-02-26,95.0,82.0,38.0,20.0,7.0,7.0
2018-02-27,119.0,90.0,37.0,32.0,3.0,15.0
2018-02-28,126.0,68.0,44.0,30.0,7.0,12.0
2018-03-01,141.0,44.0,37.0,26.0,3.0,10.0
2018-03-02,130.0,60.0,37.0,34.0,2.0,8.0
2018-03-03,131.0,44.0,37.0,25.0,5.0,8.0
2018-03-04,99.0,43.0,42.0,19.0,4.0,6.0
2018-03-05,86.0,55.0,48.0,26.0,7.0,7.0
2018-03-06,85.0,60.0,22.0,33.0,10.0,15.0
2018-03-07,94.0,58.0,23.0,52.0,8.0,8.0
2018-03-08,83.0,67.0,25.0,23.0,8.0,7.0
2018-03-09,86.0,72.0,60.0,17.0,10.0,21.0
2018-03-10,107.0,69.0,52.0,21.0,5.0,5.0
2018-03-11,101.0,82.0,47.0,24.0,3.0,7.0
2018-03-12,117.0,94.0,44.0,29.0,5.0,8.0
2018-03-13,123.0,103.0,22.0,24.0,6.0,7.0
2018-03-14,118.0,94.0,32.0,17.0,4.0,5.0
2018-03-15,110.0,87.0,37.0,15.0,5.0,5.0
2018-03-16,117.0,77.0,47.0,15.0,4.0,4.0
