date,pm25,pm10,o3,no2,so2,co
2020-02-01,199.0,69.0,17.0,20.0,2.0,5.0
2020-02-02,164.0,90.0,34.0,31.0,4.0,7.0
2020-02-03,166.0,75.0,8.0,30.0,2.0,6.0
2020-02-04,130.0,58.0,37.0,6.0,3.0,4.0
2020-02-05,66.0,36.0,14.0,4.0,1.0,2.0
2020-02-06,53.0,34.0,17.0,3.0,5.0,2.0
2020-02-07,44.0,27.0,12.0,5.0,2.0,2.0
2020-02-08,59.0,57.0,27.0,10.0,2.0,3.0
2020-02-09,63.0,28.0,5.0,7.0,2.0,2.0
2020-02-10,51.0,28.0,17.0,2.0,2.0,3.0
2020-02-11,66.0,108.0,19.0,14.0,3.0,7.0
2020-02-12,201.0,150.0,49.0,49.0,14.0,12.0
2020-02-13,196.77777777777777,146.11111111111111,46.72222222222222,47.5,13.333333333333334,11.88888888888889
2020-02-14,192.55555555555554,142.22222222222223,44.44444444444444,46.0,12.666666666666666,11.777777777777779
2020-02-15,188.33333333333334,138.33333333333334,42.166666666666664,44.5,12.0,11.666666666666666
2020-02-16,184.11111111111111,134.44444444444446,39.888888888888886,43.0,11.333333333333334,11.555555555555555
2020-02-17,179.88888888888889,130.55555555555554,37.611111111111114,41.5,10.666666666666668,11.444444444444445
2020-02-18,175.66666666666666,126.66666666666667,35.33333333333333,40.0,10.0,11.333333333333334
2020-02-19,171.44444444444446,122.77777777777777,33.05555555555556,38.5,9.333333333333334,11.222222222222221
2020-02-20,167.22222222222223,118.88888888888889,30.777777777777775,37.0,8.666666666666668,11.11111111111111
2020-02-21,163.0,115.0,28.5,35.5,8.0,11.0
2020-02-22,158.77777777777777,111.11111111111111,26.22222222222222,34.0,7.333333333333334,10.88888888888889
2020-02-23,154.55555555555554,107.22222222222223,23.944444444444443,32.5,6.666666666666667,10.777777777777779
2020-02-24,150.33333333333334,103.33333333333334,21.666666666666664,31.0,6.000000000000001,10.666666666666666
2020-02-25,146.11111111111111,99.44444444444444,19.388888888888886,29.5,5.333333333333334,10.555555555555555
2020-02-26,141.88888888888889,95.55555555555556,17.11111111111111,28.0,4.666666666666668,10.444444444444445
