date,pm25,pm10,o3,no2,so2,co
2020-02-01,163.0,56.0,6.0,15.0,3.0,6.0
2020-02-02,148.0,89.0,19.0,23.0,6.0,9.0
2020-02-03,157.0,74.0,6.0,11.0,2.0,5.0
2020-02-04,122.0,60.0,31.0,6.0,3.0,5.0
2020-02-05,63.0,33.0,29.0,4.0,2.0,4.0
2020-02-06,47.0,23.0,19.0,2.0,2.0,3.0
2020-02-07,40.0,25.0,9.0,5.0,1.0,3.0
2020-02-08,64.0,53.0,27.0,5.0,2.0,5.0
2020-02-09,55.0,27.0,6.0,5.0,1.0,3.0
2020-02-10,42.0,34.0,5.0,5.0,2.0,6.0
2020-02-11,60.0,100.0,30.0,19.0,7.0,7.0
2020-02-12,190.0,160.0,12.0,27.0,3.0,13.0
2020-02-13,185.0,154.11111111111111,11.444444444444445,26.166666666666668,3.0,12.666666666666666
2020-02-14,180.0,148.22222222222223,10.88888888888889,25.333333333333332,3.0,12.333333333333334
2020-02-15,175.0,142.33333333333334,10.333333333333334,24.5,3.0,12.0
2020-02-16,170.0,136.44444444444446,9.777777777777779,23.666666666666668,3.0,11.666666666666666
2020-02-17,165.0,130.55555555555554,9.222222222222221,22.833333333333332,3.0,11.333333333333334
2020-02-18,160.0,124.66666666666666,8.666666666666668,22.0,3.0,11.0
2020-02-19,155.0,118.77777777777777,8.11111111111111,21.166666666666668,3.0,10.666666666666668
2020-02-20,150.0,112.88888888888889,7.555555555555556,20.333333333333332,3.0,10.333333333333334
2020-02-21,145.0,107.0,7.0,19.5,3.0,10.0
2020-02-22,140.0,101.11111111111111,6.444444444444445,18.666666666666664,3.0,9.666666666666668
2020-02-23,135.0,95.22222222222221,5.888888888888889,17.833333333333336,3.0,9.333333333333334
2020-02-24,130.0,89.33333333333333,5.333333333333334,17.0,3.0,9.0
2020-02-25,125.0,83.44444444444444,4.777777777777779,16.166666666666664,3.0,8.666666666666668
2020-02-26,120.0,77.55555555555554,4.222222222222222,15.333333333333334,3.0,8.333333333333334
2020-02-27,115.0,71.66666666666666,3.666666666666668,14.5,3.0,8.0
2020-02-28,110.0,65.77777777777777,3.1111111111111125,13.666666666666666,3.0,7.666666666666667
2020-02-29,105.00000000000001,59.888888888888886,2.5555555555555554,12.833333333333332,3.0,7.333333333333334
2020-03-01,100.0,54.0,2.0,12.0,3.0,7.0
2020-03-02,132.0,100.0,7.0,26.0,4.0,10.0
2020-03-03,150.0,58.0,22.0,8.0,5.0,5.0
2020-03-04,119.0,73.0,39.0,4.0,4.0,4.0
2020-03-05,57.0,41.0,19.0,4.0,2.0,3.0
2020-03-06,46.0,31.0,18.0,2.0,2.0,3.0
2020-03-07,44.0,22.0,13.0,4.0,3.0,2.0
2020-03-08,91.0,41.0,6.0,9.0,3.0,6.0
2020-03-09,48.0,32.0,14.0,7.0,5.0,4.0
2020-03-10,66.0,42.0,3.0,7.0,1.0,6.0
2020-03-11,117.0,136.0,26.0,23.0,6.0,9.0
2020-03-12,201.0,128.0,27.0,26.0,5.0,10.0
2020-03-13,195.55,126.1,25.7,25.4,4.9,10.1
2020-03-14,190.1,124.2,24.4,24.8,4.8,10.2
2020-03-15,184.65,122.3,23.1,24.2,4.7,10.3
2020-03-16,179.2,120.4,21.8,23.6,4.6,10.4
2020-03-17,173.75,118.5,20.5,23.0,4.5,10.5
2020-03-18,168.3,116.6,19.2,22.4,4.4,10.6
2020-03-19,162.85,114.7,17.9,21.8,4.3,10.7
2020-03-20,157.4,112.8,16.6,21.2,4.2,10.8
2020-03-21,151.95,110.9,15.3,20.6,4.1,10.9
2020-03-22,146.5,109.0,14.0,20.0,4.0,11.0
2020-03-23,141.05,107.1,12.700000000000001,19.4,3.9000000000000004,11.1
2020-03-24,135.6,105.2,11.4,18.8,3.8,11.2
2020-03-25,130.14999999999998,103.3,10.100000000000001,18.2,3.7,11.3
2020-03-26,124.7,101.4,8.8,17.6,3.6,11.4
2020-03-27,119.25,99.5,7.5,17.0,3.5,11.5
2020-03-28,113.8,97.6,6.199999999999999,16.4,3.4000000000000004,11.6
2020-03-29,108.35,95.69999999999999,4.900000000000002,15.8,3.3,11.7
2020-03-30,102.89999999999999,93.8,3.6000000000000014,15.2,3.2,11.8
2020-03-31,97.45,91.9,2.3000000000000007,14.6,3.1,11.9
2020-04-01,92.0,90.0,1.0,14.0,3.0,12.0
2020-04-02,159.0,103.0,23.0,20.0,7.0,9.0
2020-04-03,118.0,51.0,16.0,10.0,2.0,5.0
2020-04-04,150.0,59.0,29.0,4.0,4.0,4.0
2020-04-05,72.0,31.0,22.0,3.0,2.0,3.0
2020-04-06,51.0,24.0,16.0,2.0,2.0,3.0
2020-04-07,42.0,21.0,6.0,4.0,2.0,2.0
2020-04-08,78.0,13.0,11.0,2.0,2.0,3.0
2020-04-09,54.0,27.0,11.0,3.0,2.0,3.0
2020-04-10,72.0,47.0,1.0,4.0,2.0,3.0
2020-04-11,176.0,145.0,18.0,31.0,5.0,13.0
2020-04-12,185.0,118.0,11.0,21.0,3.0,7.0
2020-04-13,184.0,117.10526315789474,10.947368421052632,20.842105263157894,3.1052631578947367,7.368421052631579
2020-04-14,183.0,116.21052631578948,10.894736842105264,20.68421052631579,3.210526315789474,7.7368421052631575
