date,pm25,pm10,o3,no2,so2,co
2020-02-01,148.0,77.0,54.0,36.0,6.0,2.0
2020-02-02,140.0,77.0,54.0,36.0,6.0,2.0
2020-02-03,132.0,114.0,68.0,40.0,7.0,3.0
2020-02-04,162.0,126.0,78.0,34.0,13.0,3.0
2020-02-05,172.0,100.0,64.0,30.0,4.0,2.0
2020-02-06,163.0,97.0,54.0,25.0,7.0,2.0
2020-02-07,157.0,150.0,5.0,34.0,7.0,3.0
2020-02-08,194.0,107.0,64.0,26.0,6.0,3.0
2020-02-09,170.0,104.0,72.0,38.0,7.0,2.0
2020-02-10,160.0,148.0,62.0,44.0,5.0,2.0
2020-02-11,186.0,133.0,69.0,51.0,7.0,3.0
2020-02-12,172.0,134.0,69.0,49.0,7.0,3.0
2020-02-13,176.0,135.0,69.0,42.0,11.0,2.0
2020-02-14,175.0,97.0,60.0,40.0,4.0,4.0
2020-02-15,147.0,130.0,67.0,41.0,5.0,3.0
2020-02-16,171.0,122.0,68.0,43.0,5.0,2.0
2020-02-17,171.0,116.0,66.0,35.0,5.0,3.0
2020-02-18,169.0,84.0,66.0,23.0,22.0,3.0
2020-02-19,156.0,70.0,65.0,21.0,19.0,2.0
2020-02-20,144.0,103.0,64.0,40.0,9.0,3.0
2020-02-21,161.0,136.0,67.0,43.0,6.0,3.0
2020-02-22,184.0,125.0,45.0,32.0,5.0,3.0
2020-02-23,173.0,129.0,33.0,36.0,8.0,3.0
2020-02-24,176.0,95.0,8.0,32.0,3.0,6.0
2020-02-25,152.0,64.0,13.0,21.0,2.0,6.0
2020-02-26,113.0,64.0,42.0,28.0,2.0,3.0
2020-02-27,113.0,95.0,52.0,28.0,4.0,9.0
2020-02-28,157.0,97.0,64.0,37.0,5.0,13.0
2020-02-29,156.0,118.0,73.0,36.0,5.0,20.0
2020-03-01,170.0,122.0,61.0,32.0,8.0,18.0
2020-03-02,167.0,78.0,23.0,30.0,3.0,19.0
2020-03-03,151.0,61.0,38.0,19.0,7.0,11.0
2020-03-04,123.0,54.0,35.0,24.0,4.0,16.0
2020-03-05,89.0,56.0,38.0,20.0,6.0,11.0
2020-03-06,94.0,48.0,25.0,18.0,3.0,14.0
2020-03-07,91.0,56.0,42.0,21.0,3.0,13.0
2020-03-08,100.0,78.0,70.0,25.0,4.0,10.0
2020-03-09,131.0,85.0,86.0,29.0,9.0,14.0
2020-03-10,139.0,74.0,72.0,23.0,6.0,15.0
2020-03-11,138.0,78.0,43.0,23.0,7.0,14.0
2020-03-12,143.0,75.0,68.0,29.0,6.0,15.0
2020-03-13,143.0,70.0,48.0,12.0,5.0,11.0
2020-03-14,112.0,48.0,53.0,18.0,7.0,12.0
2020-03-15,74.0,82.0,67.0,28.0,11.0,16.0
2020-03-16,145.0,87.0,72.0,31.0,6.0,15.0
2020-03-17,146.0,101.0,63.0,35.0,6.0,18.0
2020-03-18,155.0,106.0,100.0,36.0,7.0,14.0
2020-03-19,157.0,63.0,68.0,25.0,9.0,11.0
2020-03-20,97.0,59.0,64.0,16.0,8.0,12.0
2020-03-21,101.0,25.0,50.0,11.0,5.0,9.0
2020-03-22,53.0,46.0,73.0,11.0,5.0,11.0
2020-03-23,75.0,45.0,53.0,8.0,6.0,11.0
2020-03-24,84.0,58.0,51.0,9.0,7.0,13.0
2020-03-25,113.0,48.0,55.0,8.0,4.0,11.0
2020-03-26,86.0,64.0,60.0,9.0,7.0,12.0
2020-03-27,115.0,59.0,60.0,8.0,6.0,12.0
2020-03-28,108.0,53.0,65.0,7.0,5.0,11.0
2020-03-29,94.0,50.0,75.0,9.0,5.0,11.0
2020-03-30,96.0,59.0,70.0,12.0,5.0,11.0
2020-03-31,100.0,60.0,76.0,6.0,7.0,14.0
2020-04-01,118.0,50.0,55.0,5.0,4.0,15.0
2020-04-02,101.0,55.0,66.0,7.0,4.0,15.0
2020-04-03,110.0,59.0,67.0,8.0,6.0,8.0
2020-04-04,130.0,50.0,40.0,5.0,5.0,5.0
2020-04-05,112.0,51.0,36.0,7.0,5.0,4.0
2020-04-06,97.0,55.0,40.0,4.0,6.0,4.0
2020-04-07,108.0,27.0,40.0,5.0,4.0,3.0
2020-04-08,77.0,28.0,50.0,6.0,6.0,4.0
2020-04-09,72.0,21.0,27.0,3.0,3.0,5.0
2020-04-10,66.0,20.0,23.0,2.0,4.0,4.0
2020-04-11,65.0,36.0,17.0,3.0,3.0,4.0
2020-04-12,77.0,31.0,22.0,2.0,4.0,5.0
2020-04-13,81.0,45.0,17.0,2.0,3.0,5.0
2020-04-14,85.0,46.0,18.0,3.0,4.0,5.0
2020-04-15,77.0,50.0,21.0,5.0,3.0,5.0
2020-04-16,88.0,40.0,16.0,3.0,4.0,5.0
2020-04-17,72.0,26.0,20.0,3.0,5.0,5.0
2020-04-18,68.0,29.0,20.0,3.0,4.0,4.0
2020-04-19,51.0,26.0,20.0,3.0,4.0,5.0
2020-04-20,57.0,26.0,16.0,7.0,3.0,3.0
2020-04-21,45.0,23.0,18.0,5.0,5.0,4.0
2020-04-22,62.0,27.0,14.0,4.0,3.0,5.0
2020-04-23,57.0,29.0,17.0,4.0,4.0,4.0
2020-04-24,46.0,29.0,19.0,4.0,4.0,4.0
2020-04-25,55.0,30.0,20.0,4.0,3.0,4.0
2020-04-26,59.0,29.0,12.0,4.0,3.0,4.0
2020-04-27,46.0,31.0,14.0,5.0,2.0,5.0
2020-04-28,38.0,29.0,18.0,5.0,3.0,4.0
2020-04-29,61.0,29.0,19.0,5.0,5.0,5.0
2020-04-30,56.0,29.0,17.0,4.0,3.0,3.0
2020-05-01,41.0,29.0,17.0,6.0,2.0,5.0
2020-05-02,64.0,28.0,20.0,5.0,2.0,5.0
2020-05-03,65.0,30.0,14.0,5.0,3.0,5.0
2020-05-04,72.0,31.0,17.0,4.0,3.0,5.0
2020-05-05,65.0,29.0,23.0,7.0,4.0,4.0
2020-05-06,44.0,31.0,20.0,4.0,3.0,4.0
2020-05-07,59.0,29.0,23.0,4.0,3.0,4.0
2020-05-08,56.0,35.0,9.0,3.0,2.5,6.0
2020-05-09,75.0,33.0,22.0,4.0,2.0,5.0
2020-05-10,67.0,30.0,15.0,5.0,1.0,4.0
2020-05-11,54.0,29.928571428571427,14.714285714285714,5.0,1.1428571428571428,4.071428571428571
2020-05-12,54.285714285714285,29.857142857142858,14.428571428571429,5.0,1.2857142857142856,4.142857142857143
2020-05-13,54.57142857142857,29.785714285714285,14.142857142857142,5.0,1.4285714285714286,4.214285714285714
2020-05-14,54.857142857142854,29.714285714285715,13.857142857142858,5.0,1.5714285714285714,4.285714285714286
2020-05-15,55.142857142857146,29.642857142857142,13.571428571428571,5.0,1.7142857142857144,4.357142857142857
2020-05-16,55.42857142857143,29.571428571428573,13.285714285714286,5.0,1.8571428571428572,4.428571428571429
2020-05-17,55.714285714285715,29.5,13.0,5.0,2.0,4.5
2020-05-18,56.0,29.428571428571427,12.714285714285715,5.0,2.142857142857143,4.571428571428571
2020-05-19,56.285714285714285,29.357142857142858,12.428571428571429,5.0,2.2857142857142856,4.642857142857142
2020-05-20,56.57142857142857,29.285714285714285,12.142857142857142,5.0,2.428571428571429,4.714285714285714
2020-05-21,56.857142857142854,29.214285714285715,11.857142857142858,5.0,2.571428571428571,4.785714285714286
2020-05-22,57.142857142857146,29.142857142857142,11.571428571428571,5.0,2.7142857142857144,4.857142857142857
2020-05-23,57.42857142857143,29.071428571428573,11.285714285714286,5.0,2.8571428571428568,4.928571428571429
2020-05-24,57.714285714285715,29.0,11.0,5.0,3.0,5.0
2020-05-25,58.0,15.5,13.5,5.5,2.0,5.0
2020-05-26,45.0,2.0,16.0,6.0,1.0,5.0
2020-05-27,32.0,10.0,15.0,10.0,2.0,5.0
2020-05-28,54.0,28.0,18.0,5.0,1.0,4.0
2020-05-29,58.0,26.0,15.0,5.666666666666667,1.5,4.333333333333333
2020-05-30,53.0,24.0,12.0,6.333333333333333,2.0,4.666666666666667
2020-05-31,48.0,22.0,9.0,7.0,2.5,5.0
2020-06-01,43.0,26.0,14.0,8.0,3.0,4.0
2020-06-02,60.0,26.0,21.0,6.0,5.0,5.0
2020-06-03,58.0,36.0,5.0,6.0,8.0,4.0
2020-06-04,60.0,19.0,10.0,5.0,2.0,5.0
2020-06-05,56.0,25.0,10.0,9.0,1.9230769230769231,5.0
2020-06-06,62.5,31.0,10.0,13.0,1.8461538461538463,5.0
2020-06-07,69.0,39.0,17.0,13.0,1.7692307692307692,6.0
2020-06-08,76.0,36.0,13.0,8.0,1.6923076923076923,5.0
2020-06-09,72.0,24.0,8.0,7.0,1.6153846153846154,5.0
2020-06-10,54.0,8.0,7.0,3.0,1.5384615384615385,6.0
2020-06-11,29.0,14.0,7.0,14.0,1.4615384615384617,6.0
2020-06-12,44.0,22.0,8.0,9.0,1.3846153846153846,6.0
2020-06-13,50.0,18.0,9.0,7.0,1.3076923076923077,6.0
2020-06-14,45.0,24.0,10.0,10.0,1.2307692307692308,6.0
2020-06-15,52.0,20.0,10.0,10.0,1.153846153846154,6.0
2020-06-16,54.0,31.0,9.0,10.0,1.076923076923077,5.0
2020-06-17,58.0,34.0,11.0,10.0,1.0,5.0
2020-06-18,60.0,38.0,11.0,11.0,1.0,6.0
2020-06-19,64.0,24.0,8.0,6.0,1.0,5.0
2020-06-20,41.0,20.0,11.0,6.0,1.0,5.0
2020-06-21,45.0,26.0,11.0,7.0,1.0,5.0
2020-06-22,54.0,29.333333333333332,12.0,6.0,1.0,4.666666666666667
2020-06-23,54.0,32.666666666666664,13.0,5.0,1.0,4.333333333333333
2020-06-24,54.0,36.0,14.0,4.0,1.0,4.0
2020-06-25,54.0,36.5,21.75,9.25,2.75,4.75
2020-06-26,58.75,37.0,29.5,14.5,4.5,5.5
2020-06-27,63.5,37.5,37.25,19.75,6.25,6.25
2020-06-28,68.25,38.0,45.0,25.0,8.0,7.0
2020-06-29,73.0,34.0,23.0,12.0,1.0,5.0
2020-06-30,60.0,29.0,8.0,8.0,2.0,6.0
2020-07-01,60.0,28.5,8.5,8.25,1.75,6.0
2020-07-02,56.0,28.0,9.0,8.5,1.5,6.0
2020-07-03,52.0,27.5,9.5,8.75,1.25,6.0
2020-07-04,48.0,27.0,10.0,9.0,1.0,6.0
2020-07-05,44.0,23.0,18.0,8.0,1.0,6.0
2020-07-06,38.0,29.0,20.0,6.0,2.0,6.0
2020-07-07,48.0,46.0,25.0,7.0,4.0,6.0
2020-07-08,70.0,41.0,24.0,4.0,2.0,6.0
2020-07-09,57.0,31.0,24.0,2.0,4.0,6.0
2020-07-10,46.0,36.0,24.0,4.0,2.0,5.0
2020-07-11,49.0,43.0,31.0,3.0,4.0,5.0
2020-07-12,69.0,43.0,26.0,6.0,4.0,6.0
2020-07-13,71.0,39.0,24.0,3.0,1.0,5.0
2020-07-14,55.0,22.0,31.0,4.0,1.0,5.0
2020-07-15,50.0,12.0,17.0,2.0,1.0,5.0
2020-07-16,29.0,12.0,143.0,3.0,1.0,6.0
2020-07-17,22.0,18.666666666666668,104.0,4.0,1.6666666666666665,6.666666666666667
2020-07-18,24.0,25.333333333333336,65.0,5.0,2.333333333333333,7.333333333333333
2020-07-19,26.0,32.0,26.0,6.0,3.0,8.0
2020-07-20,28.0,26.0,11.0,6.0,1.0,5.0
2020-07-21,35.0,27.0,19.0,7.0,4.0,6.0
2020-07-22,51.0,18.0,20.0,2.0,1.0,6.0
2020-07-23,31.0,33.0,23.0,7.0,8.0,7.0
2020-07-24,57.0,31.0,18.0,5.0,1.0,6.0
2020-07-25,55.0,44.5,12.5,11.0,1.0,6.5
2020-07-26,69.5,58.0,7.0,17.0,1.0,7.0
2020-07-27,84.0,46.0,28.0,5.0,3.0,6.0
2020-07-28,75.0,34.0,22.5,3.0,3.0,5.5
2020-07-29,57.0,22.0,17.0,1.0,3.0,5.0
2020-07-30,39.0,22.0,19.0,2.0,2.0,5.0
2020-07-31,36.0,16.0,20.0,1.5,1.0,5.0
2020-08-01,23.0,26.0,24.0,1.0,1.0,6.0
2020-08-02,56.0,58.0,34.0,6.0,1.0,10.0
2020-08-03,106.0,37.0,26.0,8.0,1.0,12.0
2020-08-04,80.0,7.0,21.0,6.0,1.6666666666666665,10.0
2020-08-05,27.0,7.0,18.0,4.0,2.333333333333333,11.0
2020-08-06,38.0,33.0,30.0,3.0,3.0,10.0
2020-08-07,60.0,39.0,26.0,1.0,1.0,10.0
2020-08-08,58.0,30.0,20.0,1.0,1.3333333333333333,10.0
2020-08-09,42.0,29.0,14.0,1.0,1.6666666666666665,8.0
2020-08-10,30.0,34.0,26.0,1.0,2.0,10.0
2020-08-11,48.0,41.0,24.0,5.0,1.0,10.0
2020-08-12,60.0,30.0,17.0,5.0,1.5,9.0
2020-08-13,33.0,31.0,27.0,6.0,2.0,9.0
2020-08-14,25.0,19.0,16.0,5.0,1.5,11.0
2020-08-15,40.0,23.0,19.0,6.0,1.0,9.0
2020-08-16,50.0,26.0,16.0,9.0,3.0,10.0
2020-08-17,40.0,20.0,17.0,11.0,1.0,11.0
2020-08-18,56.0,13.0,15.0,6.0,1.0,10.0
2020-08-19,42.0,6.0,17.0,2.0,1.0,9.0
2020-08-20,21.0,14.0,14.0,3.0,1.0,9.0
2020-08-21,31.0,29.0,18.0,13.0,1.0,11.0
2020-08-22,61.0,35.0,21.0,10.0,1.0,9.0
2020-08-23,73.0,43.0,25.0,15.0,2.0,10.0
2020-08-24,82.0,40.0,27.0,10.0,2.0,11.0
2020-08-25,75.0,15.0,16.0,7.0,2.0,9.0
2020-08-26,40.0,17.0,17.0,3.0,2.0,8.0
2020-08-27,37.0,32.0,19.0,7.0,2.0,10.0
2020-08-28,64.0,43.0,13.0,7.0,1.0,8.0
2020-08-29,68.0,44.5,19.5,6.0,1.5,9.0
2020-08-30,73.0,46.0,26.0,5.0,2.0,10.0
2020-08-31,78.0,40.0,13.0,14.0,1.0,11.0
2020-09-01,79.0,30.0,14.0,12.0,2.0,9.0
2020-09-02,57.0,22.0,21.0,9.0,2.0,9.0
2020-09-03,48.0,26.0,14.0,11.0,3.0,11.0
2020-09-04,55.0,34.0,18.0,7.0,5.0,9.0
2020-09-05,53.0,24.0,20.0,5.0,4.0,9.0
2020-09-06,47.0,18.0,19.0,4.0,5.0,9.0
2020-09-07,35.0,26.0,19.0,11.0,2.0,10.0
2020-09-08,40.0,46.0,50.0,12.0,6.0,10.0
2020-09-09,67.0,33.0,27.0,6.0,3.0,11.0
2020-09-10,64.0,11.0,7.0,4.0,2.0,10.0
2020-09-11,41.0,20.0,11.0,5.0,2.0,11.0
2020-09-12,34.0,16.0,12.0,4.0,1.0,10.0
2020-09-13,26.0,22.0,28.0,5.0,3.0,10.0
2020-09-14,28.0,22.0,14.0,7.0,2.0,10.0
2020-09-15,31.0,21.0,17.0,5.0,2.0,11.0
2020-09-16,40.0,22.0,25.0,3.0,4.0,11.0
2020-09-17,45.0,24.0,31.0,7.0,3.0,11.0
2020-09-18,52.0,44.0,32.0,11.0,3.0,12.0
2020-09-19,70.0,36.0,21.0,8.0,3.0,12.0
2020-09-20,67.0,17.0,15.0,4.0,3.0,10.0
2020-09-21,34.0,23.0,17.0,7.0,2.0,12.0
2020-09-22,40.0,21.0,17.0,8.0,3.0,10.0
2020-09-23,39.0,30.0,18.0,6.0,2.0,11.0
2020-09-24,47.0,39.0,14.0,8.0,2.0,11.0
2020-09-25,56.0,44.0,17.0,10.0,2.0,11.0
2020-09-26,68.0,46.0,38.0,8.0,3.0,11.0
