date,pm25,pm10,o3,no2,so2,co
2022-01-01,246.0,145.0,21.0,22.0,13.0,10.0
2022-01-02,385.0,156.0,22.0,23.0,13.0,10.0
2022-01-03,307.0,167.0,23.0,24.0,13.0,10.0
2022-01-04,229.0,152.0,23.0,28.0,12.0,9.0
2022-01-05,258.0,108.0,7.0,11.0,12.0,9.0
2022-01-06,325.0,94.0,5.0,13.0,13.0,10.0
2022-01-07,94.0,56.0,8.0,10.0,12.0,9.0
2022-01-08,68.0,40.0,9.0,9.0,10.0,8.0
2022-01-09,87.0,50.0,7.0,10.0,9.0,7.0
2022-01-10,84.0,57.0,15.0,11.0,9.0,6.0
2022-01-11,82.0,55.0,16.0,11.0,9.0,7.0
2022-01-12,90.0,64.0,21.0,17.0,8.0,6.0
2022-01-13,107.0,74.0,25.0,18.0,8.0,6.0
2022-01-14,116.0,75.0,26.0,14.0,8.0,6.0
2022-01-15,119.0,80.0,19.0,14.0,8.0,6.0
2022-01-16,120.0,77.0,14.0,12.0,7.0,5.0
2022-01-17,117.0,78.0,14.0,11.0,8.0,6.0
2022-01-18,122.0,84.0,13.0,11.0,8.0,6.0
2022-01-19,138.0,105.0,15.0,14.0,8.0,6.0
2022-01-20,160.0,128.0,24.0,17.0,6.0,5.0
2022-01-21,198.0,195.0,10.0,19.0,6.0,4.0
2022-01-22,156.0,83.0,15.0,11.0,7.666666666666667,5.333333333333333
2022-01-23,165.0,98.0,22.0,11.0,9.333333333333334,6.666666666666666
2022-01-24,143.0,85.0,27.0,10.0,11.0,8.0
2022-01-25,108.0,68.0,24.0,15.0,13.0,10.0
2022-01-26,123.0,78.0,17.0,14.0,13.0,10.0
2022-01-27,144.0,86.0,14.0,14.0,12.0,9.0
2022-01-28,129.0,78.0,26.0,19.0,11.0,8.0
2022-01-29,144.0,91.0,27.0,25.0,10.0,7.0
2022-01-30,135.0,84.0,30.0,19.0,12.0,9.0
2022-01-31,158.0,90.0,27.0,10.0,10.0,8.0
2022-02-01,154.0,87.0,25.0,19.0,11.0,8.0
2022-02-02,162.0,100.0,30.0,13.0,10.0,8.0
2022-02-03,149.0,90.0,27.0,7.0,9.0,7.0
2022-02-04,83.0,41.0,17.0,10.0,10.0,7.0
2022-02-05,100.0,53.0,10.0,15.0,10.0,8.0
2022-02-06,121.0,70.0,23.0,18.0,10.0,8.0
2022-02-07,142.0,92.0,32.0,21.0,9.0,7.0
2022-02-08,147.0,79.0,27.0,12.0,9.0,7.0
2022-02-09,133.0,72.0,24.0,9.0,9.0,7.0
2022-02-10,79.0,46.0,18.0,16.0,10.0,7.0
2022-02-11,84.0,59.0,22.0,23.0,10.0,7.0
2022-02-12,87.0,59.0,25.0,24.0,10.0,7.0
2022-02-13,116.0,72.0,36.0,24.0,12.0,9.0
2022-02-14,144.0,97.0,40.0,28.0,11.0,9.0
2022-02-15,138.0,108.0,30.0,29.0,10.0,7.0
2022-02-16,114.0,73.0,30.0,25.0,10.0,8.0
2022-02-17,109.0,73.0,28.0,30.0,12.0,9.0
2022-02-18,99.0,70.0,26.0,30.0,11.0,8.0
2022-02-19,81.0,60.0,23.0,23.0,12.0,9.0
2022-02-20,76.0,61.0,27.0,18.0,11.0,8.0
2022-02-21,97.0,68.0,25.0,28.0,13.0,10.0
2022-02-22,286.0,106.0,36.0,17.0,10.0,8.0
2022-02-23,147.0,86.0,34.0,8.0,9.0,6.0
2022-02-24,145.0,77.0,34.0,13.0,11.0,9.0
2022-02-25,164.0,84.0,35.0,20.0,13.0,10.0
2022-02-26,131.0,79.0,27.0,15.0,13.0,10.0
2022-02-27,93.0,75.75,25.0,18.0,13.0,10.0
2022-02-28,93.0,72.5,28.0,21.0,14.0,11.0
2022-03-01,122.0,69.25,31.0,24.0,15.0,11.0
2022-03-02,134.0,66.0,36.0,27.0,14.0,11.0
2022-03-03,140.0,73.0,37.0,25.0,15.0,11.0
2022-03-04,124.0,70.0,31.0,18.0,15.0,12.0
2022-03-05,115.0,63.0,26.0,20.0,15.0,11.0
2022-03-06,121.0,67.0,37.0,21.0,16.0,13.0
2022-03-07,143.0,78.0,43.0,20.0,15.0,12.0
2022-03-08,138.0,72.0,32.0,23.0,15.0,12.0
2022-03-09,129.0,116.0,24.0,20.0,15.0,11.0
2022-03-10,143.0,90.0,20.0,20.0,15.0,11.0
2022-03-11,141.0,97.0,23.0,21.0,15.0,12.0
2022-03-12,150.0,92.0,29.0,23.0,14.0,11.0
2022-03-13,158.0,103.0,32.0,26.0,16.0,12.0
2022-03-14,161.0,118.0,37.0,27.0,16.0,12.0
2022-03-15,176.0,118.0,37.0,26.0,16.0,13.0
2022-03-16,162.0,92.0,31.0,29.0,17.0,13.0
2022-03-17,170.0,101.0,37.0,18.0,14.0,10.0
2022-03-18,159.0,81.0,41.0,14.0,13.0,10.0
2022-03-19,157.0,76.0,39.0,18.0,15.0,12.0
2022-03-20,157.0,72.0,19.0,17.0,18.0,14.0
2022-03-21,118.0,83.0,35.0,20.0,17.0,13.0
2022-03-22,122.0,83.0,23.0,22.0,18.0,14.0
2022-03-23,118.0,78.0,37.0,19.0,16.0,13.0
2022-03-24,141.0,92.0,38.0,26.0,17.0,13.0
2022-03-25,126.0,89.0,27.0,21.0,18.0,14.0
2022-03-26,105.0,88.0,23.0,18.0,16.0,12.0
2022-03-27,112.0,80.0,28.0,21.0,14.0,11.0
2022-03-28,162.0,67.0,30.0,34.0,16.0,18.0
2022-03-29,209.0,63.0,30.0,31.0,15.0,22.0
2022-03-30,196.0,153.0,43.0,17.0,16.0,20.916666666666668
2022-03-31,175.0,125.0,38.0,11.0,13.0,19.833333333333332
2022-04-01,163.0,121.0,37.0,16.0,14.0,18.75
2022-04-02,160.0,122.0,45.0,25.0,16.0,17.666666666666668
2022-04-03,152.0,124.0,41.0,24.0,16.0,16.583333333333336
2022-04-04,114.0,107.0,37.0,23.0,16.0,15.5
2022-04-05,139.0,107.0,37.0,20.0,17.0,14.416666666666668
2022-04-06,135.0,127.0,57.0,24.0,16.0,13.333333333333334
2022-04-07,160.0,122.0,42.0,27.0,16.0,12.25
2022-04-08,151.0,148.0,49.0,25.0,15.0,11.166666666666668
2022-04-09,182.0,138.0,36.0,11.0,13.5,10.083333333333334
2022-04-10,181.0,99.0,40.0,11.0,12.0,9.0
2022-04-11,155.0,92.0,35.0,6.0,11.0,9.0
2022-04-12,152.0,94.0,35.0,19.0,12.0,9.0
2022-04-13,139.0,89.0,30.0,15.0,14.0,11.0
2022-04-14,120.0,89.0,33.0,17.0,15.0,11.0
2022-04-15,99.0,90.0,37.0,15.0,14.0,11.0
2022-04-16,102.0,84.0,37.0,20.0,14.0,11.0
2022-04-17,110.0,88.0,45.0,24.0,15.0,11.0
2022-04-18,128.0,112.0,46.0,26.0,17.0,13.0
2022-04-19,155.0,110.0,35.0,19.0,15.0,12.0
2022-04-20,131.0,97.0,34.0,6.0,11.0,9.0
2022-04-21,101.0,120.0,28.0,11.0,14.0,11.0
2022-04-22,117.0,128.0,26.0,17.0,14.0,11.0
2022-04-23,125.0,106.0,34.0,17.0,12.0,9.0
