date,pm25,pm10,o3,no2,so2,co
2022-01-01,183.0,197.0,29.0,11.0,3.0,8.0
2022-01-02,230.0,276.0,29.0,11.0,3.0,9.0
2022-01-03,264.0,234.0,30.0,11.0,3.0,10.0
2022-01-04,271.0,181.0,5.0,11.0,3.0,9.0
2022-01-05,268.0,111.0,1.0,11.0,3.0,7.0
2022-01-06,206.0,91.0,6.0,11.0,4.0,9.0
2022-01-07,177.0,72.0,4.0,11.0,4.0,9.0
2022-01-08,154.0,69.0,5.0,11.0,3.0,9.0
2022-01-09,150.0,74.0,8.0,11.0,2.0,8.0
2022-01-10,148.0,87.0,11.0,11.0,1.0,8.0
2022-01-11,149.0,96.0,22.0,11.0,2.0,9.0
2022-01-12,153.0,133.0,7.0,11.0,2.0,9.0
2022-01-13,159.0,152.0,6.0,11.0,2.0,9.0
2022-01-14,182.0,125.0,5.0,11.0,1.0,8.0
2022-01-15,168.0,106.0,5.0,11.0,2.0,8.0
2022-01-16,161.0,101.0,15.0,11.0,4.0,8.0
2022-01-17,166.0,112.0,7.0,11.0,1.0,8.0
2022-01-18,171.0,129.0,13.0,11.0,1.0,8.0
2022-01-19,184.0,274.0,14.0,11.0,2.0,10.0
2022-01-20,257.0,212.0,17.0,11.0,2.0,9.0
2022-01-21,293.0,128.0,5.0,11.0,2.0,8.0
2022-01-22,239.0,118.0,5.0,11.0,3.0,8.0
2022-01-23,314.0,116.0,12.0,11.0,3.0,8.0
2022-01-24,196.0,98.0,11.0,11.0,2.0,8.0
2022-01-25,147.0,119.0,9.0,11.0,3.0,8.0
2022-01-26,72.0,118.0,10.0,11.0,2.0,7.0
2022-01-27,129.0,182.0,13.0,11.0,3.0,8.0
2022-01-28,145.0,157.0,8.0,11.0,3.0,8.0
2022-01-29,178.0,164.0,14.0,11.0,3.0,10.0
2022-01-30,170.0,140.0,12.0,11.0,3.0,8.0
2022-01-31,185.0,103.0,22.0,11.0,3.0,8.0
2022-02-01,155.0,126.0,19.0,11.0,2.0,9.0
2022-02-02,183.0,131.0,19.0,11.0,2.0,7.0
2022-02-03,180.0,90.0,13.0,11.0,2.0,10.0
2022-02-04,139.0,87.0,5.0,11.0,3.0,8.0
2022-02-05,133.0,162.0,9.0,11.0,4.0,10.0
2022-02-06,172.0,241.0,12.0,11.0,4.0,11.0
2022-02-07,245.0,123.0,17.0,11.0,4.0,8.0
2022-02-08,185.0,108.0,13.0,10.0,4.0,9.0
2022-02-09,173.0,74.0,15.0,11.0,4.0,8.0
2022-02-10,123.0,96.0,25.0,11.0,4.0,8.0
2022-02-11,136.0,131.0,17.0,11.0,4.0,9.0
2022-02-12,148.0,242.0,19.0,11.0,5.0,9.0
2022-02-13,197.0,279.0,15.0,11.0,5.0,12.0
