date,pm25,pm10,o3,no2,so2,co
2022-01-01,154.0,96.0,4.0,20.0,15.0,14.0
2022-01-02,157.0,99.0,4.0,10.0,8.0,10.5
2022-01-03,154.0,105.0,10.0,4.0,9.0,7.0
2022-01-04,163.0,106.0,13.0,10.0,12.0,7.0
2022-01-05,164.0,92.0,3.0,7.0,13.0,4.0
2022-01-06,154.0,100.0,5.0,1.0,8.0,3.0
2022-01-07,157.0,93.0,3.0,2.0,7.0,2.0
2022-01-08,153.0,71.0,8.0,5.0,11.0,1.6666666666666667
2022-01-09,122.0,71.0,8.0,1.0,7.0,1.3333333333333335
2022-01-10,122.0,101.0,9.0,3.0,12.0,1.0
2022-01-11,161.0,89.0,13.0,2.0,14.0,16.0
2022-01-12,152.0,109.0,20.0,1.0,16.0,15.0
2022-01-13,166.0,57.0,5.0,3.0,6.0,14.0
2022-01-14,91.0,32.0,9.0,1.0,16.0,11.0
2022-01-15,57.0,74.5,6.5,1.0,14.5,17.5
2022-01-16,113.5,117.0,4.0,1.0,13.0,24.0
2022-01-17,170.0,106.0,11.0,1.0,17.0,14.0
2022-01-18,164.0,112.0,14.0,2.0,17.0,13.0
2022-01-19,168.0,96.0,5.0,3.0,28.0,20.0
2022-01-20,151.0,83.0,4.5,2.0,16.5,15.333333333333332
2022-01-21,139.5,70.0,4.0,1.0,5.0,10.666666666666666
2022-01-22,128.0,369.0,10.0,2.0,4.0,6.0
2022-01-23,268.0,170.0,15.0,4.0,7.0,37.0
2022-01-24,195.0,149.0,9.0,4.666666666666667,13.0,44.0
2022-01-25,186.0,133.0,11.0,5.333333333333333,18.0,32.0
2022-01-26,178.0,112.0,10.0,6.0,18.0,1.0
2022-01-27,167.0,93.0,8.0,1.0,3.0,2.0
2022-01-28,157.0,83.0,16.0,4.0,4.0,6.0
2022-01-29,152.0,83.0,11.0,3.0,4.0,5.0
2022-01-30,152.0,82.0,13.0,2.0,5.0,5.0
2022-01-31,152.0,82.0,15.0,3.0,7.0,5.0
2022-02-01,152.0,82.0,16.0,2.0,4.0,5.0
2022-02-02,151.0,82.0,15.0,3.0,4.0,5.0
2022-02-03,152.0,83.0,16.0,4.0,4.0,5.0
2022-02-04,153.0,83.0,15.0,3.0,4.0,5.0
2022-02-05,152.0,82.0,8.0,3.0,4.0,5.0
2022-02-06,152.0,83.0,16.0,3.0,9.0,5.0
2022-02-07,152.0,83.0,16.0,3.0,9.0,5.0
2022-02-08,152.0,82.0,8.0,2.0,3.0,5.0
2022-02-09,152.0,98.0,15.0,2.0,4.0,8.0
2022-02-10,160.0,102.0,5.0,2.5,5.0,16.0
2022-02-11,161.0,102.0,13.0,3.0,13.0,18.0
2022-02-12,161.0,108.0,9.0,3.5,7.0,18.0
2022-02-13,165.0,90.0,7.0,4.0,3.0,14.0
2022-02-14,151.0,118.0,10.0,8.0,12.0,8.0
2022-02-15,170.0,87.5,15.0,5.5,7.0,6.5
2022-02-16,135.5,57.0,20.0,3.0,2.0,5.0
2022-02-17,101.0,85.0,16.0,7.0,10.0,8.0
2022-02-18,144.0,103.0,19.0,7.0,10.0,10.0
2022-02-19,162.0,90.0,23.0,7.0,13.0,5.0
2022-02-20,154.0,111.0,20.0,7.0,5.0,8.0
2022-02-21,166.0,100.0,15.0,7.0,11.0,6.0
2022-02-22,159.0,72.0,4.0,3.0,3.0,7.0
2022-02-23,124.0,112.0,17.0,6.0,12.0,5.0
2022-02-24,167.0,141.0,8.0,4.0,6.0,7.0
2022-02-25,184.0,117.0,13.0,7.0,10.0,4.0
2022-02-26,171.0,105.0,11.0,4.0,4.0,2.0
2022-02-27,165.0,129.0,22.0,8.0,12.0,3.0
2022-02-28,177.0,118.0,24.0,4.0,13.0,2.5
2022-03-01,171.0,134.0,11.0,3.0,6.0,2.0
2022-03-02,180.0,138.0,11.0,4.0,6.0,4.0
2022-03-03,181.0,120.0,14.0,5.0,14.0,2.0
2022-03-04,171.0,118.0,25.0,5.0,16.0,7.0
2022-03-05,170.0,111.0,26.0,6.0,18.0,12.0
2022-03-06,166.0,103.0,10.0,3.0,7.0,17.0
2022-03-07,162.0,114.0,15.0,6.0,18.0,22.0
2022-03-08,166.0,117.0,9.0,3.0,7.0,14.0
2022-03-09,169.0,112.0,11.0,6.0,8.0,21.0
2022-03-10,168.0,109.0,11.0,7.0,10.0,9.0
2022-03-11,165.0,90.0,32.0,6.0,12.0,3.0
2022-03-12,153.0,106.0,20.0,6.0,11.0,5.0
2022-03-13,162.0,121.0,15.0,6.0,13.0,9.0
2022-03-14,171.0,152.0,26.0,7.0,16.0,5.0
2022-03-15,188.0,160.0,9.0,6.0,16.0,7.0
2022-03-16,191.0,121.0,20.0,6.0,6.0,3.0
2022-03-17,171.0,101.0,22.0,3.0,16.0,3.0
2022-03-18,159.0,67.0,5.0,3.0,3.0,6.0
2022-03-19,120.0,73.0,9.0,3.0,6.0,5.0
2022-03-20,127.0,103.0,12.0,5.0,6.0,9.0
2022-03-21,163.0,110.0,13.0,5.0,11.0,10.0
2022-03-22,166.0,122.0,15.0,6.0,9.0,15.0
2022-03-23,172.0,108.0,10.0,5.0,8.0,12.0
2022-03-24,165.0,75.0,38.0,6.0,9.0,12.0
2022-03-25,132.0,70.0,23.0,4.0,4.0,17.0
2022-03-26,128.0,71.0,22.0,4.0,5.0,14.0
2022-03-27,131.0,79.0,10.0,3.0,1.0,21.0
2022-03-28,144.0,89.0,21.0,2.0,8.0,17.0
2022-03-29,155.0,86.0,26.0,2.0,2.0,19.0
2022-03-30,146.0,85.0,11.0,2.0,1.0,13.0
2022-03-31,147.0,138.0,25.0,3.0,2.0,11.0
2022-04-01,181.0,118.0,13.0,3.0,1.0,8.0
2022-04-02,171.0,106.0,20.0,2.0,1.0,9.0
2022-04-03,165.0,86.0,13.0,2.0,1.0,8.0
2022-04-04,151.0,68.0,13.0,3.0,1.0,10.0
2022-04-05,124.0,69.0,12.0,3.0,1.0,11.0
2022-04-06,126.0,65.0,29.0,6.0,4.0,11.0
2022-04-07,114.0,60.0,25.0,6.0,4.0,13.0
2022-04-08,106.0,57.0,38.0,3.0,3.6666666666666665,11.0
2022-04-09,98.0,52.0,50.0,3.0,3.3333333333333335,6.0
2022-04-10,88.0,45.0,31.0,6.0,3.0,6.0
2022-04-11,78.0,5.0,26.0,6.0,6.0,14.0
2022-04-12,12.0,5.0,246.0,3.0,3.0,10.0
2022-04-13,12.0,3.0,37.0,3.0,1.0,5.0
2022-04-14,7.0,3.0,32.0,6.0,1.0,4.0
2022-04-15,6.0,24.333333333333332,44.66666666666667,5.0,1.0,5.333333333333333
2022-04-16,45.333333333333336,45.666666666666664,57.333333333333336,4.0,1.0,6.666666666666666
2022-04-17,84.66666666666667,67.0,70.0,3.0,1.0,8.0
2022-04-18,124.0,68.0,50.0,6.0,4.0,6.0
2022-04-19,127.0,76.0,43.0,3.0,2.0,13.0
2022-04-20,142.0,121.0,173.0,6.0,10.0,24.0
2022-04-21,173.0,99.0,79.0,6.0,12.0,10.0
2022-04-22,159.0,90.0,16.0,6.0,10.0,6.0
2022-04-23,148.0,64.0,16.0,6.0,10.0,5.0
2022-04-24,116.0,83.0,15.0,6.0,9.0,5.0
2022-04-25,147.0,69.0,8.0,3.0,3.0,5.0
2022-04-26,126.0,73.5,8.0,3.0,2.5,5.0
2022-04-27,130.0,78.0,8.0,3.0,2.0,5.0
2022-04-28,134.0,63.0,8.0,3.0,1.0,4.0
2022-04-29,114.0,58.0,16.0,3.0,2.0,5.0
2022-04-30,102.0,43.0,16.0,6.0,10.0,6.0
2022-05-01,75.0,51.0,8.0,3.0,3.0,17.0
2022-05-02,89.0,57.0,16.0,6.0,8.0,6.0
2022-05-03,96.0,71.0,16.0,6.0,9.0,5.0
2022-05-04,127.0,74.0,16.0,6.0,8.0,6.0
2022-05-05,133.0,98.0,16.0,5.0,10.0,6.0
2022-05-06,159.0,95.33333333333333,8.0,6.0,9.0,6.0
2022-05-07,158.0,92.66666666666667,8.0,6.0,8.0,6.0
2022-05-08,157.0,90.0,8.0,6.0,7.0,6.0
2022-05-09,156.0,87.33333333333333,8.0,6.0,6.0,6.0
2022-05-10,155.0,84.66666666666667,8.0,6.0,5.0,6.0
2022-05-11,154.0,82.0,16.0,5.0,4.0,5.0
2022-05-12,153.0,82.0,16.0,6.0,10.0,5.0
2022-05-13,153.0,83.0,16.0,3.0,3.0,5.0
2022-05-14,153.0,83.0,8.0,3.0,4.0,5.0
2022-05-15,152.0,83.0,8.0,3.0,4.0,5.0
2022-05-16,152.0,83.0,9.6,3.6,5.2,5.0
2022-05-17,152.0,83.0,11.2,4.2,6.4,5.0
2022-05-18,152.0,83.0,12.8,4.8,7.6,5.0
2022-05-19,152.0,83.0,14.399999999999999,5.4,8.8,5.0
2022-05-20,152.0,83.0,16.0,6.0,10.0,5.0
2022-05-21,152.0,82.0,16.0,3.0,3.0,5.0
2022-05-22,152.0,82.0,8.0,3.0,10.0,5.0
2022-05-23,153.0,80.0,16.0,6.0,10.0,6.0
2022-05-24,146.0,66.0,8.0,3.0,1.0,6.0
2022-05-25,121.0,63.0,16.0,6.0,2.0,11.0
2022-05-26,115.0,56.0,15.0,6.0,2.0,10.0
2022-05-27,99.0,49.0,16.0,3.0,1.0,8.0
2022-05-28,86.0,52.0,16.0,6.0,3.0,10.0
2022-05-29,91.0,57.0,16.0,3.0,2.0,10.0
2022-05-30,104.0,63.0,16.0,3.0,2.0,10.0
2022-05-31,115.0,61.0,16.0,6.0,1.0,9.0
2022-06-01,114.0,68.0,15.0,6.0,2.0,9.0
2022-06-02,134.0,68.0,16.0,3.0,3.0,7.0
2022-06-03,133.0,58.0,16.0,6.0,3.0,9.0
2022-06-04,105.0,48.0,16.0,3.0,1.0,9.0
2022-06-05,86.0,49.0,16.0,3.0,1.0,10.0
2022-06-06,87.0,48.0,16.0,3.0,3.0,12.0
2022-06-07,88.0,30.0,8.0,3.0,1.0,10.0
2022-06-08,61.0,34.0,15.0,3.0,1.0,8.0
2022-06-09,68.0,30.0,9.0,3.0,6.0,7.0
2022-06-10,59.0,16.0,7.0,6.0,1.0,5.0
2022-06-11,34.0,11.0,30.0,3.0,6.0,5.0
2022-06-12,25.0,47.0,8.0,3.0,4.666666666666667,7.0
2022-06-13,86.0,43.0,10.0,3.0,3.3333333333333335,25.0
2022-06-14,80.0,42.0,19.0,6.0,2.0,25.0
2022-06-15,78.0,47.0,9.0,3.0,1.75,13.0
2022-06-16,88.0,44.0,9.0,3.0,1.5,6.0
2022-06-17,80.0,42.0,11.0,3.0,1.25,4.0
2022-06-18,77.0,17.0,12.0,6.0,1.0,4.0
2022-06-19,39.0,18.0,11.0,3.0,1.5,6.0
2022-06-20,40.0,23.0,15.0,3.0,2.0,8.0
2022-06-21,50.0,38.0,25.0,3.0,1.0,10.0
2022-06-22,72.0,46.0,26.0,6.0,2.0,10.0
2022-06-23,83.0,36.5,14.0,3.0,1.0,18.0
2022-06-24,67.0,27.0,15.0,3.0,1.0,18.0
2022-06-25,51.0,16.0,33.0,6.0,7.0,65.0
2022-06-26,36.0,35.0,27.0,6.0,2.0,33.0
2022-06-27,69.0,43.0,10.0,3.0,1.5,5.0
2022-06-28,80.0,50.0,19.0,3.0,1.0,29.0
2022-06-29,88.0,51.0,46.0,6.0,1.6666666666666665,63.0
2022-06-30,87.0,31.0,47.0,6.0,2.333333333333333,59.0
2022-07-01,62.0,60.0,37.0,6.0,3.0,39.0
2022-07-02,109.0,55.0,16.0,6.0,2.6,26.0
2022-07-03,99.0,37.0,34.0,6.0,2.2,27.0
2022-07-04,71.0,45.0,73.0,6.0,1.8,24.0
2022-07-05,76.0,62.0,34.0,3.0,1.4000000000000001,19.0
2022-07-06,102.0,45.0,37.0,3.0,1.0,15.0
2022-07-07,86.0,47.0,4.0,6.0,1.0434782608695652,8.0
2022-07-08,85.0,54.0,3.3333333333333335,6.0,1.0869565217391304,9.666666666666666
2022-07-09,98.33333333333333,61.0,2.666666666666667,6.0,1.1304347826086958,11.333333333333334
