date,pm25,pm10,o3,no2,so2,co
2022-01-01,148.0,86.0,5.0,15.0,,6.0
2022-01-02,144.0,92.0,2.0,19.0,,6.0
2022-01-03,147.0,119.0,3.0,10.0,,10.0
2022-01-04,185.0,103.0,4.5,7.0,,5.5
2022-01-05,128.5,87.0,6.0,4.0,,1.0
2022-01-06,72.0,102.0,3.0,22.0,,2.0
2022-01-07,152.0,85.0,5.0,6.0,,1.0
2022-01-08,135.0,58.0,3.0,6.0,,1.5
2022-01-09,65.0,77.0,4.0,8.0,,2.0
2022-01-10,105.0,95.0,5.0,11.0,,2.0
2022-01-11,147.0,97.0,3.0,8.0,,1.0
2022-01-12,154.0,100.0,3.0,6.0,,1.0
2022-01-13,163.0,112.0,3.0,20.0,,2.0
2022-01-14,171.0,103.0,6.0,5.0,,3.0
2022-01-15,159.0,94.0,3.0,4.0,,2.0
2022-01-16,141.0,95.0,5.0,5.0,,3.0
2022-01-17,148.0,103.0,6.0,6.0,,3.0
2022-01-18,156.0,109.0,6.0,9.0,,3.0
2022-01-19,159.0,93.0,3.0,4.0,,2.0
2022-01-20,133.0,74.0,2.0,2.0,,2.0
2022-01-21,89.0,67.0,6.0,3.0,,1.0
2022-01-22,72.0,585.0,2.0,2.0,,2.0
2022-01-23,182.0,291.0,2.0,2.0,,3.0
2022-01-24,155.0,205.0,5.0,3.0,,5.0
2022-01-25,162.0,169.0,2.0,4.0,,5.0
2022-01-26,159.0,123.0,6.0,3.0,,3.0
2022-01-27,138.0,109.0,3.0,3.0,,3.0
2022-01-28,112.0,99.0,7.0,12.0,,3.0
2022-01-29,122.0,105.0,8.0,3.0,,6.0
2022-01-30,136.0,110.0,7.0,3.0,,4.0
2022-01-31,137.0,105.0,8.0,4.0,,3.0
2022-02-01,140.0,122.0,5.0,14.0,,3.0
2022-02-02,166.0,99.0,10.0,5.0,,6.0
2022-02-03,126.0,165.0,16.0,3.0,,5.0
2022-02-04,139.0,175.0,25.0,4.0,,6.0
2022-02-05,161.0,152.0,60.0,11.0,,7.0
2022-02-06,169.0,118.0,30.0,5.0,,5.0
2022-02-07,138.0,84.0,25.0,9.0,,4.0
2022-02-08,95.0,84.0,29.0,9.0,,4.0
2022-02-09,102.0,124.0,22.0,4.0,,6.0
2022-02-10,153.0,101.0,41.0,4.0,,3.0
2022-02-11,117.0,103.0,51.0,12.0,,4.0
2022-02-12,139.0,104.0,56.0,12.0,,5.0
2022-02-13,148.0,80.0,38.0,3.0,,3.0
2022-02-14,113.0,78.0,23.0,4.0,,4.0
2022-02-15,98.0,63.0,16.0,4.0,,3.0
2022-02-16,69.0,63.0,18.0,4.0,,1.0
2022-02-17,83.0,35.0,22.0,4.0,,3.0
2022-02-18,106.0,31.0,29.0,11.0,,2.0
2022-02-19,122.0,32.0,26.0,4.0,,1.0
2022-02-20,133.0,29.0,28.0,3.0,,2.0
2022-02-21,132.0,32.0,18.0,3.0,,3.0
2022-02-22,125.0,32.0,18.0,3.0,,3.0
2022-02-23,105.0,35.0,34.0,14.0,,3.0
2022-02-24,156.0,30.0,37.0,14.0,,2.0
2022-02-25,162.0,30.0,21.0,5.0,,3.0
2022-02-26,141.0,28.0,31.0,5.0,,4.0
2022-02-27,127.0,93.0,52.0,5.0,,2.0
2022-02-28,136.0,111.0,42.0,6.0,,2.0
2022-03-01,157.0,105.0,29.0,14.0,,4.0
2022-03-02,149.0,76.0,28.0,9.0,,5.0
2022-03-03,135.0,104.0,32.0,15.0,,7.0
2022-03-04,118.0,86.0,31.0,9.0,,1.0
2022-03-05,121.0,71.0,29.0,9.0,,2.0
2022-03-06,118.0,90.0,33.0,8.0,,3.0
2022-03-07,141.0,80.0,29.0,7.0,,1.0
2022-03-08,143.0,76.0,30.0,5.0,,1.0
2022-03-09,127.0,73.0,18.0,6.0,,4.0
2022-03-10,124.0,66.0,21.0,10.0,,1.0
2022-03-11,142.0,60.0,33.0,6.0,,3.0
2022-03-12,93.0,57.0,27.0,8.0,,4.0
2022-03-13,99.0,53.0,25.0,8.0,,4.0
2022-03-14,102.0,59.0,33.0,9.0,,4.0
2022-03-15,132.0,79.0,29.0,6.0,,2.0
2022-03-16,110.0,98.0,33.0,11.0,,4.0
2022-03-17,125.0,91.0,26.0,9.0,,6.0
2022-03-18,130.0,49.0,9.0,5.0,,1.0
2022-03-19,67.0,96.0,3.0,8.0,,1.0
2022-03-20,43.0,73.0,9.0,1.0,,2.0
2022-03-21,64.0,78.0,16.0,4.0,,3.0
2022-03-22,91.0,92.0,11.0,3.0,,4.0
2022-03-23,105.0,88.0,31.0,10.0,,3.0
2022-03-24,99.0,60.0,14.0,7.0,,1.0
2022-03-25,61.0,57.0,13.0,3.0,,1.0
2022-03-26,51.0,51.0,10.0,3.0,,1.3333333333333333
2022-03-27,38.0,55.0,11.0,5.0,,1.6666666666666665
2022-03-28,51.0,53.0,7.0,3.0,,2.0
2022-03-29,63.0,59.0,8.0,7.0,,1.5
2022-03-30,56.0,40.0,6.0,3.0,,1.0
2022-03-31,42.0,93.0,14.0,5.0,,2.0
2022-04-01,124.0,111.0,11.0,3.0,,3.0
2022-04-02,109.0,108.0,14.0,4.0,,3.0
2022-04-03,45.0,83.0,16.0,4.0,,2.0
2022-04-04,35.0,67.0,7.0,1.0,,2.0
2022-04-05,38.0,65.0,9.0,4.0,,2.0
2022-04-06,39.0,183.0,14.0,5.0,,1.0
2022-04-07,35.0,169.22222222222223,12.777777777777779,4.555555555555555,,1.1111111111111112
2022-04-08,35.111111111111114,155.44444444444446,11.555555555555555,4.111111111111111,,1.2222222222222223
2022-04-09,35.22222222222222,141.66666666666666,10.333333333333332,3.666666666666667,,1.3333333333333333
2022-04-10,35.333333333333336,127.88888888888889,9.11111111111111,3.2222222222222223,,1.4444444444444444
2022-04-11,35.44444444444444,114.11111111111111,7.888888888888888,2.7777777777777777,,1.5555555555555556
2022-04-12,35.55555555555556,100.33333333333333,6.666666666666666,2.3333333333333335,,1.6666666666666665
2022-04-13,35.666666666666664,86.55555555555556,5.444444444444445,1.8888888888888888,,1.7777777777777777
2022-04-14,35.77777777777778,72.77777777777777,4.222222222222221,1.4444444444444446,,1.8888888888888888
2022-04-15,35.888888888888886,59.0,3.0,1.0,,2.0
2022-04-16,36.0,49.0,7.0,1.0,,2.0
2022-04-17,44.0,47.0,5.0,5.0,,2.0
2022-04-18,43.0,47.0,6.0,1.0,,2.0
2022-04-19,45.0,49.0,4.0,1.0,,2.0
2022-04-20,28.0,62.0,26.0,6.0,,3.0
2022-04-21,86.0,62.0,24.0,5.0,,2.0
2022-04-22,90.0,64.0,8.0,1.0,,2.0
2022-04-23,85.0,48.0,7.0,4.0,,2.0
2022-04-24,100.0,44.0,10.0,1.0,,1.0
2022-04-25,63.0,36.0,4.0,1.0,,1.0
2022-04-26,43.0,36.0,9.0,1.0,,2.0
2022-04-27,34.0,34.0,4.0,1.0,,1.0
2022-04-28,55.0,35.0,6.0,1.0,,1.0
2022-04-29,40.0,31.0,11.0,1.0,,1.0
2022-04-30,37.0,28.0,8.0,1.0,,1.25
2022-05-01,27.0,33.0,6.0,4.0,,1.5
2022-05-02,32.0,23.0,2.0,3.0,,1.75
2022-05-03,50.0,74.0,17.0,8.0,,2.0
2022-05-04,68.0,71.0,18.0,7.0,,1.0
2022-05-05,72.0,94.0,14.0,6.0,,1.5
2022-05-06,100.0,101.0,20.0,5.0,,2.0
2022-05-07,121.0,91.0,11.0,3.0,,3.0
2022-05-08,135.0,86.0,13.0,1.0,,4.0
2022-05-09,111.0,87.0,14.0,2.5,,3.0
2022-05-10,97.0,79.0,7.0,4.0,,3.0
2022-05-11,123.0,84.0,14.0,1.0,,3.0
2022-05-12,117.0,94.0,7.0,1.0,,3.0
2022-05-13,142.0,105.0,15.0,1.0,,3.0
2022-05-14,121.0,83.0,15.0,8.0,,3.0
2022-05-15,139.25,88.0,14.0,68.0,,3.0
2022-05-16,157.5,135.0,8.0,82.0,,3.0
2022-05-17,175.75,139.0,10.0,80.36734693877551,,4.0
2022-05-18,194.0,92.0,15.0,78.73469387755102,,5.0
2022-05-19,175.0,82.0,7.0,77.10204081632654,,4.0
2022-05-20,162.0,64.0,5.0,75.46938775510205,,4.0
2022-05-21,133.0,68.0,9.0,73.83673469387755,,2.0
2022-05-22,86.0,45.0,9.0,72.20408163265306,,2.0
2022-05-23,80.0,47.0,4.0,70.57142857142857,,2.0
