date,pm25,pm10,o3,no2,so2,co
2022-01-01,165.0,67.0,23.0,16.0,24.0,19.0
2022-01-02,165.0,86.0,28.0,20.0,25.0,21.0
2022-01-03,170.0,153.0,30.0,25.0,28.0,24.0
2022-01-04,183.0,125.0,36.0,24.0,29.0,25.0
2022-01-05,208.0,98.0,28.0,14.0,26.0,21.0
2022-01-06,182.0,147.0,24.0,18.0,28.0,22.0
2022-01-07,224.0,99.0,14.0,14.0,29.0,20.0
2022-01-08,158.0,76.0,25.0,11.0,22.0,16.0
2022-01-09,132.0,77.0,13.0,19.0,20.0,18.0
2022-01-10,115.0,116.0,42.0,22.0,22.0,21.0
2022-01-11,147.0,155.0,32.0,20.0,24.0,20.0
2022-01-12,174.0,115.0,35.0,20.0,23.0,21.0
2022-01-13,151.0,130.0,32.0,19.0,24.0,23.0
2022-01-14,152.0,110.0,19.0,18.0,24.0,22.0
2022-01-15,126.0,98.0,20.0,17.0,25.0,22.0
2022-01-16,118.0,105.0,20.0,21.0,25.0,23.0
2022-01-17,136.0,101.0,26.0,20.0,24.0,22.0
2022-01-18,137.0,259.0,38.0,23.0,24.0,23.0
2022-01-19,156.0,160.0,34.0,22.0,23.0,26.0
2022-01-20,201.0,91.0,22.0,13.0,27.0,22.0
2022-01-21,125.0,92.0,10.0,11.0,27.0,21.0
2022-01-22,119.0,476.0,24.0,11.0,22.0,18.0
2022-01-23,297.0,277.0,19.0,20.0,15.0,19.0
2022-01-24,185.0,181.0,127.0,30.0,10.0,17.0
2022-01-25,178.0,157.0,37.0,23.0,10.0,19.0
2022-01-26,174.0,143.0,29.0,32.0,11.0,20.0
2022-01-27,166.0,99.0,25.0,30.0,11.0,17.0
2022-01-28,135.0,168.0,35.0,37.0,12.0,20.0
2022-01-29,177.0,119.0,41.0,33.0,11.0,20.0
2022-01-30,139.0,123.0,41.0,29.0,11.0,20.0
2022-01-31,139.0,150.0,30.0,34.0,10.0,22.0
