date,pm25,pm10,o3,no2,so2,co
2022-01-01,194.0,114.0,17.0,2.0,1.0,5.0
2022-01-02,181.0,123.0,37.0,3.0,3.0,5.0
2022-01-03,194.0,140.0,28.0,3.0,2.0,5.0
2022-01-04,215.0,149.0,26.0,4.0,1.0,5.0
2022-01-05,221.0,103.0,24.0,2.0,3.0,3.0
2022-01-06,187.0,110.0,26.0,4.0,3.0,2.0
2022-01-07,186.0,67.0,23.0,5.0,2.0,2.0
2022-01-08,145.0,63.0,17.0,8.0,1.0,1.0
2022-01-09,123.0,63.0,41.0,5.0,4.0,1.0
2022-01-10,125.0,89.0,44.0,9.0,1.0,1.0
2022-01-11,168.0,104.0,24.0,5.0,6.0,2.0
2022-01-12,177.0,110.0,50.0,10.0,4.0,5.0
2022-01-13,188.0,113.0,32.0,10.0,5.0,7.0
2022-01-14,189.0,121.0,14.0,10.0,7.0,8.0
2022-01-15,193.0,111.0,31.0,10.0,2.0,7.0
2022-01-16,183.0,107.0,32.0,5.0,5.0,8.0
2022-01-17,183.0,141.0,34.0,10.0,5.0,9.0
2022-01-18,209.0,137.0,36.0,10.0,2.0,7.0
2022-01-19,212.0,87.0,20.0,9.0,2.0,5.0
2022-01-20,159.0,79.0,10.0,9.0,3.0,7.0
2022-01-21,165.0,83.0,11.0,6.0,3.0,5.0
2022-01-22,169.0,563.0,19.0,7.0,2.0,3.0
2022-01-23,561.0,368.0,27.0,9.0,3.0,3.0
2022-01-24,441.0,300.0,28.0,8.0,4.0,4.0
2022-01-25,401.0,212.0,28.0,7.0,5.0,4.0
2022-01-26,333.0,157.0,30.0,9.0,5.0,5.0
2022-01-27,257.0,130.0,34.0,5.0,7.0,4.0
2022-01-28,212.0,127.0,25.0,7.0,3.0,2.0
2022-01-29,204.0,142.0,51.0,5.0,7.0,4.0
2022-01-30,228.0,140.0,35.0,8.0,4.0,5.0
2022-01-31,220.0,151.0,30.0,10.0,2.0,4.0
2022-02-01,221.0,124.0,26.0,5.0,4.0,6.0
2022-02-02,210.0,153.0,11.0,5.0,1.0,2.0
2022-02-03,257.0,410.0,21.0,6.0,1.0,1.0
2022-02-04,475.0,218.0,24.0,7.0,5.0,2.0
2022-02-05,350.0,166.0,49.0,10.0,8.0,3.0
2022-02-06,289.0,107.0,24.0,10.0,1.0,3.0
2022-02-07,198.0,83.0,18.0,11.0,3.0,4.0
2022-02-08,169.0,93.0,13.0,10.0,2.0,7.0
2022-02-09,179.0,129.0,30.0,9.0,10.0,8.0
2022-02-10,210.0,121.0,18.0,5.0,3.0,6.0
2022-02-11,198.0,110.0,42.0,5.0,8.0,7.0
2022-02-12,188.0,125.0,20.0,5.0,2.0,9.0
2022-02-13,202.0,90.0,14.0,5.0,2.0,7.0
2022-02-14,169.0,73.0,17.0,10.0,1.0,5.0
2022-02-15,155.0,59.0,8.0,9.0,1.0,5.0
2022-02-16,133.0,55.0,12.0,5.0,1.0,5.0
2022-02-17,128.0,64.0,13.0,5.0,1.0,7.0
2022-02-18,142.0,106.0,27.0,6.0,4.0,9.0
2022-02-19,189.0,78.0,17.0,5.0,1.0,6.0
2022-02-20,153.0,115.0,41.0,10.0,2.0,6.0
2022-02-21,195.0,126.0,12.0,5.0,2.0,5.0
2022-02-22,213.0,99.0,19.0,10.0,6.0,7.0
2022-02-23,183.0,115.0,20.0,5.0,1.0,8.0
2022-02-24,194.0,165.0,24.0,5.0,2.0,8.0
2022-02-25,275.0,165.0,12.0,5.0,2.0,6.0
2022-02-26,258.0,121.0,42.0,10.0,7.0,5.0
2022-02-27,203.0,151.0,44.0,10.0,4.0,5.0
2022-02-28,242.0,141.0,38.0,10.0,3.0,6.0
2022-03-01,222.0,160.0,20.0,10.0,2.0,7.0
2022-03-02,248.0,154.0,42.0,10.0,4.0,8.0
2022-03-03,239.0,122.0,41.0,10.0,3.0,3.0
2022-03-04,198.0,130.0,21.0,5.0,3.0,5.0
2022-03-05,209.0,138.0,31.0,10.0,2.0,4.0
2022-03-06,217.0,137.0,9.0,5.0,6.0,5.0
2022-03-07,212.0,134.0,19.0,10.0,3.0,5.0
2022-03-08,205.0,178.0,13.0,10.0,3.0,5.0
2022-03-09,271.0,125.0,38.0,10.0,2.0,5.0
2022-03-10,214.0,174.0,15.0,5.0,6.0,5.0
2022-03-11,273.0,113.0,16.0,5.0,2.0,3.0
2022-03-12,201.0,117.0,14.0,5.0,3.0,4.0
2022-03-13,209.0,106.0,28.0,10.0,4.0,1.0
2022-03-14,195.0,129.0,17.0,5.0,12.0,1.0
2022-03-15,221.0,108.0,11.0,10.0,7.0,3.0
2022-03-16,196.0,112.0,7.0,5.0,3.0,5.0
2022-03-17,205.0,104.0,12.0,10.0,7.0,5.0
2022-03-18,190.0,79.0,9.0,5.0,1.0,2.0
2022-03-19,168.0,77.0,6.0,5.0,1.0,3.0
2022-03-20,171.0,109.0,9.0,5.0,1.0,4.0
2022-03-21,210.0,115.0,26.0,10.0,8.0,6.0
2022-03-22,211.0,111.0,14.0,5.0,4.0,4.0
2022-03-23,196.0,116.0,11.0,5.0,2.0,4.0
2022-03-24,210.0,79.0,6.0,5.0,1.0,3.0
2022-03-25,165.0,57.0,12.0,5.0,3.0,3.0
2022-03-26,142.0,58.0,7.0,5.0,2.0,3.0
2022-03-27,145.0,92.0,6.0,4.0,1.0,3.0
2022-03-28,176.0,86.5,9.5,2.5,1.5,5.5
2022-03-29,174.0,81.0,13.0,1.0,2.0,8.0
2022-03-30,172.0,124.0,14.0,1.5,2.5,13.0
2022-03-31,243.0,167.0,15.0,2.0,3.0,18.0
2022-04-01,314.0,150.33333333333334,16.0,2.6666666666666665,2.75,16.666666666666668
2022-04-02,247.0,133.66666666666669,17.0,3.333333333333333,2.5,15.333333333333334
2022-04-03,180.0,117.0,18.0,4.0,2.25,14.0
2022-04-04,113.0,91.0,13.0,109.0,2.0,14.0
2022-04-05,73.0,83.0,14.333333333333334,74.66666666666666,2.0,13.0
2022-04-06,86.0,75.0,15.666666666666666,40.33333333333333,2.0,12.0
2022-04-07,99.0,67.0,17.0,6.0,2.0,11.0
2022-04-08,112.0,62.0,15.4,21.25,16.857142857142858,10.0
2022-04-09,111.2,57.0,13.8,36.5,31.714285714285715,9.0
2022-04-10,110.4,52.0,12.2,51.75,46.57142857142858,8.0
2022-04-11,109.6,47.0,10.600000000000001,67.0,61.42857142857143,7.0
2022-04-12,108.8,42.0,9.0,82.25,76.28571428571429,6.0
2022-04-13,108.0,70.0,19.0,97.5,91.14285714285715,3.0
2022-04-14,147.0,79.0,14.0,112.75,106.0,5.0
2022-04-15,156.0,71.0,103.0,128.0,3.0,7.0
2022-04-16,149.0,73.0,8.0,108.33333333333333,2.933333333333333,6.0
2022-04-17,162.0,279.0,14.0,88.66666666666666,2.8666666666666667,4.0
2022-04-18,285.0,88.0,13.0,69.0,2.8,3.0
2022-04-19,160.0,132.0,13.0,49.33333333333333,2.7333333333333334,4.0
2022-04-20,194.0,85.0,21.0,29.666666666666657,2.6666666666666665,5.0
2022-04-21,165.0,161.0,22.0,10.0,2.6,3.0
2022-04-22,234.0,94.0,44.0,21.0,2.533333333333333,5.0
2022-04-23,176.0,55.0,13.0,5.0,2.466666666666667,4.0
2022-04-24,135.0,84.0,18.0,16.0,2.4,3.5
2022-04-25,166.0,59.0,11.0,6.0,2.3333333333333335,3.0
2022-04-26,135.0,59.0,25.0,9.0,2.2666666666666666,3.0
2022-04-27,129.0,213.0,11.0,4.0,2.2,4.0
2022-04-28,268.0,135.5,8.5,3.5,2.1333333333333333,4.0
2022-04-29,201.0,58.0,6.0,3.0,2.0666666666666664,4.0
2022-04-30,134.0,49.0,6.0,8.0,2.0,3.0
2022-05-01,118.0,60.0,7.0,2.0,1.9333333333333333,4.0
2022-05-02,141.0,62.0,11.0,2.0,1.8666666666666667,4.0
2022-05-03,151.0,74.0,13.0,3.0,1.8,15.0
2022-05-04,167.0,78.0,13.0,2.5,1.7333333333333334,6.0
2022-05-05,170.0,114.0,4.0,2.0,1.6666666666666667,6.0
2022-05-06,215.0,126.0,14.0,3.0,1.6,18.0
2022-05-07,233.0,91.0,15.0,11.0,1.5333333333333334,4.0
2022-05-08,185.0,203.0,13.0,18.0,1.4666666666666668,8.0
2022-05-09,289.0,80.0,6.0,7.0,1.4000000000000001,37.0
2022-05-10,175.0,84.0,13.0,19.0,1.3333333333333333,32.0
2022-05-11,176.0,97.0,14.0,16.6,1.2666666666666666,34.0
2022-05-12,196.0,144.0,13.0,14.2,1.2,27.0
2022-05-13,238.0,210.0,14.0,11.8,1.1333333333333333,27.0
2022-05-14,255.0,297.0,13.0,9.4,1.0666666666666667,15.0
2022-05-15,322.0,94.0,14.0,7.0,1.0,19.0
2022-05-16,174.0,135.0,7.0,3.0,1.0,11.0
2022-05-17,248.0,137.0,18.0,8.0,1.0,14.0
2022-05-18,253.0,124.5,14.0,3.0,1.0,15.0
2022-05-19,230.0,112.0,13.0,6.0,1.0,9.0
2022-05-20,207.0,90.0,6.0,3.0,1.0,9.0
2022-05-21,181.0,60.0,4.0,3.0,1.0,11.0
2022-05-22,151.0,44.0,9.0,4.0,1.0,17.0
2022-05-23,104.0,24.0,8.0,7.0,1.0,47.0
2022-05-24,71.0,42.0,6.0,13.0,1.0,35.0
2022-05-25,104.0,47.0,4.0,7.0,1.0,6.0
2022-05-26,115.0,40.0,8.0,7.0,1.0,8.0
2022-05-27,91.0,47.0,10.0,7.0,1.0,7.0
2022-05-28,103.0,46.0,10.0,28.0,1.0135135135135136,7.0
2022-05-29,112.0,57.0,4.0,18.0,1.027027027027027,8.0
2022-05-30,137.0,150.0,11.0,21.0,1.0405405405405406,9.0
2022-05-31,176.0,161.66666666666666,5.0,8.0,1.054054054054054,11.0
2022-06-01,176.66666666666666,173.33333333333334,8.0,19.0,1.0675675675675675,12.0
2022-06-02,177.33333333333334,185.0,8.0,13.0,1.0810810810810811,10.0
2022-06-03,178.0,46.0,4.0,17.0,1.0945945945945945,7.0
2022-06-04,112.0,57.0,11.0,16.0,1.1081081081081081,12.0
2022-06-05,109.0,17.0,9.0,15.0,1.1216216216216217,11.0
2022-06-06,50.0,22.0,5.0,14.0,1.135135135135135,10.0
2022-06-07,60.0,18.0,12.0,11.0,1.1486486486486487,8.0
2022-06-08,46.0,17.0,11.0,8.0,1.1621621621621623,7.0
2022-06-09,47.0,15.0,7.0,7.0,1.1756756756756757,7.0
2022-06-10,44.0,9.0,5.0,9.333333333333334,1.1891891891891893,6.0
2022-06-11,33.0,8.0,10.0,11.666666666666668,1.2027027027027026,5.0
2022-06-12,25.0,15.0,11.0,14.0,1.2162162162162162,5.0
2022-06-13,44.0,19.0,11.0,4.0,1.2297297297297298,5.0
2022-06-14,56.0,23.0,11.0,3.0,1.2432432432432432,5.0
2022-06-15,64.0,25.0,8.0,4.0,1.2567567567567568,6.0
2022-06-16,69.0,10.0,3.0,3.0,1.2702702702702702,6.0
2022-06-17,36.0,12.0,1.0,6.0,1.2837837837837838,6.0
2022-06-18,39.0,9.0,1.0,11.0,1.2972972972972974,6.0
2022-06-19,27.0,8.0,1.0,9.0,1.3108108108108107,5.0
2022-06-20,27.0,9.0,4.0,12.0,1.3243243243243243,6.0
2022-06-21,32.0,13.0,4.0,6.0,1.3378378378378377,7.0
2022-06-22,43.0,30.0,4.0,9.0,1.3513513513513513,7.0
2022-06-23,85.0,19.0,3.0,10.0,1.364864864864865,7.0
2022-06-24,68.0,15.0,9.0,10.0,1.3783783783783785,8.0
2022-06-25,57.0,31.0,12.0,11.0,1.3918918918918919,8.0
2022-06-26,96.0,81.0,7.5,8.5,1.4054054054054055,8.5
2022-06-27,172.0,131.0,3.0,6.0,1.4189189189189189,9.0
2022-06-28,248.0,68.5,3.0,12.0,1.4324324324324325,10.0
2022-06-29,134.0,6.0,2.0,14.0,1.445945945945946,9.0
2022-06-30,20.0,15.0,2.0,8.0,1.4594594594594594,8.0
2022-07-01,49.0,28.0,5.0,4.0,1.472972972972973,5.0
2022-07-02,75.0,23.0,5.0,2.0,1.4864864864864864,6.0
2022-07-03,64.0,17.0,3.0,4.0,1.5,7.0
2022-07-04,50.0,12.0,2.0,6.0,1.5135135135135136,8.0
2022-07-05,40.0,16.0,4.0,8.0,1.5270270270270272,9.0
2022-07-06,49.0,21.0,6.0,8.0,1.5405405405405406,8.0
2022-07-07,61.0,28.0,8.0,5.0,1.554054054054054,10.0
2022-07-08,77.0,26.75,7.583333333333333,5.0,1.5675675675675675,10.25
2022-07-09,74.08333333333333,25.5,7.166666666666667,5.0,1.5810810810810811,10.5
2022-07-10,71.16666666666667,24.25,6.75,5.0,1.5945945945945947,10.75
2022-07-11,68.25,23.0,6.333333333333333,5.0,1.6081081081081081,11.0
2022-07-12,65.33333333333333,21.75,5.916666666666666,5.0,1.6216216216216215,11.25
2022-07-13,62.416666666666664,20.5,5.5,5.0,1.635135135135135,11.5
2022-07-14,59.5,19.25,5.083333333333334,5.0,1.6486486486486487,11.75
2022-07-15,56.58333333333333,18.0,4.666666666666666,5.0,1.6621621621621623,12.0
2022-07-16,53.666666666666664,16.75,4.25,5.0,1.6756756756756757,12.25
2022-07-17,50.75,15.500000000000002,3.833333333333333,5.0,1.6891891891891893,12.5
2022-07-18,47.83333333333333,14.250000000000002,3.416666666666667,5.0,1.7027027027027026,12.75
2022-07-19,44.916666666666664,13.0,3.0,5.0,1.7162162162162162,13.0
2022-07-20,42.0,9.0,2.0,8.0,1.7297297297297298,10.0
2022-07-21,27.0,9.0,3.0,4.0,1.7432432432432432,11.0
2022-07-22,28.0,10.0,4.0,6.0,1.7567567567567568,11.0
2022-07-23,31.0,9.0,2.0,4.0,1.7702702702702702,14.0
2022-07-24,28.0,8.0,3.0,5.0,1.7837837837837838,13.0
2022-07-25,25.0,9.0,3.0,8.0,1.7972972972972974,13.0
2022-07-26,28.0,11.0,1.0,12.0,1.810810810810811,15.0
2022-07-27,34.0,18.0,1.0,12.0,1.8243243243243243,18.0
2022-07-28,53.0,22.0,2.0,9.0,1.8378378378378377,16.0
2022-07-29,62.0,18.0,4.0,7.0,1.8513513513513513,10.0
2022-07-30,57.0,20.0,5.0,6.0,1.864864864864865,5.0
2022-07-31,61.0,15.0,2.0,6.0,1.8783783783783785,4.0
2022-08-01,51.0,17.0,7.0,5.0,1.8918918918918919,4.0
2022-08-02,57.0,11.0,2.0,6.0,1.9054054054054053,4.0
2022-08-03,42.0,11.0,1.0,6.0,1.9189189189189189,6.0
2022-08-04,40.0,8.0,2.0,5.0,1.9324324324324325,3.0
2022-08-05,29.0,7.0,3.0,8.0,1.945945945945946,3.0
2022-08-06,22.0,4.0,3.0,7.0,1.9594594594594594,2.0
2022-08-07,10.0,5.0,3.0,9.0,1.972972972972973,3.0
2022-08-08,11.0,8.0,3.0,5.0,1.9864864864864864,2.0
2022-08-09,30.0,5.0,7.0,10.0,2.0,6.0
2022-08-10,20.0,7.0,7.0,8.0,1.0,5.0
2022-08-11,24.0,7.0,4.0,10.0,3.0,4.0
2022-08-12,24.0,8.0,2.0,10.0,3.0,4.0
2022-08-13,31.0,11.0,6.0,10.0,3.0,4.0
2022-08-14,37.0,8.0,4.0,9.0,3.0,5.0
2022-08-15,27.0,10.0,4.0,10.0,2.0,8.0
2022-08-16,35.0,12.0,3.0,12.0,3.0,15.0
2022-08-17,41.0,16.0,3.0,12.0,2.0,14.0
2022-08-18,50.0,20.0,2.0,10.0,4.0,16.0
2022-08-19,46.0,9.0,2.0,14.0,1.0,14.0
2022-08-20,32.0,11.0,2.0,12.0,3.0,17.0
2022-08-21,37.0,12.0,3.0,13.0,1.0,14.0
2022-08-22,40.0,11.0,3.0,11.0,2.0,14.0
2022-08-23,38.0,11.0,1.0,6.0,2.0,17.0
2022-08-24,40.0,14.0,4.0,13.0,1.0,14.0
2022-08-25,44.0,18.0,4.0,16.0,1.0,16.0
2022-08-26,55.0,23.0,7.0,16.0,4.0,16.0
2022-08-27,68.0,21.0,4.0,15.0,1.0,17.0
2022-08-28,63.0,27.0,5.0,19.0,1.0,18.0
2022-08-29,75.0,28.0,8.0,11.0,2.0,17.0
2022-08-30,78.0,23.0,8.0,14.0,3.0,18.0
2022-08-31,70.0,12.0,9.0,13.0,2.0,22.0
2022-09-01,39.0,16.0,6.0,15.0,1.0,23.0
2022-09-02,49.0,12.0,9.0,10.0,1.0,23.0
