date,pm25,pm10,o3,no2,so2,co
2022-01-01,164.0,108.0,10.0,13.0,20.0,11.0
2022-01-02,169.0,117.0,10.0,18.0,11.0,12.0
2022-01-03,171.0,115.0,10.0,17.0,11.0,11.0
2022-01-04,172.0,127.0,10.0,18.0,13.0,13.0
2022-01-05,184.0,97.0,10.0,11.0,16.0,7.0
2022-01-06,166.0,123.0,9.0,16.0,20.0,9.0
2022-01-07,181.0,93.0,10.0,14.0,2.0,9.0
2022-01-08,157.0,62.0,10.0,8.0,1.8,5.0
2022-01-09,94.0,78.0,10.0,13.0,1.6,6.0
2022-01-10,130.0,121.0,10.0,20.0,1.4,10.0
2022-01-11,172.0,96.0,10.0,12.0,1.2000000000000002,8.0
2022-01-12,161.0,125.0,9.0,11.0,1.0,10.0
2022-01-13,186.0,120.0,9.0,9.0,3.0,9.0
2022-01-14,181.0,113.0,9.0,9.0,4.0,8.0
2022-01-15,171.0,110.0,9.0,9.0,5.0,9.0
2022-01-16,166.0,186.0,9.0,9.0,7.0,9.0
2022-01-17,168.0,128.0,9.0,11.0,8.0,10.0
2022-01-18,176.0,127.0,9.0,13.0,9.0,10.0
2022-01-19,176.0,91.0,9.0,10.0,12.0,8.0
2022-01-20,148.0,74.0,9.0,8.0,11.0,7.0
2022-01-21,120.0,77.0,9.0,5.0,12.0,6.0
2022-01-22,103.0,451.0,9.0,5.0,12.0,4.0
2022-01-23,194.0,298.0,9.0,7.0,11.0,4.0
2022-01-24,165.0,241.0,5.0,13.0,13.0,7.0
2022-01-25,178.0,180.0,5.0,13.0,16.0,9.0
2022-01-26,171.0,144.0,5.0,15.0,15.0,10.0
2022-01-27,168.0,119.0,6.0,14.0,14.0,9.0
2022-01-28,149.0,108.0,6.0,15.0,15.0,8.0
2022-01-29,148.0,138.0,6.0,19.0,19.0,10.0
2022-01-30,168.0,140.0,6.0,13.0,20.0,14.0
2022-01-31,178.0,131.0,6.0,7.0,20.0,11.0
2022-02-01,166.0,127.0,6.0,2.0,23.0,9.0
2022-02-02,176.0,130.0,6.0,1.0,20.0,8.0
2022-02-03,165.0,229.0,6.0,3.0,21.0,5.0
2022-02-04,187.0,214.0,6.0,11.0,18.0,7.0
2022-02-05,263.0,341.0,9.5,8.5,17.0,5.5
2022-02-06,282.5,468.0,13.0,6.0,16.0,4.0
2022-02-07,302.0,183.0,13.0,8.0,18.0,4.0
2022-02-08,107.0,83.0,7.0,9.0,16.0,4.0
2022-02-09,128.0,159.0,7.0,15.0,17.0,8.0
2022-02-10,203.0,113.0,7.0,15.0,13.0,6.0
2022-02-11,144.0,103.0,7.0,17.0,12.0,7.0
2022-02-12,153.0,109.0,7.0,15.0,16.0,10.0
2022-02-13,163.0,97.0,7.0,14.0,16.0,7.0
2022-02-14,141.0,75.0,7.0,5.0,11.0,5.0
2022-02-15,96.0,60.0,7.0,5.0,16.0,4.0
2022-02-16,79.0,70.0,7.0,7.0,13.0,5.0
2022-02-17,104.0,103.0,7.0,15.0,21.0,9.0
2022-02-18,144.0,105.0,7.0,16.0,18.0,11.0
2022-02-19,159.0,87.0,7.0,17.0,9.0,6.0
2022-02-20,150.0,118.0,7.0,27.0,2.0,10.0
2022-02-21,169.0,78.0,7.0,13.0,1.0,7.0
2022-02-22,112.0,91.0,7.0,11.0,1.0,9.0
2022-02-23,141.0,111.0,7.0,11.0,1.0,10.0
2022-02-24,162.0,210.0,7.0,12.0,1.0,8.0
2022-02-25,169.0,132.0,7.0,9.0,1.0,7.0
2022-02-26,156.0,105.0,7.0,11.0,1.0,7.0
2022-02-27,151.0,121.0,7.0,13.0,1.0,9.0
2022-02-28,160.0,120.0,7.0,11.0,1.0,8.0
2022-03-01,167.0,125.0,7.0,11.0,1.0,10.0
2022-03-02,166.0,138.0,7.0,9.0,1.0,12.0
2022-03-03,167.0,119.0,7.0,12.0,1.0,9.0
2022-03-04,143.0,126.0,7.0,14.0,3.0,13.0
2022-03-05,164.0,120.0,7.0,11.0,3.0,12.0
2022-03-06,165.0,113.0,7.0,10.0,2.0,11.0
2022-03-07,165.0,113.0,7.0,10.0,2.0,10.0
2022-03-08,162.0,112.0,7.0,21.0,3.0,10.0
2022-03-09,169.0,113.0,7.0,13.0,3.0,11.0
2022-03-10,167.0,120.0,7.0,12.0,4.0,12.0
2022-03-11,170.0,85.0,7.0,10.0,4.0,8.0
2022-03-12,146.0,116.0,7.0,13.0,6.0,9.0
2022-03-13,144.0,113.0,7.0,18.0,9.0,11.0
2022-03-14,148.0,121.0,7.0,12.0,8.0,10.0
