date,pm25,pm10,o3,no2,so2,co
2022-01-01,161.0,111.0,1.0,3.0,16.0,5.0
2022-01-02,168.0,111.0,1.0,5.0,16.0,5.0
2022-01-03,173.0,114.0,1.0,6.0,16.0,5.0
2022-01-04,174.0,110.0,1.0,10.0,13.0,5.0
2022-01-05,187.0,77.0,1.0,3.0,12.0,5.0
2022-01-06,160.0,97.0,1.0,6.0,12.0,5.0
2022-01-07,174.0,73.0,1.0,5.0,12.0,5.0
2022-01-08,142.0,53.0,1.0,5.0,12.0,5.0
2022-01-09,99.0,56.0,1.0,9.0,11.0,5.0
2022-01-10,103.0,93.0,1.0,12.0,12.0,5.0
2022-01-11,157.0,153.0,1.0,11.0,12.0,5.0
2022-01-12,178.0,98.0,1.0,10.0,12.0,5.0
2022-01-13,169.0,109.0,1.0,11.0,12.0,5.0
2022-01-14,178.0,97.0,1.0,9.0,12.0,5.0
2022-01-15,171.0,89.0,1.0,6.0,12.0,5.0
2022-01-16,161.0,87.0,1.0,7.0,11.0,5.0
2022-01-17,161.0,96.0,1.0,8.0,13.0,10.0
2022-01-18,168.0,117.0,1.0,14.0,16.0,20.0
2022-01-19,172.0,57.0,1.0,12.0,13.0,18.0
2022-01-20,130.0,55.0,1.0,12.0,12.0,17.0
2022-01-21,109.0,67.0,1.0,9.0,12.0,16.0
2022-01-22,95.0,418.0,1.0,6.0,12.0,16.0
2022-01-23,182.0,207.0,1.0,11.0,2.0,13.0
2022-01-24,160.0,154.0,1.0,9.0,1.0,13.0
2022-01-25,172.0,138.0,1.0,13.0,5.5,9.5
2022-01-26,158.5,122.0,1.0,17.0,10.0,6.0
2022-01-27,145.0,108.0,1.0,13.0,10.0,6.0
2022-01-28,153.0,121.0,1.0,12.0,11.0,6.0
2022-01-29,153.0,102.0,1.0,11.0,11.5,6.5
2022-01-30,154.5,83.0,1.0,10.0,12.0,7.0
2022-01-31,156.0,84.0,1.0,10.0,10.0,7.0
2022-02-01,143.0,93.0,1.0,9.0,12.0,6.0
2022-02-02,165.0,83.0,1.0,9.0,12.0,6.0
2022-02-03,145.0,186.0,1.0,10.0,10.0,5.0
2022-02-04,165.0,183.0,1.0,11.0,11.0,5.0
2022-02-05,172.0,153.0,1.0,13.0,11.0,5.0
2022-02-06,169.0,103.0,1.0,9.0,10.0,5.0
2022-02-07,138.0,71.0,1.0,10.0,10.0,5.0
2022-02-08,91.0,81.0,1.0,11.0,10.0,5.0
2022-02-09,114.0,109.0,1.0,11.0,11.0,5.0
2022-02-10,151.0,108.0,1.0,10.0,12.0,5.0
2022-02-11,140.0,95.0,1.0,12.0,12.0,5.0
