time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,19.1,4.1,0,8.6,94
02-01-2019,19.4,5,0,9.3,91
03-01-2019,19.1,5.7,0,9.2,92
04-01-2019,18.7,4.9,0,9,93
05-01-2019,20.7,5.7,0,10.1,92
06-01-2019,21.9,6.1,0,8.4,95
07-01-2019,21.9,6.8,0,8.4,92
08-01-2019,21.4,7.8,0,11.7,94
09-01-2019,19.4,5.9,0,7.1,90
10-01-2019,19.1,6,0,10.7,91
11-01-2019,19.9,5.3,0,8.1,93
12-01-2019,20.8,6.3,0,9.5,95
13-01-2019,20.9,7.1,0,9.2,93
14-01-2019,20.6,6.9,0,9.8,93
15-01-2019,19.9,5,0,11,92
16-01-2019,21.7,4.4,0,10,91
17-01-2019,21.5,6.3,0,9,91
18-01-2019,20.4,5.6,0,7.7,87
19-01-2019,20.3,5.5,0,8,85
20-01-2019,20.9,5.9,0,8.2,90
21-01-2019,21.3,5.5,0,9.3,94
22-01-2019,21.5,6.1,0,7.7,93
23-01-2019,21.4,5.7,0,8.3,93
24-01-2019,22.4,6.2,0,12,90
25-01-2019,22.8,7.3,0,9.5,92
26-01-2019,23.4,7.6,0,8.6,92
27-01-2019,22.8,9.4,0,9.4,85
28-01-2019,20.6,10.3,0,6.5,88
29-01-2019,19.7,10.8,0,12.9,95
30-01-2019,20.4,8.1,0,7.2,100
31-01-2019,22.2,7.1,0,8.6,92
01-02-2019,23,6.6,0,9.5,83
02-02-2019,22.9,8.1,0,8.4,87
03-02-2019,22.2,5.8,0,11.4,90
04-02-2019,22.1,5.3,0,11.5,84
05-02-2019,22.7,6.1,0,10.9,89
06-02-2019,22,5,0,11.7,87
07-02-2019,23,5.5,0,7.2,84
08-02-2019,24.9,8.4,0,10.9,84
09-02-2019,24.1,11.3,0,9.1,86
10-02-2019,21.7,9.6,0,16.5,87
11-02-2019,23.6,6.6,0,11.3,85
12-02-2019,24.7,9,0,11.4,87
13-02-2019,24.8,8.2,0,12.7,88
14-02-2019,24.9,8.9,0,10.5,79
15-02-2019,25.8,8.4,0,14,85
16-02-2019,25.2,9.6,1,20.5,97
17-02-2019,20,8.2,2.2,18.7,100
18-02-2019,20.2,8.7,0.3,16.5,99
19-02-2019,21.5,9.5,0.2,17.8,93
20-02-2019,22,9.2,0,18.6,94
21-02-2019,22.4,11.5,0.4,12.9,95
22-02-2019,22.4,9.6,0,15.7,94
23-02-2019,24,10.8,0,15,95
24-02-2019,24.7,12.6,0,17.5,98
25-02-2019,19,10.5,5.7,8.2,94
26-02-2019,22.1,9.3,4.3,11.1,95
27-02-2019,20.2,11.7,7.4,13,94
28-02-2019,18.4,10.2,13,8.5,98
01-03-2019,20,7.4,0.8,14.8,100
02-03-2019,21.2,4.9,0,7.9,88
03-03-2019,22.6,6,0,8.9,94
04-03-2019,21.4,7.8,0.1,14.5,95
05-03-2019,17,9.8,11.8,6.9,97
06-03-2019,22.2,10.7,0.2,11.5,100
07-03-2019,22.3,11,0.2,10.6,95
08-03-2019,20.9,11.2,2.2,13.2,95
09-03-2019,21.4,7.8,0,15.6,92
10-03-2019,22.3,8.1,0.1,15.6,90
11-03-2019,23.5,11.5,0.1,12.1,92
12-03-2019,23.7,10.9,0.2,13.8,97
13-03-2019,24.8,13.1,0.5,13,96
14-03-2019,25.2,13.7,0.4,12.4,95
15-03-2019,27.1,12.7,0,15.5,95
16-03-2019,26.9,12.2,0,15.7,94
17-03-2019,25.6,12.6,0.4,13.8,94
18-03-2019,26.8,12.5,0,16.6,94
19-03-2019,24.6,12.2,0.1,13.7,96
20-03-2019,24.6,12.2,0.2,17.8,97
21-03-2019,24.3,13,0.6,16.7,99
22-03-2019,25,12.8,0.4,14.7,97
23-03-2019,25.8,14.1,1.6,17,100
24-03-2019,25.6,11.6,0,14.3,98
25-03-2019,27.9,10.7,0,11.4,94
26-03-2019,28.8,10.7,0,18.4,88
27-03-2019,27.7,12.7,0.1,23.4,96
28-03-2019,28.2,11.9,0,18.7,95
29-03-2019,28.7,11.7,0,15.2,91
30-03-2019,28.4,13.5,0.3,12.3,87
31-03-2019,28.8,16.4,0.8,14,96
01-04-2019,28.2,14.9,1,15.7,96
02-04-2019,28.9,15.6,10.2,19.3,94
03-04-2019,26,15.2,2.6,14.6,95
04-04-2019,27.3,14.6,0.3,16.1,96
05-04-2019,25.8,15.7,2.8,15.3,94
06-04-2019,28.7,14.4,0.1,10.2,91
07-04-2019,25.8,15.6,3.3,16.3,99
08-04-2019,24.9,14.8,0.9,11.8,100
09-04-2019,25.4,16,3.8,12,98
10-04-2019,23.8,15,2.3,16.3,100
11-04-2019,27.8,14.4,0,13.5,100
12-04-2019,28.7,14.4,0,12.9,97
13-04-2019,29.3,16.3,0.4,9.9,97
14-04-2019,30.1,17.2,0,16.5,97
15-04-2019,29.9,16.1,0.5,17,95
16-04-2019,32,17.9,0.2,16.3,94
17-04-2019,33,17.9,0,22,93
18-04-2019,30.6,17.4,0,23.1,96
19-04-2019,29.6,16.6,0,17.5,94
20-04-2019,30,15.6,0,19.8,96
21-04-2019,29.8,14.9,0,19.7,95
22-04-2019,31.1,16.2,0,15.3,91
23-04-2019,31.9,14.4,0,14.8,91
24-04-2019,33,15.2,0,15.5,91
25-04-2019,32.2,17.2,0,15.6,87
26-04-2019,32.1,17.9,0,14.8,88
27-04-2019,31.3,18.5,0.3,16.9,87
28-04-2019,30.2,20,2.9,12.4,91
29-04-2019,29.9,19.8,0,16.5,97
30-04-2019,31,20.1,0.1,19.1,93
01-05-2019,30,19.9,0.5,15.5,96
02-05-2019,31,20.3,0.4,15.2,98
03-05-2019,31.2,21.1,1,14.8,94
04-05-2019,30.9,20.4,5,18.5,94
05-05-2019,26.6,19.6,2.6,21.3,97
06-05-2019,28.8,18.2,0.8,15.5,98
07-05-2019,30.5,17.5,0,15.1,95
08-05-2019,31.5,18.1,0,16,95
09-05-2019,31.3,19.5,0,15.2,96
10-05-2019,31.9,19.8,0,17,95
