time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,22.7,6.6,0,10.5,82
02-01-2019,24,8.6,0,11.2,84
03-01-2019,23.5,8.4,0,10.5,91
04-01-2019,20.7,8.6,0,10.1,82
05-01-2019,22.4,9.4,0,13,86
06-01-2019,20.3,10.9,0.1,14.2,83
07-01-2019,20.2,8.6,0,11.5,91
08-01-2019,20.1,7.7,0,12.6,92
09-01-2019,21.6,8.7,0,13,84
10-01-2019,21,7.3,0,10.9,89
11-01-2019,21,7.6,0,10.9,80
12-01-2019,21,7.9,0,9.2,90
13-01-2019,21.3,8.7,0,12,87
14-01-2019,21,9.1,0,16.8,81
15-01-2019,21.9,7.4,0,13,53
16-01-2019,21.4,6.8,0,10.4,80
17-01-2019,23.7,8.1,0,9.4,88
18-01-2019,23.2,8.3,0,10.3,85
19-01-2019,24.2,10.2,0,10.5,80
20-01-2019,26.1,10.4,0,10.9,84
21-01-2019,23.5,12.6,1.5,15.9,78
22-01-2019,20.3,10.8,1.4,11.2,96
23-01-2019,20.6,9.6,0,15.8,95
24-01-2019,19.2,10.6,3.1,16.5,93
25-01-2019,18.3,8.9,0.1,13,93
26-01-2019,18,6.7,0,12.6,78
27-01-2019,18.1,6.1,0,13.7,78
28-01-2019,18.4,5.4,0,14.1,74
29-01-2019,19.8,6.5,0,13.1,61
30-01-2019,20,6.2,0.7,9.4,68
31-01-2019,21.2,8.7,0.6,15.4,74
01-02-2019,21.8,10.6,0,16.1,77
02-02-2019,20.5,8,0,13,86
03-02-2019,21,7.5,0,9.8,92
04-02-2019,23.2,7.6,0,11,94
05-02-2019,25,12.4,0,8.8,91
06-02-2019,25.8,13,0,11,97
07-02-2019,22.4,11.6,0,28.2,96
08-02-2019,18.8,7.1,0,17.2,67
09-02-2019,20,8.1,0,12.8,65
10-02-2019,19.5,7.7,0,10.2,68
11-02-2019,21.3,7.8,0,10.7,76
12-02-2019,23.4,9.4,0.8,9.2,87
13-02-2019,26.4,12.1,0,15.1,74
14-02-2019,26.5,14.6,3.1,15.7,98
15-02-2019,24,12.8,0,17.2,100
16-02-2019,22.4,10.6,0,13.7,78
17-02-2019,23.3,10,0,13.3,83
18-02-2019,27.5,11.7,0.3,25.8,75
19-02-2019,26.4,14.1,0,12.5,64
20-02-2019,24.4,16.4,0.4,16.2,83
21-02-2019,29.9,15.4,0,21.6,95
22-02-2019,25.4,15.4,0,16.1,86
23-02-2019,24.4,11.6,0,14.5,64
24-02-2019,25.1,12.4,0.3,13.7,59
25-02-2019,25.6,11.4,0,21.3,86
26-02-2019,19.9,10.8,3.5,14,90
27-02-2019,20.8,9,0.6,17.4,93
28-02-2019,21.8,8.2,0,11.9,92
01-03-2019,22.9,9.9,0,11.5,66
02-03-2019,21.9,13.7,0.6,21.6,81
03-03-2019,23.5,11.9,0,21.5,86
04-03-2019,24,13.1,0.4,15.6,95
05-03-2019,24.1,12.2,0,13.6,92
06-03-2019,25,11.2,0,13,62
07-03-2019,26.6,11.9,0,14.7,65
08-03-2019,27.2,14,0.1,17.4,59
09-03-2019,27.1,15.3,0,15.3,69
10-03-2019,26.5,14.7,0,11.7,60
11-03-2019,28.4,16.2,0,22.8,59
12-03-2019,26.8,15.5,0,14.2,69
13-03-2019,25.5,15.8,0.1,17.9,64
14-03-2019,25.6,14.8,1.6,20.2,76
15-03-2019,26.6,12.8,0,16.8,90
16-03-2019,26.4,13.8,0,17.7,62
17-03-2019,27.8,14.9,0,18.7,53
18-03-2019,28.8,15,0,11.6,51
19-03-2019,30.6,16.2,0,13.8,54
20-03-2019,31.8,16.5,0,20.8,54
21-03-2019,32.1,18.6,0,15,64
22-03-2019,30.6,19,0,15.3,48
23-03-2019,31.5,17.6,0,15.8,38
24-03-2019,33.3,17.8,0,23.1,53
25-03-2019,31.4,19.9,0.3,25.4,62
26-03-2019,32,17.1,0,11.3,69
27-03-2019,33.2,16.9,0,8.9,47
28-03-2019,36.9,20.4,0,14.4,48
29-03-2019,39,21.1,0,14,46
30-03-2019,36.9,22.5,0,19.3,59
31-03-2019,36.7,22.4,0,19,50
01-04-2019,35.9,19.5,0,16.5,31
02-04-2019,36.1,20,0,13,36
03-04-2019,37.7,20.8,0,13,43
04-04-2019,37.9,22.5,0,13.4,41
05-04-2019,40,22.2,0,22.5,47
06-04-2019,38.7,24.6,0,20.9,34
07-04-2019,39,24.9,0,23.2,41
08-04-2019,37.6,21.9,0,15.2,67
09-04-2019,38.4,22.8,0,15,52
10-04-2019,38.2,24.1,0,16.2,46
11-04-2019,39.6,23.2,0,18,35
12-04-2019,38.3,24.2,0,19.8,37
13-04-2019,38.6,24.5,0,16.8,40
14-04-2019,38.3,23.9,0,14.8,45
15-04-2019,38.3,25.2,0,21.4,38
16-04-2019,31.3,18.3,8.5,22,96
17-04-2019,27.4,17.8,18.9,21.1,96
18-04-2019,29.5,17.6,0.2,17.3,89
19-04-2019,31.1,18.8,0,15.6,69
20-04-2019,32.9,19.5,0,10.5,67
21-04-2019,36.8,21.4,0,14.5,53
22-04-2019,38.5,23.9,0,16.3,38
23-04-2019,40.7,24.8,0,16.9,34
24-04-2019,41.6,27.7,0,19.6,26
25-04-2019,41,28.2,0,25.5,27
