time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,23.8,11,0,10.8,91
02-01-2019,24.7,11.1,0,9.6,91
03-01-2019,24.9,10.7,0,10.5,94
04-01-2019,24.2,10,0,10.5,93
05-01-2019,24.2,10.2,0,13.5,95
06-01-2019,25.2,11.6,0,10.6,92
07-01-2019,25.7,10.6,0,11.3,92
08-01-2019,25.7,12.1,0,13.2,93
09-01-2019,25.5,13.3,0,9.7,90
10-01-2019,24.7,12.8,0,9.3,93
11-01-2019,24.6,11,0,12,94
12-01-2019,25.2,11.1,0,12.2,93
13-01-2019,25.7,11.5,0,10,94
14-01-2019,26.5,12.3,0,10.4,94
15-01-2019,25,13,0,14.4,87
16-01-2019,24.2,11.8,0,10.2,84
17-01-2019,25,10,0,10.7,83
18-01-2019,25.9,10.7,0,9.5,90
19-01-2019,25.8,11,0,11.2,93
20-01-2019,25.7,11.1,0,10.4,94
21-01-2019,26.7,12,0,10.5,95
22-01-2019,27.3,13,0,10.6,96
23-01-2019,28.2,13.7,0,10.2,94
24-01-2019,28.6,13.8,0,9.2,95
25-01-2019,28.9,14.7,0,12,95
26-01-2019,28.9,17.1,0,16.2,83
27-01-2019,24.8,18.2,0.4,15.8,80
28-01-2019,24.4,17.6,0.8,14.1,79
29-01-2019,23.8,15.3,0.3,15.3,78
30-01-2019,24.1,10.9,0,11.9,70
31-01-2019,25.7,11.8,0,10.4,78
01-02-2019,27.2,12.4,0,10.2,88
02-02-2019,28.4,12.2,0,10,93
03-02-2019,28.8,12.7,0,11.8,92
04-02-2019,28.2,13.8,0,11.2,86
05-02-2019,27.7,13,0,14.9,92
06-02-2019,28.9,13.7,0,9.2,80
07-02-2019,30.2,15.8,0,9.5,99
08-02-2019,30.8,17.5,0,14.2,93
09-02-2019,28.3,18.4,0.7,16.9,83
10-02-2019,26.1,15,0,13.3,87
11-02-2019,26.4,12.4,0,13.8,90
12-02-2019,27.8,13.7,0,10.5,90
13-02-2019,29.3,14.9,0,10.8,85
14-02-2019,30.9,14.6,0,10.2,88
15-02-2019,31.7,15.6,0,11.5,92
16-02-2019,26.7,19.2,1.1,15.9,82
17-02-2019,28.1,18.7,1.2,14,89
18-02-2019,28,15.9,0,10.3,81
19-02-2019,31.2,17.9,0,11.3,98
20-02-2019,32.6,20.5,0,12.7,98
21-02-2019,33.1,19.3,0,9.4,100
22-02-2019,34.6,19.5,0,11.4,98
23-02-2019,34.1,21.7,0,13.6,91
24-02-2019,32.2,21.2,0,11.9,86
25-02-2019,29.5,17.5,13.3,15.6,98
26-02-2019,22.9,19.4,18.5,18.7,95
27-02-2019,27.4,18.4,19.5,23.4,98
28-02-2019,25.3,17.8,8.9,17.4,98
01-03-2019,25.2,15.8,0,12.2,96
02-03-2019,25.4,15.3,0,9.7,94
03-03-2019,27.2,15,0,8.4,91
04-03-2019,27.3,18,19.5,13.6,96
05-03-2019,27.5,20.9,23.6,11.1,98
06-03-2019,28.3,20.1,0,10.3,100
07-03-2019,27.6,19.3,0,13,96
08-03-2019,27.6,17.4,0,10.9,87
09-03-2019,29.2,17.1,0,10.5,97
10-03-2019,30.2,20.1,0.3,20.3,98
11-03-2019,30.7,21.6,0.4,9.1,99
12-03-2019,32.1,22.1,0,13.8,100
13-03-2019,32.9,23.5,0,10.8,98
14-03-2019,32.5,24.1,0,14.1,99
15-03-2019,32.4,23.4,0.5,8.7,91
16-03-2019,31.3,22.4,0,13.6,89
17-03-2019,32.1,22,6.8,30.2,96
18-03-2019,27.1,20.8,0.3,12.6,88
19-03-2019,29.7,20.7,0.1,12.7,95
20-03-2019,31.5,21.2,0,15.5,100
21-03-2019,33.7,23.4,0.4,14.1,97
22-03-2019,32,24.1,2.7,14.3,97
23-03-2019,33.7,22.4,0,10.1,99
24-03-2019,32.8,18.8,0,10.9,91
25-03-2019,34.1,20.3,0,11.2,95
26-03-2019,34.4,21.7,0.4,13.9,98
27-03-2019,31.9,20.1,0.1,14.9,90
28-03-2019,33.2,22,0.1,11.9,100
29-03-2019,32.4,23.1,0.2,17.8,98
30-03-2019,34.6,24.5,0,14.9,96
31-03-2019,35.2,24.7,3.4,33.3,97
01-04-2019,34.1,24.6,6,21,95
02-04-2019,33.9,23.9,1.6,16.4,99
03-04-2019,34.9,22.6,0,14.8,98
04-04-2019,33.6,25.1,0,18.5,97
05-04-2019,34.8,23.3,3.4,20.5,96
06-04-2019,33.4,23,15.3,14.5,98
07-04-2019,31.9,22,9.8,26.1,96
08-04-2019,33.3,23,0,17.6,97
09-04-2019,34,24.1,0.9,16.7,98
10-04-2019,33.6,22.6,0.6,16.9,95
11-04-2019,34.2,25,1,14.8,98
12-04-2019,33.7,25.7,2.3,13.3,99
13-04-2019,35.1,25.6,9,16.2,99
14-04-2019,34.8,25.6,1.1,18,98
15-04-2019,35.8,25.7,0,16.2,98
16-04-2019,36,26,3.6,14.9,96
17-04-2019,33.9,24.4,2.2,25.7,97
18-04-2019,33.7,23.8,0,8.4,95
19-04-2019,33,24.8,0,10.4,94
20-04-2019,33.6,24.2,0.1,12.1,88
21-04-2019,35.2,22.5,10.3,20.8,95
22-04-2019,32.1,22.2,0,8.2,96
23-04-2019,33.1,24.8,6.2,9.8,97
24-04-2019,34.5,24.4,0.3,11.6,100
25-04-2019,35.7,25.8,0,16.3,99
26-04-2019,35.8,26.1,0.1,19.2,95
27-04-2019,37.2,27.3,2.6,23.1,91
28-04-2019,36.6,27.6,0,22,90
29-04-2019,36,27.3,0,24.7,90
30-04-2019,34.7,26.9,0,28.3,87
01-05-2019,34.5,27,0,25.4,89
02-05-2019,32.6,26.7,0.3,19.5,92
03-05-2019,29.6,25.8,42.3,33.5,95
04-05-2019,30.5,23.9,18.5,41.8,94
05-05-2019,33.7,23.6,0.1,19.5,96
06-05-2019,35.4,26.7,0,20.7,97
07-05-2019,35.9,26.6,0,20.5,96
08-05-2019,36.9,26.2,0,17.4,94
09-05-2019,36.3,26.8,0,19.4,95
10-05-2019,36.6,27.3,0,20.7,95
11-05-2019,35.2,27.5,0,19.8,95
12-05-2019,35.9,27.7,0,19.6,95
13-05-2019,36.1,27.5,2.3,22.7,95
14-05-2019,35.6,26.7,3,15.7,93
15-05-2019,35.5,27.5,10.1,20.9,95
16-05-2019,36.4,27.1,0,19.8,90
17-05-2019,36.5,27.8,0.3,19.9,92
